ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lanzar hechizos.
Feature/&ForceArtillery_09ModePowerDescription	Invoca una construcción que dura 1 hora.\nArtillería de fuerza: inflige 3d8 de daño de fuerza y ​​empuja al enemigo a 5 pies de distancia.\nAutodestrucción: inflige 3d8 de daño de fuerza en una salvación fallida y destruye la unidad.
Feature/&ForceArtillery_09ModePowerTitle	Construcción de artillería Summon Force
Feature/&ForceArtillery_15ModePowerDescription	Invoca una construcción que dura 1 hora.\nArtillería de fuerza: inflige 3d8 de daño de fuerza y ​​empuja al enemigo a 5 pies de distancia.\nAutodestrucción: inflige 3d8 de daño de fuerza en una salvación fallida y destruye la unidad.\n Cúpula de media cobertura: proporciona media cobertura a los aliados en un radio de 10 pies.
Feature/&ForceArtillery_15ModePowerTitle	Construcción de artillería Summon Force
Feature/&ForceArtilleryAdditionalDamageTitle	Daño mejorado
Feature/&ForceArtilleryModePowerDescription	Invoca una construcción que dura 1 hora.\nArtillería de fuerza: inflige 2d8 de daño de fuerza y ​​empuja al objetivo a 5 pies de distancia.
Feature/&ForceArtilleryModePowerTitle	Construcción de artillería Summon Force
Feature/&ForceArtilleryTitle	Fuerza de Artillería
Feature/&GambitResourcePoolAddDescription	Añade un dado de gambito adicional.
Feature/&GambitResourcePoolAddTitle	Dado Gambito adicional
Feature/&GambitResourcePoolDescription	Reserva de dados de gambito que se puede gastar en gambitos. Comienza con 4 que se recargan en un breve descanso.
Feature/&GambitResourcePoolTitle	Piscina de dados de gambito
Feature/&GiftoftheEverLivingOnesDescription	Recupera el máximo número de puntos de golpe posibles de cualquier curación.
Feature/&GiftoftheEverLivingOnesTitle	Don de los Eternos
Feature/&GiftoftheProtectorsDescription	Cuando te reducen a 0 puntos de golpe pero no te matan directamente, la criatura cae mágicamente a 1 punto de golpe en su lugar. Una vez que se activa esta magia, no puedes beneficiarte de ella hasta que termines un descanso prolongado.
Feature/&GiftoftheProtectorsTitle	Don de los Protectores
Feature/&GnomeCunningFeatureDescription	Tienes ventaja en todas las salvaciones de Inteligencia, Sabiduría y Carisma contra la magia.
Feature/&GnomeCunningFeatureTitle	Astucia
Feature/&GnomeNaturalIllusionistDescription	Ya conoces el cantrip de la Abeja Molesta. La inteligencia es tu modificador de lanzamiento de hechizos.
Feature/&GnomeNaturalIllusionistTitle	Magia Natural
Feature/&HerbalBrewDescription	Cuando finaliza un descanso prolongado, puede crear infusiones de hierbas, cada una de las cuales dura hasta el próximo descanso prolongado. Creas un total de brebajes igual a tu bonificación de competencia. Para cada infusión, elige uno de los siguientes efectos:\n<color=#add8e6ff>Brebaje fortificante</color>: otorga resistencia a diferentes tipos de daño durante 1 hora.\n<color=#add8e6ff>Brebaje vivificante</color>: proporciona 2d4 puntos de golpe.\n<color=#add8e6ff>Brebaje intoxicante</color>: actúa como veneno que se puede aplicar a un arma que dura 1 minuto. Si el golpe aterriza, el objetivo recibe 1d4 daños por veneno en cada golpe.
Feature/&HerbalBrewFeatureSetDescription	Obtienes competencia con el kit de envenenador o los kits de herboristería si aún no lo tienes.\nCuando finaliza un descanso prolongado, puede crear infusiones de hierbas, cada una de las cuales dura hasta el próximo descanso prolongado. Creas un total de brebajes igual a tu bonificación de competencia. Para cada infusión, elige uno de los siguientes efectos:\n<color=#add8e6ff>Brebaje fortificante</color>: otorga resistencia a diferentes tipos de daño durante 1 hora.\n<color=#add8e6ff>Brebaje vivificante</color>: proporciona 2d4 puntos de golpe.\n<color=#add8e6ff>Brebaje intoxicante</color>: actúa como veneno que se puede aplicar a un arma que dura 1 minuto. Si el golpe aterriza, el objetivo recibe 1d4 daños por veneno en cada golpe.
Feature/&HerbalBrewFeatureSetTitle	Elaboración de hierbas a base de hierbas
Feature/&HinderingBlastDescription	Cuando golpeas a una criatura con tu explosión sobrenatural, puedes reducir la velocidad de esa criatura en 10 pies hasta el final de tu próximo turno.
Feature/&HinderingBlastMagicAffinityDescription	cuando golpeas a una criatura con tu explosión sobrenatural, puedes reducir la velocidad de esa criatura en 10 pies hasta el final de tu próximo turno.
Feature/&HinderingBlastMagicAffinityTitle	Explosión obstaculizadora
Feature/&HinderingBlastTitle	Explosión obstaculizadora
Feature/&ImprovedPactWeaponDescription	Puedes usar cualquier arma como foco de lanzamiento de hechizos para tus hechizos de brujo. Además, el arma obtiene una bonificación de +1 a sus tiradas de ataque y daño.
Feature/&ImprovedPactWeaponTitle	Arma de pacto mejorada
Feature/&ImprovedScoutModePowerDescription	Obtenga características mejoradas del modo Scout. Ahora puede crear ventajas para los aliados y desventajas para los enemigos con un solo ataque.
Feature/&ImprovedScoutModePowerTitle	Modo explorador mejorado
Feature/&ImprovedSentinelModePowerDescription	Obtenga funciones mejoradas del modo Centinela a través del poder Gauntlet Grapple.
Feature/&ImprovedSentinelModePowerTitle	Modo centinela mejorado
Feature/&IndomitableResistanceAddDescription	+1 uso de Resistencia Indomable entre descansos.
Feature/&IndomitableResistanceAddTitle	Resistencia indomable (aumentada)
Feature/&IndomitableResistanceTitle	Resistencia Indomable
Feature/&InspirePowerDescription	Gasta un dado de gambito e inspírate a ti mismo o a tu aliado para dar 1d6 + 2 hp temporales.
Feature/&InspirePowerTitle	Inspirar
Feature/&InspiringSurgePowerDescription	Otorga a un aliado una acción principal adicional durante 1 ronda. No se acumula con Action Surge.
Feature/&InspiringSurgePowerTitle	Oleada inspiradora
Feature/&InspiringSurgePowerTitleShort	Oleada inspiradora
Feature/&KnockDownPowerDescription	Gasta un dado de gambito y potencia tu ataque para hacer 1d6 + 2 de daño contundente adicional. El objetivo realiza una salvación de Fuerza (CD 8 + tu bonificador de competencia + tu modificador de Fuerza) o es derribado hasta el comienzo de su siguiente turno.
Feature/&KnockDownPowerTitle	Noquear
Feature/&MagicAffinityRangerArcanistDescription	Eres competente lanzando hechizos en batalla y puedes lanzar hechizos que requieran un componente somático incluso si ambas manos sostienen un arma o un escudo.
Feature/&MagicAffinityRangerArcanistTitle	Entrenamiento de combate arcano
Feature/&MiretheMindTitle	Mire la mente
Feature/&MoonLitDarknessImmunityDescription	Eres inmune a la condición de oscuridad.
Feature/&MoonLitDarknessImmunityTitle	Oscuridad iluminada por la luna
Feature/&MoonLitExpandedSpelllistAfinityDescription	Eliges de una lista ampliada de hechizos cuando aprendes un hechizo de brujo. Los siguientes hechizos se agregan a la lista de hechizos de Warlock para ti: {0}
Feature/&MoonLitExpandedSpelllistAfinityTitle	Hechizos a la luz de la luna
Feature/&MoonLitLightAffinityDescription	Si comienzas tu turno en la oscuridad natural, te vuelves invisible. Moverse, atacar o usar cualquier poder o hechizo que no solo se dirija a uno mismo rompe la invisibilidad.
Feature/&MoonLitLightAffinityStrongDescription	Umbral Cloak ahora funciona con poca luz y oscuridad mágica.
Feature/&MoonLitLightAffinityStrongTitle	Capa Umbral Mejorada
Feature/&MoonLitLightAffinityTitle	Capa Umbral
Feature/&OneWithShadowsDescription	Si comienzas tu turno en la oscuridad natural, te vuelves invisible. Moverse, atacar o usar cualquier poder o hechizo que no solo se dirija a uno mismo rompe la invisibilidad.
Feature/&OneWithShadowsLightAffinityDescription	Si comienzas tu turno en la oscuridad natural, te vuelves invisible. Moverse, atacar o usar cualquier poder o hechizo que no solo se dirija a uno mismo rompe la invisibilidad.
Feature/&OneWithShadowsLightAffinityStrongDescription	One With Shadows ahora funciona con poca luz y oscuridad mágica.
Feature/&OneWithShadowsLightAffinityStrongTitle	Sombras más oscuras
Feature/&OneWithShadowsLightAffinityTitle	uno con sombras
Feature/&OneWithShadowsStrongerDescription	One With Shadows ahora funciona con poca luz y oscuridad mágica.
Feature/&OneWithShadowsStrongerTitle	Sombras más oscuras
Feature/&OneWithShadowsTitle	uno con sombras
Feature/&OpportunistDebilitatingStrikeDescription	Tu ataque furtivo hace que el objetivo realice una tirada de salvación de Constitución (CD 8 + tu bonificador de competencia + tu modificador de Destreza) o sufra una de las siguientes condiciones: cegado, perdición, sangrado o aturdido.
Feature/&OpportunistDebilitatingStrikeTitle	Golpe debilitante
Feature/&OpportunistQuickStrikeDescription	Tienes ventaja cuando atacas a enemigos cuya iniciativa es menor que la tuya. Además, también tienes ventaja cuando realizas un ataque de oportunidad.
Feature/&OpportunistQuickStrikeTitle	Ataque rápido
Feature/&OtherworldlyLeapTitle	Salto de otro mundo
Feature/&PowerAttackDescription	Recibe una penalización de -3 para golpear a tu ataque para hacer 3 + bonificación de competencia de daño adicional cuando lanzas tus golpes con armas cuerpo a cuerpo.
Feature/&PowerAttackTitle	Ataque de poder
Feature/&PowerPaladinAuraOfCourage18Description	Otorga una bonificación de tiro de salvación a los aliados dentro de los 30 pies.
Feature/&PowerPaladinAuraOfCourage18Title	Aura de coraje mejorada
Feature/&PowerPaladinAuraOfProtection18Description	Usted y sus aliados dentro de los 30 pies no pueden asustarse.
Feature/&PowerPaladinAuraOfProtection18Title	Aura de protección mejorada
Feature/&PowerTorchbearerDescription	¡Intenta prender fuego a un objetivo cuerpo a cuerpo!
Feature/&PowerTorchbearerTitle	portador de la antorcha
Feature/&PrimalChampionDescription	En el nivel 20, encarnas el poder de la naturaleza. Tus puntuaciones de Fuerza y ​​Constitución aumentan en 4.
Feature/&PrimalChampionTitle	Campeón primigenio
Feature/&ProficiencyBolgrifLanguagesDescription	Común, Élfico y Gigante.
Feature/&ProficiencyBolgrifLanguagesTitle	Idioma
Feature/&ProficiencyGnomishLanguagesDescription	Común, Gnómico.
Feature/&ProficiencyGnomishLanguagesTitle	Idiomas
Feature/&ProficiencyRogueBlindSenseDescription	A partir del nivel 14, si eres capaz de oír, eres consciente de la ubicación de cualquier criatura oculta o invisible a 10 pies de ti.
Feature/&ProficiencyRogueBlindSenseTitle	sentido ciego
Feature/&ProficiencyRogueSlipperyMindDescription	Para el nivel 15, habrás adquirido mayor fuerza mental. Obtienes competencia en las tiradas de salvación de Sabiduría.
Feature/&ProficiencyRogueSlipperyMindTitle	Mente resbaladiza
Feature/&ProficiencySoulBladeArmorDescription	Armadura Ligera, Armadura Media y Escudo.
Feature/&ProficiencySoulBladeArmorTitle	Competencias de armadura Soulblade
Feature/&ProficiencySoulBladeWeaponDescription	Armas simples, Armas marciales.
Feature/&ProficiencySoulBladeWeaponTitle	Competencias con armas Soulblade
Feature/&RageDamageBonusAttackModifierDescription	Añade +2 de daño a tus ataques mientras estás en furia.
Feature/&RageDamageBonusAttackModifierTitle	Daño de rabia
Feature/&RageFeatConditionDescription	Mientras estás furioso, obtienes lo siguiente: Ventaja en las pruebas de Fuerza y ​​en las tiradas de salvación de Fuerza, una bonificación a las tiradas de daño de +2 y resistencia al daño contundente, perforante y cortante.
Feature/&RageFeatConditionTitle	Furioso
Feature/&RagePowerDescription	Como acción adicional, entras en furia durante un minuto y obtienes lo siguiente: Ventaja en las pruebas de Fuerza y ​​tiradas de salvación de Fuerza, una bonificación a las tiradas de daño de +2 y resistencia al daño contundente, perforante y cortante.
Feature/&RagePowerTitle	Rabia
Feature/&RageStrengthSavingThrowAffinityDescription	Obtienes ventaja en las salvaciones de Fuerza mientras estás en furia.
Feature/&RageStrengthSavingThrowAffinityTitle	Ventaja de salvación de fuerza de ira
Feature/&RallyingCryPowerDescription	Reemplaza Second Wind con un poder para restaurar 4x puntos de golpe de los niveles de luchador a uno o más aliados dentro de 6 celdas, hasta su máximo de puntos de golpe.
Feature/&RallyingCryPowerTitle	Grito de guerra
Feature/&RallyingCryPowerTitleShort	Grito de guerra
Feature/&RangerFeralSensesDescription	Obtienes sentidos sobrenaturales que te ayudan a luchar contra criaturas que no puedes ver. Cuando atacas a una criatura que no puedes ver, tu incapacidad para verla no supone una desventaja en tus tiradas de ataque contra ella.
Feature/&RangerFeralSensesTitle	Sentidos salvajes
Feature/&RangerVanishActionDescription	A partir del nivel 14, puedes usar la acción Esconderse como acción adicional en tu turno.
Feature/&RangerVanishActionTitle	Desaparecer
Feature/&RiftWalkerRestrainedImmunityTitle	Paso fugaz
Feature/&RiftWalkerSpellsMagicAffinityDescription	Eliges de una lista ampliada de hechizos cuando aprendes un hechizo de brujo. Los siguientes hechizos se agregan a la lista de hechizos de Warlock para ti: {0}
Feature/&RiftWalkerSpellsMagicAffinityTitle	Hechizos de caminante de grietas
Feature/&RoyalEnvoyFeatureDescription	Añade la mitad de tu bonificación por competencia (redondeando hacia arriba) a cualquier prueba de Carisma que realices y que aún no utilice tu bonificación por competencia. Además, te vuelves competente con las tiradas de salvación de Carisma.
Feature/&RoyalEnvoyFeatureTitle	enviado real
Feature/&SavingThrowTinkererProficiencyDescription	Competencia en las tiradas de salvación de Constitución e Inteligencia.
Feature/&SavingThrowTinkererProficiencyTitle	Competencia con tiro de salvación
Feature/&ScoutModePowerDescription	Obtenga mayor movimiento, ventaja en las pruebas de sigilo y, una vez por turno, sus ataques con armas a distancia infligen un dado adicional de daño.
Feature/&ScoutModePowerTitle	Modo explorador
Feature/&SentinelModePowerDescription	Gana Temp HP igual al nivel. Imponer Desventaja a los enemigos que atacan a los aliados.
Feature/&SentinelModePowerTitle	Modo centinela
Feature/&ShroudofShadowTitle	Embozo de sombra
Feature/&SignofIllOmenTitle	Signo de mal presagio
Feature/&SpellAsInvocationAtWillDescription	Lanza {0} a voluntad.
Feature/&SpellAsInvocationOncePerDayDescription	Lanza {0} una vez hasta un descanso prolongado.
Feature/&TempHPShield_09ModePowerDescription	Invoca una construcción que dura 1 hora.\nCúpula protectora: Otorga 1d8 + 4 PV temporales a los aliados en un radio de 10 pies.\nAutodestrucción: inflige 3d8 de daño de fuerza en una salvación fallida y destruye la unidad.
Feature/&TempHPShield_09ModePowerTitle	Invocar construcción de cúpula protectora
Feature/&TempHPShield_15ModePowerDescription	Invoca una construcción que dura 1 hora.\nCúpula protectora: Otorga 1d8 + 4 PV temporales a los aliados en un radio de 10 pies.\nAutodestrucción: inflige 3d8 de daño de fuerza en una salvación fallida y destruye la unidad.\n Cúpula de media cobertura: proporciona media cobertura a los aliados en un radio de 10 pies.
Feature/&TempHPShield_15ModePowerTitle	Invocar construcción de cúpula protectora
Feature/&TempHPShieldModePowerDescription	Invoca una construcción que dura 1 hora.\nCúpula protectora: Otorga 1d8 + 4 PV temporales a los aliados en un radio de 10 pies.
Feature/&TempHPShieldModePowerTitle	Invocar construcción de cúpula protectora
Feature/&TempHPShieldTitle	Cúpula protectora
Feature/&ThiefofFiveFates	Emitir {0} una vez al día
Feature/&ThiefofFiveFatesTitle	Ladrón de cinco destinos
Feature/&ThirstingBladeDescription	Puedes atacar con tu arma dos veces, en lugar de una, cada vez que realices la acción de Atacar en tu turno.
Feature/&ThirstingBladeTitle	Hoja sedienta
Feature/&TinkererArmorProficiencyDescription	Competencia con armaduras ligeras y medianas, así como con escudos.
Feature/&TinkererArmorProficiencyTitle	Habilidad de armadura de manitas
Feature/&TinkererInfusionChoiceDescription	Selecciona las infusiones que tendrás disponibles para usar. Tenga en cuenta que cada infusión puede estar activa solo una vez. Activarlo por segunda vez cancelará la primera.
Feature/&TinkererInfusionChoiceTitle	Elección de infusión
Feature/&TinkererInfusionReplaceDescription	Seleccione las infusiones a reemplazar.
Feature/&TinkererInfusionReplaceTitle	Reemplazar infusión
Feature/&TinkererSkillGainChoicesPluralDescription	Las habilidades de Tinkerer son Arcanos, Historia, Investigación, Medicina, Naturaleza, Percepción y Juego de manos.
Feature/&TinkererSkillPointsTitle	Habilidades de manitas
Feature/&TinkererToolsExpertiseDescription	Obtenga experiencia con muchas herramientas, incluidas las herramientas de ladrón, los kits de pergamino, el kit de envenenador, el kit de herboristería y las herramientas de encantamiento.
Feature/&TinkererToolsExpertiseTitle	Experiencia en herramientas Tinkerer
Feature/&TinkererToolsProficiencyDescription	Obtenga competencia con muchas herramientas, incluidas las herramientas de ladrón, los kits de pergamino, el kit de envenenador, el kit de herboristería y las herramientas de encantamiento.
Feature/&TinkererToolsProficiencyTitle	Habilidades de herramientas
Feature/&TinkererWeaponProficiencyDescription	Habilidad con armas simples.
Feature/&TinkererWeaponProficiencyTitle	Competencias con armas de manitas
Feature/&ToadKingBasicToxinTitle	Toxina Básica
Feature/&ToadKingExpandedSpelllistAfinityDescription	Eliges de una lista ampliada de hechizos cuando aprendes un hechizo de brujo. Los siguientes hechizos se agregan a la lista de hechizos de Warlock para ti: {0}
Feature/&ToadKingExpandedSpelllistAfinityTitle	Hechizos del Rey Sapo
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Tu cuerpo ha cambiado para volverse resistente a las toxinas y para producir una toxina defensiva cuando te golpean ataques cuerpo a cuerpo, hasta un número de veces por descanso prolongado igual a tu bonificador de competencia. Si el atacante falla una tirada de salvación de Constitución, sufre una toxina alucinógena hasta que es atacado o interrumpido de alguna otra manera.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Toxina alucinógena
Feature/&ToadKingJumpTitle	Salto
Feature/&ToadKingPoisonConditionAffinityTitle	Inmune a la condición de veneno
Feature/&ToadKingPoisonDamageAffinityTitle	Inmune al daño por veneno
Feature/&ToadKingStickyFeetTitle	Pies palmeados
Feature/&TrickstersEscapeTitle	Escape del tramposo
Feature/&UrPriestDomainTheftDescription	Arrebatas los secretos que un dios otorga a todos sus clérigos devotos. Elija un dominio Cleric: obtiene las funciones que otorga el dominio en el primer nivel.
Feature/&UrPriestDomainTheftTitle	Robo de dominio
Feature/&UrPriestExpandedSpelllistAfinityDescription	Eliges de una lista ampliada de hechizos cuando aprendes un hechizo de brujo. Los hechizos de clérigo se agregan a la lista de hechizos de Warlock para ti.
Feature/&UrPriestExpandedSpelllistAfinityTitle	Hechizos de UrPriest
Feature/&WallofThornsFeatureSetDescription	Lanza Muro de espinas una vez al día.
Feature/&WallofThornsFeatureSetTitle	Barrera forestal
Feature/&WitchCurseChoiceDescription	Estás atormentado por una terrible maldición que infecta tu cuerpo y tu alma.
Feature/&WitchCurseChoiceTitle	Maldición de bruja
Feature/&WitchMaledictionChoiceDescription	Puedes aprender varios encantamientos poderosos, conocidos como maldiciones, derivados de la misma magia insidiosa que te maldijo.
Feature/&WitchMaledictionChoiceTitle	maldiciones
Feature/&WitchSightDescription	Puedes sentir o ver criaturas invisibles a 60 pies de ti.
Feature/&WitchSightTitle	Vista de bruja
Feature/&ZSPowerPaladinCleansingTouchDescription	Elimina los efectos de los hechizos tocando a un aliado. Puedes hacer esto un número de veces al día igual a tu modificador de Carisma.
Feature/&ZSPowerPaladinCleansingTouchTitle	Toque Limpiador
Feedback/&AdditionalDamageAgonizing_BlastFormat	Explosión agonizante
Feedback/&AdditionalDamageAgonizing_BlastLine	Cuando lanzas Explosión sobrenatural, agregas tu modificador de Carisma al daño que inflige con un golpe.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Daño adicional de ataques con poder mágico
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Daño adicional de ataques con poder mágico
Feedback/&AdditionalDamageArcaneFirearmFormat	¡Mejora de explosión!
Feedback/&AdditionalDamageArcaneFirearmLine	Infligir daño adicional de Blasting Enhancement
Feedback/&AdditionalDamageArcanistMarkFormat	¡Marca del arcanista!
Feedback/&AdditionalDamageArcanistMarkLine	¡La marca del arcanista detona e inflige daño extra al objetivo!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	¡Golpe iluminador!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	¡Iluminating Strike inflige daño adicional al objetivo!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arma cegadora
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Daño adicional y tratando de aplicar Ceguera de Arma cegadora
Feedback/&AdditionalDamageEldritchSmiteFormat	Golpe sobrenatural!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} hiere a {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Daño Elemental
Feedback/&AdditionalDamageElementalDamageLine	La forma elemental otorga daño adicional
Feedback/&AdditionalDamageLightningSpearFormat	¡Lanza relámpago!
Feedback/&AdditionalDamageLightningSpearLine	¡{0} golpea a {1} con Lightning Spear! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	¡Marca del pacto!
Feedback/&AdditionalDamagePactMarkedLine	¡La marca del pacto hace daño adicional!
Feedback/&AdditionalDamagePactSoulTakerFormat	Tomador de almas!
Feedback/&AdditionalDamagePactSoulTakerLine	¡El tomador de almas hace daño adicional!
Feedback/&AdditionalDamageResonatingStrikeFormat	¡Golpe resonante!
Feedback/&AdditionalDamageResonatingStrikeLine	¡{0} resuena {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	¡Alma empoderada!
Feedback/&AdditionalDamageSoulEmpoweredLine	¡Soul Empowered hace daño adicional!
Feedback/&AdditionalDamageSunlightBladeFormat	¡Hoja iluminada por el sol!
Feedback/&AdditionalDamageSunlightBladeLine	¡{0} quema {1} con Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Daño mejorado
Feedback/&AdditionalDamageUpgradedConstructLine	La construcción mejorada inflige 1d8 más de daño por golpe.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&ExtraDamageDescription	Daño adicional de Lightning Spear.
Feedback/&ExtraDamageTitle	Daño adicional de Lightning Spear
Feedback/&LightningSpearAdditionalDamageDescription	Inflige 1d6 de daño de rayo adicional una vez por turno.
Feedback/&LightningSpearAdditionalDamageTitle	Daño adicional de Lightning Spear
Feedback/&NotifyEffectResonatingStrikeLine	¡{0} resuena {1}!
FightingStyle/&BlindFightingDescription	Tienes visión ciega con un alcance de 10 pies.
FightingStyle/&BlindFightingTitle	Lucha a ciegas
FightingStyle/&CripplingDescription	Al golpear con un ataque cuerpo a cuerpo, puedes reducir la velocidad de tu oponente en 10 pies hasta el comienzo de tu próximo turno.
FightingStyle/&CripplingTitle	Herida
FightingStyle/&PugilistFightingDescription	Tus golpes sin armas infligen 1d4 de daño contundente adicional y puedes golpear con tu mano izquierda como acción adicional.\nSi tienes la mano libre, puedes empujar como acción adicional.
FightingStyle/&PugilistFightingTitle	Pugilista
FightingStyle/&TitanFightingDescription	Obtienes un impacto de +2 contra criaturas de tamaño Grande o mayor.
FightingStyle/&TitanFightingTitle	Lucha de titanes
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcanos, Naturaleza y Perspicacia.
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religión, Naturaleza y Perspicacia.
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	Historia, persuasión e intimidación.
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Seleccione 2 competencias de habilidades.
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Habilidades
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Seleccione 3 competencias de habilidades.
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Habilidades
FlexibleBackgrounds/&BackgroundToolSelect2Description	Seleccione 2 habilidades de herramientas.
FlexibleBackgrounds/&BackgroundToolSelect2Title	Instrumentos
FlexibleBackgrounds/&BackgroundToolSelectDescription	Seleccione un dominio de la herramienta.
FlexibleBackgrounds/&BackgroundToolSelectTitle	Herramienta
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Percepción e Intimidación.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Juego de manos, sigilo y engaño.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Medicina y Persuasión.
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Atletismo e Intimidación.
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Sigilo, engaño y naturaleza.
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Supervivencia y Naturaleza.
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleRaces/&PointPoolAbilityScore3Description	Usa tres potenciadores en las puntuaciones de habilidad en cualquier combinación que elijas.
FlexibleRaces/&PointPoolAbilityScore3Title	Aumento de puntuación de habilidad
FlexibleRaces/&PointPoolAbilityScore4Description	Usa cuatro potenciadores en las puntuaciones de habilidad en cualquier combinación que elijas.
FlexibleRaces/&PointPoolAbilityScore4Title	Aumento de puntuación de habilidad
Format/&LevelAndExperienceFormat	Nivel: {0}\nExperiencia: {1}\n{2} puntos necesarios para alcanzar el nivel {3}
Format/&LevelAndExperienceMaxedFormat	Nivel: {0}\nExperiencia: {1}\nnivel máximo alcanzado
Item/&CEHalberd+1Title	Alabarda +1
Item/&CEHalberd+1UnidentifiedTitle	Alabarda de calidad
Item/&CEHalberd+2Title	Alabarda +2
Item/&CEHalberd+2UnidentifiedTitle	Alabarda magnífica
Item/&CEHalberdLightningTitle	Alabarda relámpago
Item/&CEHalberdLightningUnidentifiedTitle	Alabarda magnífica
Item/&CEHalberdPrimedTitle	Alabarda imprimada
Item/&CEHalberdTitle	Alabarda
Item/&CEHandXbow+1Title	Ballesta de mano +1
Item/&CEHandXbow+1UnidentifiedTitle	Ballesta de mano de calidad
Item/&CEHandXbow+2Title	Ballesta de mano +2
Item/&CEHandXbow+2UnidentifiedTitle	Ballesta de mano magnífica
Item/&CEHandXbowAcidTitle	Ballesta de mano ácida
Item/&CEHandXbowAcidUnidentifiedTitle	Ballesta de mano magnífica
Item/&CEHandXbowPrimedTitle	Ballesta de mano imprimada
Item/&CEHandXbowTitle	ballesta de mano
Item/&CELongMace+1Title	Maza larga +1
Item/&CELongMace+1UnidentifiedTitle	Maza larga de calidad
Item/&CELongMace+2Title	Maza larga +2
Item/&CELongMace+2UnidentifiedTitle	Maza larga magnífica
Item/&CELongMacePrimedTitle	Maza larga imprimada
Item/&CELongMaceThunderTitle	Maza larga atronadora
Item/&CELongMaceThunderUnidentifiedTitle	Maza larga magnífica
Item/&CELongMaceTitle	Maza larga
Item/&CEPike+1Title	lucio +1
Item/&CEPike+1UnidentifiedTitle	Lucio de calidad
Item/&CEPike+2Title	Lucio +2
Item/&CEPike+2UnidentifiedTitle	Lucio magnífico
Item/&CEPikePrimedTitle	Lucio imprimado
Item/&CEPikePsychicTitle	Lucio psíquico
Item/&CEPikePsychicUnidentifiedTitle	Lucio magnífico
Item/&CEPikeTitle	Lucio
Item/&CraftingManualRecipeEnchantCEHalberd+1Description	Encantar alabarda +1.
