ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Feature/&GnomeNaturalIllusionistTitle	Magia Natural
Feature/&HerbalBrewDescription	Quando você termina um descanso longo, você pode criar infusões de ervas, cada uma das quais dura até o próximo descanso longo. Você cria um total de infusões igual ao seu bônus de proficiência. Para cada bebida, escolha um dos seguintes efeitos:\n<color=#add8e6ff>Fortifying Brew</color>: concede resistência a diferentes tipos de dano por 1 hora.\n<color=#add8e6ff>Aceleração da Cerveja</color>: fornece 2d4 pontos de vida.\n<color=#add8e6ff>Cerveja Toxificante</color>: atua como veneno que pode ser aplicado a uma arma que dura 1 minuto. Se o acerto acertar, o alvo sofre 1d4 de dano de veneno em cada acerto.
Feature/&HerbalBrewFeatureSetDescription	Você ganha proficiência com o kit de envenenador ou kits de herbalismo, se ainda não o tiver.\nQuando você termina um descanso longo, você pode criar infusões de ervas, cada uma das quais dura até o próximo descanso longo. Você cria um total de infusões igual ao seu bônus de proficiência. Para cada bebida, escolha um dos seguintes efeitos:\n<color=#add8e6ff>Fortifying Brew</color>: concede resistência a diferentes tipos de dano por 1 hora.\n<color=#add8e6ff>Aceleração da Cerveja</color>: fornece 2d4 pontos de vida.\n<color=#add8e6ff>Cerveja Toxificante</color>: atua como veneno que pode ser aplicado a uma arma que dura 1 minuto. Se o acerto acertar, o alvo sofre 1d4 de dano de veneno em cada acerto.
Feature/&HerbalBrewFeatureSetTitle	Cerveja de Ervas
Feature/&HinderingBlastDescription	Quando você atinge uma criatura com sua rajada mística, você pode reduzir o deslocamento daquela criatura em 3 metros até o final do seu próximo turno.
Feature/&HinderingBlastMagicAffinityDescription	quando você atinge uma criatura com sua rajada mística, você pode reduzir o deslocamento daquela criatura em 3 metros até o final do seu próximo turno.
Feature/&HinderingBlastMagicAffinityTitle	Impedindo Explosão
Feature/&HinderingBlastTitle	Impedindo Explosão
Feature/&ImprovedPactWeaponDescription	Você pode usar qualquer arma como foco de conjuração para seus feitiços de Bruxo. Além disso, a arma ganha um bônus de +1 em suas jogadas de ataque e dano.
Feature/&ImprovedPactWeaponTitle	Arma de Pacto Aprimorada
Feature/&ImprovedScoutModePowerDescription	Obtenha recursos aprimorados do Modo Scout. Agora pode criar vantagem para aliados e desvantagem para inimigos com um único ataque.
Feature/&ImprovedScoutModePowerTitle	Modo Escoteiro Aprimorado
Feature/&ImprovedSentinelModePowerDescription	Obtenha recursos aprimorados do Modo Sentinela através do poder Gauntlet Grapple.
Feature/&ImprovedSentinelModePowerTitle	Modo Sentinela Aprimorado
Feature/&IndomitableResistanceAddDescription	+1 uso de resistência indomável entre descansos.
Feature/&IndomitableResistanceAddTitle	Resistência Indomável (aumentada)
Feature/&IndomitableResistanceTitle	Resistência Indomável
Feature/&InspirePowerDescription	Gaste um dado de aposta e inspire você ou seu aliado a dar 1d6 + 2 PV temporários.
Feature/&InspirePowerTitle	Inspirar
Feature/&InspiringSurgePowerDescription	Concede a um aliado uma ação principal adicional por 1 rodada. Não acumula com Surto de Ação.
Feature/&InspiringSurgePowerTitle	Surto inspirador
Feature/&InspiringSurgePowerTitleShort	Surto inspirador
Feature/&KnockDownPowerDescription	Gaste um dado de jogada e fortaleça seu ataque para causar mais 1d6 + 2 de dano de concussão. O alvo faz um teste de resistência de Força (CD 8 + seu bônus de proficiência + seu modificador de Força) ou é derrubado até o início de seu próximo turno.
Feature/&KnockDownPowerTitle	Derrubar
Feature/&MagicAffinityRangerArcanistDescription	Você é proficiente em lançar feitiços em batalha e pode lançar feitiços que exijam um componente somático mesmo se ambas as mãos estiverem segurando uma arma ou escudo.
Feature/&MagicAffinityRangerArcanistTitle	Treinamento de Combate Arcano
Feature/&MiretheMindTitle	Mire a mente
Feature/&MoonLitDarknessImmunityDescription	Você é imune à condição de escuridão.
Feature/&MoonLitDarknessImmunityTitle	Escuridão enluarada
Feature/&MoonLitExpandedSpelllistAfinityDescription	Você escolhe a partir de uma lista expandida de magias quando aprende uma magia de Bruxo. Os seguintes feitiços são adicionados à lista de feitiços do Bruxo para você: {0}
Feature/&MoonLitExpandedSpelllistAfinityTitle	Feitiços de luar
Feature/&MoonLitLightAffinityDescription	Se você começar seu turno na escuridão natural, você se torna invisível. Mover, atacar ou usar qualquer poder ou feitiço que não tenha apenas como alvo você quebra a invisibilidade.
Feature/&MoonLitLightAffinityStrongDescription	Manto Umbral agora funciona com pouca luz e escuridão mágica.
Feature/&MoonLitLightAffinityStrongTitle	Manto Umbral Aprimorado
Feature/&MoonLitLightAffinityTitle	Manto Umbral
Feature/&OneWithShadowsDescription	Se você começar seu turno na escuridão natural, você se torna invisível. Mover, atacar ou usar qualquer poder ou feitiço que não tenha apenas como alvo você quebra a invisibilidade.
Feature/&OneWithShadowsLightAffinityDescription	Se você começar seu turno na escuridão natural, você se torna invisível. Mover, atacar ou usar qualquer poder ou feitiço que não tenha apenas como alvo você quebra a invisibilidade.
Feature/&OneWithShadowsLightAffinityStrongDescription	One With Shadows agora funciona com pouca luz e escuridão mágica.
Feature/&OneWithShadowsLightAffinityStrongTitle	Sombras mais escuras
Feature/&OneWithShadowsLightAffinityTitle	Um com sombras
Feature/&OneWithShadowsStrongerDescription	One With Shadows agora funciona com pouca luz e escuridão mágica.
Feature/&OneWithShadowsStrongerTitle	Sombras mais escuras
Feature/&OneWithShadowsTitle	Um com sombras
Feature/&OpportunistDebilitatingStrikeDescription	Seu ataque furtivo faz com que o alvo faça um teste de resistência de Constituição (CD 8 + seu bônus de proficiência + seu modificador de Destreza) ou sofra uma das seguintes condições: cego, aniquilamento, sangramento ou atordoado.
Feature/&OpportunistDebilitatingStrikeTitle	Ataque Debilitante
Feature/&OpportunistQuickStrikeDescription	Você tem vantagem quando ataca um inimigo cuja iniciativa é menor que a sua. Além disso, você também tem vantagem ao realizar um ataque de oportunidade.
Feature/&OpportunistQuickStrikeTitle	Ataque Rápido
Feature/&OtherworldlyLeapTitle	Salto sobrenatural
Feature/&PowerAttackDescription	Receba uma penalidade de -3 para acertar seu ataque para causar 3 + Bônus de Proficiência de dano extra ao acertar seus ataques com armas brancas.
Feature/&PowerAttackTitle	Ataque de poder
Feature/&PowerPaladinAuraOfCourage18Description	Concede um bônus de teste de resistência para aliados dentro de 9 metros.
Feature/&PowerPaladinAuraOfCourage18Title	Aura de Coragem Aprimorada
Feature/&PowerPaladinAuraOfProtection18Description	Você e seus aliados dentro de 9 metros não podem ser amedrontados.
Feature/&PowerPaladinAuraOfProtection18Title	Aura de Proteção Aprimorada
Feature/&PowerTorchbearerDescription	Tente incendiar um alvo corpo a corpo!
Feature/&PowerTorchbearerTitle	Portador da tocha
Feature/&PrimalChampionDescription	No 20º nível, você incorpora o poder da selva. Seus valores de Força e Constituição aumentam em 4.
Feature/&PrimalChampionTitle	Campeão Primal
Feature/&ProficiencyBolgrifLanguagesDescription	Comum, Élfico e Gigante.
Feature/&ProficiencyBolgrifLanguagesTitle	Linguagem
Feature/&ProficiencyGnomishLanguagesDescription	Comum, Gnômico.
Feature/&ProficiencyGnomishLanguagesTitle	línguas
Feature/&ProficiencyRogueBlindSenseDescription	A partir do 14º nível, se você for capaz de ouvir, estará ciente da localização de qualquer criatura oculta ou invisível a até 3 metros de você.
Feature/&ProficiencyRogueBlindSenseTitle	Blindsense
Feature/&ProficiencyRogueSlipperyMindDescription	No 15º nível, você adquiriu maior força mental. Você ganha proficiência em testes de resistência de Sabedoria.
Feature/&ProficiencyRogueSlipperyMindTitle	Mente Escorregadia
Feature/&ProficiencySoulBladeArmorDescription	Armadura Leve, Armadura Média e Escudo.
Feature/&ProficiencySoulBladeArmorTitle	Proficiências em Armadura Soulblade
Feature/&ProficiencySoulBladeWeaponDescription	Armas Simples, Armas Marciais.
Feature/&ProficiencySoulBladeWeaponTitle	Proficiência em Arma Soulblade
Feature/&RageDamageBonusAttackModifierDescription	Adicione +2 de dano aos seus ataques enquanto estiver em fúria.
Feature/&RageDamageBonusAttackModifierTitle	Dano de raiva
Feature/&RageFeatConditionDescription	Enquanto estiver em fúria, você ganha o seguinte: Vantagem em testes de Força e testes de resistência de Força, um bônus nas jogadas de dano de +2 e resistência a dano de concussão, perfurante e cortante.
Feature/&RageFeatConditionTitle	Furioso
Feature/&RagePowerDescription	Como uma ação bônus, você entra em fúria por um minuto e ganha o seguinte: Vantagem em testes de Força e testes de resistência de Força, um bônus nas jogadas de dano de +2 e resistência a dano de concussão, perfurante e cortante.
Feature/&RagePowerTitle	Fúria
Feature/&RageStrengthSavingThrowAffinityDescription	Você obtém vantagem em salvamentos de Força enquanto estiver em fúria.
Feature/&RageStrengthSavingThrowAffinityTitle	Vantagem de salvamento de Força de Fúria
Feature/&RallyingCryPowerDescription	Substitui o Segundo Vento por um poder de restaurar 4x os pontos de vida dos Níveis de Lutador para um ou mais aliados dentro de 6 células, até o máximo de pontos de vida.
Feature/&RallyingCryPowerTitle	Grito de guerra
Feature/&RallyingCryPowerTitleShort	Grito de guerra
Feature/&RangerFeralSensesDescription	Você ganha sentidos sobrenaturais que o ajudam a lutar contra criaturas que você não pode ver. Quando você ataca uma criatura que não pode ver, sua incapacidade de vê-la não impõe desvantagem em suas jogadas de ataque contra ela.
Feature/&RangerFeralSensesTitle	Sentidos Ferais
Feature/&RangerVanishActionDescription	A partir do 14º nível, você pode usar a ação Esconder-se como uma ação bônus no seu turno.
Feature/&RangerVanishActionTitle	Desaparecer
Feature/&RiftWalkerRestrainedImmunityTitle	Passo fugaz
Feature/&RiftWalkerSpellsMagicAffinityDescription	Você escolhe a partir de uma lista expandida de magias quando aprende uma magia de Bruxo. Os seguintes feitiços são adicionados à lista de feitiços do Bruxo para você: {0}
Feature/&RiftWalkerSpellsMagicAffinityTitle	Feitiços do Rift Walker
Feature/&RoyalEnvoyFeatureDescription	Adicione metade do seu bônus de proficiência (arredondado para cima) a qualquer teste de Carisma que você fizer que ainda não use seu bônus de proficiência. Além disso, você se torna proficiente em testes de resistência de Carisma.
Feature/&RoyalEnvoyFeatureTitle	enviado real
Feature/&SavingThrowTinkererProficiencyDescription	Proficiência em testes de resistência de Constituição e Inteligência.
Feature/&SavingThrowTinkererProficiencyTitle	Proficiência em jogadas de proteção
Feature/&ScoutModePowerDescription	Ganhe movimento aumentado, vantagem em testes de Furtividade e uma vez por turno, seus ataques de arma de longo alcance causam um dado extra de dano.
Feature/&ScoutModePowerTitle	Modo Escoteiro
Feature/&SentinelModePowerDescription	Ganhe Temp HP igual ao nível. Imponha Desvantagem aos inimigos que atacam aliados.
Feature/&SentinelModePowerTitle	Modo Sentinela
Feature/&ShroudofShadowTitle	Manto da Sombra
Feature/&SignofIllOmenTitle	Sinal de mau presságio
Feature/&SpellAsInvocationAtWillDescription	Lance {0} à vontade.
Feature/&SpellAsInvocationOncePerDayDescription	Lance {0} uma vez até um descanso longo.
Feature/&TempHPShield_09ModePowerDescription	Evoca uma construção que dura 1 hora.\nProtecting Dome: Concede 1d8 + 4 HP temporários para aliados dentro de 10 pés.\nAutodestruição: causa 3d8 de dano de força se falhar na resistência e destrói a unidade.
Feature/&TempHPShield_09ModePowerTitle	Invocar Construção de Cúpula Protetora
Feature/&TempHPShield_15ModePowerDescription	Evoca uma construção que dura 1 hora.\nProtecting Dome: Concede 1d8 + 4 HP temporários para aliados dentro de 10 pés.\nAutodestruição: causa 3d8 de dano de força se falhar na resistência e destrói a unidade.\n Meia Cobertura Dome: Fornece meia cobertura aos aliados dentro de 10 pés.
Feature/&TempHPShield_15ModePowerTitle	Invocar Construção de Cúpula Protetora
Feature/&TempHPShieldModePowerDescription	Evoca uma construção que dura 1 hora.\nProtecting Dome: Concede 1d8 + 4 HP temporários para aliados dentro de 10 pés.
Feature/&TempHPShieldModePowerTitle	Invocar Construção de Cúpula Protetora
Feature/&TempHPShieldTitle	Cúpula de Proteção
Feature/&ThiefofFiveFates	Transmitir {0} uma vez por dia
Feature/&ThiefofFiveFatesTitle	Ladrão de cinco destinos
Feature/&ThirstingBladeDescription	Você pode atacar com sua arma duas vezes, em vez de uma, sempre que realizar a ação Atacar no seu turno.
Feature/&ThirstingBladeTitle	Lâmina Sedenta
Feature/&TinkererArmorProficiencyDescription	Proficiência com armaduras leves e médias, bem como escudos.
Feature/&TinkererArmorProficiencyTitle	Proficiência em Armadura do Tinkerer
Feature/&TinkererInfusionChoiceDescription	Selecione as infusões que você terá disponíveis para uso. Observe que cada infusão pode ser ativa apenas uma vez. Ativá-lo uma segunda vez cancelará a primeira.
Feature/&TinkererInfusionChoiceTitle	Escolha de infusão
Feature/&TinkererInfusionReplaceDescription	Selecione as infusões a serem substituídas.
Feature/&TinkererInfusionReplaceTitle	Substituir a infusão
Feature/&TinkererSkillGainChoicesPluralDescription	As habilidades do Tinkerer são Arcana, História, Investigação, Medicina, Natureza, Percepção e Prestidigitação.
Feature/&TinkererSkillPointsTitle	Habilidades de funileiro
Feature/&TinkererToolsExpertiseDescription	Adquira experiência com muitas ferramentas, incluindo Thieves' Tools, Scroll Kits, Poisoner's Kit, Herbalism Kit e Enchanting Tools.
Feature/&TinkererToolsExpertiseTitle	Expertise em ferramentas Tinkerer
Feature/&TinkererToolsProficiencyDescription	Ganhe proficiência com muitas ferramentas, incluindo Thieves' Tools, Scroll Kits, Poisoner's Kit, Herbalism Kit e Enchanting Tools.
Feature/&TinkererToolsProficiencyTitle	Proficiências em Ferramentas
Feature/&TinkererWeaponProficiencyDescription	Proficiência com armas simples.
Feature/&TinkererWeaponProficiencyTitle	Proficiências com Armas do Tinkerer
Feature/&ToadKingBasicToxinTitle	Toxina Básica
Feature/&ToadKingExpandedSpelllistAfinityDescription	Você escolhe a partir de uma lista expandida de magias quando aprende uma magia de Bruxo. Os seguintes feitiços são adicionados à lista de feitiços do Bruxo para você: {0}
Feature/&ToadKingExpandedSpelllistAfinityTitle	Feitiços do Rei Sapo
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Seu corpo mudou para se tornar resistente a toxinas e produzir uma toxina defensiva quando atingido por ataques corpo a corpo, até um número de vezes por descanso longo igual ao seu bônus de proficiência. Se o atacante falhar em um teste de resistência de Constituição, ele sofre de uma toxina alucinógena até ser atacado ou interrompido de outra forma.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Toxina Alucinógena
Feature/&ToadKingJumpTitle	Pular
Feature/&ToadKingPoisonConditionAffinityTitle	Imune a Condição de Veneno
Feature/&ToadKingPoisonDamageAffinityTitle	Imune a Dano de Veneno
Feature/&ToadKingStickyFeetTitle	Pés palmados
Feature/&TrickstersEscapeTitle	Fuga do Malandro
Feature/&UrPriestDomainTheftDescription	Você arrebata os segredos que um deus concede a todos os seus clérigos devotos. Escolha um domínio de clérigo: você ganha os recursos que o domínio concede no 1º nível.
Feature/&UrPriestDomainTheftTitle	Roubo de domínio
Feature/&UrPriestExpandedSpelllistAfinityDescription	Você escolhe a partir de uma lista expandida de magias quando aprende uma magia de Bruxo. Feitiços de clérigo são adicionados à lista de feitiços de Bruxo para você.
Feature/&UrPriestExpandedSpelllistAfinityTitle	Feitiços UrPriest
Feature/&WallofThornsFeatureSetDescription	Lançar Wall of Thorns uma vez por dia.
Feature/&WallofThornsFeatureSetTitle	Barreira Florestal
Feature/&WitchCurseChoiceDescription	Você é arruinado por uma terrível maldição que infecta seu corpo e sua alma.
Feature/&WitchCurseChoiceTitle	Maldição da Bruxa
Feature/&WitchMaledictionChoiceDescription	Você pode aprender vários encantamentos poderosos, conhecidos como Maldições, derivados da mesma magia insidiosa que o amaldiçoou.
Feature/&WitchMaledictionChoiceTitle	Maldições
Feature/&WitchSightDescription	Você pode sentir ou ver criaturas invisíveis a até 18 metros de você.
Feature/&WitchSightTitle	Visão da Bruxa
Feature/&ZSPowerPaladinCleansingTouchDescription	Remova os efeitos da magia tocando em um aliado. Você pode fazer isso um número de vezes por dia igual ao seu modificador de Carisma.
Feature/&ZSPowerPaladinCleansingTouchTitle	Toque de limpeza
Feedback/&AdditionalDamageAgonizing_BlastFormat	Explosão Agonizante
Feedback/&AdditionalDamageAgonizing_BlastLine	Quando você conjura rajada mística, você adiciona seu modificador de Carisma ao dano que causa em um acerto.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Dano Adicional de Ataques com Poder Mágico
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Dano Adicional de Ataques com Poder Mágico
Feedback/&AdditionalDamageArcaneFirearmFormat	Aprimoramento de explosão!
Feedback/&AdditionalDamageArcaneFirearmLine	Causando dano adicional do Aprimoramento Explosivo
Feedback/&AdditionalDamageArcanistMarkFormat	Marca do Arcanista!
Feedback/&AdditionalDamageArcanistMarkLine	A Marca do Arcanista detona e causa dano extra ao alvo!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Golpe Iluminador!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Illuminating Strike causa dano extra ao alvo!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arma de Cegueira
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Dano adicional e tentativa de aplicar Cegueira da Arma Cegante
Feedback/&AdditionalDamageEldritchSmiteFormat	Golpe Eldritch!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} fere {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Dano Elementar
Feedback/&AdditionalDamageElementalDamageLine	A forma elemental concede dano adicional
Feedback/&AdditionalDamageLightningSpearFormat	Lança Relâmpago!
Feedback/&AdditionalDamageLightningSpearLine	{0} atinge {1} com a Lança Relâmpago! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	Marca do pacto!
Feedback/&AdditionalDamagePactMarkedLine	A marca do pacto causa dano adicional!
Feedback/&AdditionalDamagePactSoulTakerFormat	Tomador de almas!
Feedback/&AdditionalDamagePactSoulTakerLine	Soul taker causa dano adicional!
Feedback/&AdditionalDamageResonatingStrikeFormat	Golpe Ressonante!
Feedback/&AdditionalDamageResonatingStrikeLine	{0} ressoa {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Alma empoderada!
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered causa dano adicional!
Feedback/&AdditionalDamageSunlightBladeFormat	Lâmina iluminada pelo sol!
Feedback/&AdditionalDamageSunlightBladeLine	{0} queima {1} com Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Dano atualizado
Feedback/&AdditionalDamageUpgradedConstructLine	O constructo atualizado causa 1d8 a mais de dano por acerto.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&ExtraDamageDescription	Dano extra de Lighting Spear.
Feedback/&ExtraDamageTitle	Dano extra da Lança Relâmpago
Feedback/&LightningSpearAdditionalDamageDescription	Causa 1d6 de dano de raio adicional uma vez por turno.
Feedback/&LightningSpearAdditionalDamageTitle	Dano extra da Lança Relâmpago
Feedback/&NotifyEffectResonatingStrikeLine	{0} ressoa {1}!
FightingStyle/&BlindFightingDescription	Você tem visão às cegas com alcance de 3 metros.
FightingStyle/&BlindFightingTitle	Luta às cegas
FightingStyle/&CripplingDescription	Ao acertar com um ataque corpo a corpo, você pode reduzir a velocidade do seu oponente em 3 metros até o início do seu próximo turno.
FightingStyle/&CripplingTitle	Aleijante
FightingStyle/&PugilistFightingDescription	Seus ataques desarmados causam 1d4 de dano de concussão adicional e você pode socar com sua mão secundária como uma ação bônus.\nSe você tiver mão livre, você pode empurrar como uma ação bônus.
FightingStyle/&PugilistFightingTitle	Pugilista
FightingStyle/&TitanFightingDescription	Você ganha +2 de acerto contra criaturas de tamanho Grande ou maior.
FightingStyle/&TitanFightingTitle	Luta de Titãs
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcano, Natureza e Insight.
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religião, Natureza e Insight.
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	História, Persuasão e Intimidação.
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Selecione 2 proficiências em perícias.
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Habilidades
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Selecione 3 proficiências de habilidade.
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Habilidades
FlexibleBackgrounds/&BackgroundToolSelect2Description	Selecione 2 proficiências em ferramentas.
FlexibleBackgrounds/&BackgroundToolSelect2Title	Ferramentas
FlexibleBackgrounds/&BackgroundToolSelectDescription	Selecione uma proficiência na ferramenta.
FlexibleBackgrounds/&BackgroundToolSelectTitle	Ferramenta
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Percepção e Intimidação.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Prestidigitação, Furtividade e Engano.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Medicina e Persuasão.
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Atletismo e Intimidação.
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Furtividade, Decepção e Natureza.
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Sobrevivência e Natureza.
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleRaces/&PointPoolAbilityScore3Description	Use três reforços nos valores de habilidade em qualquer combinação de sua escolha.
FlexibleRaces/&PointPoolAbilityScore3Title	Aumento de pontuação de habilidade
FlexibleRaces/&PointPoolAbilityScore4Description	Use quatro reforços nos valores de habilidade em qualquer combinação de sua escolha.
FlexibleRaces/&PointPoolAbilityScore4Title	Aumento de pontuação de habilidade
Format/&LevelAndExperienceFormat	Nível: {0}\nExperiência: {1}\n{2} pontos necessários para atingir o nível {3}
Format/&LevelAndExperienceMaxedFormat	Nível: {0}\nExperiência: {1}\nnível máximo atingido
Item/&CEHalberd+1Title	Alabarda +1
Item/&CEHalberd+1UnidentifiedTitle	Alabarda de qualidade
Item/&CEHalberd+2Title	Alabarda +2
Item/&CEHalberd+2UnidentifiedTitle	Alabarda Magnífica
Item/&CEHalberdLightningTitle	Alabarda Relâmpago
Item/&CEHalberdLightningUnidentifiedTitle	Alabarda Magnífica
Item/&CEHalberdPrimedTitle	Alabarda Preparada
Item/&CEHalberdTitle	Alabarda
Item/&CEHandXbow+1Title	Besta de Mão +1
Item/&CEHandXbow+1UnidentifiedTitle	Besta de mão de qualidade
Item/&CEHandXbow+2Title	Besta de Mão +2
Item/&CEHandXbow+2UnidentifiedTitle	Besta de mão magnífica
Item/&CEHandXbowAcidTitle	Besta de Mão Ácida
Item/&CEHandXbowAcidUnidentifiedTitle	Besta de mão magnífica
Item/&CEHandXbowPrimedTitle	Besta de mão preparada
Item/&CEHandXbowTitle	Besta de mão
Item/&CELongMace+1Title	Maça Longa +1
Item/&CELongMace+1UnidentifiedTitle	Maça Longa de Qualidade
Item/&CELongMace+2Title	Maça Longa +2
Item/&CELongMace+2UnidentifiedTitle	Maça Longa Magnífica
Item/&CELongMacePrimedTitle	Maça Longa Preparada
Item/&CELongMaceThunderTitle	Maça Longa Trovejante
Item/&CELongMaceThunderUnidentifiedTitle	Maça Longa Magnífica
Item/&CELongMaceTitle	Maça Longa
Item/&CEPike+1Title	Pique +1
Item/&CEPike+1UnidentifiedTitle	Pique de qualidade
Item/&CEPike+2Title	Pique +2
Item/&CEPike+2UnidentifiedTitle	Lúcio Magnífico
Item/&CEPikePrimedTitle	Pique Preparado
Item/&CEPikePsychicTitle	Pique Psíquico
Item/&CEPikePsychicUnidentifiedTitle	Lúcio Magnífico
Item/&CEPikeTitle	Pique
Item/&CraftingManualRecipeEnchantCEHalberd+1Description	Encantar Alabarda +1.
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Encantar Alabarda +1
Item/&CraftingManualRecipeEnchantCEHalberd+2Description	Encantar Alabarda +2.
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Encantar Alabarda +2
Item/&CraftingManualRecipeEnchantCEHalberdLightningDescription	Encantar Alabarda Relâmpago.
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Encantar Alabarda Relâmpago
Item/&CraftingManualRecipeEnchantCEHandXbow+1Description	Encantar Besta de Mão +1.
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Encantar Besta de Mão +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Description	Encantar Besta de Mão +2.
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Encantar Besta de Mão +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidDescription	Encantar Besta de Mão Ácida.
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Encantar Besta de Mão Ácida
Item/&CraftingManualRecipeEnchantCELongMace+1Description	Encantar Maça Longa +1.
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Encantar Maça Longa +1
Item/&CraftingManualRecipeEnchantCELongMace+2Description	Encantar Maça Longa +2.
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Encantar Maça Longa +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderDescription	Encantar Maça Longa Trovejante.
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Encantar Maça Longa Trovejante
Item/&CraftingManualRecipeEnchantCEPike+1Description	Encantar Pique +1.
Item/&CraftingManualRecipeEnchantCEPike+1Title	Encantar Pique +1
Item/&CraftingManualRecipeEnchantCEPike+2Description	Encantar Pique +2.
Item/&CraftingManualRecipeEnchantCEPike+2Title	Encantar Pique +2
Item/&CraftingManualRecipeEnchantCEPikePsychicDescription	Encantar Pique Psíquico.
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Encantar Pique Psíquico
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Encantar Algemas +1.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Encantar Algemas +1
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Encantar Algemas +2.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Encantar Algemas +2
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Encantar Mãos Fortes.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Encantar Alças Fortes
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Encantar Handwraps De Puxar.
