ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Feature/&DHHolyAuraBlindingPowerTitle	Aura sagrada de represalia
Feature/&DHPactOfTheTomeFeatureSetDescription	Tu mecenas te da un grimorio llamado Libro de las Sombras. Cuando obtengas este rasgo, elige tres cantrips de la lista de conjuros de cualquier clase. No es necesario que los cantrips sean de la misma lista de conjuros. Mientras el libro estÃ© en tu persona, puedes lanzar esos cantrips a voluntad. No cuentan contra tu nÃºmero de cantrips conocidos. Cualquier cantrip que lances con este rasgo se considera un cantrip de brujo para ti.
Feature/&DHPactOfTheTomeFeatureSetTitle	Pacto del Tomo
Feature/&DHWardingBondBonusCantripDescription	Tu control de los portales de la grieta ha aumentado hasta el punto de que ahora puedes conceder la protecciÃ³n de la grieta a otros. Puedes lanzar lazos de protecciÃ³n a voluntad (sin compartir el daÃ±o).
Feature/&DHWardingBondBonusCantripTitle	Capa de la grieta
Feature/&DHWarlockClassPactOfTheChainFeatureSetDescription	Cuando lanzas la invocaciÃ³n de un familiar, puedes elegir una de las siguientes formas especiales: diablillo, pseudodragÃ³n, quasit o sprite.
Feature/&DHWarlockClassPactOfTheChainFeatureSetTitle	Pacto de la Cadena
Feature/&DomainBattleDomainlevel1FeaturesDescription	Aprendes los rasgos de nivel 1 de este dominio.
Feature/&DomainBattleDomainlevel1FeaturesTitle	Dominio de la Batalla
Feature/&DomainElementalColdDomainlevel1FeaturesDescription	Aprendes los rasgos de nivel 1 de este dominio.
Feature/&DomainElementalColdDomainlevel1FeaturesTitle	Dominio Elemental (FrÃ­o)
Feature/&DomainElementalFireDomainlevel1FeaturesDescription	Aprendes las caracterÃ­sticas de nivel 1 de este dominio.
Feature/&DomainElementalFireDomainlevel1FeaturesTitle	Dominio Elemental (Fuego)
Feature/&DomainElementalLightingDomainlevel1FeaturesDescription	Aprendes las caracterÃ­sticas de nivel 1 de este dominio.
Feature/&DomainElementalLightingDomainlevel1FeaturesTitle	Dominio Elemental (IluminaciÃ³n)
Feature/&DomainInsightDomainlevel1FeaturesDescription	Aprendes las caracterÃ­sticas de nivel 1 de este dominio.
Feature/&DomainInsightDomainlevel1FeaturesTitle	Dominio de la perspicacia
Feature/&DomainLawDomainlevel1FeaturesDescription	Aprendes las caracterÃ­sticas de nivel 1 de este dominio.
Feature/&DomainLawDomainlevel1FeaturesTitle	Dominio de la Ley
Feature/&DomainLifeDomainlevel1FeaturesDescription	Aprendes las caracterÃ­sticas de nivel 1 de este dominio.
Feature/&DomainLifeDomainlevel1FeaturesTitle	Dominio de la vida
Feature/&DomainMischiefDomainlevel1FeaturesDescription	Aprendes las caracterÃ­sticas de nivel 1 de este dominio.
Feature/&DomainMischiefDomainlevel1FeaturesTitle	Ãmbito de la Maldad
Feature/&DomainOblivionDomainlevel1FeaturesDescription	Aprendes las caracterÃ­sticas de nivel 1 de este dominio.
Feature/&DomainOblivionDomainlevel1FeaturesTitle	Dominio del Olvido
Feature/&DomainSunDomainlevel1FeaturesDescription	Aprendes las caracterÃ­sticas de nivel 1 de este dominio.
Feature/&DomainSunDomainlevel1FeaturesTitle	Dominio del Sol
Feature/&DreadfulWordTitle	Palabra Temible
Feature/&DruidForestGuardianBarkWardDescription	Obtienes la habilidad de invocar un GuardiÃ¡n de la Corteza para que te proteja. Como acciÃ³n adicional, puedes gastar un uso de tu Forma Salvaje para ganar 4 puntos de golpe temporales por cada nivel que tengas en esta clase. Estos puntos de golpe temporales duran 10 minutos, o hasta que vuelvas a usar tu Forma Salvaje.
Feature/&DruidForestGuardianBarkWardTitle	ProtecciÃ³n de la corteza
Feature/&DruidForestGuardianExtraAttackDescription	A partir del 6Âº nivel, puedes atacar dos veces, en lugar de una, siempre que realices la acciÃ³n de ataque en tu turno.
Feature/&DruidForestGuardianExtraAttackTitle	Ataque extra
Feature/&DruidForestGuardianImprovedBarkWardDescription	A tu Bark Ward le crecen ahora espinas que daÃ±an a los atacantes cuerpo a cuerpo. Los enemigos que te golpean con Ã©xito con un ataque cuerpo a cuerpo sufren 2d8 de daÃ±o punzante.
Feature/&DruidForestGuardianImprovedBarkWardTitle	ProtecciÃ³n de corteza mejorada
Feature/&DruidForestGuardianMagicDescription	A partir del 2Âº nivel cuando eliges este cÃ­rculo, obtienes acceso a una lista de hechizos ampliada que siempre estÃ¡ preparada:\n{0}\n\n
Feature/&DruidForestGuardianMagicTitle	Hechizos del cÃ­rculo
Feature/&DruidForestGuardianSuperiorBarkWardDescription	Tu habilidad de ProtecciÃ³n de Corteza ahora refleja 3d8 de daÃ±o penetrante en los atacantes cuerpo a cuerpo. AdemÃ¡s, ahora Bark Ward te otorga inmunidad al veneno mientras estÃ¡ activa.
Feature/&DruidForestGuardianSuperiorBarkWardTitle	ProtecciÃ³n de corteza superior
Feature/&DruidForestGuardianSylvanDurabilityDescription	Los Guardianes del Bosque adquieren de forma natural la resistencia de un poderoso roble. A 2Âº nivel, tu mÃ¡ximo de puntos de golpe aumenta en 2 y se incrementa en 1 cada vez que ganas un nivel en esta clase.
Feature/&DruidForestGuardianSylvanDurabilityTitle	Durabilidad silvana
Feature/&DruidForestGuardianSylvanWarMagicDescription	EstÃ¡s acostumbrado a manejar la magia druÃ­dica en armonÃ­a con la destreza marcial. A 2Âº nivel, puedes lanzar conjuros que requieran un componente somÃ¡tico incluso si tus dos manos estÃ¡n sujetando un arma o un escudo.
Feature/&DruidForestGuardianSylvanWarMagicTitle	Magia de guerra silvana
Feature/&DualFlurryDescription	Eres un maestro de la lucha con armas emparejadas. En cualquier turno en el que golpees dos veces con ataques cuerpo a cuerpo mientras empuÃ±as un arma en cada mano, puedes hacer un ataque adicional sin mano.
Feature/&DualFlurryTitle	Flurry dual
Feature/&EldritchBlastGraspingHandBonusCantripDescription	Cuando golpeas a una criatura con tu rÃ¡faga eldritch, puedes mover a esa criatura en lÃ­nea recta 3 metros mÃ¡s cerca de ti.
Feature/&EldritchBlastGraspingHandBonusCantripTitle	RÃ¡faga de agarre
Feature/&EldritchBlastRepellingBlastBonusCantripDescription	Cuando golpeas a una criatura con tu rÃ¡faga de eldritch, puedes alejar a la criatura hasta 3 metros de ti en lÃ­nea recta.
Feature/&EldritchBlastRepellingBlastBonusCantripTitle	RÃ¡faga repelente
Feature/&EldritchMindDescription	Tienes ventaja en las tiradas de salvaciÃ³n de ConstituciÃ³n que hagas para mantener tu concentraciÃ³n en un hechizo.
Feature/&EldritchMindTitle	Mente eldritch
Feature/&EldritchSightTitle	Vista eldrÃ­ctica
Feature/&EldritchSmiteDescription	Una vez por turno, cuando golpeas a una criatura con tu arma de pacto, puedes gastar una ranura de hechizo de brujo para infligir 1d8 de daÃ±o de fuerza adicional al objetivo, mÃ¡s otros 1d8 por nivel de la ranura de hechizo.
Feature/&EldritchSmiteTitle	Golpe de los eldritch
Feature/&ElementalistSpellsMagicAffinityDescription	Eliges entre una lista ampliada de hechizos cuando aprendes un hechizo de Brujo. Los siguientes hechizos se aÃ±aden a la lista de hechizos de Brujo para ti: {0}\n\n
Feature/&ElementalistSpellsMagicAffinityTitle	Hechizos de Elementalista
Feature/&ElementalPactAirPlane	Plano del Aire
Feature/&ElementalPactAstralPlane	Plano Astral
Feature/&ElementalPactEarthPlane	Plano de la Tierra
Feature/&ElementalPactEtherealPlane	Plano EtÃ©reo
Feature/&ElementalPactFirePlane	Plano de Fuego
Feature/&ElementalPactIcePlane	Plano de Hielo
Feature/&ElementalPactShadowPlane	Plano de las Sombras
Feature/&ElementalPatronDummyFeatureSetTitle	Elementalista
Feature/&ElementalPatronElementalConditionFormatDescription	Inflige {1} de daÃ±o adicional igual a tu bonificaciÃ³n de competencia en un primer golpe cada ronda.
Feature/&ElementalPatronElementalConditionFormatTitle	CanalizaciÃ³n {0}
Feature/&ElementalPatronElementalDamageFormatDescription	Cuando canalizas {0}, infliges {1} de daÃ±o adicional igual a tu bonificaciÃ³n de competencia en el primer golpe de cada asalto.
Feature/&ElementalPatronElementalDamageFormatTitle	DaÃ±o elemental: {0}
Feature/&ElementalPatronElementalFormEnhancedFormatDescription	Al canalizar el {0}, obtienes Inmunidad a {1} y aplicas el bono de competencia como daÃ±o del mismo tipo al primer golpe cada asalto.
Feature/&ElementalPatronElementalFormEnhancedFormatTitle	CanalizaciÃ³n: {0}
Feature/&ElementalPatronElementalFormFormatDescription	Al canalizar el {0}, obtienes Resistencia al daÃ±o de {1} y aplicas la bonificaciÃ³n de competencia como daÃ±o del mismo tipo al primer golpe cada asalto.
Feature/&ElementalPatronElementalFormFormatTitle	{0}
Feature/&ElementalPatronFeatureSet_Level06Description	Tu conocimiento de los elementales ha aumentado hasta el punto de que ahora obtienes ventaja en los chequeos de habilidad hacia los elementales, e infliges un daÃ±o adicional contra los elementales igual a tu nivel de conocimiento. Ya no puedes ser encantado o asustado por los elementales.
Feature/&ElementalPatronFeatureSet_Level06Title	Conocimiento de los elementales
Feature/&EmptyString	
Feature/&EyesoftheRuneKeeperDescription	Puedes leer toda la escritura.
Feature/&EyesoftheRuneKeeperTitle	Ojos del guardiÃ¡n de las runas
Feature/&FiendishVigorTitle	Vigor diabÃ³lico
Feature/&FlameArtillery_09ModePowerDescription	Invoca un constructo que dura 1 hora. \nArtillerÃ­a de llamas: Crea un cono de fuego que inflige 3d8 de daÃ±o con una salvaciÃ³n fallida. \nAutodestrucciÃ³n: Inflige 3d8 de daÃ±o de fuerza si se falla la salvaciÃ³n y destruye la unidad.
Feature/&FlameArtillery_09ModePowerTitle	Invocar constructo de artillerÃ­a de llamas
Feature/&FlameArtillery_15ModePowerDescription	Invoca un constructo que dura 1 hora. \nArtillerÃ­a de llamas: Crea un cono de fuego que inflige 3d8 de daÃ±o si se falla la salvaciÃ³n. \nAutodestrucciÃ³n: Inflige 3d8 de daÃ±o de fuerza si se falla la salvaciÃ³n y destruye la unidad. \n CÃºpula de media cobertura: proporciona media cobertura a los aliados en un radio de 3 metros.
Feature/&FlameArtillery_15ModePowerTitle	Invocar constructo de artillerÃ­a de llamas
Feature/&FlameArtilleryModePowerDescription	Invoca un constructo que dura 1 hora. \nArtillerÃ­a de llamas: Crea un cono de fuego que inflige 2d8 de daÃ±o con una salvaciÃ³n fallida.
Feature/&FlameArtilleryModePowerTitle	Invocar construcciÃ³n de artillerÃ­a de llamas
Feature/&ForceArtillery_09ModePowerDescription	Invoca una construcciÃ³n que dura 1 hora. \nArtillerÃ­a de fuerza: Inflige 3d8 de daÃ±o de fuerza y aleja al enemigo 1,5 m. \nAutodestrucciÃ³n: Inflige 3d8 de daÃ±o de fuerza si se falla la salvaciÃ³n y destruye la unidad.
Feature/&ForceArtillery_09ModePowerTitle	Invocar constructo de artillerÃ­a de fuerza
Feature/&ForceArtillery_15ModePowerDescription	Invoca un constructo que dura 1 hora. \nArtillerÃ­a de fuerza: Inflige 3d8 de daÃ±o de fuerza y aleja al enemigo 1,5 m. \nAutodestrucciÃ³n: Inflige 3d8 de daÃ±o de fuerza si se falla la salvaciÃ³n y destruye la unidad. \n CÃºpula de media cobertura: proporciona media cobertura a los aliados en un radio de 3 metros.
Feature/&ForceArtillery_15ModePowerTitle	Invocar construcciÃ³n de artillerÃ­a de fuerza
Feature/&ForceArtilleryAdditionalDamageTitle	DaÃ±o mejorado
Feature/&ForceArtilleryModePowerDescription	Invoca un constructo que dura 1 hora. \nArtillerÃ­a de fuerza: Inflige 2d8 de daÃ±o de fuerza y empuja al objetivo a 5 pies de distancia.
Feature/&ForceArtilleryModePowerTitle	Invocar construcciÃ³n de artillerÃ­a de fuerza
Feature/&ForceArtilleryTitle	ArtillerÃ­a de fuerza
Feature/&GambitResourcePoolAddDescription	AÃ±ade un dado de gambito adicional.
Feature/&GambitResourcePoolAddTitle	Dado de gambito adicional
Feature/&GambitResourcePoolDescription	Reserva de dados de gambito que se pueden gastar en gambitos. Comienza con 4 y se recarga en un breve descanso.
Feature/&GambitResourcePoolTitle	Reserva de dados de gambito
Feature/&GiftoftheEverLivingOnesDescription	Recupera el mÃ¡ximo nÃºmero de puntos de golpe posibles de cualquier curaciÃ³n.
Feature/&GiftoftheEverLivingOnesTitle	Regalo de los siempre vivos
Feature/&GiftoftheProtectorsDescription	Cuando te reducen a 0 puntos de golpe pero no te matan del todo, la criatura baja mÃ¡gicamente a 1 punto de golpe en su lugar. Una vez activada esta magia, no puedes beneficiarte de ella hasta que termines un descanso largo.
Feature/&GiftoftheProtectorsTitle	Don de los protectores
Feature/&GnomeCunningFeatureDescription	Tienes ventaja en todas las salvaciones de Inteligencia, SabidurÃ­a y Carisma contra la magia.
Feature/&GnomeCunningFeatureTitle	Astucia
Feature/&GnomeNaturalIllusionistDescription	Conoces el cantrip Abeja molesta. La Inteligencia es tu modificador de lanzamiento de hechizos para el mismo.
Feature/&GnomeNaturalIllusionistTitle	Magia natural
Feature/&HerbalBrewDescription	Cuando terminas un descanso largo, puedes crear brebajes de hierbas, cada uno de los cuales dura hasta el siguiente descanso largo. Puedes crear un total de brebajes igual a tu bonificaciÃ³n de competencia. Por cada brebaje, elige uno de los siguientes efectos: \n<color=#add8e6ff>Brebaje fortificante</color>: otorga resistencia a diferentes tipos de daÃ±o durante 1 hora.\n<color=#add8e6ff>Brebaje acelerador</color>: proporciona 2d4 puntos de golpe.\n<color=#add8e6ff>Brebaje tÃ³xico</color>: actÃºa como un veneno que puede aplicarse a un arma y que dura 1 minuto. Si el golpe tiene lugar el objetivo recibe 1d4 de daÃ±o por veneno en cada golpe.
Feature/&HerbalBrewFeatureSetDescription	Ganas competencia con el kit de envenenador o el de herboristerÃ­a si no lo tienes ya. \nCuando terminas un descanso largo, puedes crear brebajes de hierbas, cada uno de los cuales dura hasta el siguiente descanso largo. Creas un total de brebajes igual a tu bono de competencia. Por cada brebaje, elige uno de los siguientes efectos: \n<color=#add8e6ff>Brebaje fortificante</color>: otorga resistencia a diferentes tipos de daÃ±o durante 1 hora.\n<color=#add8e6ff>Brebaje acelerador</color>: proporciona 2d4 puntos de golpe.\n<color=#add8e6ff>Brebaje tÃ³xico</color>: actÃºa como un veneno que puede aplicarse a un arma y que dura 1 minuto. Si el golpe tiene lugar el objetivo recibe 1d4 puntos de daÃ±o por veneno en cada golpe.
Feature/&HerbalBrewFeatureSetTitle	ElaboraciÃ³n de hierbas
Feature/&HinderingBlastDescription	Cuando golpeas a una criatura con tu rÃ¡faga de eldritch, puedes reducir la velocidad de esa criatura en 3 metros hasta el final de tu siguiente turno.
Feature/&HinderingBlastMagicAffinityDescription	Cuando golpeas a una criatura con tu explosiÃ³n de eldritch, puedes reducir la velocidad de esa criatura en 3 metros hasta el final de tu siguiente turno.
Feature/&HinderingBlastMagicAffinityTitle	ExplosiÃ³n obstaculizadora
Feature/&HinderingBlastTitle	ExplosiÃ³n obstaculizadora
Feature/&ImprovedPactWeaponDescription	Puedes utilizar cualquier arma como foco de hechizo para tus hechizos de Brujo. AdemÃ¡s, el arma gana un bonificador +1 a sus tiradas de ataque y daÃ±o.
Feature/&ImprovedPactWeaponTitle	Arma de pacto mejorada
Feature/&ImprovedScoutModePowerDescription	Gana rasgos del modo explorador mejorado. Ahora puedes crear ventaja para los aliados y desventaja para los enemigos con un solo ataque.
Feature/&ImprovedScoutModePowerTitle	Modo explorador mejorado
Feature/&ImprovedSentinelModePowerDescription	Gana rasgos del Modo Centinela Mejorado a travÃ©s del poder de Agarre del Guantelete.
Feature/&ImprovedSentinelModePowerTitle	Modo centinela mejorado
Feature/&IndomitableResistanceAddDescription	+1 uso de Resistencia Indomable entre descansos.
Feature/&IndomitableResistanceAddTitle	Resistencia indomable (aumentada)
Feature/&IndomitableResistanceTitle	Resistencia indomable
Feature/&InspirePowerDescription	Gasta un dado de gambito e inspÃ­rate a ti mismo o a tu aliado para dar 1d6 + 2 CV temporales.
Feature/&InspirePowerTitle	Inspirar
Feature/&InspiringSurgePowerDescription	Concede a un aliado una acciÃ³n principal adicional durante 1 ronda. No se acumula con la Sobrecarga de AcciÃ³n.
Feature/&InspiringSurgePowerTitle	Oleada de InspiraciÃ³n
Feature/&InspiringSurgePowerTitleShort	Oleada de InspiraciÃ³n
Feature/&KnockDownPowerDescription	Gasta un dado de gambito y potencia tu ataque para hacer 1d6 + 2 de daÃ±o contundente adicional. El objetivo hace una salvaciÃ³n de Fuerza (DC 8 + tu bono de competencia + tu modificador de Fuerza) o queda derribado hasta el comienzo de su siguiente turno.
Feature/&KnockDownPowerTitle	Derribar
Feature/&MagicAffinityRangerArcanistDescription	Eres competente en el lanzamiento de conjuros en batalla, y puedes lanzar conjuros que requieran un componente somÃ¡tico incluso si tus dos manos estÃ¡n sujetando un arma o un escudo.
Feature/&MagicAffinityRangerArcanistTitle	Entrenamiento de combate arcano 
Feature/&MiretheMindTitle	Ensuciar la mente
Feature/&MoonLitDarknessImmunityDescription	Eres inmune a la condiciÃ³n Oscuridad.
Feature/&MoonLitDarknessImmunityTitle	Oscuridad iluminada por la luna
Feature/&MoonLitExpandedSpelllistAfinityDescription	Eliges entre una lista ampliada de hechizos cuando aprendes un hechizo de Brujo. Los siguientes hechizos se aÃ±aden a la lista de hechizos de Brujo para ti: {0}\n\n
Feature/&MoonLitExpandedSpelllistAfinityTitle	Hechizos de Luz de Luna
Feature/&MoonLitLightAffinityDescription	Si comienzas tu turno en la oscuridad natural, te vuelves invisible. Moverte, atacar o usar cualquier poder o hechizo que no te apunte sÃ³lo a ti mismo rompe la invisibilidad.
Feature/&MoonLitLightAffinityStrongDescription	La Capa Umbral ahora funciona con luz tenue y oscuridad mÃ¡gica.
Feature/&MoonLitLightAffinityStrongTitle	Capa Umbral Mejorada
Feature/&MoonLitLightAffinityTitle	Capa Umbral
Feature/&OneWithShadowsDescription	Si comienzas tu turno en oscuridad natural, te vuelves invisible. Moverte, atacar o usar cualquier poder o hechizo que no te apunte sÃ³lo a ti rompe la invisibilidad.
Feature/&OneWithShadowsLightAffinityDescription	Si comienzas tu turno en la oscuridad natural, te vuelves invisible. Si te mueves, atacas o usas cualquier poder o hechizo que no te apunte sÃ³lo a ti mismo, se rompe la invisibilidad.
Feature/&OneWithShadowsLightAffinityStrongDescription	Ahora Uno con Sombras funciona con luz tenue y oscuridad mÃ¡gica.
Feature/&OneWithShadowsLightAffinityStrongTitle	Sombras mÃ¡s oscuras
Feature/&OneWithShadowsLightAffinityTitle	Uno con sombras
Feature/&OneWithShadowsStrongerDescription	Ahora Uno con Sombras funciona con luz tenue y oscuridad mÃ¡gica.
Feature/&OneWithShadowsStrongerTitle	Sombras mÃ¡s oscuras
Feature/&OneWithShadowsTitle	Uno con sombras
Feature/&OpportunistDebilitatingStrikeDescription	Tu ataque furtivo hace que el objetivo haga una tirada de salvaciÃ³n de ConstituciÃ³n (DC 8 + tu bonificaciÃ³n de competencia + tu modificador de Destreza) o sufra una de las siguientes condiciones: cegado, aturdido, sangrando o aturdido.
Feature/&OpportunistDebilitatingStrikeTitle	Golpe debilitante
Feature/&OpportunistQuickStrikeDescription	Tienes ventaja cuando atacas a un enemigo cuya iniciativa es inferior a la tuya. AdemÃ¡s, tambiÃ©n tienes ventaja al realizar un ataque de oportunidad.
Feature/&OpportunistQuickStrikeTitle	Golpe rÃ¡pido
Feature/&OtherworldlyLeapTitle	Salto de otro mundo
Feature/&PowerAttackDescription	Quita un penalizador de -3 al impacto a tu ataque para hacer 3 + bonificaciÃ³n de competencia de daÃ±o extra cuando lances tus golpes con armas cuerpo a cuerpo.
Feature/&PowerAttackTitle	Ataque poderoso
Feature/&PowerPaladinAuraOfCourage18Description	Concede una bonificaciÃ³n de tirada de salvaciÃ³n a los aliados en un radio de 30 pies.
Feature/&PowerPaladinAuraOfCourage18Title	Aura de coraje mejorada
Feature/&PowerPaladinAuraOfProtection18Description	TÃº y tus aliados en un radio de 30 pies no podÃ©is ser asustados.
Feature/&PowerPaladinAuraOfProtection18Title	Aura de protecciÃ³n mejorada
Feature/&PowerTorchbearerDescription	Intenta prender fuego a un objetivo cuerpo a cuerpo.
Feature/&PowerTorchbearerTitle	Portador de antorchas
Feature/&PrimalChampionDescription	A 20Âº nivel, encarnas el poder de la naturaleza. Tus puntuaciones de Fuerza y ConstituciÃ³n aumentan en 4.
Feature/&PrimalChampionTitle	CampeÃ³n Primigenio
Feature/&ProficiencyBolgrifLanguagesDescription	ComÃºn, Ã©lfico y gigante.
Feature/&ProficiencyBolgrifLanguagesTitle	Idioma
Feature/&ProficiencyGnomishLanguagesDescription	ComÃºn, Gnomish.
Feature/&ProficiencyGnomishLanguagesTitle	Idiomas
Feature/&ProficiencyRogueBlindSenseDescription	A partir del 14Âº nivel, si eres capaz de oÃ­r, eres consciente de la ubicaciÃ³n de cualquier criatura oculta o invisible en un radio de 3 metros de ti.
Feature/&ProficiencyRogueBlindSenseTitle	Sentido de la ceguera
Feature/&ProficiencyRogueSlipperyMindDescription	A 15Âº nivel, ha adquirido una mayor fuerza mental. Ganas competencia en las tiradas de salvaciÃ³n de SabidurÃ­a.
Feature/&ProficiencyRogueSlipperyMindTitle	Mente escurridiza
Feature/&ProficiencySoulBladeArmorDescription	Armadura ligera, armadura media y escudo.
Feature/&ProficiencySoulBladeArmorTitle	Proficiencias de Armadura de Cuchilla del Alma
Feature/&ProficiencySoulBladeWeaponDescription	Armas Simples, Armas Marciales.
Feature/&ProficiencySoulBladeWeaponTitle	Proficiencias del arma Soulblade
Feature/&RageDamageBonusAttackModifierDescription	AÃ±ade +2 de daÃ±o a tus ataques mientras estÃ¡s furioso.
Feature/&RageDamageBonusAttackModifierTitle	DaÃ±o por furia
Feature/&RageFeatConditionDescription	Cuando estÃ¡s enfadado, obtienes lo siguiente: Ventaja en los chequeos de Fuerza y en las tiradas de salvaciÃ³n de Fuerza, un bonificador a las tiradas de daÃ±o de +2 y resistencia al daÃ±o contundente, perforante y cortante.
Feature/&RageFeatConditionTitle	Raging
Feature/&RagePowerDescription	Como acciÃ³n adicional, entras en cÃ³lera durante un minuto y obtienes lo siguiente: Ventaja en los chequeos de Fuerza y en las tiradas de salvaciÃ³n de Fuerza, un bonificador a las tiradas de daÃ±o de +2 y resistencia al daÃ±o contundente, punzante y cortante.
Feature/&RagePowerTitle	Furia
Feature/&RageStrengthSavingThrowAffinityDescription	Obtienes ventaja en las salvaciones de Fuerza mientras estÃ¡s furioso.
Feature/&RageStrengthSavingThrowAffinityTitle	Ventaja en las salvaciones de fuerza por furia
Feature/&RallyingCryPowerDescription	Sustituye a Segundo Viento por un poder que restaura 4 veces los puntos de golpe de los niveles de luchador a uno o mÃ¡s aliados en un radio de 6 casillas, hasta su mÃ¡ximo de puntos de golpe.
Feature/&RallyingCryPowerTitle	Grito de reuniÃ³n
Feature/&RallyingCryPowerTitleShort	Grito de reuniÃ³n
Feature/&RangerFeralSensesDescription	Obtienes sentidos preternaturales que te ayudan a luchar contra criaturas que no puedes ver. Cuando atacas a una criatura que no puedes ver, tu incapacidad para verla no impone desventaja en tus tiradas de ataque contra ella.
Feature/&RangerFeralSensesTitle	Sentidos ferales
Feature/&RangerVanishActionDescription	A partir del 14Âº nivel, puedes utilizar la acciÃ³n de Esconderse como acciÃ³n adicional en tu turno.
Feature/&RangerVanishActionTitle	Desaparecer
Feature/&RiftWalkerRestrainedImmunityTitle	Paso fugaz
Feature/&RiftWalkerSpellsMagicAffinityDescription	Eliges entre una lista ampliada de conjuros cuando aprendes un conjuro de Brujo. Los siguientes conjuros se aÃ±aden a la lista de conjuros de Brujo para ti: {0}\n\n
Feature/&RiftWalkerSpellsMagicAffinityTitle	Hechizos de Caminante de la Grieta
Feature/&RoyalEnvoyFeatureDescription	AÃ±ade la mitad de tu bonificaciÃ³n de competencia (redondeando hacia arriba) a cualquier chequeo de Carisma que hagas y que no utilice tu bonificaciÃ³n de competencia. AdemÃ¡s, te vuelves competente en las tiradas de salvaciÃ³n de Carisma.
Feature/&RoyalEnvoyFeatureTitle	Enviado real
Feature/&SavingThrowTinkererProficiencyDescription	Competencia en tiradas de salvaciÃ³n de ConstituciÃ³n e Inteligencia.
Feature/&SavingThrowTinkererProficiencyTitle	Competencia en tiradas de salvaciÃ³n
Feature/&ScoutModePowerDescription	Ganas un aumento de movimiento, ventaja en los chequeos de Sigilo y una vez por turno, tus ataques con armas a distancia infligen un dado extra de daÃ±o.
Feature/&ScoutModePowerTitle	Modo explorador
Feature/&SentinelModePowerDescription	Gana HP temporal igual al nivel. Impone desventaja a los enemigos que atacan a los aliados.
Feature/&SentinelModePowerTitle	Modo Centinela
Feature/&ShroudofShadowTitle	Sudario de sombra
Feature/&SignofIllOmenTitle	SeÃ±al de mal agÃ¼ero
Feature/&SpellAsInvocationAtWillDescription	Lanza {0} a voluntad.
Feature/&SpellAsInvocationOncePerDayDescription	Lanza {0} una vez hasta el descanso largo.
Feature/&TempHPShield_09ModePowerDescription	Invoca un constructo que dura 1 hora. \nCÃºpula protectora: Otorga 1d8 + 4 PV temporales a los aliados en un radio de 3 metros. \nAutodestrucciÃ³n: Causa 3d8 de daÃ±o de fuerza si se falla la salvaciÃ³n y destruye la unidad.
Feature/&TempHPShield_09ModePowerTitle	Invocar constructo de cÃºpula protectora
Feature/&TempHPShield_15ModePowerDescription	Invoca un constructo que dura 1 hora. \nCÃºpula protectora: Otorga 1d8 + 4 PS temporales a los aliados en un radio de 3 metros. \nAutodestrucciÃ³n: inflige 3d8 de daÃ±o de fuerza si se falla la salvaciÃ³n y destruye la unidad. \n CÃºpula de media cobertura: Proporciona media cobertura a los aliados en un radio de 10 pies.
Feature/&TempHPShield_15ModePowerTitle	Invocar constructo de cÃºpula protectora
Feature/&TempHPShieldModePowerDescription	Invoca un constructo que dura 1 hora. \n CÃºpula protectora: Otorga 1d8 + 4 PS temporales a los aliados en un radio de 3 metros.
Feature/&TempHPShieldModePowerTitle	Invocar construcciÃ³n de cÃºpula protectora
Feature/&TempHPShieldTitle	CÃºpula protectora
Feature/&ThiefofFiveFates	Lanza {0} una vez al dÃ­a
Feature/&ThiefofFiveFatesTitle	LadrÃ³n de cinco destinos
Feature/&ThirstingBladeDescription	Puedes atacar con tu arma dos veces, en lugar de una, siempre que realices la acciÃ³n de Ataque en tu turno.
Feature/&ThirstingBladeTitle	Hoja sedienta
Feature/&TinkererArmorProficiencyDescription	Dominio de las armaduras ligeras y medianas, asÃ­ como de los escudos.
Feature/&TinkererArmorProficiencyTitle	Dominio de la armadura del calderero
Feature/&TinkererInfusionChoiceDescription	Selecciona las infusiones que tendrÃ¡s disponibles para usar. Ten en cuenta que cada infusiÃ³n sÃ³lo puede activarse una vez. Si se activa una segunda vez, se anula la primera.
Feature/&TinkererInfusionChoiceTitle	ElecciÃ³n de infusiÃ³n
Feature/&TinkererInfusionReplaceDescription	Selecciona las infusiones a reemplazar.
Feature/&TinkererInfusionReplaceTitle	Reemplazar infusiÃ³n
Feature/&TinkererSkillGainChoicesPluralDescription	Las habilidades de los caldereros son Arcanos, Historia, InvestigaciÃ³n, Medicina, Naturaleza, PercepciÃ³n y Habilidad.
Feature/&TinkererSkillPointsTitle	Habilidades de calderero
Feature/&TinkererToolsExpertiseDescription	ObtÃ©n experiencia con muchas herramientas, incluyendo Herramientas de LadrÃ³n, Kits de Pergamino, Kit de Envenenador, Kit de HerbologÃ­a y Herramientas de Encantamiento.
Feature/&TinkererToolsExpertiseTitle	Pericia en herramientas de calderero
Feature/&TinkererToolsProficiencyDescription	Adquiere competencia con muchas herramientas, como las herramientas de ladrÃ³n, los kits de pergamino, el kit de envenenador, el kit de herboristerÃ­a y las herramientas de encantamiento.
Feature/&TinkererToolsProficiencyTitle	Competencias en herramientas
Feature/&TinkererWeaponProficiencyDescription	Dominio de las armas simples.
Feature/&TinkererWeaponProficiencyTitle	Competencias de armas del Hechicero
