ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
Feature/&ElementalPatronElementalDamageFormatTitle	Danno elementale: {0}
Feature/&ElementalPatronElementalFormEnhancedFormatDescription	Quando si incanala il {0}, si ottiene l'ImmunitÃ  a {1} e si applica il bonus di competenza come danno dello stesso tipo al primo colpo ogni round.
Feature/&ElementalPatronElementalFormEnhancedFormatTitle	Incanalare: {0}
Feature/&ElementalPatronElementalFormFormatDescription	Quando si incanala il {0}, si ottiene Resistenza ai danni di {1} e si applica il bonus di competenza come danno dello stesso tipo al primo colpo ogni round.
Feature/&ElementalPatronElementalFormFormatTitle	{0}
Feature/&ElementalPatronFeatureSet_Level06Description	La tua conoscenza degli elementali Ã¨ aumentata al punto che ora ottieni un vantaggio nelle prove di abilitÃ  verso gli elementali e infliggi danni aggiuntivi contro gli elementali pari al tuo livello di conoscenza. Non si puÃ² piÃ¹ essere incantati o spaventati dagli elementali.
Feature/&ElementalPatronFeatureSet_Level06Title	Conoscenza degli elementali
Feature/&EmptyString	
Feature/&EyesoftheRuneKeeperDescription	Si possono leggere tutte le scritture.
Feature/&EyesoftheRuneKeeperTitle	Occhi del Custode di Rune
Feature/&FiendishVigorTitle	Vigore diabolico
Feature/&FlameArtillery_09ModePowerDescription	Evoca un costrutto che dura 1 ora. \nArtiglieria di fuoco: Crea un cono di fuoco che infligge 3d8 danni se il tiro salvezza fallisce. \nAutodistruzione: infligge 3d8 danni alla forza se il tiro salvezza fallisce e distrugge l'unitÃ .
Feature/&FlameArtillery_09ModePowerTitle	Evoca un costrutto di artiglieria di fuoco
Feature/&FlameArtillery_15ModePowerDescription	Evoca un costrutto che dura 1 ora. \nArtiglieria di fuoco: Crea un cono di fuoco che infligge 3d8 danni se il tiro salvezza fallisce. \nAutodistruzione: infligge 3d8 danni alla forza se il tiro salvezza fallisce e distrugge l'unitÃ . \n Cupola di mezza copertura: fornisce mezza copertura agli alleati entro 3 metri.
Feature/&FlameArtillery_15ModePowerTitle	Evoca il costrutto dell'artiglieria di fiamma
Feature/&FlameArtilleryModePowerDescription	Evoca un costrutto che dura 1 ora. \n Artiglieria di fuoco: Crea un cono di fuoco che infligge 2d8 danni se il tiro salvezza fallisce.
Feature/&FlameArtilleryModePowerTitle	Evoca un costrutto di artiglieria di fuoco
Feature/&ForceArtillery_09ModePowerDescription	Evoca un costrutto che dura 1 ora. \nArtiglieria della Forza: Infligge 3d8 danni da forza e spinge il nemico a 3 metri di distanza. \nAutodistruzione: infligge 3d8 danni da forza se il tiro salvezza fallisce e distrugge l'unitÃ .
Feature/&ForceArtillery_09ModePowerTitle	Evoca un costrutto di artiglieria della forza
Feature/&ForceArtillery_15ModePowerDescription	Evoca un costrutto che dura 1 ora. \nArtiglieria di forza: Infligge 3d8 danni da forza e spinge il nemico a 3 metri di distanza. \nAutodistruzione: infligge 3d8 danni da forza se il tiro salvezza fallisce e distrugge l'unitÃ . \n Cupola di mezza copertura: fornisce mezza copertura agli alleati entro 3 metri.
Feature/&ForceArtillery_15ModePowerTitle	Evocazione di un'artiglieria di forza
Feature/&ForceArtilleryAdditionalDamageTitle	Danno potenziato
Feature/&ForceArtilleryModePowerDescription	Evoca un costrutto che dura 1 ora. \n Artiglieria di forza: Infligge 2d8 danni da forza e spinge il bersaglio a 5 piedi di distanza.
Feature/&ForceArtilleryModePowerTitle	Evoca il costrutto Artiglieria della Forza
Feature/&ForceArtilleryTitle	Artiglieria della Forza
Feature/&GambitResourcePoolAddDescription	Aggiunge un dado da gioco aggiuntivo.
Feature/&GambitResourcePoolAddTitle	Dado da gioco aggiuntivo
Feature/&GambitResourcePoolDescription	Riserva di dadi gambit che possono essere spesi per i giochi d'azzardo. Inizia con 4 e si ricarica con un breve riposo.
Feature/&GambitResourcePoolTitle	Pool di dadi da gioco
Feature/&GiftoftheEverLivingOnesDescription	Recupera il massimo numero di punti ferita possibili da qualsiasi guarigione.
Feature/&GiftoftheEverLivingOnesTitle	Dono degli Eterni
Feature/&GiftoftheProtectorsDescription	Quando si viene ridotti a 0 punti ferita ma non uccisi del tutto, la creatura scende magicamente a 1 punto ferita. Una volta attivata questa magia, non Ã¨ possibile beneficiarne finchÃ© non si termina un riposo lungo.
Feature/&GiftoftheProtectorsTitle	Dono dei Protettori
Feature/&GnomeCunningFeatureDescription	Si ha un vantaggio su tutti i tiri salvezza di Intelligenza, Saggezza e Carisma contro la magia.
Feature/&GnomeCunningFeatureTitle	Astuzia
Feature/&GnomeNaturalIllusionistDescription	Conosci il cantrip Ape fastidiosa. L'Intelligenza Ã¨ il modificatore di incantesimo per questo cantrip.
Feature/&GnomeNaturalIllusionistTitle	Magia naturale
Feature/&HerbalBrewDescription	Al termine di un riposo lungo, Ã¨ possibile creare infusi di erbe, ciascuno dei quali dura fino al successivo riposo lungo. Si puÃ² creare un totale di infusi pari al proprio bonus di competenza. Per ogni infuso, si puÃ² scegliere uno dei seguenti effetti: \n<color=#add8e6ff>Birra fortificante</color>: conferisce resistenza a diversi tipi di danno per 1 ora.\n<color=#add8e6ff>Birra accelerante</color>: conferisce 2d4 punti ferita.\n<color=#add8e6ff>Birra tossica</color>: agisce come un veleno che puÃ² essere applicato a un'arma per 1 minuto. Se il colpo va a segno, il bersaglio subisce 1d4 danni da veleno a ogni colpo.
Feature/&HerbalBrewFeatureSetDescription	Si guadagna la competenza con il kit dell'avvelenatore o dell'erborista, se non la si possiede giÃ . \nAl termine di un riposo lungo, si possono creare infusi di erbe, ognuno dei quali dura fino al riposo lungo successivo. Si puÃ² creare un totale di infusi pari al proprio bonus di competenza. Per ogni infuso, si puÃ² scegliere uno dei seguenti effetti: \n<color=#add8e6ff>Birra fortificante</color>: conferisce resistenza a diversi tipi di danno per 1 ora.\n<color=#add8e6ff>Birra accelerante</color>: conferisce 2d4 punti ferita.\n<color=#add8e6ff>Birra tossica</color>: agisce come un veleno che puÃ² essere applicato a un'arma per 1 minuto. Se il colpo va a segno, il bersaglio subisce 1d4 danni da veleno a ogni colpo.
Feature/&HerbalBrewFeatureSetTitle	Infuso di erbe
Feature/&HinderingBlastDescription	Quando si colpisce una creatura con la propria esplosione eldritch, si puÃ² ridurre la velocitÃ  di quella creatura di 3 metri fino alla fine del proprio turno successivo.
Feature/&HinderingBlastMagicAffinityDescription	Quando si colpisce una creatura con la propria esplosione eldritch, si puÃ² ridurre la sua velocitÃ  di 3 metri fino alla fine del proprio turno successivo.
Feature/&HinderingBlastMagicAffinityTitle	Esplosione ostacolante
Feature/&HinderingBlastTitle	Esplosione ostacolante
Feature/&ImprovedPactWeaponDescription	Ãˆ possibile utilizzare qualsiasi arma come fuoco di incantesimo per i propri incantesimi da Warlock. Inoltre, l'arma ottiene un bonus di +1 ai tiri di attacco e di danno.
Feature/&ImprovedPactWeaponTitle	Arma del patto migliorata
Feature/&ImprovedScoutModePowerDescription	Ottiene le caratteristiche della modalitÃ  esploratore migliorata. PuÃ² ora creare vantaggio per gli alleati e svantaggio per i nemici con un singolo attacco.
Feature/&ImprovedScoutModePowerTitle	ModalitÃ  esploratore migliorata
Feature/&ImprovedSentinelModePowerDescription	Ottiene le caratteristiche della ModalitÃ  Sentinella migliorata tramite il potere Gauntlet Grapple.
Feature/&ImprovedSentinelModePowerTitle	ModalitÃ  Sentinella migliorata
Feature/&IndomitableResistanceAddDescription	+1 Resistenza Indomabile tra un riposo e l'altro.
Feature/&IndomitableResistanceAddTitle	Resistenza Indomabile (aumentata)
Feature/&IndomitableResistanceTitle	Resistenza indomabile
Feature/&InspirePowerDescription	Spendendo un dado gambit, ispiri te stesso o un tuo alleato a dare 1d6 + 2 CV temporanei.
Feature/&InspirePowerTitle	Ispirare
Feature/&InspiringSurgePowerDescription	Concede a un alleato un'azione principale aggiuntiva per 1 round. Non Ã¨ cumulabile con Raggio d'azione.
Feature/&InspiringSurgePowerTitle	Raggio d'ispirazione
Feature/&InspiringSurgePowerTitleShort	Impulso ispiratore
Feature/&KnockDownPowerDescription	Spendendo un dado gambit, il vostro attacco subisce 1d6 + 2 danni da percosse aggiuntivi. Il bersaglio effettua un tiro salvezza di Forza (DC 8 + il bonus di competenza + il modificatore di Forza) o viene abbattuto fino all'inizio del suo prossimo turno.
Feature/&KnockDownPowerTitle	Abbattere
Feature/&MagicAffinityRangerArcanistDescription	Si Ã¨ abili nel lanciare incantesimi in battaglia e si possono lanciare incantesimi che richiedono una componente somatica anche se si tengono entrambe le mani su un'arma o uno scudo.
Feature/&MagicAffinityRangerArcanistTitle	Addestramento al combattimento arcano 
Feature/&MiretheMindTitle	Impantanare la mente
Feature/&MoonLitDarknessImmunityDescription	Si Ã¨ immuni alla condizione di OscuritÃ .
Feature/&MoonLitDarknessImmunityTitle	OscuritÃ  lunare
Feature/&MoonLitExpandedSpelllistAfinityDescription	Quando si impara un incantesimo da stregone, si puÃ² scegliere da un elenco ampliato di incantesimi. I seguenti incantesimi vengono aggiunti alla lista degli incantesimi del Warlock: {0}\n\n
Feature/&MoonLitExpandedSpelllistAfinityTitle	Incantesimi al chiaro di luna
Feature/&MoonLitLightAffinityDescription	Se inizi il tuo turno nell'oscuritÃ  naturale, diventi invisibile. Muoversi, attaccare o usare qualsiasi potere o incantesimo che non sia rivolto solo a te stesso rompe l'invisibilitÃ .
Feature/&MoonLitLightAffinityStrongDescription	Il Mantello Umbro ora funziona anche in condizioni di scarsa illuminazione e di oscuritÃ  magica.
Feature/&MoonLitLightAffinityStrongTitle	Mantello Umbro Migliorato
Feature/&MoonLitLightAffinityTitle	Mantello Umbro
Feature/&OneWithShadowsDescription	Se si inizia il proprio turno nell'oscuritÃ  naturale, si diventa invisibili. Muoversi, attaccare o usare qualsiasi potere o incantesimo che non abbia come bersaglio solo se stessi rompe l'invisibilitÃ .
Feature/&OneWithShadowsLightAffinityDescription	Se si inizia il proprio turno nell'oscuritÃ  naturale, si diventa invisibili. Muoversi, attaccare o usare qualsiasi potere o incantesimo che non abbia come bersaglio solo se stessi rompe l'invisibilitÃ .
Feature/&OneWithShadowsLightAffinityStrongDescription	Uno con le ombre ora funziona anche in condizioni di scarsa illuminazione e di oscuritÃ  magica.
Feature/&OneWithShadowsLightAffinityStrongTitle	Ombre piÃ¹ scure
Feature/&OneWithShadowsLightAffinityTitle	Uno con le ombre
Feature/&OneWithShadowsStrongerDescription	Uno con le Ombre ora funziona anche in condizioni di scarsa luce e di oscuritÃ  magica.
Feature/&OneWithShadowsStrongerTitle	Ombre piÃ¹ scure
Feature/&OneWithShadowsTitle	Uno con le ombre
Feature/&OpportunistDebilitatingStrikeDescription	Il vostro attacco furtivo fa sÃ¬ che il bersaglio effettui un tiro salvezza di Costituzione (Dc 8 + il vostro bonus di competenza + il vostro modificatore di Destrezza) o subisca una delle seguenti condizioni: accecato, rovinato, sanguinante o stordito.
Feature/&OpportunistDebilitatingStrikeTitle	Colpo debilitante
Feature/&OpportunistQuickStrikeDescription	Si ha un vantaggio quando si attacca un nemico la cui iniziativa Ã¨ inferiore alla propria. Inoltre, si ha vantaggio anche quando si effettua un attacco di opportunitÃ .
Feature/&OpportunistQuickStrikeTitle	Colpo rapido
Feature/&OtherworldlyLeapTitle	Balzo ultraterreno
Feature/&PowerAttackDescription	Prendete una penalitÃ  di -3 a colpire ai vostri attacchi per infliggere 3 + Bonus di competenza danni extra quando sferrate i vostri colpi con le armi da mischia.
Feature/&PowerAttackTitle	Attacco di potenza
Feature/&PowerPaladinAuraOfCourage18Description	Concede un bonus al tiro salvezza agli alleati entro 30 piedi.
Feature/&PowerPaladinAuraOfCourage18Title	Aura di coraggio migliorata
Feature/&PowerPaladinAuraOfProtection18Description	Voi e i vostri alleati entro 30 piedi non potete essere spaventati.
Feature/&PowerPaladinAuraOfProtection18Title	Aura di protezione migliorata
Feature/&PowerTorchbearerDescription	Tentativo di incendiare un bersaglio in mischia!
Feature/&PowerTorchbearerTitle	Portatore di torce
Feature/&PrimalChampionDescription	Al 20Â° livello, incarni il potere delle terre selvagge. I punteggi di Forza e Costituzione aumentano di 4.
Feature/&PrimalChampionTitle	Campione primordiale
Feature/&ProficiencyBolgrifLanguagesDescription	Comune, elfico e gigante.
Feature/&ProficiencyBolgrifLanguagesTitle	Lingua
Feature/&ProficiencyGnomishLanguagesDescription	Comune, gnomico.
Feature/&ProficiencyGnomishLanguagesTitle	Lingue
Feature/&ProficiencyRogueBlindSenseDescription	A partire dal 14Â° livello, se siete in grado di sentire, siete a conoscenza della posizione di qualsiasi creatura nascosta o invisibile entro 3 metri da voi.
Feature/&ProficiencyRogueBlindSenseTitle	Senso dell'accecamento
Feature/&ProficiencyRogueSlipperyMindDescription	Al 15Â° livello, avete acquisito una maggiore forza mentale. Si ottiene la competenza nei tiri salvezza di Saggezza.
Feature/&ProficiencyRogueSlipperyMindTitle	Mente sfuggente
Feature/&ProficiencySoulBladeArmorDescription	Armatura leggera, armatura media e scudo.
Feature/&ProficiencySoulBladeArmorTitle	AbilitÃ  delle armature Soulblade
Feature/&ProficiencySoulBladeWeaponDescription	Armi semplici, armi marziali.
Feature/&ProficiencySoulBladeWeaponTitle	Competenze delle armi del Soulblade
Feature/&RageDamageBonusAttackModifierDescription	Aggiungi +2 danni ai tuoi attacchi durante l'ira.
Feature/&RageDamageBonusAttackModifierTitle	Danni da furia
Feature/&RageFeatConditionDescription	Quando si Ã¨ in preda all'ira si ottiene quanto segue: Vantaggio alle prove di Forza e ai tiri salvezza di Forza, un bonus ai tiri per i danni di +2 e resistenza ai danni da percosse, perforazione e taglio.
Feature/&RageFeatConditionTitle	Furore
Feature/&RagePowerDescription	Come azione bonus, si entra in collera per un minuto e si ottiene quanto segue: Vantaggio alle prove di Forza e ai tiri salvezza, un bonus ai tiri per i danni di +2 e resistenza ai danni da percosse, perforazione e taglio.
Feature/&RagePowerTitle	Rabbia
Feature/&RageStrengthSavingThrowAffinityDescription	Durante l'ira si ottiene un vantaggio sui tiri salvezza di Forza.
Feature/&RageStrengthSavingThrowAffinityTitle	Vantaggio sui tiri salvezza di Forza durante la furia
Feature/&RallyingCryPowerDescription	Sostituisce Second Wind con un potere che ripristina 4 volte i punti ferita dei livelli del combattente a uno o piÃ¹ alleati entro 6 celle, fino al massimo dei loro punti ferita.
Feature/&RallyingCryPowerTitle	Grido di adunata
Feature/&RallyingCryPowerTitleShort	Grido di adunata
Feature/&RangerFeralSensesDescription	Ottieni sensi preternaturali che ti aiutano a combattere creature che non puoi vedere. Quando si attacca una creatura che non si vede, l'impossibilitÃ  di vederla non comporta svantaggio ai tiri di attacco contro di essa.
Feature/&RangerFeralSensesTitle	Sensi ferali
Feature/&RangerVanishActionDescription	A partire dal 14Â° livello, si puÃ² usare l'azione Nascondersi come azione bonus nel proprio turno.
Feature/&RangerVanishActionTitle	Svanire
Feature/&RiftWalkerRestrainedImmunityTitle	Passo fugace
Feature/&RiftWalkerSpellsMagicAffinityDescription	Quando si impara un incantesimo da stregone, si puÃ² scegliere da un elenco ampliato di incantesimi. I seguenti incantesimi vengono aggiunti alla lista degli incantesimi del Warlock: {0}\n\n
Feature/&RiftWalkerSpellsMagicAffinityTitle	Incantesimi del Camminatore della Spaccatura
Feature/&RoyalEnvoyFeatureDescription	Aggiungi metÃ  del tuo bonus di competenza (arrotondato per eccesso) a qualsiasi prova di Carisma che non utilizzi giÃ  il tuo bonus di competenza. Inoltre, diventi abile nei tiri salvezza di Carisma.
Feature/&RoyalEnvoyFeatureTitle	Inviato reale
Feature/&SavingThrowTinkererProficiencyDescription	Competenza nei tiri salvezza di Costituzione e Intelligenza.
Feature/&SavingThrowTinkererProficiencyTitle	Competenza nei tiri salvezza
Feature/&ScoutModePowerDescription	Guadagna un aumento del movimento, vantaggio nelle prove di FurtivitÃ  e una volta per turno gli attacchi con armi a distanza infliggono un dado di danno in piÃ¹.
Feature/&ScoutModePowerTitle	ModalitÃ  esploratore
Feature/&SentinelModePowerDescription	Guadagna HP temporanei pari al livello. Svantaggio sui nemici che attaccano gli alleati.
Feature/&SentinelModePowerTitle	ModalitÃ  Sentinella
Feature/&ShroudofShadowTitle	Sudario d'ombra
Feature/&SignofIllOmenTitle	Segno del malaugurio
Feature/&SpellAsInvocationAtWillDescription	Lancia {0} a volontÃ .
Feature/&SpellAsInvocationOncePerDayDescription	Lanciare {0} una volta fino al riposo lungo.
Feature/&TempHPShield_09ModePowerDescription	Evoca un costrutto che dura 1 ora. \n Cupola di protezione: Conferisce 1d8 + 4 HP temporanei agli alleati entro 3 metri. \nAutodistruzione: infligge 3d8 danni da forza se il tiro salvezza fallisce e distrugge l'unitÃ .
Feature/&TempHPShield_09ModePowerTitle	Evoca il costrutto della cupola di protezione
Feature/&TempHPShield_15ModePowerDescription	Evoca un costrutto che dura 1 ora. \nCupola di protezione: Conferisce 1d8 + 4 HP temporanei agli alleati entro 3 metri. \nAutodistruzione: infligge 3d8 danni da forza se il salvataggio fallisce e distrugge l'unitÃ . \n Cupola di mezza copertura: Fornisce mezza copertura agli alleati entro 3 metri.
Feature/&TempHPShield_15ModePowerTitle	Evoca il costrutto della cupola protettiva
Feature/&TempHPShieldModePowerDescription	Evoca un costrutto che dura 1 ora. \n Cupola di protezione: Conferisce 1d8 + 4 HP temporanei agli alleati entro 3 metri.
Feature/&TempHPShieldModePowerTitle	Evoca il costrutto Cupola di protezione
Feature/&TempHPShieldTitle	Cupola Protettrice
Feature/&ThiefofFiveFates	Lanciare {0} una volta al giorno
Feature/&ThiefofFiveFatesTitle	Ladro dei Cinque Destini
Feature/&ThirstingBladeDescription	Puoi attaccare con la tua arma due volte, invece di una, ogni volta che effettui l'azione Attacco nel tuo turno.
Feature/&ThirstingBladeTitle	Lama assetata
Feature/&TinkererArmorProficiencyDescription	Competenza con armature leggere e medie e scudi.
Feature/&TinkererArmorProficiencyTitle	AbilitÃ  con le armature del Tinkerer
Feature/&TinkererInfusionChoiceDescription	Selezionare le infusioni disponibili per l'uso. Ogni infusione puÃ² essere attivata una sola volta. Una seconda attivazione annullerÃ  la prima.
Feature/&TinkererInfusionChoiceTitle	Scelta dell'infusione
Feature/&TinkererInfusionReplaceDescription	Selezionare le infusioni da sostituire.
Feature/&TinkererInfusionReplaceTitle	Sostituisci infusione
Feature/&TinkererSkillGainChoicesPluralDescription	Le abilitÃ  del Tinkerer sono Arcana, Storia, Investigazione, Medicina, Natura, Percezione e AbilitÃ .
Feature/&TinkererSkillPointsTitle	AbilitÃ  dello stagnino
Feature/&TinkererToolsExpertiseDescription	Acquisisce la competenza di molti strumenti, tra cui Strumenti del ladro, Kit di pergamene, Kit dell'avvelenatore, Kit di erboristeria e Strumenti dell'incantatore.
Feature/&TinkererToolsExpertiseTitle	Competenza negli strumenti dello stagnino
Feature/&TinkererToolsProficiencyDescription	Acquisisce competenza con molti strumenti, tra cui Strumenti del ladro, Kit di pergamene, Kit dell'avvelenatore, Kit di erboristeria e Strumenti dell'incantatore.
Feature/&TinkererToolsProficiencyTitle	Competenze degli strumenti
Feature/&TinkererWeaponProficiencyDescription	AbilitÃ  con le armi semplici.
Feature/&TinkererWeaponProficiencyTitle	Competenze delle armi dello stagnino
Feature/&ToadKingBasicToxinTitle	Tossina di base
Feature/&ToadKingExpandedSpelllistAfinityDescription	Quando si impara un incantesimo da stregone, si puÃ² scegliere da un elenco ampliato di incantesimi. I seguenti incantesimi vengono aggiunti alla lista degli incantesimi del Warlock: {0}\n\n
Feature/&ToadKingExpandedSpelllistAfinityTitle	Incantesimi del Re Rospo
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Il tuo corpo Ã¨ cambiato per diventare resistente alle tossine e per produrre una tossina difensiva quando viene colpito da attacchi in mischia, fino a un numero di volte per riposo lungo pari al tuo bonus di competenza. Se l'attaccante fallisce un tiro salvezza di Costituzione, subisce una tossina allucinogena finchÃ© non viene attaccato o interrotto in altro modo.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Tossina allucinogena
Feature/&ToadKingJumpTitle	Salto
Feature/&ToadKingPoisonConditionAffinityTitle	Immune alla condizione di veleno
Feature/&ToadKingPoisonDamageAffinityTitle	Immune ai danni da veleno
Feature/&ToadKingStickyFeetTitle	Piedi palmati
Feature/&TrickstersEscapeTitle	Fuga dell'Ingannatore
Feature/&UrPriestDomainTheftDescription	Si carpiscono i segreti che un dio concede a tutti i suoi chierici devoti. Scegliendo un dominio da chierico, ottieni le caratteristiche garantite da quel dominio al 1Â° livello.
Feature/&UrPriestDomainTheftTitle	Furto di dominio
Feature/&UrPriestExpandedSpelllistAfinityDescription	Quando si impara un incantesimo da stregone, si sceglie da un elenco ampliato di incantesimi. Gli incantesimi da chierico vengono aggiunti alla lista degli incantesimi da stregone.
Feature/&UrPriestExpandedSpelllistAfinityTitle	Incantesimi dell'UrPriest
Feature/&WallofThornsFeatureSetDescription	Lancia Muro di Spine una volta al giorno.
Feature/&WallofThornsFeatureSetTitle	Barriera della foresta
Feature/&WitchCurseChoiceDescription	Siete afflitti da una terribile maledizione che infetta il vostro corpo e la vostra anima.
Feature/&WitchCurseChoiceTitle	Maledizione della Strega
Feature/&WitchMaledictionChoiceDescription	Puoi imparare una serie di potenti incantesimi, noti come Maledizioni, derivati dalla stessa insidiosa magia che ti ha maledetto.
Feature/&WitchMaledictionChoiceTitle	Maledizioni
Feature/&WitchSightDescription	Potete percepire o vedere creature invisibili entro 60 metri da voi.
Feature/&WitchSightTitle	Vista della Strega
Feature/&ZSPowerPaladinCleansingTouchDescription	Rimuove gli effetti degli incantesimi toccando un alleato. Potete farlo un numero di volte al giorno pari al vostro modificatore di Carisma.
Feature/&ZSPowerPaladinCleansingTouchTitle	Tocco purificatore
Feedback/&AdditionalDamageAgonizing_BlastFormat	Esplosione agonizzante
Feedback/&AdditionalDamageAgonizing_BlastLine	Quando lanci un'esplosione eldritch, aggiungi il tuo modificatore di Carisma ai danni che infligge quando va a segno.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Danno aggiuntivo degli attacchi con poteri magici
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Danno aggiuntivo da attacchi con poteri magici
Feedback/&AdditionalDamageArcaneFirearmFormat	Potenziamento dell'esplosione!
Feedback/&AdditionalDamageArcaneFirearmLine	Infligge danni aggiuntivi con il Potenziamento dell'Esplosione.
Feedback/&AdditionalDamageArcanistMarkFormat	Marchio dell'arcanista!
Feedback/&AdditionalDamageArcanistMarkLine	Il Marchio dell'Arcanista esplode e infligge danni aggiuntivi al bersaglio!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Colpo illuminante!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Il Colpo Illuminante infligge danni extra al bersaglio!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arma accecante
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Danni aggiuntivi e tentativo di applicare Accecamento da Arma Accecante.
Feedback/&AdditionalDamageEldritchSmiteFormat	Smite Eldritch!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} colpisce {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Danno elementale
Feedback/&AdditionalDamageElementalDamageLine	La forma elementale garantisce danni aggiuntivi
Feedback/&AdditionalDamageLightningSpearFormat	Lancia del Fulmine!
Feedback/&AdditionalDamageLightningSpearLine	{0} colpisce {1} con la Lancia del Fulmine! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	Segno del patto!
Feedback/&AdditionalDamagePactMarkedLine	Il marchio del patto infligge danni aggiuntivi!
Feedback/&AdditionalDamagePactSoulTakerFormat	Presa dell'anima!
Feedback/&AdditionalDamagePactSoulTakerLine	Il Prendi-anima infligge danni aggiuntivi!
Feedback/&AdditionalDamageResonatingStrikeFormat	Colpo risonante!
Feedback/&AdditionalDamageResonatingStrikeLine	{0} risuona {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Anima potenziata!
Feedback/&AdditionalDamageSoulEmpoweredLine	L'Anima potenziata infligge danni aggiuntivi!
Feedback/&AdditionalDamageSunlightBladeFormat	Lama del Sole!
Feedback/&AdditionalDamageSunlightBladeLine	{0} brucia {1} con Lama Solare! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Danno potenziato
Feedback/&AdditionalDamageUpgradedConstructLine	Il costrutto potenziato infligge 1d8 danni in piÃ¹ per colpo.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	Crea {0} {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	crea {0} {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	crea {0} {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	crea {0} crea {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{crea {1}
Feedback/&ExtraDamageDescription	Danno extra della Lancia del Fulmine.
Feedback/&ExtraDamageTitle	Danno extra della Lancia del Fulmine
Feedback/&LightningSpearAdditionalDamageDescription	Infligge 1d6 danni da fulmine aggiuntivi una volta per turno.
Feedback/&LightningSpearAdditionalDamageTitle	Danno extra della Lancia del Fulmine
Feedback/&NotifyEffectResonatingStrikeLine	{risuona {1}!
FightingStyle/&BlindFightingDescription	Hai una vista cieca con una portata di 3 metri.
FightingStyle/&BlindFightingTitle	Combattere alla cieca
FightingStyle/&CripplingDescription	Quando si colpisce con un attacco in mischia, si puÃ² ridurre la velocitÃ  dell'avversario di 3 metri fino all'inizio del turno successivo.
FightingStyle/&CripplingTitle	Storpiare
FightingStyle/&PugilistFightingDescription	I vostri colpi senz'armi infliggono 1d4 danni aggiuntivi da percosse e potete colpire con la mano sinistra come azione bonus.\nSe avete la mano libera, potete spingere come azione bonus.
FightingStyle/&PugilistFightingTitle	Pugile
FightingStyle/&TitanFightingDescription	Si ottiene un bonus di +2 ai tiri per colpire contro creature di taglia Grande o superiore.
FightingStyle/&TitanFightingTitle	Combattere da titano
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcani, Natura e Intuizione.
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	AbilitÃ  suggerite
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religione, Natura e Intuizione.
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	AbilitÃ  consigliate
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	Storia, Persuasione e Intimidazione.
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	AbilitÃ  suggerite
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Selezionare 2 competenze.
FlexibleBackgrounds/&BackgroundSkillSelect2Title	AbilitÃ 
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Selezionare 3 competenze.
FlexibleBackgrounds/&BackgroundSkillSelect3Title	AbilitÃ 
FlexibleBackgrounds/&BackgroundToolSelect2Description	Selezionare 2 competenze sugli strumenti.
FlexibleBackgrounds/&BackgroundToolSelect2Title	Attrezzi
FlexibleBackgrounds/&BackgroundToolSelectDescription	Selezionare una competenza sugli strumenti.
FlexibleBackgrounds/&BackgroundToolSelectTitle	Strumento
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Percezione e Intimidazione.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	AbilitÃ  suggerite
