ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins MeisterbogenschÃ¼tzen geschmiedet. Magie verschmolz Medusenkoralle und Hartholz zu einem tÃ¶dlichen Bogen, der von den Enterkommandos der Inselhalblinge bevorzugt wurde.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Medusa Schwere Armbrust
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins BogenschÃ¼tzenmeistern geschmiedet. Der Coedymwarth zog es vor, mit Manacalons Arkanisten eher physisch als magisch umzugehen. Seine besten BogenschÃ¼tzen erhielten ArmbrÃ¼ste, die SchÃ¶pfung von Defineth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Schwere Armbrust des ScharfschieÃŸens
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins BogenschÃ¼tzenmeistern geschmiedet. Es wurde von Galar Stromforge entworfen, dem ersten Zwergenschmied, der die Macht des Sturms in einer Waffe mit verheerender Wirkung nutzbar machte!
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Schwere Sturmarmbrust
Equipment/&Enchanted_HideArmor_Deflection_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
Equipment/&Enchanted_HideArmor_Deflection_Title	RÃ¼stung der Ablenkung verstecken
Equipment/&Enchanted_HideArmor_FlameDancing_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
Equipment/&Enchanted_HideArmor_FlameDancing_Title	RÃ¼stung des Flammentanzes verstecken
Equipment/&Enchanted_HideArmor_FrostWalking_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
Equipment/&Enchanted_HideArmor_FrostWalking_Title	Hide Armor of Frost Walking
Equipment/&Enchanted_HideArmor_Robustness_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
Equipment/&Enchanted_HideArmor_Robustness_Title	RÃ¼stung der Robustheit verstecken
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Hide RÃ¼stung der Robustheit
Equipment/&Enchanted_HideArmor_Survival_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
Equipment/&Enchanted_HideArmor_Survival_Title	RÃ¼stung des Ãœberlebens verstecken
Equipment/&Enchanted_Javelin_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frÃ¼hen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Javelin_Acuteness_Title	Speer der SchÃ¤rfe
Equipment/&Enchanted_Javelin_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekÃ¤mpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Javelin_Frostburn_Title	Frostbrand-Speer
Equipment/&Enchanted_Javelin_Sharpness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frÃ¼hen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Javelin_Sharpness_Title	Speer der SchÃ¤rfe
Equipment/&Enchanted_Javelin_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Javelin_Souldrinker_Title	Seelentrinker-Speer
Equipment/&Enchanted_LeatherDruid_Deflection_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
Equipment/&Enchanted_LeatherDruid_Deflection_Title	Druidenleder der Ablenkung
Equipment/&Enchanted_LeatherDruid_FlameDancing_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
Equipment/&Enchanted_LeatherDruid_FlameDancing_Title	Druidenleder des Flammentanzes
Equipment/&Enchanted_LeatherDruid_FrostWalking_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
Equipment/&Enchanted_LeatherDruid_FrostWalking_Title	Druidenleder des Frostwandelns
Equipment/&Enchanted_LeatherDruid_Robustness_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
Equipment/&Enchanted_LeatherDruid_Robustness_Title	Druidenleder der Robustheit
Equipment/&Enchanted_LeatherDruid_Sturdiness_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
Equipment/&Enchanted_LeatherDruid_Sturdiness_Title	Druidenleder der Robustheit
Equipment/&Enchanted_LeatherDruid_Survival_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
Equipment/&Enchanted_LeatherDruid_Survival_Title	Druidenleder des Ãœberlebens
Equipment/&Enchanted_LightCrossbow_Accuracy_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins BogenschÃ¼tzenmeistern geschmiedet. Sein ursprÃ¼ngliches Design trug das Siegel von Defineth Sharpsight, einem bekannten Zauberer der Waldelfen.
Equipment/&Enchanted_LightCrossbow_Accuracy_Title	Leichte Armbrust der Genauigkeit
Equipment/&Enchanted_LightCrossbow_Lightbringer_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins BogenschÃ¼tzenmeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstÃ¼tzen.
Equipment/&Enchanted_LightCrossbow_Lightbringer_Title	Lightbringer Leichte Armbrust
Equipment/&Enchanted_LightCrossbow_Medusa_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins BogenschÃ¼tzenmeistern geschmiedet. Magie verschmolz Medusenkoralle und Hartholz zu einem tÃ¶dlichen Bogen, der von den Enterkommandos der Inselhalblinge bevorzugt wurde.
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Medusa Leichte Armbrust
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins BogenschÃ¼tzenmeistern geschmiedet. Der Coedymwarth zog es vor, mit Manacalons Arkanisten eher physisch als magisch umzugehen. Seine besten BogenschÃ¼tzen erhielten ArmbrÃ¼ste, die SchÃ¶pfung von Defineth Sharpsight.
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Leichte Armbrust des ScharfschieÃŸens
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins BogenschÃ¼tzenmeistern geschmiedet. Es wurde von Galar Stromforge entworfen, dem ersten Zwergenschmied, der die Macht des Sturms in einer Waffe mit verheerender Wirkung nutzbar machte!
Equipment/&Enchanted_LightCrossbow_Stormbow_Title	Leichte Sturmarmbrust
Equipment/&Enchanted_Maul_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frÃ¼hen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Maul_Acuteness_Title	Maul der SchÃ¤rfe
Equipment/&Enchanted_Maul_Bearclaw_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Die scharfen Stacheln der BÃ¤renklaue zerfetzen die RÃ¼stung, um zusÃ¤tzlichen Schaden zu verursachen. Die erste Waffe dieser Art wurde von Ildurial Stronghand entworfen.
Equipment/&Enchanted_Maul_Bearclaw_Title	BÃ¤renklauenmaul
Equipment/&Enchanted_Maul_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen von Colthannins Schmiedemeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstÃ¼tzen.
Equipment/&Enchanted_Maul_Lightbringer_Title	Lichtbringer Maul
Equipment/&Enchanted_Maul_Power_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Einige Kreaturen respektieren nur kÃ¶rperliche StÃ¤rken. Arkanisten aus Manacalon haben diesen Maul erschaffen, um Champions der Iron Legions die Kraft zu geben, die ihre ElfenkÃ¶rper nicht bieten.
Equipment/&Enchanted_Maul_Power_Title	Maul der Macht
Equipment/&Enchanted_Maul_Punisher_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Die Kombination aus bestem Metall und Sklavenstein verlieh dieser Axt eine unglaubliche Durchschlagskraft.
Equipment/&Enchanted_Maul_Punisher_Title	Bestrafer Maul
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frÃ¼hen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	Quartierstab der SchÃ¤rfe
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Lestoreth Steelarm entworfen, um im gefrorenen Norden des Imperiums zu kÃ¤mpfen.
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Kampfstab der Drachenklinge
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekÃ¤mpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Frostbrand-Quarterstab
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen von Colthannins Schmiedemeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstÃ¼tzen.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Stab des Lichtbringers
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Seelentrinker-Viertelstab
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Es wurde von Galar Stromforge entworfen, dem ersten Zwergenschmied, der die Macht des Sturms in einer Waffe mit verheerender Wirkung nutzbar machte!
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Sturmklingen-Quarterstab
Equipment/&Enchanted_Quarterstaff_Warden_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Es wurde von Ildurial Strongarm entworfen, einem berÃ¼hmten Klingenschmied aus Manacalon. Die erste derartige Klinge, die Manacalon Warden, wurde dem Kommandanten der Euraidd angeboten.
Equipment/&Enchanted_Quarterstaff_Warden_Title	Warden Quarterstaff
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Whiteburn wurde vom ersten Danantar geschaffen, um eine Trollinvasion zu bekÃ¤mpfen, die aus den SÃ¼mpfen sÃ¼dlich seiner DomÃ¤ne zwischen den Sioltafin und den Scarafin kam.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Whiteburn-Quarterstab
Equipment/&Enchanted_Rapier_Dragonblade_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Lestoreth Steelarm entworfen, um im gefrorenen Norden des Imperiums zu kÃ¤mpfen.
Equipment/&Enchanted_Rapier_Dragonblade_Title	Drachenklingen-Rapier
Equipment/&Enchanted_Rapier_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekÃ¤mpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Rapier_Frostburn_Title	Frostbrand-Rapier
Equipment/&Enchanted_Rapier_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen von Colthannins Schmiedemeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstÃ¼tzen.
Equipment/&Enchanted_Rapier_Lightbringer_Title	Lichtbringer Rapier
Equipment/&Enchanted_Rapier_Power_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Einige Kreaturen respektieren nur kÃ¶rperliche StÃ¤rken. Arkanisten aus Manacalon erschufen dieses Rapier, um Champions der Iron Legions die Kraft zu geben, die ihre ElfenkÃ¶rper nicht bieten.
Equipment/&Enchanted_Rapier_Power_Title	Rapier der Macht
Equipment/&Enchanted_Rapier_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Rapier_Souldrinker_Title	Seelentrinker Rapier
Equipment/&Enchanted_Rapier_Stormblade_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Es wurde von Galar Stromforge entworfen, dem ersten Zwergenschmied, der die Macht des Sturms in einer Waffe mit verheerender Wirkung nutzbar machte!
Equipment/&Enchanted_Rapier_Stormblade_Title	Stormblade-Rapier
Equipment/&Enchanted_Rapier_Warden_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Es wurde von Ildurial Strongarm entworfen, einem berÃ¼hmten Klingenschmied aus Manacalon. Die erste derartige Klinge, die Manacalon Warden, wurde dem Kommandanten der Euraidd angeboten.
Equipment/&Enchanted_Rapier_Warden_Title	WÃ¤rter Rapier
Equipment/&Enchanted_Rapier_Whiteburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Whiteburn wurde vom ersten Danantar geschaffen, um eine Trollinvasion zu bekÃ¤mpfen, die aus den SÃ¼mpfen sÃ¼dlich seiner DomÃ¤ne zwischen den Sioltafin und den Scarafin kam.
Equipment/&Enchanted_Rapier_Whiteburn_Title	WeiÃŸbrand-Rapier
Equipment/&Enchanted_Scimitar_Dragonblade_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Lestoreth Steelarm entworfen, um im gefrorenen Norden des Imperiums zu kÃ¤mpfen.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Scimitar der Drachenklinge
Equipment/&Enchanted_Scimitar_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekÃ¤mpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Scimitar_Frostburn_Title	FrostbrandsÃ¤bel
Equipment/&Enchanted_Scimitar_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen von Colthannins Schmiedemeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstÃ¼tzen.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Scimitar des Lichtbringers
Equipment/&Enchanted_Scimitar_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Seelentrinker Scimitar
Equipment/&Enchanted_Scimitar_Stormblade_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Es wurde von Galar Stromforge entworfen, dem ersten Zwergenschmied, der die Macht des Sturms in einer Waffe mit verheerender Wirkung nutzbar machte!
Equipment/&Enchanted_Scimitar_Stormblade_Title	Scimitar der Sturmklinge
Equipment/&Enchanted_Scimitar_Warden_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Es wurde von Ildurial Strongarm entworfen, einem berÃ¼hmten Klingenschmied aus Manacalon. Die erste derartige Klinge, die Manacalon Warden, wurde dem Kommandanten der Euraidd angeboten.
Equipment/&Enchanted_Scimitar_Warden_Title	WÃ¤chter Scimitar
Equipment/&Enchanted_Scimitar_Whiteburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Whiteburn wurde vom ersten Danantar geschaffen, um eine Trollinvasion zu bekÃ¤mpfen, die aus den SÃ¼mpfen sÃ¼dlich seiner DomÃ¤ne zwischen den Sioltafin und den Scarafin kam.
Equipment/&Enchanted_Scimitar_Whiteburn_Title	WeiÃŸbrandsÃ¤bel
Equipment/&Enchanted_Shield_Deflection_Description	Diese verzauberte RÃ¼stung wurde mit dem uralten Wissen der RÃ¼stungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser RÃ¼stungen fÃ¼r die persÃ¶nliche Garde des Imperators.
