ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells.
Feature/&DomainElementalFireDomainlevel1FeaturesDescription	You learn the level 1 features of this domain.
Feature/&DomainElementalFireDomainlevel1FeaturesTitle	Elemental (Fire) Domain
Feature/&DomainElementalLightingDomainlevel1FeaturesDescription	You learn the level 1 features of this domain.
Feature/&DomainElementalLightingDomainlevel1FeaturesTitle	Elemental(Lighting) Domain
Feature/&DomainInsightDomainlevel1FeaturesDescription	You learn the level 1 features of this domain.
Feature/&DomainInsightDomainlevel1FeaturesTitle	Insight Domain
Feature/&DomainLawDomainlevel1FeaturesDescription	You learn the level 1 features of this domain.
Feature/&DomainLawDomainlevel1FeaturesTitle	Law Domain
Feature/&DomainLifeDomainlevel1FeaturesDescription	You learn the level 1 features of this domain.
Feature/&DomainLifeDomainlevel1FeaturesTitle	Life Domain
Feature/&DomainMischiefDomainlevel1FeaturesDescription	You learn the level 1 features of this domain.
Feature/&DomainMischiefDomainlevel1FeaturesTitle	Mischief Domain
Feature/&DomainOblivionDomainlevel1FeaturesDescription	You learn the level 1 features of this domain.
Feature/&DomainOblivionDomainlevel1FeaturesTitle	Oblivion Domain
Feature/&DomainSunDomainlevel1FeaturesDescription	You learn the level 1 features of this domain.
Feature/&DomainSunDomainlevel1FeaturesTitle	Sun Domain
Feature/&DreadfulWordTitle	Dreadful Word
Feature/&DruidForestGuardianBarkWardDescription	You gain the ability to summon a Bark Ward to protect you. As a bonus action, you can expend a use of your Wild Shape to gain 4 temporary hit points for each level you have in this class. These temporary hit points last for 10 minutes, or until you use your Wild Shape again.
Feature/&DruidForestGuardianBarkWardTitle	Bark Ward
Feature/&DruidForestGuardianExtraAttackDescription	Starting at 6th level, you can attack twice, instead of once, whenever you take the Attack action on your turn.
Feature/&DruidForestGuardianExtraAttackTitle	Extra Attack
Feature/&DruidForestGuardianImprovedBarkWardDescription	Your Bark Ward now grows thorns, which damages melee attackers. Enemies who successfully hit you with a melee attack suffer 2d8 piercing damage.
Feature/&DruidForestGuardianImprovedBarkWardTitle	Improved Bark Ward
Feature/&DruidForestGuardianMagicDescription	Starting at the 2nd level when you choose this circle, you gain access to an expanded spell list that is always prepared:\n{0}\n\n
Feature/&DruidForestGuardianMagicTitle	Circle Spells
Feature/&DruidForestGuardianSuperiorBarkWardDescription	Your Bark Ward ability now reflects 3d8 piercing damage onto melee attackers. Additionally, Bark Ward now grants you immunity to poison while it's active.
Feature/&DruidForestGuardianSuperiorBarkWardTitle	Superior Bark Ward
Feature/&DruidForestGuardianSylvanDurabilityDescription	Forest Guardians naturally gain the resilience of a mighty oak. At 2nd level, your hit point maximum increases by 2 and increases by 1 whenever you gain a level in this class.
Feature/&DruidForestGuardianSylvanDurabilityTitle	Sylvan Durability
Feature/&DruidForestGuardianSylvanWarMagicDescription	You are used to wielding druidic magic in harmony with martial prowess. At 2nd level, you may cast spells that require a somatic component even if both of your hands are holding a weapon or shield.
Feature/&DruidForestGuardianSylvanWarMagicTitle	Sylvan War Magic
Feature/&DualFlurryDescription	You are a master of fighting with paired weapons. On any turn where you hit twice with melee attacks while wielding a weapon in each hand, you may make an additional off-hand attack.
Feature/&DualFlurryTitle	Dual Flurry
Feature/&EldritchBlastGraspingHandBonusCantripDescription	When you hit a creature with your eldritch blast, you can move that creature in a straight line 10 feet closer to you.
Feature/&EldritchBlastGraspingHandBonusCantripTitle	Grasping Blast
Feature/&EldritchBlastRepellingBlastBonusCantripDescription	When you hit a creature with eldritch blast, you can push the creature up to 10 feet away from you in a straight line.
Feature/&EldritchBlastRepellingBlastBonusCantripTitle	Repelling Blast
Feature/&EldritchMindDescription	You have advantage on Constitution saving throws that you make to maintain your concentration on a spell.
Feature/&EldritchMindTitle	Eldritch Mind
Feature/&EldritchSightTitle	Eldritch Sight
Feature/&EldritchSmiteDescription	Once per turn when you hit a creature with your pact weapon, you can expend a Warlock spell slot to deal an extra 1d8 force damage to the target, plus another 1d8 per level of the spell slot.
Feature/&EldritchSmiteTitle	Eldritch Smite
Feature/&ElementalistSpellsMagicAffinityDescription	You choose from an expanded list of spells when you learn a Warlock spell. The following spells are added to the Warlock spell list for you: {0}\n\n
Feature/&ElementalistSpellsMagicAffinityTitle	Elementalist Spells
Feature/&ElementalPactAirPlane	Air Plane
Feature/&ElementalPactAstralPlane	Astral Plane
Feature/&ElementalPactEarthPlane	Earth Plane
Feature/&ElementalPactEtherealPlane	Ethereal Plane
Feature/&ElementalPactFirePlane	Fire Plane
Feature/&ElementalPactIcePlane	Ice Plane
Feature/&ElementalPactShadowPlane	Shadow Plane
Feature/&ElementalPatronDummyFeatureSetTitle	Elementalist
Feature/&ElementalPatronElementalConditionFormatDescription	Deal additional {1} damage equal to your proficiency bonus on a first hit each round.
Feature/&ElementalPatronElementalConditionFormatTitle	Channeling {0}
Feature/&ElementalPatronElementalDamageFormatDescription	When channeling {0}, deal additional {1} damage equal to your proficiency bonus on a first hit each round.
Feature/&ElementalPatronElementalDamageFormatTitle	Elemental Damage: {0}
Feature/&ElementalPatronElementalFormEnhancedFormatDescription	When channeling the {0}, you gain Immunity to {1} and apply proficiency bonus as damage of the same type to first hit each round.
Feature/&ElementalPatronElementalFormEnhancedFormatTitle	Channeling {0}
Feature/&ElementalPatronElementalFormFormatDescription	When channeling the {0}, you gain Resistance to {1} damage and apply Proficiency Bonus as damage of the same type to first hit each round.
Feature/&ElementalPatronElementalFormFormatTitle	{0}
Feature/&ElementalPatronFeatureSet_Level06Description	You knowledge of elementals has increased to the point that you now gain advantage on ability checks towards elementals, and deal additional damage against elementals equal to your knowledge level. You can no longer be charmed or frightened by elementals.
Feature/&ElementalPatronFeatureSet_Level06Title	Knowledge of Elementals
Feature/&EmptyString	
Feature/&EyesoftheRuneKeeperDescription	You can read all writing.
Feature/&EyesoftheRuneKeeperTitle	Eyes of the RuneKeeper
Feature/&FiendishVigorTitle	Fiendish Vigor
Feature/&FlameArtillery_09ModePowerDescription	Summons a construct that lasts 1 hour. \nFlame Artillery: Creates a cone of fire that deals 3d8 damage on a failed save. \nSelf-Destruct: deals 3d8 force damage on a failed save and destroys the unit.
Feature/&FlameArtillery_09ModePowerTitle	Summon Flame Artillery Construct
Feature/&FlameArtillery_15ModePowerDescription	Summons a construct that lasts 1 hour. \nFlame Artillery: Creates a cone of fire that deals 3d8 damage on a failed save. \nSelf-Destruct: deals 3d8 force damage on a failed save and destroys the unit. \n Half Cover Dome: provides half cover to allies within 10ft.
Feature/&FlameArtillery_15ModePowerTitle	Summon Flame Artillery Construct
Feature/&FlameArtilleryModePowerDescription	Summons a construct that lasts 1 hour. \nFlame Artillery: Creates a cone of fire that deals 2d8 damage on a failed save.
Feature/&FlameArtilleryModePowerTitle	Summon Flame Artillery Construct
Feature/&ForceArtillery_09ModePowerDescription	Summons a construct that lasts 1 hour. \nForce Artillery: Deals 3d8 force damage and pushes enemy 5ft away. \nSelf-Destruct: deals 3d8 force damage on a failed save and destroys the unit.
Feature/&ForceArtillery_09ModePowerTitle	Summon Force Artillery Construct
Feature/&ForceArtillery_15ModePowerDescription	Summons a construct that lasts 1 hour. \nForce Artillery: Deals 3d8 force damage and pushes enemy 5ft away. \nSelf-Destruct: deals 3d8 force damage on a failed save and destroys the unit. \n Half Cover Dome: provides half cover to allies within 10ft.
Feature/&ForceArtillery_15ModePowerTitle	Summon Force Artillery Construct
Feature/&ForceArtilleryAdditionalDamageTitle	Upgraded damage
Feature/&ForceArtilleryModePowerDescription	Summons a construct that lasts 1 hour. \nForce Artillery: Deals 2d8 force damage and pushes target 5ft away.
Feature/&ForceArtilleryModePowerTitle	Summon Force Artillery Construct
Feature/&ForceArtilleryTitle	Force Artillery
Feature/&GambitResourcePoolAddDescription	Adds an additional gambit die.
Feature/&GambitResourcePoolAddTitle	Additional Gambit die
Feature/&GambitResourcePoolDescription	Pool of gambit dice that can be spent on gambits. Starts with 4 they recharge on short rest.
Feature/&GambitResourcePoolTitle	Gambit dice pool
Feature/&GiftoftheEverLivingOnesDescription	Regains the maximum number of hit points possible from any healing.
Feature/&GiftoftheEverLivingOnesTitle	Gift of the Ever-Living Ones
Feature/&GiftoftheProtectorsDescription	When you are reduced to 0 hit points but not killed outright, the creature magically drops to 1 hit point instead. Once this magic is triggered, you can't benefit from it until you finish a long rest.
Feature/&GiftoftheProtectorsTitle	Gift of the Protectors
Feature/&GnomeCunningFeatureDescription	You have advantage on all Intelligence, Wisdom, and Charisma saves against magic.
Feature/&GnomeCunningFeatureTitle	Cunning
Feature/&GnomeNaturalIllusionistDescription	You know the Annoying Bee cantrip. Intelligence is your spellcasting modifier for it.
Feature/&GnomeNaturalIllusionistTitle	Natural Magic
Feature/&HerbalBrewDescription	When you finish a long rest, you can create herbal brews, each of which lasts until the next long rest. You create a total of brews equal to your proficiency bonus. For each brew, choose one of the following effects: \n<color=#add8e6ff>Fortifying Brew</color>: grants resistance to different damage types for 1 hour.\n<color=#add8e6ff>Quickening Brew</color>: provides 2d4 hit points.\n<color=#add8e6ff>Toxifying Brew</color>: acts as poison that can be applied to a weapon that lasts for 1 minute. If the hit lands the target takes 1d4 poison damage on each hit.
Feature/&HerbalBrewFeatureSetDescription	You gain proficiency with either the poisoner kit or herbalism kits if you don't already have it. \nWhen you finish a long rest, you can create herbal brews, each of which lasts until the next long rest. You create a total of brews equal to your proficiency bonus. For each brew, choose one of the following effects: \n<color=#add8e6ff>Fortifying Brew</color>: grants resistance to different damage types for 1 hour.\n<color=#add8e6ff>Quickening Brew</color>: provides 2d4 hit points.\n<color=#add8e6ff>Toxifying Brew</color>: acts as poison that can be applied to a weapon that lasts for 1 minute. If the hit lands the target takes 1d4 poison damage on each hit.
Feature/&HerbalBrewFeatureSetTitle	Herbal Brewing
Feature/&HinderingBlastDescription	When you hit a creature with your eldritch blast, you can reduce that creature's speed by 10 feet until the end of your next turn.
Feature/&HinderingBlastMagicAffinityDescription	when you hit a creature with your eldritch blast, you can reduce that creature's speed by 10 feet until the end of your next turn.
Feature/&HinderingBlastMagicAffinityTitle	Hindering Blast
Feature/&HinderingBlastTitle	Hindering Blast
Feature/&ImprovedPactWeaponDescription	You can use any weapon as a spellcasting focus for your Warlock spells. In addition, the weapon gains a +1 bonus to its attack and damage rolls.
Feature/&ImprovedPactWeaponTitle	Improved Pact Weapon
Feature/&ImprovedScoutModePowerDescription	Gain Improved Scout Mode features. Can now create advantage for allies and disadvantage for enemies with a single attack.
Feature/&ImprovedScoutModePowerTitle	Improved Scout Mode
Feature/&ImprovedSentinelModePowerDescription	Gain Improved Sentinel Mode features via the Gauntlet Grapple power.
Feature/&ImprovedSentinelModePowerTitle	Improved Sentinel Mode
Feature/&IndomitableResistanceAddDescription	+1 Indomitable Resistance use between rests.
Feature/&IndomitableResistanceAddTitle	Indomitable Resistance (increased)
Feature/&IndomitableResistanceTitle	Indomitable Resistance
Feature/&InspirePowerDescription	Spend a gambit die and inspire yourself or your ally to give 1d6 + 2 temp hp.
Feature/&InspirePowerTitle	Inspire
Feature/&InspiringSurgePowerDescription	Grant an ally an additional main action for 1 round. Does not stack with Action Surge.
Feature/&InspiringSurgePowerTitle	Inspiring Surge
Feature/&InspiringSurgePowerTitleShort	Inspiring Surge
Feature/&KnockDownPowerDescription	Spend a gambit die and empower your attack to do an additional 1d6 + 2 bludgeoning damage. The target makes a Strength save (DC 8 + your proficiency bonus + your Strength modifier) or gets knocked down until the start of its next turn.
Feature/&KnockDownPowerTitle	Knock down
Feature/&MagicAffinityRangerArcanistDescription	You are proficient at casting spells in battle, and may cast spells that require a somatic component even if both of your hands are holding a weapon or shield.
Feature/&MagicAffinityRangerArcanistTitle	Arcane Combat Training 
Feature/&MiretheMindTitle	Mire the Mind
Feature/&MoonLitDarknessImmunityDescription	You are Immune to the Darkness condition.
Feature/&MoonLitDarknessImmunityTitle	Moonlit Darkness
Feature/&MoonLitExpandedSpelllistAfinityDescription	You choose from an expanded list of spells when you learn a Warlock spell. The following spells are added to the Warlock spell list for you: {0}\n\n
Feature/&MoonLitExpandedSpelllistAfinityTitle	Moonlit Spells
Feature/&MoonLitLightAffinityDescription	If you start your turn in natural darkness, you become invisibility. Moving, attacking or using any power or spell that does not only target yourself breaks the invisibility.
Feature/&MoonLitLightAffinityStrongDescription	Umbral Cloak now works in dim light and magical darkness.
Feature/&MoonLitLightAffinityStrongTitle	Improved Umbral Cloak
Feature/&MoonLitLightAffinityTitle	Umbral Cloak
Feature/&OneWithShadowsDescription	If you start your turn in natural darkness, you become invisibility. Moving, attacking or using any power or spell that does not only target yourself breaks the invisibility.
Feature/&OneWithShadowsLightAffinityDescription	If you start your turn in natural darkness, you become invisibility. Moving, attacking or using any power or spell that does not only target yourself breaks the invisibility.
Feature/&OneWithShadowsLightAffinityStrongDescription	One With Shadows now works in dim light and magical darkness.
Feature/&OneWithShadowsLightAffinityStrongTitle	Darker Shadows
Feature/&OneWithShadowsLightAffinityTitle	One With Shadows
Feature/&OneWithShadowsStrongerDescription	One With Shadows now works in dim light and magical darkness.
Feature/&OneWithShadowsStrongerTitle	Darker Shadows
Feature/&OneWithShadowsTitle	One With Shadows
Feature/&OpportunistDebilitatingStrikeDescription	Your sneak attack causes the target to make a Constitution saving throw (DC 8 + your proficiency bonus + your Dexterity modifier) or suffer one of following conditions: blinded, bane, bleeding or stunned.
Feature/&OpportunistDebilitatingStrikeTitle	Debilitating Strike
Feature/&OpportunistQuickStrikeDescription	You have advantage when attack an enemies whose initiative is lower than yours. In addition, you also have advantage when perform an attack of opportunity.
Feature/&OpportunistQuickStrikeTitle	Quick Strike
Feature/&OtherworldlyLeapTitle	Otherworldly Leap
Feature/&PowerAttackDescription	Take a -3 to hit penalty to your attack to do 3 + Proficiency Bonus extra damage when you land your strikes with melee weapons.
Feature/&PowerAttackTitle	Power attack
Feature/&PowerPaladinAuraOfCourage18Description	Grant a saving throw bonus to allies within 30ft.
Feature/&PowerPaladinAuraOfCourage18Title	Improved Aura of Courage
Feature/&PowerPaladinAuraOfProtection18Description	You and your allies within 30ft cannot be frightened.
Feature/&PowerPaladinAuraOfProtection18Title	Improved Aura of Protection
Feature/&PowerTorchbearerDescription	Attempt to set a melee target on fire!
Feature/&PowerTorchbearerTitle	Torchbearer
Feature/&PrimalChampionDescription	At 20th level, you embody the power of the wilds. Your Strength and Constitution scores increase by 4.
Feature/&PrimalChampionTitle	Primal Champion
Feature/&ProficiencyBolgrifLanguagesDescription	Common, Elvish and Giant.
Feature/&ProficiencyBolgrifLanguagesTitle	Language
Feature/&ProficiencyGnomishLanguagesDescription	Common, Gnomish.
Feature/&ProficiencyGnomishLanguagesTitle	Languages
Feature/&ProficiencyRogueBlindSenseDescription	Starting at 14th level, if you are able to hear, you are aware of the location of any hidden or invisible creature within 10 feet of you.
Feature/&ProficiencyRogueBlindSenseTitle	Blindsense
Feature/&ProficiencyRogueSlipperyMindDescription	By 15th level, you have acquired greater mental strength. You gain proficiency in Wisdom saving throws.
Feature/&ProficiencyRogueSlipperyMindTitle	Slippery Mind
Feature/&ProficiencySoulBladeArmorDescription	Light Armor, Medium Armor and Shield.
Feature/&ProficiencySoulBladeArmorTitle	Soulblade Armor Proficiencies
Feature/&ProficiencySoulBladeWeaponDescription	Simple Weapons, Martial Weapons.
Feature/&ProficiencySoulBladeWeaponTitle	Soulblade Weapon Proficiencies
Feature/&RageDamageBonusAttackModifierDescription	Add +2 damage to your attacks while raging.
Feature/&RageDamageBonusAttackModifierTitle	Rage damage
Feature/&RageFeatConditionDescription	While in a rage you gain the following: Advantage on Strength checks and Strength saving throws, a bonus to damage rolls of +2, and resistance to bludgeoning, piercing, and slashing damage.
Feature/&RageFeatConditionTitle	Raging
Feature/&RagePowerDescription	As a bonus action, you enter a rage for one minute and gain the following: Advantage on Strength checks and Strength saving throws, a bonus to damage rolls of +2, and resistance to bludgeoning, piercing, and slashing damage.
Feature/&RagePowerTitle	Rage
Feature/&RageStrengthSavingThrowAffinityDescription	You get advantage on Strength saves while raging.
Feature/&RageStrengthSavingThrowAffinityTitle	Rage Strength save advantage
Feature/&RallyingCryPowerDescription	Replaces Second Wind with a power to restore 4x Fighter Levels hit points to one or more allies within 6 cells, up to their hit point maximum.
Feature/&RallyingCryPowerTitle	Rallying Cry
Feature/&RallyingCryPowerTitleShort	Rallying Cry
Feature/&RangerFeralSensesDescription	You gain preternatural senses that help you fight creatures you can't see. When you attack a creature you can't see, your inability to see it doesn't impose disadvantage on your attack rolls against it.
Feature/&RangerFeralSensesTitle	Feral Senses
Feature/&RangerVanishActionDescription	Starting at 14th level, you can use the Hide action as a bonus action on your turn.
Feature/&RangerVanishActionTitle	Vanish
Feature/&RiftWalkerRestrainedImmunityTitle	Fleeting Step
Feature/&RiftWalkerSpellsMagicAffinityDescription	You choose from an expanded list of spells when you learn a Warlock spell. The following spells are added to the Warlock spell list for you: {0}\n\n
Feature/&RiftWalkerSpellsMagicAffinityTitle	Rift Walker Spells
Feature/&RoyalEnvoyFeatureDescription	Add half of your proficiency bonus (round up) to any Charisma check you make that doesn't already use your proficiency bonus. In addition, you become proficient with Charisma saving throws.
Feature/&RoyalEnvoyFeatureTitle	Royal Envoy
Feature/&SavingThrowTinkererProficiencyDescription	Proficiency in Constitution and Intelligence saving throws.
Feature/&SavingThrowTinkererProficiencyTitle	Saving Throw Proficiency
Feature/&ScoutModePowerDescription	Gain increased movement, advantage on Stealth checks and once per turn, your ranged weapon attacks deals an extra die of damage.
Feature/&ScoutModePowerTitle	Scout Mode
Feature/&SentinelModePowerDescription	Gain Temp HP equal to level. Impose Disadvantage on enemies attacking allies.
Feature/&SentinelModePowerTitle	Sentinel Mode
Feature/&ShroudofShadowTitle	Shroud of Shadow
Feature/&SignofIllOmenTitle	Sign of Ill Omen
Feature/&SpellAsInvocationAtWillDescription	Cast {0} at will.
Feature/&SpellAsInvocationOncePerDayDescription	Cast {0} once until long rest.
Feature/&TempHPShield_09ModePowerDescription	Summons a construct that lasts 1 hour. \nProtecting Dome: Grants 1d8 + 4 temporary HP to allies within 10ft. \nSelf-Destruct: deals 3d8 force damage on a failed save and destroys the unit.
Feature/&TempHPShield_09ModePowerTitle	Summon Protecting Dome Construct
Feature/&TempHPShield_15ModePowerDescription	Summons a construct that lasts 1 hour. \nProtecting Dome: Grants 1d8 + 4 temporary HP to allies within 10ft. \nSelf-Destruct: deals 3d8 force damage on a failed save and destroys the unit. \n Half Cover Dome: Provides half cover to allies within 10ft.
Feature/&TempHPShield_15ModePowerTitle	Summon Protecting Dome Construct
Feature/&TempHPShieldModePowerDescription	Summons a construct that lasts 1 hour. \nProtecting Dome: Grants 1d8 + 4 temporary HP to allies within 10ft.
Feature/&TempHPShieldModePowerTitle	Summon Protecting Dome Construct
Feature/&TempHPShieldTitle	Protecting Dome
Feature/&ThiefofFiveFates	Cast {0} once per day
Feature/&ThiefofFiveFatesTitle	Thief of Five Fates
Feature/&ThirstingBladeDescription	You can attack with your weapon twice, instead of once, whenever you take the Attack action on your turn.
Feature/&ThirstingBladeTitle	Thirsting Blade
Feature/&TinkererArmorProficiencyDescription	Proficiency with Light and Medium armors as well as shields.
Feature/&TinkererArmorProficiencyTitle	Tinkerer Armor Proficiency
Feature/&TinkererInfusionChoiceDescription	Select the infusions that you will have available to use. Note each infusion can be active only once. Activating it a second time will cancel the first.
Feature/&TinkererInfusionChoiceTitle	Infusion Choice
Feature/&TinkererInfusionReplaceDescription	Select the infusions to replace.
Feature/&TinkererInfusionReplaceTitle	Replace Infusion
Feature/&TinkererSkillGainChoicesPluralDescription	Tinkerer skills are Arcana, History, Investigation, Medicine, Nature, Perception and Sleight of Hand.
Feature/&TinkererSkillPointsTitle	Tinkerer Skills
Feature/&TinkererToolsExpertiseDescription	Gain expertise with many tools including Thieves' Tools, Scroll Kits, Poisoner's Kit, Herbalism Kit, and Enchanting Tools.
Feature/&TinkererToolsExpertiseTitle	Tinkerer Tool Expertise
Feature/&TinkererToolsProficiencyDescription	Gain proficiency with many tools including Thieves' Tools, Scroll Kits, Poisoner's Kit, Herbalism Kit, and Enchanting Tools.
Feature/&TinkererToolsProficiencyTitle	Tool Proficiencies
Feature/&TinkererWeaponProficiencyDescription	Proficiency with simple weapons.
Feature/&TinkererWeaponProficiencyTitle	Tinkerer Weapon Proficiencies
Feature/&ToadKingBasicToxinTitle	Basic Toxin
Feature/&ToadKingExpandedSpelllistAfinityDescription	You choose from an expanded list of spells when you learn a Warlock spell. The following spells are added to the Warlock spell list for you: {0}\n\n
Feature/&ToadKingExpandedSpelllistAfinityTitle	Toad King Spells
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Your body has changed to become resistant to toxins and to produce a defensive toxin when hit by melee attacks, up to a number of times per long rest equal to your proficiency bonus. If the attacker fails a Constitution saving throw, they suffer from a hallucinogenic toxin until they are attacked or otherwise interrupted.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Hallucinogenic Toxin
Feature/&ToadKingJumpTitle	Jump
Feature/&ToadKingPoisonConditionAffinityTitle	Immune to Poison Condition
Feature/&ToadKingPoisonDamageAffinityTitle	Immune to Poison Damage
Feature/&ToadKingStickyFeetTitle	Webbed Feet
Feature/&TrickstersEscapeTitle	Trickster's Escape
Feature/&UrPriestDomainTheftDescription	You snatch the secrets that a god grants all of its devout clerics. Choose a Cleric domain: you gain the features that domain grants at 1st level.
Feature/&UrPriestDomainTheftTitle	Domain Theft
Feature/&UrPriestExpandedSpelllistAfinityDescription	You choose from an expanded list of spells when you learn a Warlock spell. Cleric spells are added to the Warlock spell list for you.
Feature/&UrPriestExpandedSpelllistAfinityTitle	UrPriest Spells
Feature/&WallofThornsFeatureSetDescription	Cast Wall of Thorns once a day.
Feature/&WallofThornsFeatureSetTitle	Forest Barrier
Feature/&WitchCurseChoiceDescription	You are wracked by a terrible curse which infects your body and soul.
Feature/&WitchCurseChoiceTitle	Witch Curse
Feature/&WitchMaledictionChoiceDescription	You can learn a number of powerful incantations, known as Maledictions, derived from the same insidious magic which cursed you.
Feature/&WitchMaledictionChoiceTitle	Maledictions
Feature/&WitchSightDescription	You can sense or see invisible creatures within 60 ft of you.
Feature/&WitchSightTitle	Witch Sight
Feature/&ZSPowerPaladinCleansingTouchDescription	Remove spell effects by touching an ally. You can do this a number of times per day equal to your Charisma modifier.
Feature/&ZSPowerPaladinCleansingTouchTitle	Cleansing Touch
Feedback/&AdditionalDamageAgonizing_BlastFormat	Agonizing Blast
Feedback/&AdditionalDamageAgonizing_BlastLine	When you cast eldritch blast, you add your Charisma modifier to the damage it deals on a hit.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Additional Damage from Magically Powered Attacks
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Additional Damage from Magically Powered Attacks
Feedback/&AdditionalDamageArcaneFirearmFormat	Blasting Enhancement!
Feedback/&AdditionalDamageArcaneFirearmLine	Dealing additional damage from Blasting Enhancement
Feedback/&AdditionalDamageArcanistMarkFormat	Arcanist's Mark!
Feedback/&AdditionalDamageArcanistMarkLine	Arcanist's Mark detonates and deals extra damage to the target!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Illuminating Strike!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Illuminating Strike deals extra damage to the target!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Blinding Weapon
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Additional damage and trying to apply Blindness from Blinding Weapon
Feedback/&AdditionalDamageEldritchSmiteFormat	Eldritch Smite!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} smites {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Elemental Damage
Feedback/&AdditionalDamageElementalDamageLine	Elemental form grants additional damage
Feedback/&AdditionalDamageLightningSpearFormat	Lightning Spear!
Feedback/&AdditionalDamageLightningSpearLine	{0} strikes {1} with Lightning Spear! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	Pact mark!
Feedback/&AdditionalDamagePactMarkedLine	Pact mark does additional damage!
Feedback/&AdditionalDamagePactSoulTakerFormat	Soul taker!
Feedback/&AdditionalDamagePactSoulTakerLine	Soul taker does additional damage!
Feedback/&AdditionalDamageResonatingStrikeFormat	Resonating Strike!
Feedback/&AdditionalDamageResonatingStrikeLine	{0} resonates {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Soul Empowered!
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered does additional damage!
Feedback/&AdditionalDamageSunlightBladeFormat	Sunlit Blade!
Feedback/&AdditionalDamageSunlightBladeLine	{0} burns {1} with Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Upgraded Damage
Feedback/&AdditionalDamageUpgradedConstructLine	The upgraded construct deals 1d8 more damage per hit.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&ExtraDamageDescription	Extra damage from Lighting Spear.
Feedback/&ExtraDamageTitle	Lightning Spear extra damage
Feedback/&LightningSpearAdditionalDamageDescription	Deals an additional 1d6 lightning damage once per turn.
Feedback/&LightningSpearAdditionalDamageTitle	Lightning Spear extra damage
Feedback/&NotifyEffectResonatingStrikeLine	{0} resonates {1}!
FightingStyle/&BlindFightingDescription	You have blindsight with a range of 10 feet.
FightingStyle/&BlindFightingTitle	Blind Fighting
FightingStyle/&CripplingDescription	Upon hitting with a melee attack, you can reduce the speed of your opponent by 10 ft until the start of your next turn.
FightingStyle/&CripplingTitle	Crippling
FightingStyle/&PugilistFightingDescription	Your unarmed strikes deal an additional 1d4 bludgeoning damage and you can punch with your offhand as a bonus action.\nIf you have free hand, you can shove as a bonus action.
FightingStyle/&PugilistFightingTitle	Pugilist
FightingStyle/&TitanFightingDescription	You gain a +2 hit against creatures of size Large or bigger.
FightingStyle/&TitanFightingTitle	Titan Fighting
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcana, Nature, and Insight.
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religion, Nature, and Insight.
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	History, Persuasion, and Intimidation.
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Select 2 skill proficiencies.
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Skills
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Select 3 skill proficiencies.
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Skills
FlexibleBackgrounds/&BackgroundToolSelect2Description	Select 2 tool proficiencies.
FlexibleBackgrounds/&BackgroundToolSelect2Title	Tools
FlexibleBackgrounds/&BackgroundToolSelectDescription	Select a tool proficiency.
FlexibleBackgrounds/&BackgroundToolSelectTitle	Tool
