ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Feature/&ProficiencyRogueSlipperyMindDescription	No 15º nível, você adquiriu maior força mental. Você ganha proficiência em lançamentos salvadores de Sabedoria.
Feature/&ProficiencyRogueSlipperyMindTitle	Mente escorregadia
Feature/&ProficiencySoulBladeArmorDescription	Blindagem leve, Blindagem média e Blindagem blindada.
Feature/&ProficiencySoulBladeArmorTitle	Proficiências da Blindagem da Alma
Feature/&ProficiencySoulBladeWeaponDescription	Armas Simples, Armas Marciais.
Feature/&ProficiencySoulBladeWeaponTitle	Proficiências em Armas de Lâmina
Feature/&RageDamageBonusAttackModifierDescription	Acrescente +2 danos a seus ataques enquanto está em fúria.
Feature/&RageDamageBonusAttackModifierTitle	Danos de raiva
Feature/&RageFeatConditionDescription	Enquanto estiver enfurecido, você ganha o seguinte: Vantagem nas verificações de força e nos lançamentos de economia de força, um bônus para rolos de dano de +2, e resistência a pancadas, piercing e corte de danos.
Feature/&RageFeatConditionTitle	Enraivecido
Feature/&RagePowerDescription	Como uma ação bônus, você entra em fúria por um minuto e ganha o seguinte: Vantagem em verificações de força e lançamentos de economia de força, um bônus para rolos de dano de +2, e resistência a golpes, piercing e corte de danos.
Feature/&RagePowerTitle	Fúria
Feature/&RageStrengthSavingThrowAffinityDescription	Você obtém vantagem na economia de força enquanto se enfurece.
Feature/&RageStrengthSavingThrowAffinityTitle	A Força da Raiva economiza vantagem
Feature/&RallyingCryPowerDescription	Substitui o Segundo Vento por um poder para restaurar 4x os níveis de combate a um ou mais aliados dentro de 6 células, até o seu ponto máximo de golpe.
Feature/&RallyingCryPowerTitle	Choro de Rally
Feature/&RallyingCryPowerTitleShort	Choro de rali
Feature/&RangerFeralSensesDescription	Você ganha sentidos preternaturais que o ajudam a combater criaturas que você não pode ver. Quando você ataca uma criatura que não consegue ver, sua incapacidade de vê-la não impõe desvantagens em seu ataque rola contra ela.
Feature/&RangerFeralSensesTitle	Sentidos ferozes
Feature/&RangerVanishActionDescription	A partir do 14º nível, você pode usar a ação Esconder como uma ação bônus na sua vez.
Feature/&RangerVanishActionTitle	Desapareça
Feature/&RiftWalkerRestrainedImmunityTitle	Etapa da Frota
Feature/&RiftWalkerSpellsMagicAffinityDescription	Você escolhe de uma lista expandida de feitiços quando aprende um feitiço de mago. Os seguintes feitiços são adicionados à lista de feitiços de mago para você: {0}n
Feature/&RiftWalkerSpellsMagicAffinityTitle	Feitiços de Rift Walker
Feature/&RoyalEnvoyFeatureDescription	Adicione metade de seu bônus de proficiência (arredonde para cima) a qualquer verificação de Carisma que você faça e que ainda não use seu bônus de proficiência. Além disso, você se torna proficiente com lançamentos de economia de Carisma.
Feature/&RoyalEnvoyFeatureTitle	Enviado Real
Feature/&SavingThrowTinkererProficiencyDescription	Proficiência na Constituição e nos lançamentos de economia de inteligência.
Feature/&SavingThrowTinkererProficiencyTitle	Salvando Lançamentos de Proficiência
Feature/&ScoutModePowerDescription	Ganhe maior movimento, vantagem nas verificações furtivas e uma vez por vez, seus ataques com armas à distância proporcionam uma morte extra de danos.
Feature/&ScoutModePowerTitle	Modo Escoteiro
Feature/&SentinelModePowerDescription	Ganho de HP Temp igual ao nível. Impor Desvantagem aos inimigos que atacam aliados.
Feature/&SentinelModePowerTitle	Modo Sentinela
Feature/&ShroudofShadowTitle	Sudário de Sombra
Feature/&SignofIllOmenTitle	Sinal de mau agouro
Feature/&SpellAsInvocationAtWillDescription	Fundido {0} à vontade.
Feature/&SpellAsInvocationOncePerDayDescription	Fundido {0} uma vez até um longo descanso.
Feature/&TempHPShield_09ModePowerDescription	Convoca uma construção que dura 1 hora. \cúpula protetora: Concede 1d8 + 4 HP temporários aos aliados num raio de 10 pés. \Autodestruição: trata de danos de força 3d8 em uma unidade que falhou, salvando e destruindo a unidade.
Feature/&TempHPShield_09ModePowerTitle	Invocação de Construção de Cúpula Protetora
Feature/&TempHPShield_15ModePowerDescription	Convoca uma construção que dura 1 hora. \n Cúpula de proteção: Concede 1d8 + 4 HP temporários aos aliados num raio de 10 pés. \Autodestruição: trata de danos de força 3d8 em uma unidade que falhou, salvando e destruindo a unidade. \Cúpula de meia cobertura: Fornece metade da cobertura aos aliados num raio de 10 pés.
Feature/&TempHPShield_15ModePowerTitle	Invocação de Construção de Cúpula Protetora
Feature/&TempHPShieldModePowerDescription	Convoca uma construção que dura 1 hora. \n Cúpula de proteção: Concede 1d8 + 4 HP temporários aos aliados num raio de 10 pés.
Feature/&TempHPShieldModePowerTitle	Invocação de Construção de Cúpula Protetora
Feature/&TempHPShieldTitle	Protegendo a cúpula
Feature/&ThiefofFiveFates	Fundido {0} uma vez por dia
Feature/&ThiefofFiveFatesTitle	Ladrão de Cinco Destinos
Feature/&ThirstingBladeDescription	Você pode atacar com sua arma duas vezes, ao invés de uma vez, sempre que você tomar a ação de Ataque na sua vez.
Feature/&ThirstingBladeTitle	Lâmina sedenta
Feature/&TinkererArmorProficiencyDescription	Proficiência com armaduras leves e médias, assim como com escudos.
Feature/&TinkererArmorProficiencyTitle	Proficiência com armaduras Funileiro
Feature/&TinkererInfusionChoiceDescription	Selecione as infusões que você terá disponíveis para usar. Note que cada infusão pode estar ativa apenas uma vez. Ativá-la uma segunda vez irá cancelar a primeira.
Feature/&TinkererInfusionChoiceTitle	Escolha da infusão
Feature/&TinkererInfusionReplaceDescription	Selecione as infusões a serem substituídas.
Feature/&TinkererInfusionReplaceTitle	Substituir a infusão
Feature/&TinkererSkillGainChoicesPluralDescription	As habilidades dos funileiros são Arcana, História, Investigação, Medicina, Natureza, Percepção e Visão de Mão.
Feature/&TinkererSkillPointsTitle	Habilidades de Sininho
Feature/&TinkererToolsExpertiseDescription	Ganhe experiência com muitas ferramentas, incluindo Ferramentas de Ladrões, Kits de Pergaminho, Kit de Veneno, Kit de Herbalismo e Ferramentas de Encantamento.
Feature/&TinkererToolsExpertiseTitle	Especialização em Ferramentas de Sininho
Feature/&TinkererToolsProficiencyDescription	Ganhe proficiência com muitas ferramentas incluindo Ferramentas de Ladrões, Kits de Pergaminho, Kit de Veneno, Kit de Herbalismo e Ferramentas de Encantamento.
Feature/&TinkererToolsProficiencyTitle	Proficiências de Ferramentas
Feature/&TinkererWeaponProficiencyDescription	Proficiência com armas simples.
Feature/&TinkererWeaponProficiencyTitle	Proficiências com armas Funileiro
Feature/&ToadKingBasicToxinTitle	Toxina básica
Feature/&ToadKingExpandedSpelllistAfinityDescription	Você escolhe de uma lista expandida de feitiços quando aprende um feitiço de mago. Os seguintes feitiços são adicionados à lista de feitiços de mago para você: {0}n
Feature/&ToadKingExpandedSpelllistAfinityTitle	Feitiços do Rei Sapo
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Seu corpo mudou para se tornar resistente a toxinas e para produzir uma toxina defensiva quando atingido por ataques de corpo a corpo, até um número de vezes por longo descanso igual ao seu bônus de proficiência. Se o atacante falhar um lançamento salvador da Constituição, ele sofrerá de uma toxina alucinógena até que seja atacado ou interrompido de outra forma.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Toxina alucinógena
Feature/&ToadKingJumpTitle	Pular
Feature/&ToadKingPoisonConditionAffinityTitle	Imune à condição de intoxicação
Feature/&ToadKingPoisonDamageAffinityTitle	Imune a danos por veneno
Feature/&ToadKingStickyFeetTitle	Pés da cama da web
Feature/&TrickstersEscapeTitle	Fuga do Trickster
Feature/&UrPriestDomainTheftDescription	Você arrebata os segredos que um deus concede a todos os seus clérigos devotos. Escolha um domínio clérigo: você ganha as características que o domínio concede ao 1º nível.
Feature/&UrPriestDomainTheftTitle	Roubo de domínio
Feature/&UrPriestExpandedSpelllistAfinityDescription	Você escolhe de uma lista expandida de feitiços quando aprende um feitiço de mago. Feitiços clérigos são adicionados à lista de feitiços de mago para você.
Feature/&UrPriestExpandedSpelllistAfinityTitle	Feitiços UrPriest
Feature/&WallofThornsFeatureSetDescription	Muro de Espinhos fundido uma vez por dia.
Feature/&WallofThornsFeatureSetTitle	Barreira florestal
Feature/&WitchCurseChoiceDescription	Você está envolvido por uma terrível maldição que infecta seu corpo e sua alma.
Feature/&WitchCurseChoiceTitle	Maldição das bruxas
Feature/&WitchMaledictionChoiceDescription	Você pode aprender uma série de poderosos encantamentos, conhecidos como Maledições, derivados da mesma magia insidiosa que o amaldiçoou.
Feature/&WitchMaledictionChoiceTitle	Maledicções
Feature/&WitchSightDescription	Você pode sentir ou ver criaturas invisíveis a menos de 60 pés de você.
Feature/&WitchSightTitle	Visão de bruxa
Feature/&ZSPowerPaladinCleansingTouchDescription	Remover os efeitos de feitiços tocando um aliado. Você pode fazer isto um número de vezes por dia igual ao seu modificador de Carisma.
Feature/&ZSPowerPaladinCleansingTouchTitle	Toque de Limpeza
Feedback/&AdditionalDamageAgonizing_BlastFormat	Explosão agonizante
Feedback/&AdditionalDamageAgonizing_BlastLine	Quando você lança eldritch blast, você adiciona seu modificador de Carisma aos danos que ele causa em um sucesso.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Danos adicionais de Ataques com Poder Magnético
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Danos adicionais causados por ataques com energia mágica
Feedback/&AdditionalDamageArcaneFirearmFormat	Melhoria de jateamento!
Feedback/&AdditionalDamageArcaneFirearmLine	Lidando com os danos adicionais causados pelo aumento do jateamento
Feedback/&AdditionalDamageArcanistMarkFormat	Marca do Arcanista!
Feedback/&AdditionalDamageArcanistMarkLine	O Arcanist's Mark detona e causa danos extras ao alvo!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Ataque Iluminador!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Iluminando o Strike causa danos extras ao alvo!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arma Cegante
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Danos adicionais e tentativa de aplicar a Cegueira por Arma Cega
Feedback/&AdditionalDamageEldritchSmiteFormat	Eldritch Smite!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} smites {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Danos Elementares
Feedback/&AdditionalDamageElementalDamageLine	A forma elementar garante danos adicionais
Feedback/&AdditionalDamageLightningSpearFormat	Lança Relâmpago!
Feedback/&AdditionalDamageLightningSpearLine	{Ataca {0} com a Lança Relâmpago! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	Marca do pacto!
Feedback/&AdditionalDamagePactMarkedLine	A marca Pact faz danos adicionais!
Feedback/&AdditionalDamagePactSoulTakerFormat	Tirador de alma!
Feedback/&AdditionalDamagePactSoulTakerLine	O "Soul taker" faz danos adicionais!
Feedback/&AdditionalDamageResonatingStrikeFormat	Ressonante Strike!
Feedback/&AdditionalDamageResonatingStrikeLine	Ressoa {0} ressoa {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Alma capacitada!
Feedback/&AdditionalDamageSoulEmpoweredLine	A Soul Empowered faz danos adicionais!
Feedback/&AdditionalDamageSunlightBladeFormat	Lâmina iluminada pelo sol!
Feedback/&AdditionalDamageSunlightBladeLine	{Queima {0} com Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Danos atualizados
Feedback/&AdditionalDamageUpgradedConstructLine	A construção melhorada oferece mais danos 1d8 por golpe.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} cria {1}
Feedback/&ExtraDamageDescription	Danos extras da Lança de Iluminação.
Feedback/&ExtraDamageTitle	Danos extras da Lança de Raios
Feedback/&LightningSpearAdditionalDamageDescription	Lida com um raio adicional de 1d6 uma vez por volta.
Feedback/&LightningSpearAdditionalDamageTitle	Danos adicionais da lança do relâmpago
Feedback/&NotifyEffectResonatingStrikeLine	{0} ressoa {1}!
FightingStyle/&BlindFightingDescription	Você tem persianas com um alcance de 3 metros.
FightingStyle/&BlindFightingTitle	Combate às cegas
FightingStyle/&CripplingDescription	Ao bater com um ataque corpo a corpo, você pode reduzir a velocidade do seu oponente em 10 pés até o início da sua próxima curva.
FightingStyle/&CripplingTitle	Crippling
FightingStyle/&PugilistFightingDescription	Suas greves desarmadas provocam um dano adicional de 1d4 e você pode dar um soco com sua mão livre como uma ação bônus.\n Se você tiver mão livre, você pode dar um soco como uma ação bônus.
FightingStyle/&PugilistFightingTitle	Pugilista
FightingStyle/&TitanFightingDescription	Você ganha uma pancada de +2 contra criaturas de tamanho Grande ou maior.
FightingStyle/&TitanFightingTitle	Combate de Titãs
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcana, Natureza, e Insight.
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religião, Natureza e Percepção.
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	História, Persuasão e Intimidação.
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Selecione 2 proficiências de habilidade.
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Habilidades
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Selecione 3 proficiências de habilidade.
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Habilidades
FlexibleBackgrounds/&BackgroundToolSelect2Description	Selecione 2 proficiências de ferramentas.
FlexibleBackgrounds/&BackgroundToolSelect2Title	Ferramentas
FlexibleBackgrounds/&BackgroundToolSelectDescription	Selecione uma proficiência em ferramentas.
FlexibleBackgrounds/&BackgroundToolSelectTitle	Ferramenta
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Percepção e Intimidação.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Luz da mão, furto e engano.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Medicina e Persuasão.
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Atletismo e Intimidação.
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Furtividade, engano e natureza.
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Sobrevivência e Natureza.
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleRaces/&PointPoolAbilityScore3Description	Use três aumentos nas pontuações de habilidade em qualquer combinação de sua escolha.
FlexibleRaces/&PointPoolAbilityScore3Title	Aumento das pontuações de habilidade
FlexibleRaces/&PointPoolAbilityScore4Description	Use quatro aumentos nas pontuações de habilidade em qualquer combinação de sua escolha.
FlexibleRaces/&PointPoolAbilityScore4Title	Aumento das pontuações de habilidade
Format/&LevelAndExperienceFormat	Nível: {0}nExperiência: {Pontos necessários para alcançar o nível 3.
Format/&LevelAndExperienceMaxedFormat	Nível: {0}nExperiência: {Nível máximo alcançado
Item/&CEHalberd+1Title	Halberd +1
Item/&CEHalberd+1UnidentifiedTitle	Qualidade Halberd
Item/&CEHalberd+2Title	Halberd +2
Item/&CEHalberd+2UnidentifiedTitle	Magnífico Halberd
Item/&CEHalberdLightningTitle	Halberd Relâmpago
Item/&CEHalberdLightningUnidentifiedTitle	Magnífico Halberd
Item/&CEHalberdPrimedTitle	Halberd Primed
Item/&CEHalberdTitle	Halberd
Item/&CEHandXbow+1Title	Balestra Mão +1
Item/&CEHandXbow+1UnidentifiedTitle	Besta Cruzada de Qualidade
Item/&CEHandXbow+2Title	Balestra de mão +2
Item/&CEHandXbow+2UnidentifiedTitle	Magnífica Besta Cruzada de Mão
Item/&CEHandXbowAcidTitle	Besta Cruzada Mão Ácida
Item/&CEHandXbowAcidUnidentifiedTitle	Magnífica Besta Cruzada de Mão
Item/&CEHandXbowPrimedTitle	Besta Cruzada de Mão Primed
Item/&CEHandXbowTitle	Besta Cruzada Manual
Item/&CELongMace+1Title	Long Mace +1
Item/&CELongMace+1UnidentifiedTitle	Mace Long Mace de qualidade
Item/&CELongMace+2Title	Long Mace +2
Item/&CELongMace+2UnidentifiedTitle	Magnífico Long Mace
Item/&CELongMacePrimedTitle	Mace longa primed
Item/&CELongMaceThunderTitle	Thundering Long Mace
Item/&CELongMaceThunderUnidentifiedTitle	Magnífico Long Mace
Item/&CELongMaceTitle	Macarrão longo
Item/&CEPike+1Title	Lúcio +1
Item/&CEPike+1UnidentifiedTitle	Lúcio de Qualidade
Item/&CEPike+2Title	Lúcio +2
Item/&CEPike+2UnidentifiedTitle	Lúcio Magnífico
Item/&CEPikePrimedTitle	Pike Primed
Item/&CEPikePsychicTitle	Psíquico Pike
Item/&CEPikePsychicUnidentifiedTitle	Lúcio Magnífico
Item/&CEPikeTitle	Pike
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Encantar Halberd +1
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Encantar Halberd +2
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Encantar o Raio Halberd
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Besta Encantada Mão Crossbow +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Besta Encantada +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Besta Encantada Ácida Mão Crossbow
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Encantar Long Mace +1
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Encantar Long Mace +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Encantador Thundering Long Mace
Item/&CraftingManualRecipeEnchantCEPike+1Title	Enchant Pike +1
Item/&CraftingManualRecipeEnchantCEPike+2Title	Lúcio Encantado +2
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Lúcio Psíquico Encantado
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Encantador de alças +1.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Encantador de envoltórios +1
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Encantador de alças +2.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Encantador de envoltórios +2
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Enchant Forceful Handwraps.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Enchant Forceful Handwraps
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Encantamento de alças de puxar.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Encantam os envoltórios de puxar
Item/&CraftingManualRecipePrimingCEHalberdTitle	Prime Halberd
Item/&CraftingManualRecipePrimingCEHandXbowTitle	Besta Prime Hand
Item/&CraftingManualRecipePrimingCELongMaceTitle	Prime Long Mace
Item/&CraftingManualRecipePrimingCEPikeTitle	Lúcio Principal
Item/&ForceArtilleryProjectileDescription	ForceArtilleryProjectile.
Item/&ForceArtilleryProjectileTitle	ForceArtilleryProjectile
Item/&Handwraps+1Title	Panos de mão +1
Item/&Handwraps+1UnidentifiedTitle	Bandas de mão de boa qualidade
Item/&Handwraps+2Title	Bandas de mão +2
Item/&Handwraps+2UnidentifiedTitle	Magníficas Bandas de Mão
Item/&HandwrapsOfForceTitle	Bandas de mão forçadas
Item/&HandwrapsOfForceUnidentifiedTitle	Magníficas Bandas de Mão
Item/&HandwrapsOfPullingTitle	Bandas de puxar à mão
Item/&HandwrapsOfPullingUnidentifiedTitle	Magníficas Bandas de Mão
Language/&AbyssalDescription	A linguagem abissal era a forma da linguagem primordial que foi envolvida e torcida pelo mal do abismo.
Language/&AbyssalTitle	Abissal
Language/&GnomishLanguageDescription	Uma antiga língua solastana, preservada por gnomos que vivem em florestas profundas de Solasta, sobreviveu ao Cataclismo.
Language/&GnomishLanguageTitle	Gnomish
MainMenu/&ExportPdfDescription	Nivele abaixo este Herói.
MainMenu/&ExportPdfTitle	Nível Abaixo
Message/&CharacterExportDuplicateNameErrorDescription	Exportação Cancelada: um herói com este nome já existe na piscina. Por favor, tente um nome diferente.
Message/&CharacterExportEmptyNameErrorDescription	Exportação Cancelada:\nPor favor, tente um nome não vazio.
Message/&CharacterExportModalContentDescription	Digite o nome do herói a ser exportado:
Message/&CharacterExportModalTitleDescription	Exportação de caracteres.
Message/&LevelDownConfirmationDescription	Nivele este Herói?
Message/&LevelDownMultiplayerAbortDescription	Não é possível nivelar para baixo durante uma sessão multiplayer.
Message/&MessageModWelcomeDescription	O Community Expansion Mod está repleto de recursos interessantes, mas por padrão nenhum está habilitado. Pressione <color=amarelo>Ctrl-F10</cor> para abrir o Unity Mod Manager UI [UMM], depois clique no ícone de configurações ao lado de 'Community Expansion' para abrir as páginas de configurações.\n\n Explore as opções e selecione as que você gosta. A interface de usuário UMM será aberta agora.
Message/&MessageModWelcomeTitle	Modalidade de Expansão da Comunidade
Message/&RespecMultiplayerAbortDescription	Não pode Respec durante uma sessão multiplayer ou no mapa de exploração.
Message/&SpawnCustomEncounterDescription	Desovar o encontro nas coordenadas ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	Não é possível desovar encontros em um jogo multijogador. No entanto...
Message/&SpawnCustomEncounterTitle	Encontros
Message/&TeleportPartyDescription	Teleporte para coordenadas ({0}, {1})?{1}pode quebrar missões ou mapas se você se teletransportar para um lugar não descoberto.
Message/&TeleportPartyTitle	Teletransporte
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierDescription	A arma usa o modificador de Carisma para os rolos de ataque e dano e conta como mágico até um longo descanso.
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierTitle	Alma capacitada
Modifier/&AttributeModifierRuinDescription	-3 para a classe Armor.
Modifier/&AttributeModifierRuinTitle	Arruinado
Modifier/&CripplingAdditionalDamageDescription	Danos de Cripagem.
Modifier/&CripplingAdditionalDamageTitle	Crippling
Modifier/&DisorientDescription	-1d6 para atacar rolos.
Modifier/&DisorientTitle	Desorientado
Monster/&DHCustomCouatlDescription	Os Couatls são seres serpentinos benevolentes de grande intelecto e perspicácia. Suas asas brilhantemente coloridas e suavidade falam de suas origens celestiais.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Coruja Familiar.
Monster/&OwlFamiliarTitle	Coruja
Monster/&PactOfChainCustomImpDescription	Os diabinhos são encontrados em todos os planos inferiores, seja fazendo recados para seus mestres infernais, espionando seus rivais, ou enganando e enganando os mortais. Um diabinho se orgulha de servir a um mestre maligno de qualquer tipo, mas não se pode confiar nele para realizar tarefas com qualquer velocidade ou eficiência.
Monster/&PactOfChainCustomImpTitle	Diabinho (Pacto de Cadeia)
Monster/&PactOfChainCustomPseudodragonDescription	O pseudodragon fugidio habita nos lugares tranqüilos do mundo, fazendo sua casa nos buracos de árvores e pequenas cavernas. Com suas escamas verdes, chifres e uma serra cheia de dentes afiados, um pseudodragon assemelha-se a um pequeno dragão verde, mas sua disposição é brincalhona.
Monster/&PactOfChainCustomPseudodragonTitle	Pseudodragon
Monster/&PactOfChainCustomQuasitDescription	As Quasits infestam os Planos Inferiores. Fisicamente fracos, eles se mantêm nas sombras para conspirar maldades e maldades. Demônios mais poderosos usam os quasits como espiões e mensageiros quando não os devoram ou os afastam para passar o tempo.
Monster/&PactOfChainCustomQuasitTitle	Quasit (Pacto de Cadeia)
Monster/&PactOfChainCustomSpriteDescription	Ao contrário dos píxeis, os sprites raramente se entregam à alegria e ao divertimento frívolo. Eles são guerreiros firmes, protetores e juízes, e sua curvatura severa faz com que outras pessoas os considerem excessivamente dourados e sérios. No entanto, aqueles que respeitam o território dos sprites os encontram aliados ferrenhos em tempos de problemas.
Monster/&PactOfChainCustomSpriteTitle	Sprite (Pacto de Cadeia)
Monster/&WitchOwlFamiliarDescription	Coruja Familiar.
Monster/&WitchOwlFamiliarTitle	Coruja
MonsterAttack/&AttackWarlockDragonStingDescription	1d4 danos perfurantes e alvo devem ser bem sucedidos em um arremesso salvador da Constituição DC 11 ou ficar envenenado.
MonsterAttack/&AttackWarlockDragonStingTitle	Picada venenosa
MonsterAttack/&AttackWarlockImpStingDescription	Picada venenosa de um imp.
MonsterAttack/&AttackWarlockImpStingTitle	Picada venenosa
MonsterAttack/&AttackWarlockQuasitStingTitle	Picada Venenosa
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Danos perfurantes, e o alvo deve ser bem sucedido em um arremesso da Constituição DC 13 economizando ou ser envenenado por 24 horas. Até que este veneno termine, o alvo está inconsciente.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Mordida
Power/&AncientForestLifeSapDescription	Quando você danifica um inimigo com um feitiço, você cura HP igual à metade de seu nível uma vez por vez. Se você estiver abaixo da metade do HP, você cura o HP igual ao seu nível, mas apenas até a metade do HP máximo.
Power/&AncientForestLifeSapTitle	Seiva vital
Power/&AncientForestRootedPowerDescription	Os tendrilhos arborícolas crescem dos pés e caem no chão. Sua velocidade se torna 0, e você ganha vantagem em qualquer lançamento de salvamento para empurrá-lo, puxá-lo ou derrubá-lo. Você pode lançar emaranhado à vontade.
Power/&AncientForestRootedPowerTitle	Enraizado
Power/&ClassMonkDiamondSoulPowerDescription	Sempre que você fizer um lançamento de economia e falhar, você pode gastar 1 ki ponto para refazer a jogada e obter o segundo resultado.
Power/&ClassMonkDiamondSoulPowerTitle	Alma de diamante
Power/&ClassMonkEmptyBodyDescription	Você pode usar sua ação para gastar 4 ki pontos para se tornar invisível por 1 minuto. Durante esse tempo, você também tem resistência a todos os danos, mas força os danos.
Power/&ClassMonkEmptyBodyTitle	Corpo Vazio
Power/&ClassMonkFlurryOfBlowsDescription	Depois de gastar sua ação para atacar com a arma Monk, você pode gastar 1 ki ponto como uma ação bônus para fazer 2 ataques desarmados. Somente disponível se você não estiver usando armadura ou empunhando um escudo.
Power/&ClassMonkFlurryOfBlowsTitle	Golpe de Artilharia
Power/&ClassMonkKiPoolDescription	Você pode aproveitar a energia mística do ki. Seu acesso a essa energia é representado por uma série de pontos de ki. A quantidade máxima é igual ao nível de seu monge. Todos os pontos gastos são recuperados em um descanso curto ou longo. Você pode gastar estes pontos para alimentar várias características do ki.
Power/&ClassMonkKiPoolTitle	Pontos Ki
Power/&ClassMonkKiStillnessOfMindDescription	Você pode usar sua ação para acabar com um efeito em si mesmo que o está fazendo ficar encantado ou assustado.
Power/&ClassMonkKiStillnessOfMindTitle	Tranqüilidade da mente
Power/&ClassMonkOpenHandDistractDescription	O alvo não pode ter reações até o final de sua próxima vez.
Power/&ClassMonkOpenHandDistractTitle	Distraia
