ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zaubersprüche wirken.
Feature/&ElementalPatronElementalConditionFormatTitle	Kanalisieren {0}
Feature/&ElementalPatronElementalDamageFormatDescription	Wenn du {0} kanalisierst, verursachst du beim ersten Treffer jede Runde zusätzlich {1} Schaden in Höhe deines Befähigungsbonus.
Feature/&ElementalPatronElementalDamageFormatTitle	Elementarschaden: {0}
Feature/&ElementalPatronElementalFormEnhancedFormatDescription	Wenn du die {0} kanalisierst, erhältst du Immunität gegen {1} und wendest den Befähigungsbonus als Schaden desselben Typs auf den ersten Treffer jeder Runde an.
Feature/&ElementalPatronElementalFormEnhancedFormatTitle	Kanalisieren {0}
Feature/&ElementalPatronElementalFormFormatDescription	Wenn du die {0} kanalisierst, erhältst du Widerstand gegen {1} Schaden und wendest einen Befähigungsbonus als Schaden desselben Typs auf den ersten Treffer jeder Runde an.
Feature/&ElementalPatronElementalFormFormatTitle	{0}
Feature/&ElementalPatronFeatureSet_Level06Description	Dein Wissen über Elementare hat sich dahingehend verbessert, dass du nun einen Vorteil bei Fähigkeitsprüfungen gegenüber Elementaren erhältst und zusätzlichen Schaden gegen Elementare in Höhe deiner Wissensstufe verursachst. Du kannst nicht mehr von Elementaren verzaubert oder erschreckt werden.
Feature/&ElementalPatronFeatureSet_Level06Title	Wissen über Elementare
Feature/&EmptyString	
Feature/&EyesoftheRuneKeeperDescription	Du kannst alle Schriften lesen.
Feature/&EyesoftheRuneKeeperTitle	Augen des Runenhüters
Feature/&FiendishVigorTitle	Teuflische Wucht
Feature/&FlameArtillery_09ModePowerDescription	Ruft ein Konstrukt herbei, das 1 Stunde lang anhält. \Flammenartillerie: Erzeugt einen Feuerkegel, der bei einem misslungenen Schutz 3d8 Schaden verursacht. \nSelbstzerstörung: Fügt bei einem misslungenen Schutzversuch 3d8 Kraftschaden zu und zerstört die Einheit.
Feature/&FlameArtillery_09ModePowerTitle	Flammenartillerie-Konstrukt beschwören
Feature/&FlameArtillery_15ModePowerDescription	Beschwört ein Konstrukt mit einer Dauer von 1 Stunde. \nFlammenartillerie: Erzeugt einen Feuerkegel, der bei einem misslungenen Schutzversuch 3d8 Schaden verursacht. \nSelbstzerstörung: Fügt bei einem misslungenen Schutzversuch 3d8 Kraftschaden zu und zerstört die Einheit. \n Kuppel mit halber Deckung: Bietet Verbündeten im Umkreis von 10 Fuß halbe Deckung.
Feature/&FlameArtillery_15ModePowerTitle	Flammenartillerie-Konstrukt beschwören
Feature/&FlameArtilleryModePowerDescription	Ruft ein Konstrukt herbei, das 1 Stunde lang bestehen bleibt. \nFlammenartillerie: Erzeugt einen Feuerkegel, der bei einem misslungenen Schutzversuch 2d8 Schaden verursacht.
Feature/&FlameArtilleryModePowerTitle	Flammenartillerie-Konstrukt beschwören
Feature/&ForceArtillery_09ModePowerDescription	Ruft ein Konstrukt herbei, das 1 Stunde lang anhält. \nForce Artillery: Verursacht 3d8 Kraftschaden und stößt den Gegner 5ft weit weg. \nSelbstzerstörung: Fügt bei einem misslungenen Schutz 3d8 Kraftschaden zu und zerstört die Einheit.
Feature/&ForceArtillery_09ModePowerTitle	Kraft-Artillerie-Konstrukt beschwören
Feature/&ForceArtillery_15ModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde lang hält. \nForce Artillery: Verursacht 3d8 Kraftschaden und stößt den Gegner 5ft weit weg. \nSelbstzerstörung: Fügt bei einem misslungenen Schutz 3d8 Kraftschaden zu und zerstört die Einheit. \n Halbe Deckungskuppel: Bietet Verbündeten innerhalb von 10ft halbe Deckung.
Feature/&ForceArtillery_15ModePowerTitle	Kraft-Artillerie-Konstrukt beschwören
Feature/&ForceArtilleryAdditionalDamageTitle	Erhöhter Schaden
Feature/&ForceArtilleryModePowerDescription	Ruft ein Konstrukt herbei, das 1 Stunde lang bestehen bleibt. \nForce Artillery: Verursacht 2d8 Kraftschaden und stößt das Ziel 5ft weit weg.
Feature/&ForceArtilleryModePowerTitle	Kraft-Artillerie-Konstrukt beschwören
Feature/&ForceArtilleryTitle	Kraft-Artillerie
Feature/&GambitResourcePoolAddDescription	Fügt einen zusätzlichen Gambit-Würfel hinzu.
Feature/&GambitResourcePoolAddTitle	Zusätzlicher Gambit-Würfel
Feature/&GambitResourcePoolDescription	Pool von Gambit-Würfeln, die für Gambits ausgegeben werden können. Beginnt mit 4 Würfeln, die sich bei kurzer Rast wieder aufladen.
Feature/&GambitResourcePoolTitle	Gambit-Würfel-Pool
Feature/&GiftoftheEverLivingOnesDescription	Erhält die maximal mögliche Anzahl an Trefferpunkten aus einer Heilung zurück.
Feature/&GiftoftheEverLivingOnesTitle	Gabe der Unsterblichen
Feature/&GiftoftheProtectorsDescription	Wenn du auf 0 Trefferpunkte reduziert, aber nicht getötet wirst, sinkt die Kreatur stattdessen auf magische Weise auf 1 Trefferpunkt. Sobald diese Magie ausgelöst wird, kannst du sie erst wieder nutzen, wenn du eine lange Pause beendet hast.
Feature/&GiftoftheProtectorsTitle	Gabe der Beschützer
Feature/&GnomeCunningFeatureDescription	Du hast einen Vorteil bei allen Schutzwürfen gegen Magie auf Intelligenz, Weisheit und Charisma.
Feature/&GnomeCunningFeatureTitle	Gerissen
Feature/&GnomeNaturalIllusionistDescription	Du kennst den Cantrip Lästige Biene. Intelligenz ist dein Zaubermodifikator für diesen Zauberspruch.
Feature/&GnomeNaturalIllusionistTitle	Natürliche Magie
Feature/&HerbalBrewDescription	Wenn du eine lange Ruhepause beendest, kannst du Kräutersude herstellen, von denen jedes bis zur nächsten langen Ruhepause hält. Du kannst insgesamt so viele Gebräue herstellen, wie es deinem Fertigkeitsbonus entspricht. Für jedes Gebräu kannst du einen der folgenden Effekte wählen: \n<color=#add8e6ff>Kräftigendes Gebräu</color>: Gewährt 1 Stunde lang Resistenz gegen verschiedene Schadensarten.\n<color=#add8e6ff>Verstärkendes Gebräu</color>: Verleiht 2d4 Trefferpunkte.\n<color=#add8e6ff>Vergiftendes Gebräu</color>: Wirkt wie Gift, das auf eine Waffe aufgetragen werden kann und 1 Minute lang anhält. Bei einem Treffer erleidet das Ziel bei jedem Treffer 1d4 Giftschaden.
Feature/&HerbalBrewFeatureSetDescription	Du erhältst die Befähigung zum Giftmischer-Kit oder zum Kräuterkunde-Kit, wenn du sie nicht bereits besitzt. \Wenn du eine lange Pause beendest, kannst du Kräutersude herstellen, die jeweils bis zur nächsten langen Pause reichen. Du kannst insgesamt so viele Gebräue herstellen, wie es deinem Fertigkeitsbonus entspricht. Für jedes Gebräu kannst du einen der folgenden Effekte wählen: \n<color=#add8e6ff>Kräftigendes Gebräu</color>: Gewährt 1 Stunde lang Resistenz gegen verschiedene Schadensarten.\n<color=#add8e6ff>Verstärkendes Gebräu</color>: Verleiht 2d4 Trefferpunkte.\n<color=#add8e6ff>Vergiftendes Gebräu</color>: Wirkt wie Gift, das auf eine Waffe aufgetragen werden kann und 1 Minute lang anhält. Bei einem Treffer erleidet das Ziel bei jedem Treffer 1d4 Giftschaden.
Feature/&HerbalBrewFeatureSetTitle	Kräuterbrauen
Feature/&HinderingBlastDescription	Wenn du eine Kreatur mit deiner eldritchischen Explosion triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 10 Fuß verringern.
Feature/&HinderingBlastMagicAffinityDescription	Wenn du eine Kreatur mit deiner eldritchischen Explosion triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 10 Fuß verringern.
Feature/&HinderingBlastMagicAffinityTitle	Hinderliche Explosion
Feature/&HinderingBlastTitle	Hinderliche Explosion
Feature/&ImprovedPactWeaponDescription	Du kannst jede Waffe als Zauberfokus für deine Hexenmeisterzauber verwenden. Zusätzlich erhält die Waffe einen Bonus von +1 auf ihre Angriffs- und Schadenswürfe.
Feature/&ImprovedPactWeaponTitle	Verbesserte Paktwaffe
Feature/&ImprovedScoutModePowerDescription	Du erhältst die Eigenschaften des verbesserten Spähermodus. Kann jetzt mit einem einzigen Angriff einen Vorteil für Verbündete und einen Nachteil für Feinde erzeugen.
Feature/&ImprovedScoutModePowerTitle	Verbesserter Spähermodus
Feature/&ImprovedSentinelModePowerDescription	Erhält die Eigenschaften des verbesserten Wächtermodus durch die Kraft Panzerhandschuh-Greifer.
Feature/&ImprovedSentinelModePowerTitle	Verbesserter Sentinel-Modus
Feature/&IndomitableResistanceAddDescription	#ERROR!
Feature/&IndomitableResistanceAddTitle	Unbezwingbare Resistenz (erhöht)
Feature/&IndomitableResistanceTitle	Unzähmbarer Widerstand
Feature/&InspirePowerDescription	Gib einen Gambit-Würfel aus und inspiriere dich selbst oder einen Verbündeten, 1d6 + 2 temp hp zu geben.
Feature/&InspirePowerTitle	Inspirieren
Feature/&InspiringSurgePowerDescription	Gewähre einem Verbündeten 1 Runde lang eine zusätzliche Hauptaktion. Lässt sich nicht mit Aktionswut stapeln.
Feature/&InspiringSurgePowerTitle	Inspirierender Ansturm
Feature/&InspiringSurgePowerTitleShort	Inspirierender Ansturm
Feature/&KnockDownPowerDescription	Gib einen Gambit-Würfel aus und befähige deinen Angriff, zusätzlich 1d6 + 2 Hiebschaden zu verursachen. Das Ziel muss einen Stärkeschutz ablegen (DC 8 + dein Fertigkeitsbonus + dein Stärkemodifikator) oder es wird bis zum Beginn seiner nächsten Runde niedergeschlagen.
Feature/&KnockDownPowerTitle	Niederschlagen
Feature/&MagicAffinityRangerArcanistDescription	Du bist geübt darin, im Kampf Zauber zu wirken und kannst Zauber wirken, die eine somatische Komponente erfordern, auch wenn du mit beiden Händen eine Waffe oder einen Schild hältst.
Feature/&MagicAffinityRangerArcanistTitle	Arkanes Kampftraining
Feature/&MiretheMindTitle	Den Geist trüben
Feature/&MoonLitDarknessImmunityDescription	Du bist immun gegen den Zustand "Dunkelheit".
Feature/&MoonLitDarknessImmunityTitle	Mondhelle Finsternis
Feature/&MoonLitExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Hexenmeister-Zauber erlernst. Die folgenden Zauber werden der Liste der Hexenmeisterzauber für dich hinzugefügt: 0
Feature/&MoonLitExpandedSpelllistAfinityTitle	Mondlicht-Zaubersprüche
Feature/&MoonLitLightAffinityDescription	Wenn du deinen Zug in natürlicher Dunkelheit beginnst, wirst du unsichtbar. Wenn du dich bewegst, angreifst oder eine Kraft oder einen Zauber einsetzt, der nicht nur auf dich selbst zielt, wird die Unsichtbarkeit unterbrochen.
Feature/&MoonLitLightAffinityStrongDescription	Umbral Cloak funktioniert jetzt auch bei schwachem Licht und magischer Dunkelheit.
Feature/&MoonLitLightAffinityStrongTitle	Verbesserte Ummantelung
Feature/&MoonLitLightAffinityTitle	Nabelverhüllung
Feature/&OneWithShadowsDescription	Wenn du deinen Zug in natürlicher Dunkelheit beginnst, wirst du unsichtbar. Wenn du dich bewegst, angreifst oder eine Kraft oder einen Zauber einsetzt, der nicht nur auf dich selbst zielt, wird die Unsichtbarkeit unterbrochen.
Feature/&OneWithShadowsLightAffinityDescription	Wenn du deinen Zug in natürlicher Dunkelheit beginnst, wirst du unsichtbar. Wenn du dich bewegst, angreifst oder eine Kraft oder einen Zauber einsetzt, der nicht nur auf dich selbst abzielt, wird die Unsichtbarkeit unterbrochen.
Feature/&OneWithShadowsLightAffinityStrongDescription	One With Shadows funktioniert jetzt auch bei schwachem Licht und magischer Dunkelheit.
Feature/&OneWithShadowsLightAffinityStrongTitle	Dunklere Schatten
Feature/&OneWithShadowsLightAffinityTitle	Einer mit Schatten
Feature/&OneWithShadowsStrongerDescription	One With Shadows funktioniert jetzt auch bei gedämpftem Licht und magischer Dunkelheit.
Feature/&OneWithShadowsStrongerTitle	Dunklerer Schatten
Feature/&OneWithShadowsTitle	Einer mit Schatten
Feature/&OpportunistDebilitatingStrikeDescription	Dein Schleichangriff führt dazu, dass das Ziel einen Konstitutions-Erhaltungswurf (DC 8 + dein Fertigkeitsbonus + dein Modifikator für Geschicklichkeit) machen muss oder einen der folgenden Zustände erleidet: geblendet, verflucht, blutend oder betäubt.
Feature/&OpportunistDebilitatingStrikeTitle	Entkräftender Schlag
Feature/&OpportunistQuickStrikeDescription	Du bist im Vorteil, wenn du einen Gegner angreifst, dessen Initiative niedriger ist als deine. Außerdem hast du einen Vorteil, wenn du einen Gelegenheitsangriff ausführst.
Feature/&OpportunistQuickStrikeTitle	Schneller Schlag
Feature/&OtherworldlyLeapTitle	Andersweltlicher Sprung
Feature/&PowerAttackDescription	Nimm einen Malus von -3 auf Treffer auf deinen Angriff, um 3 + Fertigkeitsbonus zusätzlichen Schaden zu verursachen, wenn du deine Schläge mit Nahkampfwaffen ausführst.
Feature/&PowerAttackTitle	Machtvoller Angriff
Feature/&PowerPaladinAuraOfCourage18Description	Gewähre Verbündeten im Umkreis von 30 Fuß einen Bonus auf Rettungswürfe.
Feature/&PowerPaladinAuraOfCourage18Title	Verbesserte Aura des Mutes
Feature/&PowerPaladinAuraOfProtection18Description	Du und deine Verbündeten innerhalb von 30ft können nicht verängstigt werden.
Feature/&PowerPaladinAuraOfProtection18Title	Verbesserte Aura des Schutzes
Feature/&PowerTorchbearerDescription	Versuche, ein Nahkampfziel in Brand zu setzen!
Feature/&PowerTorchbearerTitle	Fackelträger
Feature/&PrimalChampionDescription	Auf Stufe 20 verkörperst du die Macht der Wildnis. Deine Werte für Stärke und Konstitution erhöhen sich um 4.
Feature/&PrimalChampionTitle	Ursprünglicher Champion
Feature/&ProficiencyBolgrifLanguagesDescription	Gemein, Elbisch und Riese.
Feature/&ProficiencyBolgrifLanguagesTitle	Sprache
Feature/&ProficiencyGnomishLanguagesDescription	Gemeine, Gnomisch.
Feature/&ProficiencyGnomishLanguagesTitle	Sprachen
Feature/&ProficiencyRogueBlindSenseDescription	Ab Stufe 14 kannst du, wenn du hören kannst, den Aufenthaltsort jeder versteckten oder unsichtbaren Kreatur im Umkreis von 10 Fuß erkennen.
Feature/&ProficiencyRogueBlindSenseTitle	Blindheitssinn
Feature/&ProficiencyRogueSlipperyMindDescription	Mit Stufe 15 hast du größere mentale Stärke erlangt. Du erhältst die Fähigkeit, Weisheitswürfe zu meistern.
Feature/&ProficiencyRogueSlipperyMindTitle	Schlüpfriger Geist
Feature/&ProficiencySoulBladeArmorDescription	Leichte Rüstung, Mittlere Rüstung und Schild.
Feature/&ProficiencySoulBladeArmorTitle	Seelenklingen-Rüstungsfertigkeiten
Feature/&ProficiencySoulBladeWeaponDescription	Einfache Waffen, Kampfwaffen.
Feature/&ProficiencySoulBladeWeaponTitle	Seelenklinge-Waffen-Professionalität
Feature/&RageDamageBonusAttackModifierDescription	Füge +2 Schaden zu deinen Angriffen hinzu, wenn du wütend bist.
Feature/&RageDamageBonusAttackModifierTitle	Schaden durch Wut
Feature/&RageFeatConditionDescription	Während eines Wutanfalls erhältst du folgende Vorteile: Vorteil bei Stärkeproben und Stärkewürfen, einen Bonus von +2 auf Schadenswürfe und Resistenz gegen Hieb-, Stich- und Schlitzschaden.
Feature/&RageFeatConditionTitle	Wütende
Feature/&RagePowerDescription	Als Bonusaktion versetzt du dich für eine Minute in einen Wutanfall und erhältst die folgenden Eigenschaften: Vorteil bei Stärkeproben und Schutzwürfen auf Stärke, einen Bonus auf Schadenswürfe von +2 und Resistenz gegen Hieb-, Stich- und Schnittschaden.
Feature/&RagePowerTitle	Wut
Feature/&RageStrengthSavingThrowAffinityDescription	In der Wut erhältst du einen Vorteil auf Stärkeproben.
Feature/&RageStrengthSavingThrowAffinityTitle	Wut Vorteil bei Stärkesicherheitswürfen
Feature/&RallyingCryPowerDescription	Ersetzt "Zweiter Wind" durch eine Fähigkeit, die einem oder mehreren Verbündeten innerhalb von 6 Feldern 4x Trefferpunkte der Stufe "Kämpfer" bis zu ihrem Trefferpunktmaximum zurückgibt.
Feature/&RallyingCryPowerTitle	Versammlungsschrei
Feature/&RallyingCryPowerTitleShort	Versammlungsschrei
Feature/&RangerFeralSensesDescription	Du erhältst übernatürliche Sinne, die dir helfen, Kreaturen zu bekämpfen, die du nicht sehen kannst. Wenn du eine Kreatur angreifst, die du nicht sehen kannst, hat das keinen Nachteil für deine Angriffswürfe gegen sie.
Feature/&RangerFeralSensesTitle	Wilde Sinne
Feature/&RangerVanishActionDescription	Ab Stufe 14 kannst du die Aktion Verstecken als Bonusaktion in deinem Zug einsetzen.
Feature/&RangerVanishActionTitle	Verschwinden
Feature/&RiftWalkerRestrainedImmunityTitle	Flüchtiger Schritt
Feature/&RiftWalkerSpellsMagicAffinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Hexenmeister-Zauber erlernst. Die folgenden Zauber werden der Liste der Hexenmeister-Zaubersprüche für dich hinzugefügt: (0)
Feature/&RiftWalkerSpellsMagicAffinityTitle	Spaltwandler-Zaubersprüche
Feature/&RoyalEnvoyFeatureDescription	Füge die Hälfte deines Beherrschungsbonus (aufrunden) zu jeder Charisma-Überprüfung hinzu, die nicht bereits deinen Beherrschungsbonus nutzt. Außerdem wirst du geübt im Umgang mit Charisma-Schutzwürfen.
Feature/&RoyalEnvoyFeatureTitle	Königlicher Gesandter
Feature/&SavingThrowTinkererProficiencyDescription	Beherrschung von Konstitutions- und Intelligenz-Sicherungswürfen.
Feature/&SavingThrowTinkererProficiencyTitle	Beherrschung von Rettungswürfen
Feature/&ScoutModePowerDescription	Du erhältst eine erhöhte Bewegungsfähigkeit, einen Vorteil bei Verstohlenheitsproben und einmal pro Runde verursachen deine Fernkampfwaffenangriffe einen zusätzlichen Schadenswürfel.
Feature/&ScoutModePowerTitle	Späher-Modus
Feature/&SentinelModePowerDescription	Du erhältst Temp-HP in Höhe deiner Stufe. Verschaffe Feinden, die Verbündete angreifen, einen Nachteil.
Feature/&SentinelModePowerTitle	Wächter-Modus
Feature/&ShroudofShadowTitle	Leichentuch des Schattens
Feature/&SignofIllOmenTitle	Zeichen des bösen Omen
Feature/&SpellAsInvocationAtWillDescription	Wirkt {0} nach Belieben.
Feature/&SpellAsInvocationOncePerDayDescription	Wirkt {0} einmal bis zur langen Pause.
Feature/&TempHPShield_09ModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde lang anhält. \nSchützende Kuppel: Gewährt Verbündeten im Umkreis von 10 Fuß 1d8 + 4 temporäre HP. \nSelbstzerstörung: Fügt bei einem misslungenen Schutz 3d8 Kraftschaden zu und zerstört die Einheit.
Feature/&TempHPShield_09ModePowerTitle	Schutzkuppel-Konstrukt beschwören
Feature/&TempHPShield_15ModePowerDescription	Ruft ein Konstrukt herbei, das 1 Stunde lang bestehen bleibt. \nSchutzkuppel: Gewährt Verbündeten im Umkreis von 10 Fuß 1d8 + 4 temporäre HP. \nSelbstzerstörung: Fügt bei einem misslungenen Schutz 3d8 Kraftschaden zu und zerstört die Einheit. \n Kuppel mit Halbdeckung: Bietet Verbündeten im Umkreis von 10 Fuß halbe Deckung.
Feature/&TempHPShield_15ModePowerTitle	Schutzkuppel-Konstrukt beschwören
Feature/&TempHPShieldModePowerDescription	Ruft ein Konstrukt herbei, das 1 Stunde lang bestehen bleibt. \nSchutzkuppel: Gewährt Verbündeten im Umkreis von 10ft 1d8 + 4 temporäre HP.
Feature/&TempHPShieldModePowerTitle	Schutzkuppel-Konstrukt beschwören
Feature/&TempHPShieldTitle	Schützende Kuppel
Feature/&ThiefofFiveFates	Wirkt {0} einmal pro Tag
Feature/&ThiefofFiveFatesTitle	Dieb der fünf Schicksale
Feature/&ThirstingBladeDescription	Du kannst mit deiner Waffe zweimal statt einmal angreifen, wenn du in deinem Zug die Aktion "Angriff" ausführst.
Feature/&ThirstingBladeTitle	Durstige Klinge
Feature/&TinkererArmorProficiencyDescription	Beherrschung von leichten und mittleren Rüstungen sowie Schilden.
Feature/&TinkererArmorProficiencyTitle	Tüftler-Rüstungsfertigkeit
Feature/&TinkererInfusionChoiceDescription	Wähle die Infusionen aus, die dir zur Verfügung stehen werden. Beachte, dass jeder Aufguss nur einmal aktiv sein kann. Wenn du sie ein zweites Mal aktivierst, wird die erste deaktiviert.
Feature/&TinkererInfusionChoiceTitle	Auswahl der Aufgüsse
Feature/&TinkererInfusionReplaceDescription	Wählen Sie die zu ersetzenden Aufgüsse aus.
Feature/&TinkererInfusionReplaceTitle	Aufguss ersetzen
Feature/&TinkererSkillGainChoicesPluralDescription	Tüftlerfertigkeiten sind Arkana, Geschichte, Untersuchung, Medizin, Natur, Wahrnehmung und Geschicklichkeit.
Feature/&TinkererSkillPointsTitle	Tüftler-Fertigkeiten
Feature/&TinkererToolsExpertiseDescription	Erwerben Sie Erfahrung mit vielen Werkzeugen wie Diebeswerkzeug, Schriftrollen, Giftmischerkit, Kräuterkit und Verzauberungswerkzeug.
Feature/&TinkererToolsExpertiseTitle	Tüftler-Werkzeugexpertise
Feature/&TinkererToolsProficiencyDescription	Erlangt Fertigkeit im Umgang mit vielen Werkzeugen, einschließlich Diebeswerkzeug, Schriftrollen, Giftmischerkit, Kräuterkit und Verzauberungswerkzeug.
Feature/&TinkererToolsProficiencyTitle	Werkzeug-Fähigkeiten
Feature/&TinkererWeaponProficiencyDescription	Beherrschung von einfachen Waffen.
Feature/&TinkererWeaponProficiencyTitle	Tüftler-Waffenfertigkeiten
Feature/&ToadKingBasicToxinTitle	Grundlegendes Gift
Feature/&ToadKingExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Hexenmeister-Zauber erlernst. Die folgenden Zauber werden der Liste der Hexenmeister-Zaubersprüche für dich hinzugefügt: {0...
Feature/&ToadKingExpandedSpelllistAfinityTitle	Krötenkönig-Zaubersprüche
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Dein Körper hat sich so verändert, dass er gegen Gifte resistent ist und ein Verteidigungsgift produziert, wenn er von Nahkampfangriffen getroffen wird, und zwar bis zu einer Anzahl von Malen pro langer Pause, die deinem Fertigkeitsbonus entspricht. Wenn dem Angreifer ein Konstitutionsschutzwurf misslingt, leidet er an einem halluzinogenen Gift, bis er angegriffen oder anderweitig unterbrochen wird.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Halluzinogenes Toxin
Feature/&ToadKingJumpTitle	Springen
Feature/&ToadKingPoisonConditionAffinityTitle	Immun gegen Giftzustand
Feature/&ToadKingPoisonDamageAffinityTitle	Unempfindlich gegen Giftschaden
Feature/&ToadKingStickyFeetTitle	Gesponnene Füße
Feature/&TrickstersEscapeTitle	Flucht des Tricksters
Feature/&UrPriestDomainTheftDescription	Du schnappst dir die Geheimnisse, die ein Gott allen seinen frommen Klerikern gewährt. Wähle eine Kleriker-Domäne: Du erhältst die Eigenschaften, die diese Domäne auf Stufe 1 gewährt.
Feature/&UrPriestDomainTheftTitle	Domänendiebstahl
Feature/&UrPriestExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Hexenmeisterzauber erlernst. Klerikerzauber werden der Zauberliste des Hexenmeisters für dich hinzugefügt.
Feature/&UrPriestExpandedSpelllistAfinityTitle	UrPriester-Zauber
Feature/&WallofThornsFeatureSetDescription	Wirke einmal am Tag Dornenmauer.
Feature/&WallofThornsFeatureSetTitle	Waldbarriere
Feature/&WitchCurseChoiceDescription	Du wirst von einem schrecklichen Fluch heimgesucht, der deinen Körper und deine Seele befällt.
Feature/&WitchCurseChoiceTitle	Hexenfluch
Feature/&WitchMaledictionChoiceDescription	Du kannst eine Reihe mächtiger Beschwörungsformeln erlernen, die als Malediktionen bekannt sind und von derselben heimtückischen Magie stammen, die dich verflucht hat.
Feature/&WitchMaledictionChoiceTitle	Verhexungen
Feature/&WitchSightDescription	Du kannst unsichtbare Kreaturen in einem Umkreis von 60 Fuß um dich herum spüren oder sehen.
Feature/&WitchSightTitle	Hexenblick
Feature/&ZSPowerPaladinCleansingTouchDescription	Entferne Zaubereffekte, indem du einen Verbündeten berührst. Du kannst dies so oft pro Tag tun, wie es deinem Charisma-Modifikator entspricht.
Feature/&ZSPowerPaladinCleansingTouchTitle	Reinigende Berührung
Feedback/&AdditionalDamageAgonizing_BlastFormat	Quälende Explosion
Feedback/&AdditionalDamageAgonizing_BlastLine	Wenn du Eldritch Blast wirkst, addierst du deinen Charisma-Modifikator zu dem Schaden, den er bei einem Treffer verursacht.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Zusätzlicher Schaden durch Angriffe mit magischer Kraft
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Zusätzlicher Schaden durch Angriffe mit magischen Kräften
Feedback/&AdditionalDamageArcaneFirearmFormat	Sprengungsverstärkung!
Feedback/&AdditionalDamageArcaneFirearmLine	Verursacht zusätzlichen Schaden durch Sprengverstärkung
Feedback/&AdditionalDamageArcanistMarkFormat	Zeichen des Arkanisten!
Feedback/&AdditionalDamageArcanistMarkLine	Das Mal des Arkanisten detoniert und fügt dem Ziel zusätzlichen Schaden zu!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Beleuchtender Schlag!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Illuminating Strike" fügt dem Ziel zusätzlichen Schaden zu!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Blendende Waffe
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Zusätzlicher Schaden und der Versuch, Blindheit von Blinding Weapon anzuwenden.
Feedback/&AdditionalDamageEldritchSmiteFormat	Eldritscher Peiniger!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} zerschlägt {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Elementarer Schaden
Feedback/&AdditionalDamageElementalDamageLine	Elementare Form gewährt zusätzlichen Schaden
Feedback/&AdditionalDamageLightningSpearFormat	Blitzspeer!
Feedback/&AdditionalDamageLightningSpearLine	{0} schlägt {1} mit Blitzspeer! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	Pakt-Zeichen!
Feedback/&AdditionalDamagePactMarkedLine	Paktzeichen verursacht zusätzlichen Schaden!
Feedback/&AdditionalDamagePactSoulTakerFormat	Seelentöter!
Feedback/&AdditionalDamagePactSoulTakerLine	Seelenentreißer verursacht zusätzlichen Schaden!
Feedback/&AdditionalDamageResonatingStrikeFormat	Resonierender Schlag!
Feedback/&AdditionalDamageResonatingStrikeLine	{0} geht in Resonanz {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Seele gestärkt!
Feedback/&AdditionalDamageSoulEmpoweredLine	Seelenkräftiger fügt zusätzlichen Schaden zu!
Feedback/&AdditionalDamageSunlightBladeFormat	Sonnenglänzende Klinge!
Feedback/&AdditionalDamageSunlightBladeLine	{0} verbrennt {1} mit Sonnenlichtklinge! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Aufgewerteter Schaden
Feedback/&AdditionalDamageUpgradedConstructLine	Das aufgewertete Konstrukt verursacht 1d8 mehr Schaden pro Treffer.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} erzeugt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} erschafft {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} erschafft {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} erschafft {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} erschafft {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} erzeugt {1}
