ActionAffinity/&DHFeeblemindSpellDescription	Impossible de lancer des sorts.
Feature/&RangerVanishActionTitle	Disparition
Feature/&RiftWalkerRestrainedImmunityTitle	Étape fugace
Feature/&RiftWalkerSpellsMagicAffinityDescription	Vous choisissez parmi une liste élargie de sorts lorsque vous apprenez un sort de sorcier. Les sorts suivants sont ajoutés à la liste des sorts de sorcier pour vous : {0}\n\n
Feature/&RiftWalkerSpellsMagicAffinityTitle	Sorts de marcheur de faille
Feature/&RoyalEnvoyFeatureDescription	Ajoute la moitié de ton bonus de compétence (arrondi à l'unité supérieure) à tout test de Charisme que tu effectues et qui n'utilise pas déjà ton bonus de compétence. De plus, vous devenez compétent aux jets de sauvegarde de Charisme.
Feature/&RoyalEnvoyFeatureTitle	Envoyé royal
Feature/&SavingThrowTinkererProficiencyDescription	Compétence aux jets de sauvegarde de Constitution et d'Intelligence.
Feature/&SavingThrowTinkererProficiencyTitle	Compétence aux jets de sauvegarde
Feature/&ScoutModePowerDescription	Gagnez un déplacement accru, un avantage sur les tests de furtivité et, une fois par tour, vos attaques à distance infligent un dé supplémentaire de dégâts.
Feature/&ScoutModePowerTitle	Mode Scout
Feature/&SentinelModePowerDescription	Gagne des HP temporaires égaux au niveau. Impose un désavantage aux ennemis qui attaquent leurs alliés.
Feature/&SentinelModePowerTitle	Mode Sentinelle
Feature/&ShroudofShadowTitle	Linceul d'ombre
Feature/&SignofIllOmenTitle	Signe de mauvais présage
Feature/&SpellAsInvocationAtWillDescription	Lancez {0} à volonté.
Feature/&SpellAsInvocationOncePerDayDescription	Lancez {0} une fois pendant un long repos.
Feature/&TempHPShield_09ModePowerDescription	Invoque une construction qui dure 1 heure. \Dôme protecteur : Confère 1d8 + 4 PV temporaires aux alliés situés dans un rayon de 3 mètres. \Autodestruction : inflige 3d8 points de dégâts de force en cas d'échec de la sauvegarde et détruit l'unité.
Feature/&TempHPShield_09ModePowerTitle	Invoquer une construction de type Dôme protecteur
Feature/&TempHPShield_15ModePowerDescription	Invoque une construction qui dure 1 heure. \NDôme protecteur : Confère 1d8 + 4 PV temporaires aux alliés situés dans un rayon de 3 mètres. \Autodestruction : inflige 3d8 points de dégâts de force en cas d'échec de la sauvegarde et détruit l'unité. \N Dôme de demi-couverture : Fournit une demi-couverture aux alliés situés dans un rayon de 3 mètres.
Feature/&TempHPShield_15ModePowerTitle	Invoquer une construction de type Dôme protecteur
Feature/&TempHPShieldModePowerDescription	Invoque une construction qui dure 1 heure. \NDôme protecteur : Confère 1d8 + 4 PV temporaires aux alliés situés dans un rayon de 3 mètres.
Feature/&TempHPShieldModePowerTitle	Invoque une construction de type Dôme protecteur
Feature/&TempHPShieldTitle	Dôme protecteur
Feature/&ThiefofFiveFates	Lancez {0} une fois par jour
Feature/&ThiefofFiveFatesTitle	Voleur de cinq destins
Feature/&ThirstingBladeDescription	Vous pouvez attaquer avec votre arme deux fois, au lieu d'une, lorsque vous effectuez l'action Attaque à votre tour.
Feature/&ThirstingBladeTitle	Lame Assoiffée
Feature/&TinkererArmorProficiencyDescription	Compétence avec les armures légères et moyennes ainsi que les boucliers.
Feature/&TinkererArmorProficiencyTitle	Compétence en armure de bricoleur
Feature/&TinkererInfusionChoiceDescription	Sélectionnez les infusions que vous pourrez utiliser. Notez que chaque infusion ne peut être activée qu'une seule fois. L'activer une seconde fois annule la première.
Feature/&TinkererInfusionChoiceTitle	Choix de l'infusion
Feature/&TinkererInfusionReplaceDescription	Sélectionnez les infusions à remplacer.
Feature/&TinkererInfusionReplaceTitle	Remplacer l'infusion
Feature/&TinkererSkillGainChoicesPluralDescription	Les compétences du bricoleur sont les suivantes : Arcane, Histoire, Investigation, Médecine, Nature, Perception et Tour de main.
Feature/&TinkererSkillPointsTitle	Compétences de bricoleur
Feature/&TinkererToolsExpertiseDescription	Gagnez de l'expertise avec de nombreux outils, dont les outils de voleur, les kits de parchemin, le kit de l'empoisonneur, le kit d'herboristerie et les outils d'enchantement.
Feature/&TinkererToolsExpertiseTitle	Expertise en outils du bricoleur
Feature/&TinkererToolsProficiencyDescription	Obtenez la maîtrise de nombreux outils, notamment les outils de voleur, les parchemins, la trousse d'empoisonnement, la trousse d'herboristerie et les outils d'enchantement.
Feature/&TinkererToolsProficiencyTitle	Compétences en matière d'outils
Feature/&TinkererWeaponProficiencyDescription	Maîtrise des armes simples.
Feature/&TinkererWeaponProficiencyTitle	Compétences en armes du bricoleur
Feature/&ToadKingBasicToxinTitle	Toxine de base
Feature/&ToadKingExpandedSpelllistAfinityDescription	Vous choisissez parmi une liste élargie de sorts lorsque vous apprenez un sort de sorcier. Les sorts suivants sont ajoutés à la liste des sorts de sorcier pour vous : {0}\n\n
Feature/&ToadKingExpandedSpelllistAfinityTitle	Sorts du roi crapaud
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Votre corps a été modifié pour devenir résistant aux toxines et pour produire une toxine défensive lorsque vous êtes touché par des attaques de mêlée, jusqu'à un nombre de fois par repos long égal à votre bonus de compétence. Si l'attaquant échoue à un jet de sauvegarde de Constitution, il souffre d'une toxine hallucinogène jusqu'à ce qu'il soit attaqué ou autrement interrompu.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Toxine hallucinogène
Feature/&ToadKingJumpTitle	Sauter
Feature/&ToadKingPoisonConditionAffinityTitle	Insensible à l'état empoisonné
Feature/&ToadKingPoisonDamageAffinityTitle	Immunisé contre les dommages causés par le poison
Feature/&ToadKingStickyFeetTitle	Pieds palmés
Feature/&TrickstersEscapeTitle	Évasion du Trickster
Feature/&UrPriestDomainTheftDescription	Vous vous emparez des secrets qu'un dieu accorde à tous ses clercs dévoués. Choisissez un domaine de clerc : vous gagnez les caractéristiques de ce domaine au 1er niveau.
Feature/&UrPriestDomainTheftTitle	Vol de domaine
Feature/&UrPriestExpandedSpelllistAfinityDescription	Vous choisissez parmi une liste élargie de sorts lorsque vous apprenez un sort de sorcier. Les sorts de clercs sont ajoutés à la liste de sorts de sorcier pour vous.
Feature/&UrPriestExpandedSpelllistAfinityTitle	Sorts d'UrPriest
Feature/&WallofThornsFeatureSetDescription	Lancez Mur d'épines une fois par jour.
Feature/&WallofThornsFeatureSetTitle	Barrière de la forêt
Feature/&WitchCurseChoiceDescription	Vous êtes en proie à une terrible malédiction qui infecte votre corps et votre âme.
Feature/&WitchCurseChoiceTitle	Malédiction de sorcière
Feature/&WitchMaledictionChoiceDescription	Vous pouvez apprendre un certain nombre d'incantations puissantes, appelées Malédictions, dérivées de la même magie insidieuse qui vous a maudit.
Feature/&WitchMaledictionChoiceTitle	Malédictions
Feature/&WitchSightDescription	Vous pouvez sentir ou voir les créatures invisibles dans un rayon de 60 pieds autour de vous.
Feature/&WitchSightTitle	Vue de sorcière
Feature/&ZSPowerPaladinCleansingTouchDescription	Supprimez les effets des sorts en touchant un allié. Vous pouvez le faire un nombre de fois par jour égal à votre modificateur de Charisme.
Feature/&ZSPowerPaladinCleansingTouchTitle	Toucher purificateur
Feedback/&AdditionalDamageAgonizing_BlastFormat	Souffle agonisant
Feedback/&AdditionalDamageAgonizing_BlastLine	Lorsque vous lancez souffle eldritch, vous ajoutez votre modificateur de Charisme aux dégâts qu'il inflige en cas de succès.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Dégâts supplémentaires infligés par les attaques utilisant des pouvoirs magiques
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Dégâts supplémentaires infligés par les attaques magiques
Feedback/&AdditionalDamageArcaneFirearmFormat	Amélioration de l'explosion !
Feedback/&AdditionalDamageArcaneFirearmLine	Inflige des dégâts supplémentaires grâce à l'amélioration de l'explosion.
Feedback/&AdditionalDamageArcanistMarkFormat	Marque de l'arcaniste !
Feedback/&AdditionalDamageArcanistMarkLine	La marque de l'arcaniste explose et inflige des dégâts supplémentaires à la cible !
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Illuminating Strike !
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Frappe lumineuse inflige des dégâts supplémentaires à la cible !
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arme aveuglante
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Dégâts supplémentaires et tentative d'appliquer l'aveuglement de l'arme aveuglante.
Feedback/&AdditionalDamageEldritchSmiteFormat	Frappe Eldritch !
Feedback/&AdditionalDamageEldritchSmiteLine	{0} frappe {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Dégâts élémentaires
Feedback/&AdditionalDamageElementalDamageLine	La forme élémentaire accorde des dégâts supplémentaires.
Feedback/&AdditionalDamageLightningSpearFormat	Lance de Foudre !
Feedback/&AdditionalDamageLightningSpearLine	{0} frappe {1} avec la Lance de Foudre ! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	Marque de pacte !
Feedback/&AdditionalDamagePactMarkedLine	La marque de pacte fait des dégâts supplémentaires !
Feedback/&AdditionalDamagePactSoulTakerFormat	Preneur d'âme !
Feedback/&AdditionalDamagePactSoulTakerLine	Preneur d'âmes fait des dégâts supplémentaires !
Feedback/&AdditionalDamageResonatingStrikeFormat	Frappe Résonante !
Feedback/&AdditionalDamageResonatingStrikeLine	{0} résonne {1} ! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Âme puissante !
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered fait des dégâts supplémentaires !
Feedback/&AdditionalDamageSunlightBladeFormat	Sunlit Blade !
Feedback/&AdditionalDamageSunlightBladeLine	{0} brûle {1} avec Sunlit Blade ! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Dégâts améliorés
Feedback/&AdditionalDamageUpgradedConstructLine	La construction améliorée inflige 1d8 points de dégâts supplémentaires par touche.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	crée {0} {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{crée {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{crée {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{crée 1
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{crée 1
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} crée {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} crée {1}
Feedback/&ExtraDamageDescription	Dégâts supplémentaires de la Lance d'Eclair.
Feedback/&ExtraDamageTitle	Dégâts supplémentaires de la lance de foudre
Feedback/&LightningSpearAdditionalDamageDescription	Inflige 1d6 dégâts supplémentaires dus à la foudre une fois par tour.
Feedback/&LightningSpearAdditionalDamageTitle	Dégâts supplémentaires de la Lance de Foudre
Feedback/&NotifyEffectResonatingStrikeLine	{0} résonne {1} !
FightingStyle/&BlindFightingDescription	Tu as une vision aveugle avec une portée de 10 pieds.
FightingStyle/&BlindFightingTitle	Combat aveugle
FightingStyle/&CripplingDescription	En touchant avec une attaque de mêlée, vous pouvez réduire la vitesse de votre adversaire de 10 pieds jusqu'au début de votre prochain tour.
FightingStyle/&CripplingTitle	Paralysie
FightingStyle/&PugilistFightingDescription	Vos frappes à mains nues infligent 1d4 points de dégâts supplémentaires et vous pouvez donner un coup de poing avec votre main extérieure comme une action bonus.\NSi vous avez une main libre, vous pouvez pousser comme une action bonus.
FightingStyle/&PugilistFightingTitle	Pugiliste
FightingStyle/&TitanFightingDescription	Vous gagnez un coup de +2 contre les créatures de taille Large ou supérieure.
FightingStyle/&TitanFightingTitle	Combat de titan
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcane, Nature, et Perspicacité.
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religion, Nature, et Perspicacité.
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	Histoire, Persuasion, et Intimidation.
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Sélectionnez 2 compétences.
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Compétences
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Sélectionnez 3 compétences.
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Compétences
FlexibleBackgrounds/&BackgroundToolSelect2Description	Sélectionnez 2 compétences en matière d'outils.
FlexibleBackgrounds/&BackgroundToolSelect2Title	Outils
FlexibleBackgrounds/&BackgroundToolSelectDescription	Sélectionnez une compétence d'outil.
FlexibleBackgrounds/&BackgroundToolSelectTitle	Outil
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Perception et Intimidation.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Tour de main, furtivité et tromperie.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Médecine et Persuasion.
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Athlétisme et Intimidation.
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Furtivité, Tromperie, et Nature.
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Survie et nature.
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleRaces/&PointPoolAbilityScore3Description	Utilisez trois augmentations des scores de capacité dans la combinaison de votre choix.
FlexibleRaces/&PointPoolAbilityScore3Title	Augmentation du score de capacité
FlexibleRaces/&PointPoolAbilityScore4Description	Utilisez quatre augmentations des scores de capacité dans n'importe quelle combinaison de votre choix.
FlexibleRaces/&PointPoolAbilityScore4Title	Augmentation du score de capacité
Format/&LevelAndExperienceFormat	Niveau : {0}\NExpérience : {1}\n{2} points nécessaires pour atteindre le niveau {3}.
Format/&LevelAndExperienceMaxedFormat	Niveau : {0} Expérience : {1} {niveau maximum atteint
Item/&CEHalberd+1Title	Hallebarde +1
Item/&CEHalberd+1UnidentifiedTitle	Hallebarde de qualité
Item/&CEHalberd+2Title	Hallebarde +2
Item/&CEHalberd+2UnidentifiedTitle	Hallebarde magnifique
Item/&CEHalberdLightningTitle	Hallebarde foudroyante
Item/&CEHalberdLightningUnidentifiedTitle	Hallebarde magnifique
Item/&CEHalberdPrimedTitle	Hallebarde apprêtée
Item/&CEHalberdTitle	Hallebarde
Item/&CEHandXbow+1Title	Arbalète de main +1
Item/&CEHandXbow+1UnidentifiedTitle	Arbalète de qualité
Item/&CEHandXbow+2Title	Arbalète de main +2
Item/&CEHandXbow+2UnidentifiedTitle	Arbalète de Main Magnifique
Item/&CEHandXbowAcidTitle	Arbalète de Main Acide
Item/&CEHandXbowAcidUnidentifiedTitle	Arbalète de Main Magnifique
Item/&CEHandXbowPrimedTitle	Arbalète de main apprêtée
Item/&CEHandXbowTitle	Arbalète de main
Item/&CELongMace+1Title	Massue Longue +1
Item/&CELongMace+1UnidentifiedTitle	Masse longue de qualité
Item/&CELongMace+2Title	Massue longue +2
Item/&CELongMace+2UnidentifiedTitle	Masse Longue Magnifique
Item/&CELongMacePrimedTitle	Masse longue amorcée
Item/&CELongMaceThunderTitle	Masse longue foudroyante
Item/&CELongMaceThunderUnidentifiedTitle	Magnifique masse longue
Item/&CELongMaceTitle	Masse longue
Item/&CEPike+1Title	Pique +1
Item/&CEPike+1UnidentifiedTitle	Pique de qualité
Item/&CEPike+2Title	Pique +2
Item/&CEPike+2UnidentifiedTitle	Pique magnifique
Item/&CEPikePrimedTitle	Broche Primée
Item/&CEPikePsychicTitle	Brochet psychique
Item/&CEPikePsychicUnidentifiedTitle	Brochet Magnifique
Item/&CEPikeTitle	Pique
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Enchantement de hallebarde +1
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Enchanter Arbalète de Main +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Enchanter Arbalète de Main +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Enchanter Arbalète de Main Acide
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Enchanter Masse Longue +1
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Enchanter Long Mace +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Enchanter Thundering Long Mace
Item/&CraftingManualRecipeEnchantCEPike+1Title	Enchanter Pike +1
Item/&CraftingManualRecipeEnchantCEPike+2Title	Enchanter Pike +2
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Enchanter Psychic Pike
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Enchanter Handwraps +1.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Enchanter Handwraps +1.
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Enchantement de Couvre-Mains +2.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Enchanter Handwraps +2.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Enchanter Forceful Handwraps.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Enchantement de Tenue de Main Forte.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Enchanter ceintures de main de traction.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Enchanter Handwraps Of Pulling.
Item/&CraftingManualRecipePrimingCEHalberdTitle	Hallebarde Prime
Item/&CraftingManualRecipePrimingCEHandXbowTitle	Arbalète de main Prime
Item/&CraftingManualRecipePrimingCELongMaceTitle	Massue longue Prime
Item/&CraftingManualRecipePrimingCEPikeTitle	Pique Prime
Item/&ForceArtilleryProjectileDescription	ForceArtilleryProjectile.
Item/&ForceArtilleryProjectileTitle	ForceArtilleryProjectile
Item/&Handwraps+1Title	Couvre-mains +1
Item/&Handwraps+1UnidentifiedTitle	Couvre-mains de bonne qualité
Item/&Handwraps+2Title	Couvre-mains +2
Item/&Handwraps+2UnidentifiedTitle	Couvre-mains Magnifique
Item/&HandwrapsOfForceTitle	Couvre-mains puissants
Item/&HandwrapsOfForceUnidentifiedTitle	Couvre-mains Magnifique
Item/&HandwrapsOfPullingTitle	Couvre-mains de traction
Item/&HandwrapsOfPullingUnidentifiedTitle	Magnifiques poignées
Language/&AbyssalDescription	Le langage abyssal était la forme du langage primordial qui a été enveloppé et tordu par le mal des abysses.
Language/&AbyssalTitle	Abyssal
Language/&GnomishLanguageDescription	Une ancienne langue de Solastan, préservée par les gnomes vivant dans les forêts profondes de Solasta, elle a survécu au Cataclysme.
Language/&GnomishLanguageTitle	Gnomique
MainMenu/&ExportPdfDescription	Abaissez le niveau de ce Héros.
MainMenu/&ExportPdfTitle	Niveau inférieur
Message/&CharacterExportDuplicateNameErrorDescription	Exportation annulée:\n\NUn héros portant ce nom existe déjà dans le pool.\NVeuillez essayer un autre nom.
Message/&CharacterExportEmptyNameErrorDescription	Exportation annulée:\n\NVeuillez essayer un nom non vide.
Message/&CharacterExportModalContentDescription	Saisissez le nom du héros à exporter :
Message/&CharacterExportModalTitleDescription	Exportation de personnage.
Message/&LevelDownConfirmationDescription	Perfectionner ce héros ?
Message/&LevelDownMultiplayerAbortDescription	Impossible de descendre de niveau pendant une session multijoueur.
Message/&MessageModWelcomeDescription	Le mod d'extension communautaire est rempli de fonctionnalités passionnantes, mais par défaut, aucune n'est activée. Appuyez sur <color=yellow>Ctrl-F10</color> pour ouvrir l'interface utilisateur du gestionnaire de mods Unity [UMM], puis cliquez sur l'icône des paramètres à côté de "Community Expansion" pour ouvrir les pages de paramètres.\n Explorez les options et sélectionnez celles qui vous plaisent. L'interface UMM s'ouvre alors.
Message/&MessageModWelcomeTitle	Mod d'expansion de la communauté
Message/&RespecMultiplayerAbortDescription	Impossible de se recharger pendant une session multijoueur ou sur une carte d'exploration.
Message/&SpawnCustomEncounterDescription	Spawn rencontre aux coordonnées ({0}, {1}) ?
Message/&SpawnCustomEncounterErrorDescription	Impossible de créer des rencontres lors d'une partie multijoueur. Pourtant...
Message/&SpawnCustomEncounterTitle	Rencontre
Message/&TeleportPartyDescription	Téléporter le groupe aux coordonnées ({0}, {1}) ? Vous risquez d'interrompre les quêtes ou les cartes si vous vous téléportez dans un endroit non découvert.
Message/&TeleportPartyTitle	Téléportation
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierDescription	L'arme utilise le modificateur de Charisme pour les jets d'attaque et de dégâts et est considérée comme magique jusqu'au repos prolongé.
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierTitle	Soul Empowered
Modifier/&AttributeModifierRuinDescription	-3 à la Classe d'armure.
Modifier/&AttributeModifierRuinTitle	Ruiné
Modifier/&CripplingAdditionalDamageDescription	Dégâts paralysants.
Modifier/&CripplingAdditionalDamageTitle	Paralysant
Modifier/&DisorientDescription	-1d6 aux jets d'attaque.
Modifier/&DisorientTitle	Désorienté
Monster/&DHCustomCouatlDescription	Les couatls sont des êtres serpentins bienveillants, d'une grande intelligence et perspicacité. Leurs ailes brillamment colorées et leurs manières douces témoignent de leurs origines célestes.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Familier du hibou.
Monster/&OwlFamiliarTitle	Hibou
Monster/&PactOfChainCustomImpDescription	On trouve des diablotins partout dans les plans inférieurs, qu'ils fassent des courses pour leurs maîtres infernaux, qu'ils espionnent leurs rivaux, ou qu'ils trompent les mortels et les détournent de leur chemin. Un diablotin servira fièrement un maître maléfique, quel qu'il soit, mais on ne peut pas compter sur lui pour accomplir des tâches avec rapidité ou efficacité.
Monster/&PactOfChainCustomImpTitle	Lutin (Pacte de la chaîne)
Monster/&PactOfChainCustomPseudodragonDescription	L'insaisissable pseudo-dragon habite les endroits calmes du monde, se réfugiant dans les creux des arbres et les petites grottes. Avec ses écailles vertes, ses cornes et sa gueule remplie de dents acérées, le pseudodragon ressemble à un minuscule dragon vert, mais son caractère est enjoué.
Monster/&PactOfChainCustomPseudodragonTitle	Pseudodragon
Monster/&PactOfChainCustomQuasitDescription	Les quasits infestent les plans inférieurs. Physiquement faibles, ils restent dans l'ombre pour comploter des méfaits et de la méchanceté. Les démons plus puissants utilisent les quasits comme espions et messagers, quand ils ne les dévorent pas ou ne les déchirent pas pour passer le temps.
Monster/&PactOfChainCustomQuasitTitle	Quasit (Pacte de la chaîne)
Monster/&PactOfChainCustomSpriteDescription	Contrairement aux lutins, les lutins s'adonnent rarement aux plaisirs frivoles et à l'amusement. Ils sont de solides guerriers, protecteurs et juges, et leur caractère sévère amène les autres feys à les considérer comme trop mornes et sérieux. Cependant, les fey qui respectent le territoire des sprites trouvent en eux de solides alliés en cas de problème.
Monster/&PactOfChainCustomSpriteTitle	Sprite (Pacte de la chaîne)
Monster/&WitchOwlFamiliarDescription	Familier du hibou.
Monster/&WitchOwlFamiliarTitle	Hibou
MonsterAttack/&AttackWarlockDragonStingDescription	1d4 dégâts perforants et la cible doit réussir un jet de sauvegarde de Constitution DC 11 ou s'empoisonner.
MonsterAttack/&AttackWarlockDragonStingTitle	Dard venimeux
MonsterAttack/&AttackWarlockImpStingDescription	Dard venimeux d'un diablotin.
MonsterAttack/&AttackWarlockImpStingTitle	Dard venimeux
MonsterAttack/&AttackWarlockQuasitStingTitle	Dard venimeux
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Dégâts perforants, et la cible doit réussir un jet de sauvegarde de Constitution DC 13 ou être empoisonnée pendant 24 heures. Jusqu'à la fin de ce poison, la cible est inconsciente.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Morsure
Power/&AncientForestLifeSapDescription	Lorsque vous infligez des dégâts à un ennemi avec un sort, vous soignez des HP égaux à la moitié de votre niveau une fois par tour. Si vous êtes en dessous de la moitié de vos HP, vous soignez à la place des HP égaux à votre niveau, mais seulement jusqu'à la moitié de vos HP maximum.
Power/&AncientForestLifeSapTitle	Sève de vie
Power/&AncientForestRootedPowerDescription	Des vrilles arboricoles poussent de vos pieds et s'enfoncent dans le sol. Votre vitesse devient 0, et vous gagnez l'avantage sur tous les jets de sauvegarde pour vous pousser, vous tirer, ou vous mettre à terre.
Power/&AncientForestRootedPowerTitle	Enracinement
Power/&ClassMonkDiamondSoulPowerDescription	Chaque fois que vous faites un jet de sauvegarde et que vous échouez, vous pouvez dépenser 1 point de ki pour le relancer et prendre le second résultat.
Power/&ClassMonkDiamondSoulPowerTitle	Âme de diamant
Power/&ClassMonkEmptyBodyDescription	Vous pouvez utiliser votre action pour dépenser 4 points de ki pour devenir invisible pendant 1 minute. Pendant ce temps, vous avez également une résistance à tous les dégâts, sauf les dégâts de force.
Power/&ClassMonkEmptyBodyTitle	Corps vide
Power/&ClassMonkFlurryOfBlowsDescription	Après avoir dépensé votre action pour attaquer avec une arme de moine, vous pouvez dépenser 1 point de ki comme action bonus pour effectuer 2 frappes à mains nues. Uniquement disponible si vous ne portez pas d'armure ou ne brandissez pas de bouclier.
Power/&ClassMonkFlurryOfBlowsTitle	Rafale de coups
Power/&ClassMonkKiPoolDescription	Vous pouvez exploiter l'énergie mystique du ki. Votre accès à cette énergie est représenté par un nombre de points de ki. La quantité maximale est égale à votre niveau de moine. Tous les points dépensés sont récupérés lors d'un repos court ou long. Vous pouvez dépenser ces points pour alimenter diverses caractéristiques du ki.
Power/&ClassMonkKiPoolTitle	Points de ki
Power/&ClassMonkKiStillnessOfMindDescription	Vous pouvez utiliser votre action pour mettre fin à un effet sur vous-même qui vous charme ou vous effraie.
Power/&ClassMonkKiStillnessOfMindTitle	Tranquillité d'esprit
Power/&ClassMonkOpenHandDistractDescription	La cible ne peut pas avoir de réactions jusqu'à la fin de votre prochain tour.
Power/&ClassMonkOpenHandDistractTitle	Distraction
Power/&ClassMonkOpenHandProneDescription	La cible doit réussir un jet de sauvegarde de Dextérité ou être mise à terre.
Power/&ClassMonkOpenHandProneTitle	Assommer
Power/&ClassMonkOpenHandPushDescription	La cible doit réussir un jet de sauvegarde de Force ou être poussée à 15 pieds de vous.
Power/&ClassMonkOpenHandPushTitle	Repousser
Power/&ClassMonkOpenHandTechniqueDescription	Vous pouvez manipuler le ki de votre ennemi lorsque vous maîtrisez le vôtre. Chaque fois que vous touchez une créature avec l'une des attaques accordées par votre rafale de coups, vous pouvez lui imposer l'un des effets suivants :\N- Elle doit réussir un jet de sauvegarde de Dextérité ou être mise à terre.\N- Elle doit réussir un jet de sauvegarde de Force. Si elle échoue, vous pouvez la pousser jusqu'à 15 pieds de vous.\N- Elle ne peut pas réagir avant la fin de votre prochain tour.
Power/&ClassMonkOpenHandTechniqueTitle	Technique de la main ouverte
Power/&ClassMonkPatientDefenseDescription	Vous pouvez dépenser 1 point de ki comme action bonus pour effectuer l'action Esquive. Disponible uniquement si vous ne portez pas d'armure ou de bouclier.
Power/&ClassMonkPatientDefenseTitle	Défense patiente
