ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Feature/&DHWardingBondBonusCantripTitle	Capa de la grieta
Feature/&DHWarlockClassPactOfTheChainFeatureSetDescription	Cuando lanzas la invocación de un familiar, puedes elegir una de las siguientes formas especiales: diablillo, pseudodragón, quasit o sprite.
Feature/&DHWarlockClassPactOfTheChainFeatureSetTitle	Pacto de la Cadena
Feature/&DomainBattleDomainlevel1FeaturesDescription	Aprendes los rasgos de nivel 1 de este dominio.
Feature/&DomainBattleDomainlevel1FeaturesTitle	Dominio de la Batalla
Feature/&DomainElementalColdDomainlevel1FeaturesDescription	Aprendes los rasgos de nivel 1 de este dominio.
Feature/&DomainElementalColdDomainlevel1FeaturesTitle	Dominio Elemental (Frío)
Feature/&DomainElementalFireDomainlevel1FeaturesDescription	Aprendes las características de nivel 1 de este dominio.
Feature/&DomainElementalFireDomainlevel1FeaturesTitle	Dominio Elemental (Fuego)
Feature/&DomainElementalLightingDomainlevel1FeaturesDescription	Aprendes las características de nivel 1 de este dominio.
Feature/&DomainElementalLightingDomainlevel1FeaturesTitle	Dominio Elemental (Iluminación)
Feature/&DomainInsightDomainlevel1FeaturesDescription	Aprendes las características de nivel 1 de este dominio.
Feature/&DomainInsightDomainlevel1FeaturesTitle	Dominio de la perspicacia
Feature/&DomainLawDomainlevel1FeaturesDescription	Aprendes las características de nivel 1 de este dominio.
Feature/&DomainLawDomainlevel1FeaturesTitle	Dominio de la Ley
Feature/&DomainLifeDomainlevel1FeaturesDescription	Aprendes las características de nivel 1 de este dominio.
Feature/&DomainLifeDomainlevel1FeaturesTitle	Dominio de la vida
Feature/&DomainMischiefDomainlevel1FeaturesDescription	Aprendes las características de nivel 1 de este dominio.
Feature/&DomainMischiefDomainlevel1FeaturesTitle	Ámbito de la Maldad
Feature/&DomainOblivionDomainlevel1FeaturesDescription	Aprendes las características de nivel 1 de este dominio.
Feature/&DomainOblivionDomainlevel1FeaturesTitle	Dominio del Olvido
Feature/&DomainSunDomainlevel1FeaturesDescription	Aprendes las características de nivel 1 de este dominio.
Feature/&DomainSunDomainlevel1FeaturesTitle	Dominio del Sol
Feature/&DreadfulWordTitle	Palabra Temible
Feature/&DruidForestGuardianBarkWardDescription	Obtienes la habilidad de invocar un Guardián de la Corteza para que te proteja. Como acción adicional, puedes gastar un uso de tu Forma Salvaje para ganar 4 puntos de golpe temporales por cada nivel que tengas en esta clase. Estos puntos de golpe temporales duran 10 minutos, o hasta que vuelvas a usar tu Forma Salvaje.
Feature/&DruidForestGuardianBarkWardTitle	Protección de la corteza
Feature/&DruidForestGuardianExtraAttackDescription	A partir del 6º nivel, puedes atacar dos veces, en lugar de una, siempre que realices la acción de ataque en tu turno.
Feature/&DruidForestGuardianExtraAttackTitle	Ataque extra
Feature/&DruidForestGuardianImprovedBarkWardDescription	A tu Bark Ward le crecen ahora espinas que dañan a los atacantes cuerpo a cuerpo. Los enemigos que te golpean con éxito con un ataque cuerpo a cuerpo sufren 2d8 de daño punzante.
Feature/&DruidForestGuardianImprovedBarkWardTitle	Protección de corteza mejorada
Feature/&DruidForestGuardianMagicDescription	A partir del 2º nivel, cuando eliges este círculo, obtienes acceso a una lista de hechizos ampliada que siempre está preparada:\N-No te preocupes.
Feature/&DruidForestGuardianMagicTitle	Hechizos del círculo
Feature/&DruidForestGuardianSuperiorBarkWardDescription	Tu habilidad de protección contra el ladrido ahora refleja 3d8 de daño perforante en los atacantes cuerpo a cuerpo. Además, ahora Bark Ward te otorga inmunidad al veneno mientras está activa.
Feature/&DruidForestGuardianSuperiorBarkWardTitle	Protección de corteza superior
Feature/&DruidForestGuardianSylvanDurabilityDescription	Los Guardianes del Bosque adquieren de forma natural la resistencia de un poderoso roble. A 2º nivel, tu máximo de puntos de golpe aumenta en 2 y se incrementa en 1 cada vez que ganas un nivel en esta clase.
Feature/&DruidForestGuardianSylvanDurabilityTitle	Durabilidad silvana
Feature/&DruidForestGuardianSylvanWarMagicDescription	Estás acostumbrado a manejar la magia druídica en armonía con la destreza marcial. A 2º nivel, puedes lanzar conjuros que requieran un componente somático incluso si tus dos manos están sujetando un arma o un escudo.
Feature/&DruidForestGuardianSylvanWarMagicTitle	Magia de guerra silvana
Feature/&DualFlurryDescription	Eres un maestro de la lucha con armas emparejadas. En cualquier turno en el que golpees dos veces con ataques cuerpo a cuerpo mientras empuñas un arma en cada mano, puedes hacer un ataque adicional sin mano.
Feature/&DualFlurryTitle	Flurry dual
Feature/&EldritchBlastGraspingHandBonusCantripDescription	Cuando golpeas a una criatura con tu ráfaga eldritch, puedes mover a esa criatura en línea recta 3 metros más cerca de ti.
Feature/&EldritchBlastGraspingHandBonusCantripTitle	Ráfaga de agarre
Feature/&EldritchBlastRepellingBlastBonusCantripDescription	Cuando golpeas a una criatura con tu ráfaga de eldritch, puedes alejar a la criatura hasta 3 metros de ti en línea recta.
Feature/&EldritchBlastRepellingBlastBonusCantripTitle	Ráfaga repelente
Feature/&EldritchMindDescription	Tienes ventaja en las tiradas de salvación de Constitución que hagas para mantener tu concentración en un hechizo.
Feature/&EldritchMindTitle	Mente eldritch
Feature/&EldritchSightTitle	Vista eldríctica
Feature/&EldritchSmiteDescription	Una vez por turno, cuando golpeas a una criatura con tu arma de pacto, puedes gastar una ranura de hechizo de brujo para infligir 1d8 de daño de fuerza adicional al objetivo, más otros 1d8 por nivel de la ranura de hechizo.
Feature/&EldritchSmiteTitle	Golpe de los eldritch
Feature/&ElementalistSpellsMagicAffinityDescription	Puedes elegir entre una lista ampliada de hechizos cuando aprendes un hechizo de Brujo. Los siguientes hechizos se añaden a la lista de hechizos de Brujo para ti: {0}\n\n
Feature/&ElementalistSpellsMagicAffinityTitle	Hechizos de Elementalista
Feature/&ElementalPactAirPlane	Plano del Aire
Feature/&ElementalPactAstralPlane	Plano Astral
Feature/&ElementalPactEarthPlane	Plano de la Tierra
Feature/&ElementalPactEtherealPlane	Plano Etéreo
Feature/&ElementalPactFirePlane	Plano de Fuego
Feature/&ElementalPactIcePlane	Plano de Hielo
Feature/&ElementalPactShadowPlane	Plano de las Sombras
Feature/&ElementalPatronDummyFeatureSetTitle	Elementalista
Feature/&ElementalPatronElementalConditionFormatDescription	Inflige {1} de daño adicional igual a tu bonificación de competencia en un primer golpe cada ronda.
Feature/&ElementalPatronElementalConditionFormatTitle	Canalización {0}
Feature/&ElementalPatronElementalDamageFormatDescription	Cuando canalizas {0}, infliges {1} de daño adicional igual a tu bonificación de competencia en el primer golpe de cada asalto.
Feature/&ElementalPatronElementalDamageFormatTitle	Daño Elemental: {0}
Feature/&ElementalPatronElementalFormEnhancedFormatDescription	Al canalizar el {0}, obtienes Inmunidad a {1} y aplicas el bono de competencia como daño del mismo tipo al primer golpe cada asalto.
Feature/&ElementalPatronElementalFormEnhancedFormatTitle	Canalización: {0}
Feature/&ElementalPatronElementalFormFormatDescription	Al canalizar el {0}, obtienes Resistencia al daño de {1} y aplicas la bonificación de competencia como daño del mismo tipo al primer golpe cada asalto.
Feature/&ElementalPatronElementalFormFormatTitle	{0}
Feature/&ElementalPatronFeatureSet_Level06Description	Tu conocimiento de los elementales ha aumentado hasta el punto de que ahora obtienes ventaja en los chequeos de habilidad hacia los elementales, e infliges un daño adicional contra los elementales igual a tu nivel de conocimiento. Ya no puedes ser encantado o asustado por los elementales.
Feature/&ElementalPatronFeatureSet_Level06Title	Conocimiento de los elementales
Feature/&EmptyString	
Feature/&EyesoftheRuneKeeperDescription	Puedes leer toda la escritura.
Feature/&EyesoftheRuneKeeperTitle	Ojos del guardián de las runas
Feature/&FiendishVigorTitle	Vigor diabólico
Feature/&FlameArtillery_09ModePowerDescription	Invoca un constructo que dura 1 hora. \Artillería de Fuego: Crea un cono de fuego que inflige 3d8 de daño con una salvación fallida. \Autodestrucción: inflige 3d8 de daño de fuerza con una salvación fallida y destruye la unidad.
Feature/&FlameArtillery_09ModePowerTitle	Invocar constructo de artillería de llamas
Feature/&FlameArtillery_15ModePowerDescription	Invoca un constructo que dura 1 hora. \Artillería de llamas: Crea un cono de fuego que inflige 3d8 de daño si se falla la salvación. \Autodestrucción: Inflige 3d8 de daño de fuerza con una salvación fallida y destruye la unidad. \Media cúpula de cobertura: proporciona media cobertura a los aliados en un radio de 3 metros.
Feature/&FlameArtillery_15ModePowerTitle	Invocar constructo de artillería de llamas
Feature/&FlameArtilleryModePowerDescription	Invoca una construcción que dura 1 hora. \Artillería de llamas: Crea un cono de fuego que inflige 2d8 de daño con una salvación fallida.
Feature/&FlameArtilleryModePowerTitle	Invocar construcción de artillería de llamas
Feature/&ForceArtillery_09ModePowerDescription	Invoca una construcción que dura 1 hora. \Artillería de fuerza: Inflige 3d8 de daño de fuerza y aleja al enemigo 1,5 m. \Autodestrucción: inflige 3d8 de daño de fuerza con una salvación fallida y destruye la unidad.
Feature/&ForceArtillery_09ModePowerTitle	Invocar constructo de artillería de fuerza
Feature/&ForceArtillery_15ModePowerDescription	Invoca un constructo que dura 1 hora. \Artillería de fuerza: Inflige 3d8 de daño de fuerza y aleja al enemigo 1,5 m. \Autodestrucción: inflige 3d8 de daño de fuerza con una salvación fallida y destruye la unidad. \Media cúpula de cobertura: proporciona media cobertura a los aliados en un radio de 3 metros.
Feature/&ForceArtillery_15ModePowerTitle	Invocar construcción de artillería de fuerza
Feature/&ForceArtilleryAdditionalDamageTitle	Daño mejorado
Feature/&ForceArtilleryModePowerDescription	Invoca un constructo que dura 1 hora. \Artillería de fuerza: Inflige 2d8 de daño de fuerza y empuja al objetivo a 5 pies de distancia.
Feature/&ForceArtilleryModePowerTitle	Invocar construcción de artillería de fuerza
Feature/&ForceArtilleryTitle	Artillería de fuerza
Feature/&GambitResourcePoolAddDescription	Añade un dado de gambito adicional.
Feature/&GambitResourcePoolAddTitle	Dado de gambito adicional
Feature/&GambitResourcePoolDescription	Reserva de dados de gambito que se pueden gastar en gambitos. Comienza con 4 y se recarga en un breve descanso.
Feature/&GambitResourcePoolTitle	Reserva de dados de gambito
Feature/&GiftoftheEverLivingOnesDescription	Recupera el máximo número de puntos de golpe posibles de cualquier curación.
Feature/&GiftoftheEverLivingOnesTitle	Regalo de los siempre vivos
Feature/&GiftoftheProtectorsDescription	Cuando te reducen a 0 puntos de golpe pero no te matan del todo, la criatura baja mágicamente a 1 punto de golpe en su lugar. Una vez activada esta magia, no puedes beneficiarte de ella hasta que termines un descanso largo.
Feature/&GiftoftheProtectorsTitle	Don de los protectores
Feature/&GnomeCunningFeatureDescription	Tienes ventaja en todas las salvaciones de Inteligencia, Sabiduría y Carisma contra la magia.
Feature/&GnomeCunningFeatureTitle	Astucia
Feature/&GnomeNaturalIllusionistDescription	Conoces el cantrip Abeja molesta. La Inteligencia es tu modificador de lanzamiento de hechizos para el mismo.
Feature/&GnomeNaturalIllusionistTitle	Magia natural
Feature/&HerbalBrewDescription	Cuando terminas un descanso largo, puedes crear brebajes de hierbas, cada uno de los cuales dura hasta el siguiente descanso largo. Puedes crear un total de brebajes igual a tu bonificación de competencia. Por cada brebaje, elige uno de los siguientes efectos: \Brebaje fortificante</color>: otorga resistencia a diferentes tipos de daño durante 1 hora.Brebaje acelerador</color>: proporciona 2d4 puntos de golpe.Brebaje tóxico</color>: actúa como un veneno que puede aplicarse a un arma y que dura 1 minuto. Si el golpe tiene lugar el objetivo recibe 1d4 de daño por veneno en cada golpe.
Feature/&HerbalBrewFeatureSetDescription	Ganas competencia con el kit de envenenador o con el de herboristería si no lo tienes ya. \Cuando terminas un descanso largo, puedes crear brebajes de hierbas, cada uno de los cuales dura hasta el siguiente descanso largo. Puedes crear un total de brebajes igual a tu bonificación de competencia. Por cada brebaje, elige uno de los siguientes efectos: \Brebaje fortificante</color>: otorga resistencia a diferentes tipos de daño durante 1 hora.Brebaje acelerador</color>: proporciona 2d4 puntos de golpe.Brebaje tóxico</color>: actúa como un veneno que puede aplicarse a un arma y que dura 1 minuto. Si el golpe tiene lugar, el objetivo recibe 1d4 puntos de daño por veneno en cada golpe.
Feature/&HerbalBrewFeatureSetTitle	Elaboración de hierbas
Feature/&HinderingBlastDescription	Cuando golpeas a una criatura con tu ráfaga de eldritch, puedes reducir la velocidad de esa criatura en 3 metros hasta el final de tu siguiente turno.
Feature/&HinderingBlastMagicAffinityDescription	Cuando golpeas a una criatura con tu explosión de eldritch, puedes reducir la velocidad de esa criatura en 3 metros hasta el final de tu siguiente turno.
Feature/&HinderingBlastMagicAffinityTitle	Explosión obstaculizadora
Feature/&HinderingBlastTitle	Explosión obstaculizadora
Feature/&ImprovedPactWeaponDescription	Puedes utilizar cualquier arma como foco de hechizo para tus hechizos de Brujo. Además, el arma gana un bonificador +1 a sus tiradas de ataque y daño.
Feature/&ImprovedPactWeaponTitle	Arma de pacto mejorada
Feature/&ImprovedScoutModePowerDescription	Gana rasgos del modo explorador mejorado. Ahora puedes crear ventaja para los aliados y desventaja para los enemigos con un solo ataque.
Feature/&ImprovedScoutModePowerTitle	Modo explorador mejorado
Feature/&ImprovedSentinelModePowerDescription	Gana rasgos del Modo Centinela Mejorado a través del poder de Agarre del Guantelete.
Feature/&ImprovedSentinelModePowerTitle	Modo centinela mejorado
Feature/&IndomitableResistanceAddDescription	#¡ERROR!
Feature/&IndomitableResistanceAddTitle	Resistencia indomable (aumentada)
Feature/&IndomitableResistanceTitle	Resistencia indomable
Feature/&InspirePowerDescription	Gasta un dado de gambito e inspírate a ti mismo o a tu aliado para dar 1d6 + 2 CV temporales.
Feature/&InspirePowerTitle	Inspirar
Feature/&InspiringSurgePowerDescription	Concede a un aliado una acción principal adicional durante 1 ronda. No se acumula con la Sobrecarga de Acción.
Feature/&InspiringSurgePowerTitle	Oleada de Inspiración
Feature/&InspiringSurgePowerTitleShort	Oleada de Inspiración
Feature/&KnockDownPowerDescription	Gasta un dado de gambito y potencia tu ataque para hacer 1d6 + 2 de daño contundente adicional. El objetivo hace una salvación de Fuerza (DC 8 + tu bono de competencia + tu modificador de Fuerza) o queda derribado hasta el comienzo de su siguiente turno.
Feature/&KnockDownPowerTitle	Derribar
Feature/&MagicAffinityRangerArcanistDescription	Eres competente en el lanzamiento de conjuros en batalla, y puedes lanzar conjuros que requieran un componente somático incluso si tus dos manos están sujetando un arma o un escudo.
Feature/&MagicAffinityRangerArcanistTitle	Entrenamiento de combate arcano
Feature/&MiretheMindTitle	Ensuciar la mente
Feature/&MoonLitDarknessImmunityDescription	Eres inmune a la condición Oscuridad.
Feature/&MoonLitDarknessImmunityTitle	Oscuridad iluminada por la luna
Feature/&MoonLitExpandedSpelllistAfinityDescription	Eliges entre una lista ampliada de hechizos cuando aprendes un hechizo de Brujo. Los siguientes hechizos se añaden a la lista de hechizos de Brujo para ti: {0}\n\n
Feature/&MoonLitExpandedSpelllistAfinityTitle	Hechizos en la oscuridad de la luna
Feature/&MoonLitLightAffinityDescription	Si comienzas tu turno en la oscuridad natural, te vuelves invisible. Moverte, atacar o usar cualquier poder o hechizo que no te apunte sólo a ti mismo rompe la invisibilidad.
Feature/&MoonLitLightAffinityStrongDescription	La Capa Umbral ahora funciona con luz tenue y oscuridad mágica.
Feature/&MoonLitLightAffinityStrongTitle	Capa Umbral Mejorada
Feature/&MoonLitLightAffinityTitle	Capa Umbral
Feature/&OneWithShadowsDescription	Si comienzas tu turno en oscuridad natural, te vuelves invisible. Moverte, atacar o usar cualquier poder o hechizo que no te apunte sólo a ti rompe la invisibilidad.
Feature/&OneWithShadowsLightAffinityDescription	Si comienzas tu turno en la oscuridad natural, te vuelves invisible. Si te mueves, atacas o usas cualquier poder o hechizo que no te apunte sólo a ti mismo, se rompe la invisibilidad.
Feature/&OneWithShadowsLightAffinityStrongDescription	Ahora Uno con Sombras funciona con luz tenue y oscuridad mágica.
Feature/&OneWithShadowsLightAffinityStrongTitle	Sombras más oscuras
Feature/&OneWithShadowsLightAffinityTitle	Uno con sombras
Feature/&OneWithShadowsStrongerDescription	Ahora Uno con Sombras funciona con luz tenue y oscuridad mágica.
Feature/&OneWithShadowsStrongerTitle	Sombras más oscuras
Feature/&OneWithShadowsTitle	Uno con sombras
Feature/&OpportunistDebilitatingStrikeDescription	Tu ataque furtivo hace que el objetivo haga una tirada de salvación de Constitución (DC 8 + tu bonificación de competencia + tu modificador de Destreza) o sufra una de las siguientes condiciones: cegado, aturdido, sangrando o aturdido.
Feature/&OpportunistDebilitatingStrikeTitle	Golpe debilitante
Feature/&OpportunistQuickStrikeDescription	Tienes ventaja cuando atacas a un enemigo cuya iniciativa es inferior a la tuya. Además, también tienes ventaja al realizar un ataque de oportunidad.
Feature/&OpportunistQuickStrikeTitle	Golpe rápido
Feature/&OtherworldlyLeapTitle	Salto de otro mundo
Feature/&PowerAttackDescription	Quita un penalizador de -3 al impacto a tu ataque para hacer 3 + bonificación de competencia de daño extra cuando lances tus golpes con armas cuerpo a cuerpo.
Feature/&PowerAttackTitle	Ataque poderoso
Feature/&PowerPaladinAuraOfCourage18Description	Concede una bonificación de tirada de salvación a los aliados en un radio de 30 pies.
Feature/&PowerPaladinAuraOfCourage18Title	Aura de coraje mejorada
Feature/&PowerPaladinAuraOfProtection18Description	Tú y tus aliados en un radio de 30 pies no podéis ser asustados.
Feature/&PowerPaladinAuraOfProtection18Title	Aura de protección mejorada
Feature/&PowerTorchbearerDescription	Intenta prender fuego a un objetivo cuerpo a cuerpo.
Feature/&PowerTorchbearerTitle	Portador de antorchas
Feature/&PrimalChampionDescription	A 20º nivel, encarnas el poder de la naturaleza. Tus puntuaciones de Fuerza y Constitución aumentan en 4.
Feature/&PrimalChampionTitle	Campeón Primigenio
Feature/&ProficiencyBolgrifLanguagesDescription	Común, élfico y gigante.
Feature/&ProficiencyBolgrifLanguagesTitle	Idioma
Feature/&ProficiencyGnomishLanguagesDescription	Común, Gnomish.
Feature/&ProficiencyGnomishLanguagesTitle	Idiomas
Feature/&ProficiencyRogueBlindSenseDescription	A partir del 14º nivel, si eres capaz de oír, eres consciente de la localización de cualquier criatura oculta o invisible en un radio de 3 metros de ti.
Feature/&ProficiencyRogueBlindSenseTitle	Sentido de la ceguera
Feature/&ProficiencyRogueSlipperyMindDescription	A 15º nivel, ha adquirido una mayor fuerza mental. Ganas competencia en las tiradas de salvación de Sabiduría.
Feature/&ProficiencyRogueSlipperyMindTitle	Mente escurridiza
Feature/&ProficiencySoulBladeArmorDescription	Armadura ligera, armadura media y escudo.
Feature/&ProficiencySoulBladeArmorTitle	Proficiencias de Armadura de Cuchilla del Alma
Feature/&ProficiencySoulBladeWeaponDescription	Armas Simples, Armas Marciales.
Feature/&ProficiencySoulBladeWeaponTitle	Proficiencias del arma Soulblade
Feature/&RageDamageBonusAttackModifierDescription	Añade +2 de daño a tus ataques mientras estás furioso.
Feature/&RageDamageBonusAttackModifierTitle	Daño por furia
Feature/&RageFeatConditionDescription	Cuando estás enfadado, obtienes lo siguiente: Ventaja en los chequeos de Fuerza y en las tiradas de salvación de Fuerza, un bonificador a las tiradas de daño de +2 y resistencia al daño contundente, perforante y cortante.
Feature/&RageFeatConditionTitle	Raging
Feature/&RagePowerDescription	Como acción adicional, entras en cólera durante un minuto y obtienes lo siguiente: Ventaja en los chequeos de Fuerza y en las tiradas de salvación de Fuerza, un bonificador a las tiradas de daño de +2 y resistencia al daño contundente, punzante y cortante.
Feature/&RagePowerTitle	Furia
Feature/&RageStrengthSavingThrowAffinityDescription	Obtienes ventaja en las salvaciones de Fuerza mientras estás furioso.
Feature/&RageStrengthSavingThrowAffinityTitle	Ventaja en las salvaciones de fuerza por furia
Feature/&RallyingCryPowerDescription	Sustituye a Segundo Viento por un poder que restaura 4 veces los puntos de golpe de los niveles de luchador a uno o más aliados en un radio de 6 casillas, hasta su máximo de puntos de golpe.
Feature/&RallyingCryPowerTitle	Grito de reunión
Feature/&RallyingCryPowerTitleShort	Grito de reunión
Feature/&RangerFeralSensesDescription	Obtienes sentidos preternaturales que te ayudan a luchar contra criaturas que no puedes ver. Cuando atacas a una criatura que no puedes ver, tu incapacidad para verla no impone desventaja en tus tiradas de ataque contra ella.
Feature/&RangerFeralSensesTitle	Sentidos ferales
Feature/&RangerVanishActionDescription	A partir del 14º nivel, puedes utilizar la acción de Esconderse como acción adicional en tu turno.
Feature/&RangerVanishActionTitle	Desaparecer
Feature/&RiftWalkerRestrainedImmunityTitle	Paso fugaz
Feature/&RiftWalkerSpellsMagicAffinityDescription	Eliges entre una lista ampliada de conjuros cuando aprendes un conjuro de Brujo. Los siguientes conjuros se añaden a la lista de conjuros de Brujo para ti: {0}\n\n
Feature/&RiftWalkerSpellsMagicAffinityTitle	Hechizos de Caminante de la Grieta
Feature/&RoyalEnvoyFeatureDescription	Añade la mitad de tu bonificación de competencia (redondeando hacia arriba) a cualquier chequeo de Carisma que hagas y que no utilice tu bonificación de competencia. Además, te vuelves competente en las tiradas de salvación de Carisma.
Feature/&RoyalEnvoyFeatureTitle	Enviado real
Feature/&SavingThrowTinkererProficiencyDescription	Competencia en tiradas de salvación de Constitución e Inteligencia.
Feature/&SavingThrowTinkererProficiencyTitle	Competencia en tiradas de salvación
Feature/&ScoutModePowerDescription	Ganas un aumento de movimiento, ventaja en los chequeos de Sigilo y una vez por turno, tus ataques con armas a distancia infligen un dado extra de daño.
Feature/&ScoutModePowerTitle	Modo explorador
Feature/&SentinelModePowerDescription	Gana HP temporal igual al nivel. Impone desventaja a los enemigos que atacan a los aliados.
Feature/&SentinelModePowerTitle	Modo Centinela
Feature/&ShroudofShadowTitle	Sudario de sombra
Feature/&SignofIllOmenTitle	Señal de mal agüero
Feature/&SpellAsInvocationAtWillDescription	Lanza {0} a voluntad.
Feature/&SpellAsInvocationOncePerDayDescription	Lanza {0} una vez hasta el descanso largo.
Feature/&TempHPShield_09ModePowerDescription	Invoca un constructo que dura 1 hora. \Cúpula protectora: Otorga 1d8 + 4 PV temporales a los aliados en un radio de 3 metros. \Autodestrucción: inflige 3d8 de daño de fuerza si se falla la salvación y destruye la unidad.
Feature/&TempHPShield_09ModePowerTitle	Invocar constructo de cúpula protectora
Feature/&TempHPShield_15ModePowerDescription	Invoca un constructo que dura 1 hora. \Cúpula protectora: Otorga 1d8 + 4 PV temporales a los aliados en un radio de 3 metros. \Autodestrucción: inflige 3d8 de daño de fuerza con una salvación fallida y destruye la unidad. \Cúpula de media cobertura: Proporciona media cobertura a los aliados en un radio de 3 metros.
Feature/&TempHPShield_15ModePowerTitle	Invocar construcción de cúpula protectora
Feature/&TempHPShieldModePowerDescription	Invoca una construcción que dura 1 hora. \Cúpula protectora: Otorga 1d8 + 4 PS temporales a los aliados en un radio de 3 metros.
Feature/&TempHPShieldModePowerTitle	Invocar construcción de cúpula protectora
Feature/&TempHPShieldTitle	Cúpula protectora
Feature/&ThiefofFiveFates	Lanzamiento {0} una vez al día
Feature/&ThiefofFiveFatesTitle	Ladrón de cinco destinos
Feature/&ThirstingBladeDescription	Puedes atacar con tu arma dos veces, en lugar de una, siempre que realices la acción de Ataque en tu turno.
Feature/&ThirstingBladeTitle	Hoja sedienta
Feature/&TinkererArmorProficiencyDescription	Dominio de las armaduras ligeras y medianas, así como de los escudos.
Feature/&TinkererArmorProficiencyTitle	Dominio de la armadura del calderero
Feature/&TinkererInfusionChoiceDescription	Selecciona las infusiones que tendrás disponibles para usar. Ten en cuenta que cada infusión sólo puede activarse una vez. Si se activa una segunda vez, se anula la primera.
Feature/&TinkererInfusionChoiceTitle	Elección de infusión
Feature/&TinkererInfusionReplaceDescription	Selecciona las infusiones a reemplazar.
Feature/&TinkererInfusionReplaceTitle	Reemplazar infusión
Feature/&TinkererSkillGainChoicesPluralDescription	Las habilidades de los caldereros son Arcanos, Historia, Investigación, Medicina, Naturaleza, Percepción y Habilidad.
Feature/&TinkererSkillPointsTitle	Habilidades de calderero
Feature/&TinkererToolsExpertiseDescription	Obtén experiencia con muchas herramientas, incluyendo Herramientas de Ladrón, Kits de Pergamino, Kit de Envenenador, Kit de Herbología y Herramientas de Encantamiento.
Feature/&TinkererToolsExpertiseTitle	Pericia en herramientas de calderero
Feature/&TinkererToolsProficiencyDescription	Adquiere competencia con muchas herramientas, como las herramientas de ladrón, los kits de pergamino, el kit de envenenador, el kit de herboristería y las herramientas de encantamiento.
Feature/&TinkererToolsProficiencyTitle	Competencias en herramientas
Feature/&TinkererWeaponProficiencyDescription	Dominio de las armas simples.
Feature/&TinkererWeaponProficiencyTitle	Competencias de armas del Hechicero
Feature/&ToadKingBasicToxinTitle	Toxina básica
Feature/&ToadKingExpandedSpelllistAfinityDescription	Eliges entre una lista ampliada de hechizos cuando aprendes un hechizo de Brujo. Los siguientes hechizos se añaden a la lista de hechizos de Brujo para ti: {0}\n\n
Feature/&ToadKingExpandedSpelllistAfinityTitle	Hechizos del Rey Sapo
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Tu cuerpo ha cambiado para volverse resistente a las toxinas y producir una toxina defensiva cuando es golpeado por ataques cuerpo a cuerpo, hasta un número de veces por descanso largo igual a tu bono de competencia. Si el atacante falla una tirada de salvación de Constitución, sufre una toxina alucinógena hasta que sea atacado o interrumpido de otro modo.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Toxina alucinógena
Feature/&ToadKingJumpTitle	Salto
Feature/&ToadKingPoisonConditionAffinityTitle	Inmune a la condición de veneno
Feature/&ToadKingPoisonDamageAffinityTitle	Inmune al daño por veneno
Feature/&ToadKingStickyFeetTitle	Pies palmeados
Feature/&TrickstersEscapeTitle	Fuga del embaucador
Feature/&UrPriestDomainTheftDescription	Te llevas los secretos que un dios concede a todos sus clérigos devotos. Elige un dominio de clérigo: obtienes los rasgos que ese dominio concede a 1er nivel.
Feature/&UrPriestDomainTheftTitle	Robo de dominio
Feature/&UrPriestExpandedSpelllistAfinityDescription	Eliges entre una lista ampliada de hechizos cuando aprendes un hechizo de Brujo. Los conjuros de clérigo se añaden a la lista de conjuros de brujo por ti.
Feature/&UrPriestExpandedSpelllistAfinityTitle	Hechizos de UrPriest
Feature/&WallofThornsFeatureSetDescription	Lanza Muro de Espinas una vez al día.
Feature/&WallofThornsFeatureSetTitle	Barrera del Bosque
Feature/&WitchCurseChoiceDescription	Estás asolado por una terrible maldición que infecta tu cuerpo y tu alma.
Feature/&WitchCurseChoiceTitle	Maldición de bruja
Feature/&WitchMaledictionChoiceDescription	Puedes aprender una serie de poderosos conjuros, conocidos como Maledicciones, derivados de la misma magia insidiosa que te maldijo.
Feature/&WitchMaledictionChoiceTitle	Maledicciones
Feature/&WitchSightDescription	Puedes sentir o ver criaturas invisibles en un radio de 60 pies de ti.
Feature/&WitchSightTitle	Vista de brujo
Feature/&ZSPowerPaladinCleansingTouchDescription	Elimina los efectos de los hechizos tocando a un aliado. Puedes hacer esto un número de veces al día igual a tu modificador de Carisma.
Feature/&ZSPowerPaladinCleansingTouchTitle	Toque Limpiador
Feedback/&AdditionalDamageAgonizing_BlastFormat	Ráfaga agonizante
Feedback/&AdditionalDamageAgonizing_BlastLine	Cuando lanzas una ráfaga de eldritch, añades tu modificador de Carisma al daño que inflige en un golpe.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Daño adicional de los ataques con poder mágico
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Daño adicional de ataques con poder mágico
Feedback/&AdditionalDamageArcaneFirearmFormat	Mejora de la explosión
Feedback/&AdditionalDamageArcaneFirearmLine	Inflige daño adicional con la Mejora de la Explosión
Feedback/&AdditionalDamageArcanistMarkFormat	¡Marca del arcanista!
Feedback/&AdditionalDamageArcanistMarkLine	La Marca del arcanista detona e inflige daño adicional al objetivo.
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Golpe luminoso
