ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken.
Feature/&PowerAttackTitle	Machtangriff
Feature/&PowerPaladinAuraOfCourage18Description	Gewährt Verbündeten innerhalb von 30 Fuß einen Rettungswurfbonus.
Feature/&PowerPaladinAuraOfCourage18Title	Verbesserte Aura des Mutes
Feature/&PowerPaladinAuraOfProtection18Description	Sie und Ihre Verbündeten innerhalb von 30 Fuß können nicht erschreckt werden.
Feature/&PowerPaladinAuraOfProtection18Title	Verbesserte Aura des Schutzes
Feature/&PowerTorchbearerDescription	Versuchen Sie, ein Nahkampfziel in Brand zu setzen!
Feature/&PowerTorchbearerTitle	Fackelträger
Feature/&PrimalChampionDescription	Auf Stufe 20 verkörperst du die Macht der Wildnis. Ihre Stärke- und Konstitutionswerte erhöhen sich um 4.
Feature/&PrimalChampionTitle	Erster Champion
Feature/&ProficiencyBolgrifLanguagesDescription	Gewöhnlich, Elbisch und Riese.
Feature/&ProficiencyBolgrifLanguagesTitle	Sprache
Feature/&ProficiencyGnomishLanguagesDescription	Gewöhnlich, gnomisch.
Feature/&ProficiencyGnomishLanguagesTitle	Sprachen
Feature/&ProficiencyRogueBlindSenseDescription	Wenn du ab der 14. Stufe hören kannst, weißt du, wo sich versteckte oder unsichtbare Kreaturen innerhalb von 10 Fuß von dir befinden.
Feature/&ProficiencyRogueBlindSenseTitle	Blindsinn
Feature/&ProficiencyRogueSlipperyMindDescription	Bis zur 15. Stufe haben Sie eine größere mentale Stärke erlangt. Du lernst Weisheitswürfe.
Feature/&ProficiencyRogueSlipperyMindTitle	Schlüpfriger Geist
Feature/&ProficiencySoulBladeArmorDescription	Leichte Rüstung, mittlere Rüstung und Schild.
Feature/&ProficiencySoulBladeArmorTitle	Seelenklingen-Rüstungsfähigkeiten
Feature/&ProficiencySoulBladeWeaponDescription	Einfache Waffen, Kampfwaffen.
Feature/&ProficiencySoulBladeWeaponTitle	Soulblade-Waffenkenntnisse
Feature/&RageDamageBonusAttackModifierDescription	Füge deinen Angriffen +2 Schaden hinzu, während du tobst.
Feature/&RageDamageBonusAttackModifierTitle	Wutschaden
Feature/&RageFeatConditionDescription	Während du in Rage bist, erhältst du Folgendes: Vorteil bei Stärkewürfen und Stärkerettungswürfen, einen Bonus auf Schadenswürfe von +2 und Resistenz gegen Knüppel-, Stich- und Hiebschaden.
Feature/&RageFeatConditionTitle	Toben
Feature/&RagePowerDescription	Als Bonusaktion gerätst du für eine Minute in Wut und erhältst Folgendes: Vorteil bei Stärkewürfen und Stärkerettungswürfen, einen Bonus auf Schadenswürfe von +2 und Resistenz gegen Knüppel-, Stich- und Hiebschaden.
Feature/&RagePowerTitle	Wut
Feature/&RageStrengthSavingThrowAffinityDescription	Während du tobst, erhältst du einen Vorteil bei Stärkewürfen.
Feature/&RageStrengthSavingThrowAffinityTitle	Wutstärke-Speichervorteil
Feature/&RallyingCryPowerDescription	Ersetzt Zweiter Wind durch eine Kraft, um 4x Kämpferstufen-Trefferpunkte bei einem oder mehreren Verbündeten innerhalb von 6 Zellen bis zu ihrem Trefferpunkte-Maximum wiederherzustellen.
Feature/&RallyingCryPowerTitle	Sammelnder Schrei
Feature/&RallyingCryPowerTitleShort	Sammelnder Schrei
Feature/&RangerFeralSensesDescription	Du erhältst übernatürliche Sinne, die dir helfen, Kreaturen zu bekämpfen, die du nicht sehen kannst. Wenn du eine Kreatur angreifst, die du nicht sehen kannst, hat deine Unfähigkeit, sie zu sehen, keinen Nachteil bei deinen Angriffswürfen gegen sie.
Feature/&RangerFeralSensesTitle	Wilde Sinne
Feature/&RangerVanishActionDescription	Ab der 14. Stufe kannst du die Aktion Verstecken als Bonusaktion in deinem Zug nutzen.
Feature/&RangerVanishActionTitle	Verschwinden
Feature/&RiftWalkerRestrainedImmunityTitle	Flüchtiger Schritt
Feature/&RiftWalkerSpellsMagicAffinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Warlock-Zauber lernst. Die folgenden Zauber werden für Sie zur Hexenmeister-Zauberliste hinzugefügt: {0}
Feature/&RiftWalkerSpellsMagicAffinityTitle	Rift Walker-Zauber
Feature/&RoyalEnvoyFeatureDescription	Addiere die Hälfte deines Kompetenzbonus (aufgerundet) zu jedem Charisma-Check, den du machst, der deinen Kompetenzbonus nicht bereits nutzt. Außerdem werden Sie mit Charisma-Rettungswürfen vertraut.
Feature/&RoyalEnvoyFeatureTitle	Königlicher Gesandter
Feature/&SavingThrowTinkererProficiencyDescription	Beherrschung von Konstitutions- und Intelligenzwürfen.
Feature/&SavingThrowTinkererProficiencyTitle	Rettungswurf-Fertigkeit
Feature/&ScoutModePowerDescription	Du erhältst mehr Bewegung, einen Vorteil bei Fertigkeitswürfen für Heimlichkeit und einmal pro Zug verursachen deine Fernwaffenangriffe einen zusätzlichen Schadenswürfel.
Feature/&ScoutModePowerTitle	Scout-Modus
Feature/&SentinelModePowerDescription	Erhalten Sie temporäre HP in Höhe des Levels. Verhängt einen Nachteil für Feinde, die Verbündete angreifen.
Feature/&SentinelModePowerTitle	Sentinel-Modus
Feature/&ShroudofShadowTitle	Schleier des Schattens
Feature/&SignofIllOmenTitle	Zeichen des schlechten Omens
Feature/&SpellAsInvocationAtWillDescription	Zaubere {0} nach Belieben.
Feature/&SpellAsInvocationOncePerDayDescription	Bis zur langen Pause einmal {0} wirken.
Feature/&TempHPShield_09ModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde hält.\nSchutzkuppel: Gewährt Verbündeten innerhalb von 10 Fuß 1W8 + 4 temporäre HP.\nSelbstzerstörung: Verursacht 3W8 Machtschaden bei einem fehlgeschlagenen Rettungswurf und zerstört die Einheit.
Feature/&TempHPShield_09ModePowerTitle	Beschwöre ein schützendes Kuppelkonstrukt
Feature/&TempHPShield_15ModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde hält.\nSchutzkuppel: Gewährt Verbündeten innerhalb von 10 Fuß 1W8 + 4 temporäre HP.\nSelbstzerstörung: Verursacht 3W8 Machtschaden bei einem fehlgeschlagenen Rettungswurf und zerstört die Einheit.\n Half Cover Dome: Bietet Verbündeten innerhalb von 10 Fuß halbe Deckung.
Feature/&TempHPShield_15ModePowerTitle	Beschwöre ein schützendes Kuppelkonstrukt
Feature/&TempHPShieldModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde hält.\nSchutzkuppel: Gewährt Verbündeten innerhalb von 10 Fuß 1W8 + 4 temporäre HP.
Feature/&TempHPShieldModePowerTitle	Beschwöre ein schützendes Kuppelkonstrukt
Feature/&TempHPShieldTitle	Schutzkuppel
Feature/&ThiefofFiveFates	Wirke {0} einmal pro Tag
Feature/&ThiefofFiveFatesTitle	Dieb der fünf Schicksale
Feature/&ThirstingBladeDescription	Du kannst zweimal statt einmal mit deiner Waffe angreifen, wenn du in deinem Zug die Angriffsaktion ausführst.
Feature/&ThirstingBladeTitle	Durstige Klinge
Feature/&TinkererArmorProficiencyDescription	Kenntnisse im Umgang mit leichten und mittleren Rüstungen sowie Schilden.
Feature/&TinkererArmorProficiencyTitle	Tüftler-Rüstungskompetenz
Feature/&TinkererInfusionChoiceDescription	Wählen Sie die Infusionen aus, die Ihnen zur Verfügung stehen. Beachten Sie, dass jede Infusion nur einmal aktiv sein kann. Eine zweite Aktivierung bricht die erste ab.
Feature/&TinkererInfusionChoiceTitle	Wahl der Infusion
Feature/&TinkererInfusionReplaceDescription	Wählen Sie die zu ersetzenden Infusionen aus.
Feature/&TinkererInfusionReplaceTitle	Infusion ersetzen
Feature/&TinkererSkillGainChoicesPluralDescription	Tüftlerfähigkeiten sind Arcana, Geschichte, Ermittlung, Medizin, Natur, Wahrnehmung und Fingerfertigkeit.
Feature/&TinkererSkillPointsTitle	Tüftlerfähigkeiten
Feature/&TinkererToolsExpertiseDescription	Sammeln Sie Erfahrung mit vielen Werkzeugen, darunter Werkzeuge der Diebe, Schriftrollen-Kits, Gift-Kit, Kräuterkunde-Kit und Verzauberungs-Tools.
Feature/&TinkererToolsExpertiseTitle	Tüftler-Tool-Expertise
Feature/&TinkererToolsProficiencyDescription	Erwerben Sie Kenntnisse im Umgang mit vielen Werkzeugen, darunter Werkzeuge der Diebe, Schriftrollen-Sets, Giftset, Kräuterkunde-Set und Verzauberungswerkzeuge.
Feature/&TinkererToolsProficiencyTitle	Werkzeugkenntnisse
Feature/&TinkererWeaponProficiencyDescription	Umgang mit einfachen Waffen.
Feature/&TinkererWeaponProficiencyTitle	Tüftler-Waffenkenntnisse
Feature/&ToadKingBasicToxinTitle	Basisches Toxin
Feature/&ToadKingExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Warlock-Zauber lernst. Die folgenden Zauber werden für Sie zur Hexenmeister-Zauberliste hinzugefügt: {0}
Feature/&ToadKingExpandedSpelllistAfinityTitle	Krötenkönig-Zauber
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Ihr Körper hat sich so verändert, dass er gegen Toxine resistent wird und ein Abwehrgift produziert, wenn er von Nahkampfangriffen getroffen wird, und zwar bis zu einer Anzahl von Malen pro langer Pause, die Ihrem Kompetenzbonus entspricht. Wenn dem Angreifer ein Konstitutionsrettungswurf misslingt, leidet er unter einem halluzinogenen Toxin, bis er angegriffen oder anderweitig unterbrochen wird.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Halluzinogenes Toxin
Feature/&ToadKingJumpTitle	Springen
Feature/&ToadKingPoisonConditionAffinityTitle	Immun gegen Giftzustand
Feature/&ToadKingPoisonDamageAffinityTitle	Immun gegen Giftschaden
Feature/&ToadKingStickyFeetTitle	Schwimmhäute
Feature/&TrickstersEscapeTitle	Die Flucht des Tricksters
Feature/&UrPriestDomainTheftDescription	Sie schnappen sich die Geheimnisse, die ein Gott all seinen frommen Kleriker gewährt. Wählen Sie eine Kleriker-Domain: Sie erhalten die Funktionen, die die Domain auf der 1. Ebene gewährt.
Feature/&UrPriestDomainTheftTitle	Domain-Diebstahl
Feature/&UrPriestExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Warlock-Zauber lernst. Kleriker-Zauber werden für dich zur Hexenmeister-Zauberliste hinzugefügt.
Feature/&UrPriestExpandedSpelllistAfinityTitle	Urpriester-Zauber
Feature/&WallofThornsFeatureSetDescription	Wirke einmal täglich Dornenwand.
Feature/&WallofThornsFeatureSetTitle	Waldbarriere
Feature/&WitchCurseChoiceDescription	Sie werden von einem schrecklichen Fluch heimgesucht, der Ihren Körper und Ihre Seele infiziert.
Feature/&WitchCurseChoiceTitle	Hexenfluch
Feature/&WitchMaledictionChoiceDescription	Sie können eine Reihe von mächtigen Beschwörungen erlernen, die als Maledictions bekannt sind und von derselben heimtückischen Magie stammen, die Sie verflucht hat.
Feature/&WitchMaledictionChoiceTitle	Flüche
Feature/&WitchSightDescription	Sie können unsichtbare Kreaturen innerhalb von 60 Fuß von Ihnen spüren oder sehen.
Feature/&WitchSightTitle	Hexenblick
Feature/&ZSPowerPaladinCleansingTouchDescription	Entferne Zaubereffekte, indem du einen Verbündeten berührst. Du kannst dies so oft am Tag tun, wie es deinem Charisma-Modifikator entspricht.
Feature/&ZSPowerPaladinCleansingTouchTitle	Reinigende Berührung
Feedback/&AdditionalDamageAgonizing_BlastFormat	Qualvolle Explosion
Feedback/&AdditionalDamageAgonizing_BlastLine	Wenn du Unheimliche Explosion wirkst, addierst du deinen Charisma-Modifikator zu dem Schaden, den es bei einem Treffer verursacht.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Zusätzlicher Schaden durch magisch angetriebene Angriffe
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Zusätzlicher Schaden durch magisch angetriebene Angriffe
Feedback/&AdditionalDamageArcaneFirearmFormat	Explosionsverbesserung!
Feedback/&AdditionalDamageArcaneFirearmLine	Verursacht zusätzlichen Schaden durch Sprengverstärkung
Feedback/&AdditionalDamageArcanistMarkFormat	Zeichen des Arkanisten!
Feedback/&AdditionalDamageArcanistMarkLine	Das Zeichen des Arkanisten detoniert und fügt dem Ziel zusätzlichen Schaden zu!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Erleuchtender Schlag!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Illuminating Strike fügt dem Ziel zusätzlichen Schaden zu!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Blendende Waffe
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Zusätzlicher Schaden und Versuch, Blindness von Blending Weapon anzuwenden
Feedback/&AdditionalDamageEldritchSmiteFormat	Eldritch Smite!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} schlägt {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Elementarschaden
Feedback/&AdditionalDamageElementalDamageLine	Elementarform gewährt zusätzlichen Schaden
Feedback/&AdditionalDamageLightningSpearFormat	Blitzspeer!
Feedback/&AdditionalDamageLightningSpearLine	{0} schlägt {1} mit Blitzspeer! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	Paktzeichen!
Feedback/&AdditionalDamagePactMarkedLine	Paktmarke fügt zusätzlichen Schaden zu!
Feedback/&AdditionalDamagePactSoulTakerFormat	Seelenfänger!
Feedback/&AdditionalDamagePactSoulTakerLine	Soul Taker fügt zusätzlichen Schaden zu!
Feedback/&AdditionalDamageResonatingStrikeFormat	Resonanzschlag!
Feedback/&AdditionalDamageResonatingStrikeLine	{0} schwingt mit {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Seele gestärkt!
Feedback/&AdditionalDamageSoulEmpoweredLine	Seelenermächtigt fügt zusätzlichen Schaden zu!
Feedback/&AdditionalDamageSunlightBladeFormat	Sonnenbeschienene Klinge!
Feedback/&AdditionalDamageSunlightBladeLine	{0} verbrennt {1} mit Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Verbesserter Schaden
Feedback/&AdditionalDamageUpgradedConstructLine	Das aufgewertete Konstrukt verursacht 1W8 mehr Schaden pro Treffer.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&ExtraDamageDescription	Zusätzlicher Schaden durch Blitzspeer.
Feedback/&ExtraDamageTitle	Blitzspeer zusätzlichen Schaden
Feedback/&LightningSpearAdditionalDamageDescription	Verursacht einmal pro Runde zusätzlich 1W6 Blitzschaden.
Feedback/&LightningSpearAdditionalDamageTitle	Blitzspeer zusätzlichen Schaden
Feedback/&NotifyEffectResonatingStrikeLine	{0} schwingt mit {1}!
FightingStyle/&BlindFightingDescription	Sie haben Blindsicht mit einer Reichweite von 10 Fuß.
FightingStyle/&BlindFightingTitle	Blindes Kämpfen
FightingStyle/&CripplingDescription	Wenn du mit einem Nahkampfangriff triffst, kannst du die Geschwindigkeit deines Gegners bis zum Beginn deines nächsten Zuges um 10 Fuß verringern.
FightingStyle/&CripplingTitle	Lähmend
FightingStyle/&PugilistFightingDescription	Deine waffenlosen Schläge verursachen zusätzlich 1W4 Knüppelschaden und du kannst als Bonusaktion mit deiner Nebenhand schlagen.\nWenn Sie freie Hand haben, können Sie als Bonusaktion schubsen.
FightingStyle/&PugilistFightingTitle	Faustkämpfer
FightingStyle/&TitanFightingDescription	Du erhältst einen Treffer von +2 gegen Kreaturen der Größe Large oder größer.
FightingStyle/&TitanFightingTitle	Kampf gegen Titanen
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcana, Natur und Einsicht.
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religion, Natur und Einsicht.
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	Geschichte, Überzeugung und Einschüchterung.
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Wählen Sie 2 Fähigkeiten aus.
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Fähigkeiten
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Wählen Sie 3 Fähigkeiten aus.
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Fähigkeiten
FlexibleBackgrounds/&BackgroundToolSelect2Description	Wählen Sie 2 Werkzeugkenntnisse aus.
FlexibleBackgrounds/&BackgroundToolSelect2Title	Werkzeug
FlexibleBackgrounds/&BackgroundToolSelectDescription	Wählen Sie eine Werkzeugkompetenz aus.
FlexibleBackgrounds/&BackgroundToolSelectTitle	Werkzeug
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Wahrnehmung und Einschüchterung.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Taschenspielertrick, Stealth und Täuschung.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Medizin und Überzeugung.
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Leichtathletik und Einschüchterung.
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Heimlichkeit, Täuschung und Natur.
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Überleben und Natur.
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleRaces/&PointPoolAbilityScore3Description	Verwenden Sie drei Boosts auf Fähigkeitswerte in einer beliebigen Kombination Ihrer Wahl.
FlexibleRaces/&PointPoolAbilityScore3Title	Erhöhung des Fähigkeitswerts
FlexibleRaces/&PointPoolAbilityScore4Description	Verwenden Sie vier Boosts auf Fähigkeitswerte in einer beliebigen Kombination Ihrer Wahl.
FlexibleRaces/&PointPoolAbilityScore4Title	Erhöhung des Fähigkeitswerts
Format/&LevelAndExperienceFormat	Stufe: {0}\nErfahrung: {1}\n{2} Punkte erforderlich, um Stufe {3} zu erreichen
Format/&LevelAndExperienceMaxedFormat	Stufe: {0}\nErfahrung: {1}\nMaximales Level erreicht
Item/&CEHalberd+1Title	Hellebarde +1
Item/&CEHalberd+1UnidentifiedTitle	Qualität Hellebarde
Item/&CEHalberd+2Title	Hellebarde +2
Item/&CEHalberd+2UnidentifiedTitle	Prächtige Hellebarde
Item/&CEHalberdLightningTitle	Blitzhellebarde
Item/&CEHalberdLightningUnidentifiedTitle	Prächtige Hellebarde
Item/&CEHalberdPrimedTitle	Grundierte Hellebarde
Item/&CEHalberdTitle	Hellebarde
Item/&CEHandXbow+1Title	Handarmbrust +1
Item/&CEHandXbow+1UnidentifiedTitle	Hochwertige Handarmbrust
Item/&CEHandXbow+2Title	Handarmbrust +2
Item/&CEHandXbow+2UnidentifiedTitle	Prächtige Handarmbrust
Item/&CEHandXbowAcidTitle	Säurehaltige Handarmbrust
Item/&CEHandXbowAcidUnidentifiedTitle	Prächtige Handarmbrust
Item/&CEHandXbowPrimedTitle	Grundierte Handarmbrust
Item/&CEHandXbowTitle	Hand-Armbrust
Item/&CELongMace+1Title	Langer Streitkolben +1
Item/&CELongMace+1UnidentifiedTitle	Hochwertiger langer Streitkolben
Item/&CELongMace+2Title	Langer Streitkolben +2
Item/&CELongMace+2UnidentifiedTitle	Herrlicher langer Streitkolben
Item/&CELongMacePrimedTitle	Grundierter langer Streitkolben
Item/&CELongMaceThunderTitle	Donnernder langer Streitkolben
Item/&CELongMaceThunderUnidentifiedTitle	Herrlicher langer Streitkolben
Item/&CELongMaceTitle	Langer Streitkolben
Item/&CEPike+1Title	Hecht +1
Item/&CEPike+1UnidentifiedTitle	Qualitätshecht
Item/&CEPike+2Title	Hecht +2
Item/&CEPike+2UnidentifiedTitle	Prächtiger Hecht
Item/&CEPikePrimedTitle	Grundierter Hecht
Item/&CEPikePsychicTitle	Hellseher Pike
Item/&CEPikePsychicUnidentifiedTitle	Prächtiger Hecht
Item/&CEPikeTitle	Pike
Item/&CraftingManualRecipeEnchantCEHalberd+1Description	Hellebarde +1 verzaubern.
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Hellebarde +1 verzaubern
Item/&CraftingManualRecipeEnchantCEHalberd+2Description	Hellebarde +2 verzaubern.
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Hellebarde +2 verzaubern
Item/&CraftingManualRecipeEnchantCEHalberdLightningDescription	Verzaubere Blitzhellebarde.
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Verzaubere Blitzhellebarde
Item/&CraftingManualRecipeEnchantCEHandXbow+1Description	Verzaubert Handarmbrust +1.
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Verzaubert Handarmbrust +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Description	Verzaubert Handarmbrust +2.
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Verzaubert Handarmbrust +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidDescription	Verzaubert saure Handarmbrust.
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Verzaubert saure Handarmbrust
Item/&CraftingManualRecipeEnchantCELongMace+1Description	Verzaubert langen Streitkolben +1.
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Verzaubert langen Streitkolben +1
Item/&CraftingManualRecipeEnchantCELongMace+2Description	Verzaubert langen Streitkolben +2.
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Verzaubert langen Streitkolben +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderDescription	Verzaubert Donnernden langen Streitkolben.
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Verzaubert Donnernden langen Streitkolben
Item/&CraftingManualRecipeEnchantCEPike+1Description	Hecht +1 verzaubern.
Item/&CraftingManualRecipeEnchantCEPike+1Title	Hecht +1 verzaubern
Item/&CraftingManualRecipeEnchantCEPike+2Description	Hecht +2 verzaubern.
Item/&CraftingManualRecipeEnchantCEPike+2Title	Hecht +2 verzaubern
Item/&CraftingManualRecipeEnchantCEPikePsychicDescription	Verzaubere Hellseher.
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Verzaubere Hellseher
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Handwickel +1 verzaubern.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Handwickel +1 verzaubern
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Handwickel +2 verzaubern.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Handwickel +2 verzaubern
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Verzaubere kraftvolle Handwickel.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Verzaubere kraftvolle Handwickel
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Verzaubern Sie Handbandagen des Ziehens.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Verzaubern Sie Handbandagen des Ziehens
Item/&CraftingManualRecipePrimingCEHalberdDescription	Prime Hellebarde.
Item/&CraftingManualRecipePrimingCEHalberdTitle	Prime Hellebarde
Item/&CraftingManualRecipePrimingCEHandXbowDescription	Erstklassige Armbrust.
Item/&CraftingManualRecipePrimingCEHandXbowTitle	Erstklassige Armbrust
Item/&CraftingManualRecipePrimingCELongMaceDescription	Erstklassiger langer Streitkolben.
Item/&CraftingManualRecipePrimingCELongMaceTitle	Erstklassiger langer Streitkolben
Item/&CraftingManualRecipePrimingCEPikeDescription	Erster Hecht.
Item/&CraftingManualRecipePrimingCEPikeTitle	Erster Hecht
Item/&ForceArtilleryProjectileDescription	ForceArtilleryProjectile.
Item/&ForceArtilleryProjectileTitle	ForceArtilleryProjectile
Item/&Handwraps+1Title	Handwickel +1
Item/&Handwraps+1UnidentifiedTitle	Handbandagen von guter Qualität
Item/&Handwraps+2Title	Handwickel +2
Item/&Handwraps+2UnidentifiedTitle	Prächtige Handwickel
Item/&HandwrapsOfForceTitle	Kraftvolle Handwickel
Item/&HandwrapsOfForceUnidentifiedTitle	Prächtige Handwickel
Item/&HandwrapsOfPullingTitle	Handbandagen des Ziehens
Item/&HandwrapsOfPullingUnidentifiedTitle	Prächtige Handwickel
Language/&AbyssalDescription	Die Sprache des Abgrunds war die Form der ursprünglichen Sprache, die vom Bösen des Abgrunds umhüllt und verdreht wurde.
Language/&AbyssalTitle	Abgrundtief
Language/&GnomishLanguageDescription	Eine alte solastanische Sprache, die von Gnomen bewahrt wurde, die in den tiefen Wäldern von Solasta leben, hat die Katastrophe überlebt.
Language/&GnomishLanguageTitle	Gnomisch
MainMenu/&ExportPdfDescription	Stufen Sie diesen Helden herunter.
MainMenu/&ExportPdfTitle	Einebnen
Message/&CharacterExportDuplicateNameErrorDescription	Export abgebrochen:\n\nEin Held mit diesem Namen existiert bereits im Pool.\nBitte versuchen Sie es mit einem anderen Namen.
Message/&CharacterExportEmptyNameErrorDescription	Export abgebrochen:\n\nBitte versuchen Sie es mit einem nicht leeren Namen.
Message/&CharacterExportModalContentDescription	Geben Sie den zu exportierenden Heldennamen ein:
Message/&CharacterExportModalTitleDescription	Zeichenexport.
Message/&LevelDownConfirmationDescription	Diesen Helden runterleveln?
Message/&LevelDownMultiplayerAbortDescription	Kann während einer Multiplayer-Sitzung nicht absteigen.
Message/&MessageModWelcomeDescription	Der Community Expansion Mod ist vollgepackt mit aufregenden Funktionen, aber standardmäßig sind keine aktiviert. Drücken Sie <color=yellow>Strg-F10</color>, um die Unity Mod Manager-Benutzeroberfläche [UMM] zu öffnen, und klicken Sie dann auf das Einstellungssymbol neben „Community-Erweiterung“, um die Einstellungsseiten zu öffnen.\n\n Erkunden Sie die Optionen und wählen Sie diejenigen aus, die Ihnen gefallen. Die UMM-Benutzeroberfläche wird nun geöffnet.
Message/&MessageModWelcomeTitle	Community-Erweiterungs-Mod
Message/&RespecMultiplayerAbortDescription	Respec während einer Multiplayer-Sitzung oder auf der Erkundungskarte nicht möglich.
Message/&SpawnCustomEncounterDescription	Spawn-Begegnung an den Koordinaten ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	Begegnungen können in einem Multiplayer-Spiel nicht gespawnt werden. Noch...
Message/&SpawnCustomEncounterTitle	Begegnen
Message/&TeleportPartyDescription	Gruppe zu Koordinaten ({0}, {1}) teleportieren?\nSie können Quests oder Karten zerstören, wenn Sie sich an einen unentdeckten Ort teleportieren.
Message/&TeleportPartyTitle	Teleportieren
