ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
Feature/&DH_FadeIntoTheVoidTitle	Desapareça no vazio
Feature/&DH_RiftCloakDescription	Seu controle dos portais da fenda aumentou a ponto de agora você poder conceder a proteção da fenda a outros. Você pode lançar vínculo de proteção à vontade (sem o compartilhamento de danos)
Feature/&DH_RiftCloakTitle	Manto da Fenda
Feature/&DH_RiftControlDescription	Brevemente cercado pela energia da fenda, você se teletransporta para um espaço desocupado. Agora você pode trazer um aliado com você ao se teletransportar e o alcance aumentou significativamente
Feature/&DH_RiftControlTitle	Portal da Fenda
Feature/&DH_RiftStrikeDescription	Uma vez por dia, quando danificado em combate corpo a corpo, você pode usar sua reação para criar um portal que bane o atacante por 1 rodada do seu plano de existência
Feature/&DH_RiftStrikeTitle	Rift Strike
Feature/&DH_RiftWalkDescription	Brevemente cercado pela energia do vazio entre os mundos, você se teletransporta até 9 metros para um espaço desocupado que você pode ver
Feature/&DH_RiftWalkTitle	Etapa de Fenda
Feature/&DHAncientForestBonusCantripDescription	Seu patrono compartilha segredos sobre a natureza de como a magia natural e a energia vital estão conectadas. Seu aprender Shillelagh e Chill Touch
Feature/&DHAncientForestBonusCantripTitle	Truques Bônus da Floresta Antiga
Feature/&DHConjureMinorElementalsBonusCantripDescription	Seu controle das energias elementais aumentou a tal ponto que agora você tem domínio sobre os elementais mais fracos. Você pode lançar conjurar elemental menor à vontade
Feature/&DHConjureMinorElementalsBonusCantripTitle	Lacaios Elementais
Feature/&DHHolyAuraBlindingPowerDescription	Quando um demônio ou um morto-vivo atinge uma criatura afetada com um ataque corpo a corpo, a aura pisca com uma luz brilhante. O atacante deve ter sucesso em um teste de resistência de Constituição ou ficará cego até que a magia termine
Feature/&DHHolyAuraBlindingPowerTitle	Retaliação da Aura Sagrada
Feature/&DHPactOfTheTomeFeatureSetDescription	Seu patrono lhe dá um grimório chamado Livro das Sombras. Quando você ganha esta característica, escolha três truques da lista de magias de qualquer classe. Os truques não precisam ser da mesma lista de feitiços. Enquanto o livro estiver com você, você pode lançar esses truques à vontade. Eles não contam para o seu número de truques conhecidos. Qualquer truque que você lançar com esse recurso é considerado um truque de feiticeiro para você
Feature/&DHPactOfTheTomeFeatureSetTitle	Pacto do Tomo
Feature/&DHWardingBondBonusCantripDescription	Seu controle dos portais da fenda aumentou a ponto de agora você poder conceder a proteção da fenda a outros. Você pode lançar vínculo de proteção à vontade (sem o compartilhamento de danos)
Feature/&DHWardingBondBonusCantripTitle	Manto da Fenda
Feature/&DHWarlockClassPactOfTheChainFeatureSetDescription	Ao conjurar um familiar, você pode escolher uma das seguintes formas especiais: diabrete, pseudodragão, quasit ou sprite
Feature/&DHWarlockClassPactOfTheChainFeatureSetTitle	Pacto da Cadeia
Feature/&DomainBattleDomainlevel1FeaturesDescription	Você aprende os recursos de nível 1 deste domínio
Feature/&DomainBattleDomainlevel1FeaturesTitle	Domínio de Batalha
Feature/&DomainElementalColdDomainlevel1FeaturesDescription	Você aprende os recursos de nível 1 deste domínio
Feature/&DomainElementalColdDomainlevel1FeaturesTitle	Domínio elementar (frio)
Feature/&DomainElementalFireDomainlevel1FeaturesDescription	Você aprende os recursos de nível 1 deste domínio
Feature/&DomainElementalFireDomainlevel1FeaturesTitle	Domínio Elemental (Fogo)
Feature/&DomainElementalLightingDomainlevel1FeaturesDescription	Você aprende os recursos de nível 1 deste domínio
Feature/&DomainElementalLightingDomainlevel1FeaturesTitle	Domínio Elemental (Iluminação)
Feature/&DomainInsightDomainlevel1FeaturesDescription	Você aprende os recursos de nível 1 deste domínio
Feature/&DomainInsightDomainlevel1FeaturesTitle	Domínio do Insight
Feature/&DomainLawDomainlevel1FeaturesDescription	Você aprende os recursos de nível 1 deste domínio
Feature/&DomainLawDomainlevel1FeaturesTitle	Domínio da lei
Feature/&DomainLifeDomainlevel1FeaturesDescription	Você aprende os recursos de nível 1 deste domínio
Feature/&DomainLifeDomainlevel1FeaturesTitle	Domínio da vida
Feature/&DomainMischiefDomainlevel1FeaturesDescription	Você aprende os recursos de nível 1 deste domínio
Feature/&DomainMischiefDomainlevel1FeaturesTitle	Domínio de travessuras
Feature/&DomainOblivionDomainlevel1FeaturesDescription	Você aprende os recursos de nível 1 deste domínio
Feature/&DomainOblivionDomainlevel1FeaturesTitle	Domínio do esquecimento
Feature/&DomainSunDomainlevel1FeaturesDescription	Você aprende os recursos de nível 1 deste domínio
Feature/&DomainSunDomainlevel1FeaturesTitle	Domínio Sol
Feature/&DreadfulWordTitle	Palavra terrível
Feature/&DruidForestGuardianBarkWardDescription	Você ganha a habilidade de invocar um Bark Ward para protegê-lo. Como uma ação bônus, você pode gastar um uso de sua Forma Selvagem para ganhar 4 pontos de vida temporários para cada nível que você possui nesta classe. Esses pontos de vida temporários duram 10 minutos ou até você usar sua Forma Selvagem novamente
Feature/&DruidForestGuardianBarkWardTitle	Ala de Latidos
Feature/&DruidForestGuardianExtraAttackDescription	A partir do 6º nível, você pode atacar duas vezes, em vez de uma, sempre que realizar a ação Atacar no seu turno.
Feature/&DruidForestGuardianExtraAttackTitle	Ataque Extra
Feature/&DruidForestGuardianImprovedBarkWardDescription	Seu Bark Ward agora cresce espinhos, que danificam os atacantes corpo a corpo. Inimigos que acertarem você com sucesso com um ataque corpo a corpo sofrem 2d8 de dano perfurante
Feature/&DruidForestGuardianImprovedBarkWardTitle	Sentido de Latido Aprimorado
Feature/&DruidForestGuardianMagicDescription	A partir do 2º nível ao escolher este círculo, você ganha acesso a uma lista de feitiços expandida que está sempre preparada:\n{0}
Feature/&DruidForestGuardianMagicTitle	Feitiços de Círculo
Feature/&DruidForestGuardianSuperiorBarkWardDescription	Sua habilidade Bark Ward agora reflete 3d8 de dano perfurante em atacantes corpo a corpo. Além disso, Bark Ward agora concede imunidade a veneno enquanto estiver ativo
Feature/&DruidForestGuardianSuperiorBarkWardTitle	Ala do Latido Superior
Feature/&DruidForestGuardianSylvanDurabilityDescription	Os Guardiões da Floresta naturalmente ganham a resiliência de um poderoso carvalho. No 2º nível, seu máximo de pontos de vida aumenta em 2 e aumenta em 1 sempre que você ganha um nível nesta classe
Feature/&DruidForestGuardianSylvanDurabilityTitle	Durabilidade Sylvan
Feature/&DruidForestGuardianSylvanWarMagicDescription	Você está acostumado a manejar a magia druídica em harmonia com a proeza marcial. No 2º nível, você pode conjurar magias que exijam um componente somático mesmo que suas duas mãos estejam segurando uma arma ou escudo.
Feature/&DruidForestGuardianSylvanWarMagicTitle	Magia de Guerra Silvestre
Feature/&DualFlurryDescription	Você é um mestre da luta com armas emparelhadas. Em qualquer turno em que você acertar duas vezes com ataques corpo a corpo enquanto empunha uma arma em cada mão, você pode fazer um ataque adicional com a mão inábil
Feature/&DualFlurryTitle	Dupla rajada
Feature/&EldritchBlastGraspingHandBonusCantripDescription	Quando você atinge uma criatura com sua rajada mística, você pode mover aquela criatura em linha reta 3 metros mais perto de você
Feature/&EldritchBlastGraspingHandBonusCantripTitle	Explosão de Agarrar
Feature/&EldritchBlastRepellingBlastBonusCantripDescription	Quando você atinge uma criatura com rajada mística, você pode empurrar a criatura até 3 metros de distância de você em linha reta
Feature/&EldritchBlastRepellingBlastBonusCantripTitle	Explosão Repelente
Feature/&EldritchMindDescription	Você tem vantagem em testes de resistência de Constituição que você faz para manter sua concentração em uma magia
Feature/&EldritchMindTitle	Mente sobrenatural
Feature/&EldritchSightTitle	Visão sobrenatural
Feature/&EldritchSmiteDescription	Uma vez por turno, quando você acertar uma criatura com sua arma do pacto, você pode gastar um espaço de magia de bruxo para causar 1d8 de dano de força extra ao alvo, mais 1d8 por nível do espaço de magia
Feature/&EldritchSmiteTitle	Golpe Mágico
Feature/&ElementalistSpellsMagicAffinityDescription	Você escolhe a partir de uma lista expandida de magias quando aprende uma magia de bruxo. Os seguintes feitiços são adicionados à lista de feitiços de bruxo para você: {0}
Feature/&ElementalistSpellsMagicAffinityTitle	Feitiços Elementalistas
Feature/&ElementalPactAirPlane	Avião
Feature/&ElementalPactAstralPlane	Plano Astral
Feature/&ElementalPactEarthPlane	Plano da Terra
Feature/&ElementalPactEtherealPlane	Plano Etéreo
Feature/&ElementalPactFirePlane	Avião de Incêndio
Feature/&ElementalPactIcePlane	Avião de Gelo
Feature/&ElementalPactShadowPlane	Plano das Sombras
Feature/&ElementalPatronDummyFeatureSetTitle	Elementalista
Feature/&ElementalPatronElementalConditionFormatDescription	Cause {1} de dano adicional igual ao seu Bônus de Proficiência no primeiro acerto a cada rodada
Feature/&ElementalPatronElementalConditionFormatTitle	Canalizando {0}
Feature/&ElementalPatronElementalDamageFormatDescription	Ao canalizar {0}, cause {1} de dano adicional igual ao seu Bônus de Proficiência no primeiro acerto a cada rodada
Feature/&ElementalPatronElementalDamageFormatTitle	Dano Elementar: {0}
Feature/&ElementalPatronElementalFormEnhancedFormatDescription	Ao canalizar o {0}, você ganha Imunidade a {1} e aplica Bônus de Proficiência como dano do mesmo tipo para acertar primeiro a cada rodada
Feature/&ElementalPatronElementalFormEnhancedFormatTitle	Canalizando {0}
Feature/&ElementalPatronElementalFormFormatDescription	Ao canalizar o {0}, você ganha Resistência a {1} dano e aplica Bônus de Proficiência como dano do mesmo tipo para acertar primeiro a cada rodada.
Feature/&ElementalPatronElementalFormFormatTitle	{0}
Feature/&ElementalPatronFeatureSet_Level06Description	Seu conhecimento sobre elementais aumentou a ponto de você agora ganhar vantagem em testes de habilidade contra elementais e causar dano adicional contra elementais igual ao seu nível de conhecimento. Você não pode mais ser enfeitiçado ou assustado por elementais
Feature/&ElementalPatronFeatureSet_Level06Title	Conhecimento dos elementais
Feature/&EmptyString	VAZIO
Feature/&EyesoftheRuneKeeperDescription	Você pode ler toda a escrita
Feature/&EyesoftheRuneKeeperTitle	Olhos do Guardião das Runas
Feature/&FiendishVigorTitle	Vigor Diabólico
Feature/&FlameArtillery_09ModePowerDescription	Evoca uma construção que dura 1 hora.\nArtilharia Flamejante: Cria um cone de fogo que causa 3D8 de dano se falhar na resistência.\nAutodestruição: causa 3D8 de dano de força em uma falha na resistência e destrói a unidade
Feature/&FlameArtillery_09ModePowerTitle	Evocar Construto de Artilharia Flamejante
Feature/&FlameArtillery_15ModePowerDescription	Evoca uma construção que dura 1 hora.\nArtilharia Flamejante: Cria um cone de fogo que causa 3D8 de dano se falhar na resistência.\nAutodestruição: causa 3D8 de dano de força em uma falha na resistência e destrói a unidade.\n Meia Cobertura Dome: fornece meia cobertura aos aliados dentro de 10 pés
Feature/&FlameArtillery_15ModePowerTitle	Evocar Construto de Artilharia Flamejante
Feature/&FlameArtilleryModePowerDescription	Evoca uma construção que dura 1 hora.\nArtilharia Flamejante: Cria um cone de fogo que causa 2D8 de dano se falhar na resistência
Feature/&FlameArtilleryModePowerTitle	Evocar Construto de Artilharia Flamejante
Feature/&ForceArtillery_09ModePowerDescription	Evoca uma construção que dura 1 hora.\nArtilharia da Força: Causa 3D8 de dano de força e empurra o inimigo a 1,5 metro de distância.\nAutodestruição: causa 3D8 de dano de força em uma falha na resistência e destrói a unidade
Feature/&ForceArtillery_09ModePowerTitle	Evocar Construto de Artilharia da Força
Feature/&ForceArtillery_15ModePowerDescription	Evoca uma construção que dura 1 hora.\nArtilharia da Força: Causa 3D8 de dano de força e empurra o inimigo a 1,5 metro de distância.\nAutodestruição: causa 3D8 de dano de força em uma falha na resistência e destrói a unidade.\n Meia Cobertura Dome: fornece meia cobertura aos aliados dentro de 10 pés
Feature/&ForceArtillery_15ModePowerTitle	Evocar Construto de Artilharia da Força
Feature/&ForceArtilleryAdditionalDamageTitle	Dano atualizado
Feature/&ForceArtilleryModePowerDescription	Evoca uma construção que dura 1 hora.\nArtilharia de Força: Causa 2D8 de dano de força e empurra o alvo 5 pés de distância
Feature/&ForceArtilleryModePowerTitle	Evocar Construto de Artilharia da Força
Feature/&ForceArtilleryTitle	Artilharia da Força
Feature/&GambitResourcePoolAddDescription	Adiciona um dado de gambito adicional
Feature/&GambitResourcePoolAddTitle	Dado de Gambit Adicional
Feature/&GambitResourcePoolDescription	Conjunto de dados de gambito que podem ser gastos em gambitos. Começa com 4 eles recarregam em descanso curto
Feature/&GambitResourcePoolTitle	Jogo de dados Gambit
Feature/&GiftoftheEverLivingOnesDescription	Recupera o número máximo de pontos de vida possíveis de qualquer cura
Feature/&GiftoftheEverLivingOnesTitle	Presente dos Sempre Vivos
Feature/&GiftoftheProtectorsDescription	Quando você é reduzido a 0 pontos de vida, mas não é morto, a criatura magicamente cai para 1 ponto de vida. Uma vez que esta magia é acionada, você não pode se beneficiar dela até terminar um descanso longo
Feature/&GiftoftheProtectorsTitle	Presente dos Protetores
Feature/&GnomeCunningFeatureDescription	Você tem vantagem em todos os testes de Inteligência, Sabedoria e Carisma contra magia
Feature/&GnomeCunningFeatureTitle	Ardiloso
Feature/&GnomeNaturalIllusionistDescription	Você conhece o truque Annoying Bee. Inteligência é o seu modificador de conjuração para ele
Feature/&GnomeNaturalIllusionistTitle	Magia Natural
Feature/&HerbalBrewDescription	Quando você termina um descanso longo, você pode criar infusões de ervas, cada uma das quais dura até o próximo descanso longo. Você cria um total de infusões igual ao seu bônus de proficiência. Para cada bebida, escolha um dos seguintes efeitos:\n<color=#add8e6ff>Fortifying Brew</color>: concede resistência a diferentes tipos de dano por 1 hora.\n<color=#add8e6ff>Aceleração da Cerveja</color>: fornece 2d4 pontos de vida.\n<color=#add8e6ff>Cerveja Toxificante</color>: atua como veneno que pode ser aplicado a uma arma que dura 1 minuto. Se o acerto acertar, o alvo sofre 1d4 de dano de veneno em cada acerto
Feature/&HerbalBrewFeatureSetDescription	Você ganha proficiência com o kit de envenenador ou kits de herbalismo, se ainda não o tiver.\nQuando você termina um descanso longo, você pode criar infusões de ervas, cada uma das quais dura até o próximo descanso longo. Você cria um total de infusões igual ao seu bônus de proficiência. Para cada bebida, escolha um dos seguintes efeitos:\n<color=#add8e6ff>Fortifying Brew</color>: concede resistência a diferentes tipos de dano por 1 hora.\n<color=#add8e6ff>Aceleração da Cerveja</color>: fornece 2d4 pontos de vida.\n<color=#add8e6ff>Cerveja Toxificante</color>: atua como veneno que pode ser aplicado a uma arma que dura 1 minuto. Se o acerto acertar, o alvo sofre 1d4 de dano de veneno em cada acerto
Feature/&HerbalBrewFeatureSetTitle	Cerveja de Ervas
Feature/&HinderingBlastDescription	Quando você atinge uma criatura com sua explosão mística, você pode reduzir o deslocamento dessa criatura em 3 metros até o final do seu próximo turno.
Feature/&HinderingBlastMagicAffinityDescription	quando você atinge uma criatura com sua rajada mística, você pode reduzir o deslocamento daquela criatura em 3 metros até o final do seu próximo turno.
Feature/&HinderingBlastMagicAffinityTitle	Impedindo Explosão
Feature/&HinderingBlastTitle	Impedindo Explosão
Feature/&ImprovedPactWeaponDescription	Você pode usar qualquer arma como foco de conjuração para seus feitiços de bruxo. Além disso, a arma ganha um bônus de +1 em suas jogadas de ataque e dano
Feature/&ImprovedPactWeaponTitle	Arma de Pacto Aprimorada
Feature/&ImprovedScoutModePowerDescription	Obtenha recursos aprimorados do Modo Scout. Agora pode criar vantagem para aliados e desvantagem para inimigos com um único ataque
Feature/&ImprovedScoutModePowerTitle	Modo Escoteiro Aprimorado
Feature/&ImprovedSentinelModePowerDescription	Obtenha recursos aprimorados do Modo Sentinela através do poder Gauntlet Grapple
Feature/&ImprovedSentinelModePowerTitle	Modo Sentinela Aprimorado
Feature/&IndomitableResistanceAddDescription	+1 uso de resistência indomável entre descansos
Feature/&IndomitableResistanceAddTitle	Resistência Indomável (aumentada)
Feature/&IndomitableResistanceTitle	Resistência Indomável
Feature/&InspirePowerDescription	Gaste um dado de aposta e inspire você ou seu aliado a dar 1d6+2 PV temporários
Feature/&InspirePowerTitle	Inspirar
Feature/&KnockDownPowerDescription	Gaste um dado de jogada e fortaleça seu ataque para causar 1d6+2 de dano de concussão adicional e derrube-os até o início do próximo turno deles se falharem em um teste de Força contra 8 + sua Força + proficiência
Feature/&KnockDownPowerTitle	Derrubar
Feature/&MagicAffinityRangerArcanistDescription	Você é proficiente em lançar feitiços em batalha e pode lançar feitiços que exijam um componente somático, mesmo que ambas as mãos estejam segurando uma arma ou escudo
Feature/&MagicAffinityRangerArcanistTitle	Treinamento de Combate Arcano
Feature/&MiretheMindTitle	Mire a mente
Feature/&MoonLitDarknessImmunityDescription	Você é imune à condição de escuridão
Feature/&MoonLitDarknessImmunityTitle	Escuridão da Lua
Feature/&MoonLitExpandedSpelllistAfinityDescription	Você escolhe a partir de uma lista expandida de magias quando aprende uma magia de bruxo. Os seguintes feitiços são adicionados à lista de feitiços de bruxo para você: {0}
Feature/&MoonLitExpandedSpelllistAfinityTitle	Feitiços de luar
Feature/&MoonLitLightAffinityDescription	Se você começar seu turno na escuridão natural, você ganha invisibilidade. Mover, atacar ou usar qualquer poder ou feitiço que não seja teletransporte ou auto-buff quebra a invisibilidade
Feature/&MoonLitLightAffinityStrongDescription	Manto Umbral agora funciona com pouca luz e escuridão mágica
Feature/&MoonLitLightAffinityStrongTitle	Manto Umbral Aprimorado
Feature/&MoonLitLightAffinityTitle	Manto Umbral
Feature/&OneWithShadowsDescription	Se você começar seu turno na escuridão natural, você ganha invisibilidade. Mover, atacar ou usar qualquer poder ou feitiço que não seja teletransporte ou auto-buff quebra a invisibilidade
Feature/&OneWithShadowsLightAffinityDescription	Se você começar seu turno na escuridão natural, você ganha invisibilidade. Mover, atacar ou usar qualquer poder ou feitiço que não seja teletransporte ou auto-buff quebra a invisibilidade
Feature/&OneWithShadowsLightAffinityStrongDescription	One With Shadows agora funciona com pouca luz e escuridão mágica
Feature/&OneWithShadowsLightAffinityStrongTitle	Sombras mais escuras
Feature/&OneWithShadowsLightAffinityTitle	Um com sombras
Feature/&OneWithShadowsStrongerDescription	One With Shadows agora funciona com pouca luz e escuridão mágica
Feature/&OneWithShadowsStrongerTitle	Sombras mais escuras
Feature/&OneWithShadowsTitle	Um com sombras
Feature/&OpportunistDebilitatingStrikeDescription	Seu ataque furtivo causa uma das seguintes condições (Cego/Batalha/Sangramento/Atordoado) aos inimigos se eles falharem em um teste de CON contra 8 + sua Destreza + sua proficiência
Feature/&OpportunistDebilitatingStrikeTitle	Ataque Debilitante
Feature/&OpportunistQuickStrikeDescription	Você tem vantagem quando ataca um inimigo cuja iniciativa é menor que a sua. Além disso você também tem vantagem ao realizar um ataque de oportunidade
Feature/&OpportunistQuickStrikeTitle	Ataque Rápido
Feature/&OtherworldlyLeapTitle	Salto sobrenatural
Feature/&PowerAttackTitle	Ataque de poder
Feature/&PowerAttackDescription	Receba um -Bônus de Proficiência para acertar a penalidade de seu ataque pelo resto do turno para causar +Bônus de Proficiência de dano ao acertar seus golpes. Armas de duas mãos e versáteis recebem o bônus de dano dobrado. Funciona apenas com armas brancas
Feature/&PowerPaladinAuraOfCourage18Description	Concede um bônus de teste de resistência para aliados dentro de 9 metros
Feature/&PowerPaladinAuraOfCourage18Title	Aura de Coragem Aprimorada
Feature/&PowerPaladinAuraOfProtection18Description	Você e seus aliados dentro de 30 pés não podem ser amedrontados
Feature/&PowerPaladinAuraOfProtection18Title	Aura de Proteção Aprimorada
Feature/&PowerTorchbearerDescription	Tente incendiar um alvo corpo a corpo!
Feature/&PowerTorchbearerTitle	Portador da tocha
Feature/&PrimalChampionDescription	No 20º nível, você incorpora o poder da selva. Seus valores de Força e Constituição aumentam em 4
Feature/&PrimalChampionTitle	Campeão Primal
Feature/&ProficiencyBolgrifLanguagesDescription	Comum, Élfico e Gigante
Feature/&ProficiencyBolgrifLanguagesTitle	Linguagem
Feature/&ProficiencyGnomishLanguagesDescription	Comum, Gnômico
Feature/&ProficiencyGnomishLanguagesTitle	línguas
Feature/&ProficiencyRogueBlindSenseDescription	A partir do 14º nível, se você for capaz de ouvir, estará ciente da localização de qualquer criatura oculta ou invisível a até 3 metros de você.
Feature/&ProficiencyRogueBlindSenseTitle	Blindsense
Feature/&ProficiencyRogueSlipperyMindDescription	No 15º nível, você adquiriu maior força mental. Você ganha proficiência em testes de resistência de Sabedoria
Feature/&ProficiencyRogueSlipperyMindTitle	Mente Escorregadia
Feature/&ProficiencySoulBladeArmorDescription	Armadura Leve, Armadura Média e Escudo
Feature/&ProficiencySoulBladeArmorTitle	Proficiências em Armadura Soulblade
Feature/&ProficiencySoulBladeWeaponDescription	Armas simples, armas marciais
Feature/&ProficiencySoulBladeWeaponTitle	Proficiência em Arma Soulblade
Feature/&RageDamageBonusAttackModifierDescription	Adicione +2 de dano aos seus ataques enquanto estiver em fúria
Feature/&RageDamageBonusAttackModifierTitle	Dano de raiva
Feature/&RageFeatConditionDescription	Enquanto estiver em fúria, você ganha o seguinte: Vantagem em testes de Força e testes de resistência de Força, um bônus nas jogadas de dano de +2 e resistência a dano de concussão, perfurante e cortante
Feature/&RageFeatConditionTitle	Furioso
Feature/&RagePowerDescription	Como uma ação bônus, você entra em fúria por um minuto e ganha o seguinte: Vantagem em testes de Força e testes de resistência de Força, um bônus nas jogadas de dano de +2 e resistência a dano de concussão, perfurante e cortante
Feature/&RagePowerTitle	Fúria
Feature/&RageStrengthSavingThrowAffinityDescription	Você obtém vantagem em economias de força enquanto está em fúria
Feature/&RageStrengthSavingThrowAffinityTitle	Vantagem de economia de força de raiva
Feature/&RangerFeralSensesDescription	Você ganha sentidos sobrenaturais que o ajudam a lutar contra criaturas que você não pode ver. Quando você ataca uma criatura que não pode ver, sua incapacidade de vê-la não impõe desvantagem em suas jogadas de ataque contra ela
Feature/&RangerFeralSensesTitle	Sentidos Ferais
Feature/&RangerVanishActionDescription	A partir do 14º nível, você pode usar a ação Esconder-se como uma ação bônus no seu turno.
Feature/&RangerVanishActionTitle	Desaparecer
Feature/&RiftWalkerRestrainedImmunityTitle	Passo fugaz
Feature/&RiftWalkerSpellsMagicAffinityDescription	Você escolhe a partir de uma lista expandida de magias quando aprende uma magia de bruxo. Os seguintes feitiços são adicionados à lista de feitiços de bruxo para você: {0}
Feature/&RiftWalkerSpellsMagicAffinityTitle	Feitiços do Rift Walker
Feature/&SavingThrowTinkererProficiencyDescription	Proficiência em testes de resistência de Constituição e Inteligência
Feature/&SavingThrowTinkererProficiencyTitle	Proficiência em jogadas de proteção
Feature/&ScoutModePowerDescription	Ganhe movimento aumentado, vantagem furtiva e um ataque à distância que causa um dado extra de dano uma vez por turno
Feature/&ScoutModePowerTitle	Modo Escoteiro
Feature/&SentinelModePowerDescription	Ganhe um número limitado de TempHP com base no nível. Imponha Desvantagem aos inimigos que atacam aliados
Feature/&SentinelModePowerTitle	Modo Sentinela
Feature/&ShroudofShadowTitle	Manto da Sombra
Feature/&SignofIllOmenTitle	Sinal de mau presságio
Feature/&SpellAsInvocationAtWillDescription	Transmita {0} à vontade
Feature/&SpellAsInvocationOncePerDayDescription	Lance {0} uma vez até descanso longo
Feature/&TempHPShield_09ModePowerDescription	Evoca uma construção que dura 1 hora.\nProtecting Dome: Concede 1D8 + 4 HP temporários para aliados dentro de 10 pés.\nAutodestruição: causa 3D8 de dano de força em uma falha na resistência e destrói a unidade
Feature/&TempHPShield_09ModePowerTitle	Invocar Construção de Cúpula Protetora
Feature/&TempHPShield_15ModePowerDescription	Evoca uma construção que dura 1 hora.\nProtecting Dome: Concede 1D8 + 4 HP temporários para aliados dentro de 10 pés.\nAutodestruição: causa 3D8 de dano de força em uma falha na resistência e destrói a unidade.\n Meia Cobertura Dome: Fornece meia cobertura aos aliados dentro de 10 pés
Feature/&TempHPShield_15ModePowerTitle	Invocar Construção de Cúpula Protetora
Feature/&TempHPShieldModePowerDescription	Evoca uma construção que dura 1 hora.\nProtecting Dome: Concede 1D8 + 4 HP temporário para aliados dentro de 10 pés
Feature/&TempHPShieldModePowerTitle	Invocar Construção de Cúpula Protetora
Feature/&TempHPShieldTitle	Cúpula de Proteção
Feature/&ThiefofFiveFates	Transmitir {0} uma vez por dia
Feature/&ThiefofFiveFatesTitle	Ladrão de cinco destinos
Feature/&ThirstingBladeDescription	Você pode atacar com sua arma duas vezes, em vez de uma, sempre que realizar a ação Atacar no seu turno
Feature/&ThirstingBladeTitle	Lâmina Sedenta
Feature/&TinkererArmorProficiencyDescription	Proficiência com armaduras leves e médias, bem como escudos
Feature/&TinkererArmorProficiencyTitle	Proficiência em Armadura do Tinkerer
Feature/&TinkererInfusionChoiceDescription	Selecione as infusões que você terá disponíveis para uso. Observe que cada infusão pode ser ativa apenas uma vez. Ativá-lo uma segunda vez cancelará a primeira
Feature/&TinkererInfusionChoiceTitle	Escolha de infusão
Feature/&TinkererInfusionReplaceDescription	Selecione as infusões para substituir
Feature/&TinkererInfusionReplaceTitle	Substituir a infusão
Feature/&TinkererSkillGainChoicesPluralDescription	As habilidades do Tinkerer são Arcana, História, Investigação, Medicina, Natureza, Percepção e Prestidigitação
Feature/&TinkererSkillPointsTitle	Habilidades de funileiro
Feature/&TinkererToolsExpertiseDescription	Adquira experiência com muitas ferramentas, incluindo Ferramentas do Ladrão, Kits de Pergaminho, Kit do Envenenador, Kit de Herbalismo e Ferramentas de Encantamento
Feature/&TinkererToolsExpertiseTitle	Expertise em ferramentas Tinkerer
Feature/&TinkererToolsProficiencyDescription	Ganhe proficiência com muitas ferramentas, incluindo Ferramentas do Ladrão, Kits de Pergaminho, Kit do Envenenador, Kit de Herbalismo e Ferramentas de Encantamento
Feature/&TinkererToolsProficiencyTitle	Proficiências em Ferramentas
Feature/&TinkererWeaponProficiencyDescription	Proficiência com armas simples
Feature/&TinkererWeaponProficiencyTitle	Proficiências com Armas do Tinkerer
Feature/&ToadKingBasicToxinTitle	Toxina Básica
Feature/&ToadKingExpandedSpelllistAfinityDescription	Você escolhe a partir de uma lista expandida de magias quando aprende uma magia de bruxo. Os seguintes feitiços são adicionados à lista de feitiços de bruxo para você: {0}
Feature/&ToadKingExpandedSpelllistAfinityTitle	Feitiços do Rei Sapo
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Seu corpo mudou para se tornar resistente a toxinas e produzir uma toxina defensiva quando atacado em alcance corpo a corpo (até PB vezes por dia). se o atacante falhar em um teste de Con, eles se tornam toxina lucinogênica até serem atacados ou interrompidos de outra forma
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Toxina Alucinógena
Feature/&ToadKingJumpTitle	Pular
Feature/&ToadKingPoisonConditionAffinityTitle	Imune a Condição de Veneno
Feature/&ToadKingPoisonDamageAffinityTitle	Imune a Dano de Veneno
Feature/&ToadKingStickyFeetTitle	Pés palmados
Feature/&TrickstersEscapeTitle	Fuga do Malandro
Feature/&UrPriestDomainTheftDescription	Você arrebata os segredos que um deus concede a todos os seus clérigos devotos. Escolha um domínio de clérigo: você ganha os recursos que o domínio concede no 1º nível
Feature/&UrPriestDomainTheftTitle	Roubo de domínio
Feature/&UrPriestExpandedSpelllistAfinityDescription	Você escolhe a partir de uma lista expandida de magias quando aprende uma magia de bruxo. Feitiços de clérigo são adicionados à lista de feitiços de bruxo para você
Feature/&UrPriestExpandedSpelllistAfinityTitle	Feitiços UrPriest
Feature/&WallofThornsFeatureSetDescription	Lançar Wall of Thorns uma vez por dia
Feature/&WallofThornsFeatureSetTitle	Barreira Florestal
Feature/&WitchCurseChoiceDescription	Você é arruinado por uma terrível maldição que infecta seu corpo e alma
Feature/&WitchCurseChoiceTitle	Maldição da Bruxa
Feature/&WitchMaledictionChoiceDescription	Você pode aprender vários encantamentos poderosos, conhecidos como Maldições, derivados da mesma magia insidiosa que o amaldiçoou
Feature/&WitchMaledictionChoiceTitle	Maldições
Feature/&WitchSightDescription	Você pode sentir ou ver a invisibilidade até 60 pés
Feature/&WitchSightTitle	Visão da Bruxa
