ActionAffinity/&DHFeeblemindSpellDescription	Невозможно использовать заклинания
Feature/&GiftoftheProtectorsTitle	Дар защитников
Feature/&GnomeCunningFeatureDescription	Вы совершаете с преимуществом все спасброски Интеллекта, Мудрости и Харизмы против магии.
Feature/&GnomeCunningFeatureTitle	Хитрость
Feature/&GnomeNaturalIllusionistDescription	Вы знаете заговор надоедливой пчелы. Интеллект - это ваш модификатор колдовства для него.
Feature/&GnomeNaturalIllusionistTitle	Природная магия
Feature/&HerbalBrewDescription	Когда вы заканчиваете продолжительный отдых, вы можете приготовить травяной отвар, каждый из которых действует до следующего продолжительного отдыха. Вы делаете общее количество отваров, равное вашему бонусу мастерства. Для каждого напитка выберите один из следующих эффектов:\n<color=#add8e6ff>Укрепляющий отвар</color>: дает сопротивление различным типам урона на 1 час.\n<color=#add8e6ff>Ускоряющий отвар</color>: дает 2d4 хита.\n<color=#add8e6ff>Отравляющий отвар</color>: действует как яд, который можно применить к оружию в течение 1 минуты. Если попадание достигает цели, цель получает урон ядом 1d4 при каждом попадании.
Feature/&HerbalBrewFeatureSetDescription	Вы получаете владение либо набором отравителя, либо набором травничества, если у вас его еще нет.\nКогда вы заканчиваете продолжительный отдых, вы можете приготовить травяной отвар, каждый из которых действует до следующего продолжительного отдыха. Вы делаете общее количество отваров, равное вашему бонусу мастерства. Для каждого напитка выберите один из следующих эффектов:\n<color=#add8e6ff>Укрепляющий отвар</color>: дает сопротивление различным типам урона на 1 час.\n<color=#add8e6ff>Ускоряющий отвар</color>: дает 2d4 хита.\n<color=#add8e6ff>Отравляющий отвар</color>: действует как яд, который можно применить к оружию в течение 1 минуты. Если попадание достигает цели, цель получает урон ядом 1d4 при каждом попадании.
Feature/&HerbalBrewFeatureSetTitle	Травяное пивоварение
Feature/&HinderingBlastDescription	Когда вы попадаете в существо своим сверхъестественным взрывом, вы можете уменьшить скорость этого существа на 10 футов до конца вашего следующего хода.
Feature/&HinderingBlastMagicAffinityDescription	когда вы попадаете в существо своим сверхъестественным взрывом, вы можете уменьшить скорость этого существа на 10 футов до конца своего следующего хода.
Feature/&HinderingBlastMagicAffinityTitle	Сдерживающий взрыв
Feature/&HinderingBlastTitle	Сдерживающий взрыв
Feature/&ImprovedPactWeaponDescription	Вы можете использовать любое оружие в качестве фокуса для ваших заклинаний чернокнижника. Кроме того, оружие получает бонус +1 к броскам атаки и урона.
Feature/&ImprovedPactWeaponTitle	Улучшенное оружие договора
Feature/&ImprovedScoutModePowerDescription	Получите улучшенные функции режима разведки. Теперь может создать преимущество для союзников и неудобство для врагов с помощью одной атаки.
Feature/&ImprovedScoutModePowerTitle	Улучшенный режим разведки
Feature/&ImprovedSentinelModePowerDescription	Получите улучшенные функции режима Sentinel с помощью способности Gauntlet Grapple.
Feature/&ImprovedSentinelModePowerTitle	Улучшенный режим стража
Feature/&IndomitableResistanceAddDescription	+1 использование Неукротимого сопротивления между отдыхами
Feature/&IndomitableResistanceAddTitle	Неукротимое сопротивление (увеличено)
Feature/&IndomitableResistanceTitle	Неукротимое сопротивление
Feature/&InspirePowerDescription	Потратьте кубик гамбита и воодушевите себя или своего союзника, чтобы дать 1d6+2 временных ОЗ.
Feature/&InspirePowerTitle	Вдохновлять
Feature/&KnockDownPowerDescription	Потратьте кубик гамбита и усилите свою атаку, чтобы нанести дополнительный дробящий урон 1d6+2 и сбить их с ног до начала их следующего хода, если они провалят спасбросок Силы против 8 + ваша Сила + мастерство.
Feature/&KnockDownPowerTitle	Сбить
Feature/&MagicAffinityRangerArcanistDescription	Вы умеете произносить заклинания в бою и можете использовать заклинания, требующие телесного компонента, даже если обе ваши руки держат оружие или щит.
Feature/&MagicAffinityRangerArcanistTitle	Тайная боевая подготовка
Feature/&MiretheMindTitle	болото разума
Feature/&MoonLitDarknessImmunityDescription	Вы невосприимчивы к состоянию Тьмы
Feature/&MoonLitDarknessImmunityTitle	Лунная тьма
Feature/&MoonLitExpandedSpelllistAfinityDescription	Вы выбираете из расширенного списка заклинаний, когда изучаете заклинание чернокнижника. Следующие заклинания добавлены для вас в список заклинаний чернокнижника: {0}
Feature/&MoonLitExpandedSpelllistAfinityTitle	Лунные заклинания
Feature/&MoonLitLightAffinityDescription	Если вы начинаете свой ход в естественной темноте, вы получаете невидимость. Движение, атака или использование любой силы или заклинания, кроме телепортации или селф-баффа, снимает невидимость.
Feature/&MoonLitLightAffinityStrongDescription	Umbral Cloak теперь работает в тусклом свете и магической темноте.
Feature/&MoonLitLightAffinityStrongTitle	Улучшенный темный плащ
Feature/&MoonLitLightAffinityTitle	Теневой плащ
Feature/&OneWithShadowsDescription	Если вы начинаете свой ход в естественной темноте, вы получаете невидимость. Движение, атака или использование любой силы или заклинания, кроме телепортации или селф-баффа, снимает невидимость.
Feature/&OneWithShadowsLightAffinityDescription	Если вы начинаете свой ход в естественной темноте, вы получаете невидимость. Движение, атака или использование любой силы или заклинания, кроме телепортации или селф-баффа, снимает невидимость.
Feature/&OneWithShadowsLightAffinityStrongDescription	One With Shadows теперь работает при тусклом свете и магической темноте.
Feature/&OneWithShadowsLightAffinityStrongTitle	Темные тени
Feature/&OneWithShadowsLightAffinityTitle	Один с тенями
Feature/&OneWithShadowsStrongerDescription	One With Shadows теперь работает при тусклом свете и магической темноте.
Feature/&OneWithShadowsStrongerTitle	Темные тени
Feature/&OneWithShadowsTitle	Один с тенями
Feature/&OpportunistDebilitatingStrikeDescription	Ваша скрытая атака вызывает одно из следующих состояний (Ослепление/Поражение/Кровотечение/Оглушение) для врагов, если они проваливают спасбросок по ТЕЛ против 8 + ваша Ловкость + ваше мастерство
Feature/&OpportunistDebilitatingStrikeTitle	Изнурительный удар
Feature/&OpportunistQuickStrikeDescription	У вас есть преимущество, когда вы атакуете врагов, чья инициатива ниже вашей. Кроме того, у вас также есть преимущество при проведении атаки по возможности.
Feature/&OpportunistQuickStrikeTitle	Быстрый удар
Feature/&OtherworldlyLeapTitle	Потусторонний прыжок
Feature/&OtherworldlyLeapTitle	Потусторонний прыжок
Feature/&PowerAttackAttackModifierDescription	Получите -{0} штраф к удару к своей атаке до конца хода, чтобы наносить +{0} урона, когда вы наносите удары. Используется только при атаке одноручным нелегким оружием, в ближнем или дальнем бою.
Feature/&PowerAttackAttackModifierTitle	Силовая атака одной рукой
Feature/&PowerAttackConditionDescription	Получите -{0} штраф к удару к своей атаке до конца хода, чтобы наносить +{0} урона, когда вы наносите удары. Используется только при атаке одноручным нелегким оружием, в ближнем или дальнем бою.
Feature/&PowerAttackConditionTitle	Силовая атака одной рукой
Feature/&PowerAttackPowerDescription	Получите -{0} штраф к удару к своей атаке до конца хода, чтобы наносить +{0} урона, когда вы наносите удары. Используется только при атаке одноручным нелегким оружием, в ближнем или дальнем бою.
Feature/&PowerAttackPowerTitle	Силовая атака одной рукой
Feature/&PowerAttackTwoHandedAttackModifierDescription	Получите -{0} штраф к удару к своей атаке до конца хода, чтобы наносить +{1} урона, когда вы наносите удары. Используется только при атаке двумя руками, в ближнем или дальнем бою.
Feature/&PowerAttackTwoHandedAttackModifierTitle	Двуручная силовая атака
Feature/&PowerAttackTwoHandedConditionDescription	Получите -{0} штраф к удару к своей атаке до конца хода, чтобы наносить +{1} урона, когда вы наносите удары. Используется только при атаке двумя руками, в ближнем или дальнем бою.
Feature/&PowerAttackTwoHandedConditionTitle	Двуручная силовая атака
Feature/&PowerAttackTwoHandedPowerDescription	Получите -{0} штраф к удару к своей атаке до конца хода, чтобы наносить +{1} урона, когда вы наносите удары. Используется только при атаке двумя руками, в ближнем или дальнем бою.
Feature/&PowerAttackTwoHandedPowerTitle	Двуручная силовая атака
Feature/&PowerPaladinAuraOfCourage18Description	Предоставьте бонус к спасброску союзникам в пределах 30 футов
Feature/&PowerPaladinAuraOfCourage18Title	Улучшенная аура отваги
Feature/&PowerPaladinAuraOfProtection18Description	Вы и ваши союзники в радиусе 30 футов не можете быть напуганы
Feature/&PowerPaladinAuraOfProtection18Title	Улучшенная аура защиты
Feature/&PowerTorchbearerDescription	Попытаться поджечь цель в ближнем бою!
Feature/&PowerTorchbearerTitle	Факелоносец
Feature/&PrimalChampionDescription	На 20 уровне вы воплощаете силу дикой природы. Ваши показатели Силы и Телосложения увеличиваются на 4.
Feature/&PrimalChampionTitle	Первобытный чемпион
Feature/&ProficiencyBolgrifLanguagesDescription	Обычный, Эльфийский и Гигантский
Feature/&ProficiencyBolgrifLanguagesTitle	Язык
Feature/&ProficiencyGnomishLanguagesDescription	Обыкновенный, гномский
Feature/&ProficiencyGnomishLanguagesTitle	Языки
Feature/&ProficiencyRogueBlindSenseDescription	Начиная с 14 уровня, если вы способны слышать, вы знаете о местонахождении любого скрытого или невидимого существа в пределах 10 футов от вас.
Feature/&ProficiencyRogueBlindSenseTitle	Слепое чувство
Feature/&ProficiencyRogueSlipperyMindDescription	К 15 уровню вы приобрели большую ментальную силу. Вы получаете владение спасбросками Мудрости
Feature/&ProficiencyRogueSlipperyMindTitle	Скользкий разум
Feature/&ProficiencySoulBladeArmorDescription	Легкая броня, средняя броня и щит
Feature/&ProficiencySoulBladeArmorTitle	Навыки Доспеха Клинка Души
Feature/&ProficiencySoulBladeWeaponDescription	Простое оружие, Боевое оружие
Feature/&ProficiencySoulBladeWeaponTitle	Навыки оружия клинка души
Feature/&RageDamageBonusAttackModifierDescription	Добавьте +2 урона к вашим атакам во время ярости
Feature/&RageDamageBonusAttackModifierTitle	Урон от ярости
Feature/&RageFeatConditionDescription	В ярости вы получаете следующее: Преимущество в проверках Силы и спасбросках Силы, бонус к броскам урона +2 и сопротивление дробящему, колющему и рубящему урону.
Feature/&RageFeatConditionTitle	бушующий
Feature/&RagePowerDescription	Бонусным действием вы входите в ярость на одну минуту и ​​получаете следующее: Преимущество в проверках Силы и спасбросках Силы, бонус к броскам урона +2 и сопротивление дробящему, колющему и рубящему урону.
Feature/&RagePowerTitle	Ярость
Feature/&RageStrengthSavingThrowAffinityDescription	Вы получаете преимущество в спасбросках силы в ярости
Feature/&RageStrengthSavingThrowAffinityTitle	Преимущество сохранения силы ярости
Feature/&RangerArcanistMagicDescription	Начиная с 3-го уровня, вы изучаете дополнительное заклинание, когда достигаете определенных уровней в этом классе. Каждое заклинание считается для вас заклинанием рейнджера, но оно не учитывается при подсчете количества известных вам заклинаний рейнджера. Заклинания: Уровень 3: Щит, Уровень 5: Туманный шаг, Уровень 9: Ускорение, Уровень 13: Дверь измерения и Уровень 17: Удержание монстра. Кроме того, вы умеете использовать заклинания в бою и можете использовать заклинания, требующие телесного компонента, даже если обе ваши руки держат оружие или щит.
Feature/&RangerArcanistMagicTitle	Следопыт Чародейка Колдовство
Feature/&RangerFeralSensesDescription	Вы получаете сверхъестественные чувства, которые помогают вам сражаться с существами, которых вы не можете видеть. Когда вы атакуете существо, которого не видите, ваша неспособность его видеть не накладывает помеху на ваши броски атаки против него.
Feature/&RangerFeralSensesTitle	Дикие чувства
Feature/&RangerVanishActionDescription	Начиная с 14-го уровня, вы можете использовать действие «Прятаться» в качестве бонусного действия в свой ход.
Feature/&RangerVanishActionTitle	исчезнуть
Feature/&RiftWalkerRestrainedImmunityTitle	Мимолетный шаг
Feature/&RiftWalkerSpellsMagicAffinityDescription	Вы выбираете из расширенного списка заклинаний, когда изучаете заклинание чернокнижника. Следующие заклинания добавлены для вас в список заклинаний чернокнижника: {0}
Feature/&RiftWalkerSpellsMagicAffinityTitle	Заклинания бродяги
Feature/&SavingThrowTinkererProficiencyDescription	Владение спасбросками Телосложения и Интеллекта
Feature/&SavingThrowTinkererProficiencyTitle	Мастерство спасброска
Feature/&ScoutModePowerDescription	Получите увеличенное движение, преимущество в скрытности и дальнюю атаку, которая наносит дополнительный кубик урона один раз за ход.
Feature/&ScoutModePowerTitle	Режим разведки
Feature/&SentinelModePowerDescription	Получите ограниченное количество TempHP в зависимости от уровня. Наложить Недостаток на врагов, атакующих союзников
Feature/&SentinelModePowerTitle	Режим стража
Feature/&ShroudofShadowTitle	Покров тени
Feature/&SignofIllOmenTitle	Знак дурного предзнаменования
Feature/&SpellAsInvocationAtWillDescription	Разыгрывать {0} по желанию
Feature/&SpellAsInvocationOncePerDayDescription	Произнесите {0} один раз до продолжительного отдыха
Feature/&TempHPShield_09ModePowerDescription	Призывает конструкцию, которая существует 1 час.\nЗащитный купол: дарует 1D8 + 4 временных HP союзникам в пределах 10 футов.\nСамоуничтожение: наносит силовой урон 3D8 при неудачном спасброске и уничтожает отряд.
Feature/&TempHPShield_09ModePowerTitle	Вызов защитного купола
Feature/&TempHPShield_15ModePowerDescription	Призывает конструкцию, которая существует 1 час.\nЗащитный купол: дарует 1D8 + 4 временных HP союзникам в пределах 10 футов.\nСамоуничтожение: наносит силовой урон 3D8 при неудачном спасброске и уничтожает отряд.\n Half Cover Dome: Обеспечивает половинное укрытие союзникам в радиусе 10 футов.
Feature/&TempHPShield_15ModePowerTitle	Вызов защитного купола
Feature/&TempHPShieldModePowerDescription	Призывает конструкцию, которая существует 1 час.\nЗащитный купол: дарует 1D8 + 4 временных HP союзникам в радиусе 10 футов.
Feature/&TempHPShieldModePowerTitle	Вызов защитного купола
Feature/&TempHPShieldTitle	Защитный купол
Feature/&ThiefofFiveFates	Разыгрывать {0} один раз в день
Feature/&ThiefofFiveFatesTitle	Вор пяти судеб
Feature/&ThirstingBladeDescription	Вы можете атаковать своим оружием дважды, а не один раз, всякий раз, когда в свой ход совершаете действие Атака.
Feature/&ThirstingBladeTitle	Жаждущий клинок
Feature/&TinkererArmorProficiencyDescription	Владение легкими и средними доспехами, а также щитами
Feature/&TinkererArmorProficiencyTitle	Мастерство доспехов механика
Feature/&TinkererInfusionChoiceDescription	Выберите настои, которые у вас будут доступны для использования. Обратите внимание, что каждое вливание может быть активным только один раз. Активация во второй раз отменит первый
Feature/&TinkererInfusionChoiceTitle	Инфузионный выбор
Feature/&TinkererInfusionReplaceDescription	Выберите инфузии для замены
Feature/&TinkererInfusionReplaceTitle	Заменить инфузию
Feature/&TinkererSkillGainChoicesPluralDescription	Навыки Тинкерера: Тайна, История, Расследование, Медицина, Природа, Восприятие и Ловкость рук.
Feature/&TinkererSkillPointsTitle	Навыки механика
Feature/&TinkererToolsExpertiseDescription	Получите опыт работы со многими инструментами, включая инструменты вора, наборы свитков, набор отравителя, набор травничества и инструменты для наложения чар.
Feature/&TinkererToolsExpertiseTitle	Экспертиза инструментов Tinkerer
Feature/&TinkererToolsProficiencyDescription	Овладейте многими инструментами, включая воровские инструменты, наборы свитков, набор отравителя, набор травничества и инструменты для наложения чар.
Feature/&TinkererToolsProficiencyTitle	Владение инструментами
Feature/&TinkererWeaponProficiencyDescription	Владение простым оружием
Feature/&TinkererWeaponProficiencyTitle	Навыки механика в оружии
Feature/&ToadKingBasicToxinTitle	Основной токсин
Feature/&ToadKingExpandedSpelllistAfinityDescription	Вы выбираете из расширенного списка заклинаний, когда изучаете заклинание чернокнижника. Следующие заклинания добавлены для вас в список заклинаний чернокнижника: {0}
Feature/&ToadKingExpandedSpelllistAfinityTitle	Заклинания короля жаб
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Ваше тело изменилось, чтобы стать устойчивым к токсинам и производить защитный токсин при нападении в ближнем бою (до PB раз в день). если атакующий проваливает спасбросок по Con, он становится люциногенным токсином до тех пор, пока его не атакуют или не прервут иным образом.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Галлюциногенный токсин
Feature/&ToadKingJumpTitle	Прыгать
Feature/&ToadKingPoisonConditionAffinityTitle	Иммунитет к отравлению
Feature/&ToadKingPoisonDamageAffinityTitle	Иммунитет к урону ядом
Feature/&ToadKingStickyFeetTitle	Перепончатые ноги
Feature/&TrickstersEscapeTitle	Побег Трикстера
Feature/&UrPriestDomainTheftDescription	Вы выхватываете секреты, которые бог дарует всем своим набожным клерикам. Выберите домен клирика: вы получаете функции, которые домен предоставляет на 1-м уровне.
Feature/&UrPriestDomainTheftTitle	Кража домена
Feature/&UrPriestExpandedSpelllistAfinityDescription	Вы выбираете из расширенного списка заклинаний, когда изучаете заклинание чернокнижника. Заклинания жреца добавлены в список заклинаний чернокнижника для вас.
Feature/&UrPriestExpandedSpelllistAfinityTitle	Заклинания УрЖреца
Feature/&WallofThornsFeatureSetDescription	Кастуйте Wall of Thorns один раз в день
Feature/&WallofThornsFeatureSetTitle	Лесной Барьер
Feature/&WitchCurseChoiceDescription	Вас терзает ужасное проклятие, поражающее ваше тело и душу.
Feature/&WitchCurseChoiceTitle	Проклятие ведьмы
Feature/&WitchMaledictionChoiceDescription	Вы можете выучить ряд могущественных заклинаний, известных как Проклятия, основанных на той же коварной магии, которая прокляла вас.
Feature/&WitchMaledictionChoiceTitle	Проклятия
Feature/&WitchSightDescription	Вы можете ощущать или видеть невидимость на расстоянии до 60 футов
Feature/&WitchSightTitle	Ведьмин взгляд
Feature/&ZSPowerPaladinCleansingTouchDescription	Снимите эффекты заклинаний, прикоснувшись к союзнику. Вы можете делать это количество раз в день, равное вашему модификатору Харизмы.
Feature/&ZSPowerPaladinCleansingTouchTitle	Очищающее прикосновение
Feedback/&AdditionalDamageAgonizing_BlastFormat	Мучительный взрыв
Feedback/&AdditionalDamageAgonizing_BlastLine	Когда вы произносите заклинание с использованием силового урона (жуткий взрыв), добавьте свой модификатор Харизмы к урону, который оно наносит при попадании.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Дополнительный урон от магических атак
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Дополнительный урон от магических атак
Feedback/&AdditionalDamageArcaneFirearmFormat	Взрывное улучшение!
Feedback/&AdditionalDamageArcaneFirearmLine	Нанесение дополнительного урона от Blasting Enhancement
Feedback/&AdditionalDamageArcanistMarkFormat	Метка чародея!
Feedback/&AdditionalDamageArcanistMarkLine	Метка чародея взрывается и наносит цели дополнительный урон!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Освещающий удар!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Illuminating Strike наносит дополнительный урон цели!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Ослепляющее оружие
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Дополнительный урон и попытка применить ослепление от ослепляющего оружия
Feedback/&AdditionalDamageEldritchSmiteFormat	Жуткий удар!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} поражает {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Стихийный урон
Feedback/&AdditionalDamageElementalDamageLine	Элементарная форма дает дополнительный урон
Feedback/&AdditionalDamageLightningSpearFormat	Молниеносное копье!
Feedback/&AdditionalDamageLightningSpearLine	{0} поражает {1} копьем молнии! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	Знак договора!
Feedback/&AdditionalDamagePactMarkedLine	Знак договора наносит дополнительный урон!
Feedback/&AdditionalDamagePactSoulTakerFormat	Похититель душ!
Feedback/&AdditionalDamagePactSoulTakerLine	Поглотитель душ наносит дополнительный урон!
Feedback/&AdditionalDamagePugilistFormat	кулачный бой
Feedback/&AdditionalDamagePugilistLine	Дополнительный урон без оружия от Pugilist
Feedback/&AdditionalDamageResonatingStrikeFormat	Резонирующий удар!
Feedback/&AdditionalDamageResonatingStrikeLine	{0} резонирует {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Сила души!
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered наносит дополнительный урон!
Feedback/&AdditionalDamageSunlightBladeFormat	Солнечный клинок!
Feedback/&AdditionalDamageSunlightBladeLine	{0} сжигает {1} с помощью Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Модернизированный урон
Feedback/&AdditionalDamageUpgradedConstructLine	Модернизированная конструкция наносит на 1D8 больше урона за удар.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} создает {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} создает {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} создает {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} создает {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} создает {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} создает {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} создает {1}
Feedback/&ExtraDamageDescription	Дополнительный урон от Lighting Spear
Feedback/&ExtraDamageTitle	Дополнительный урон копья молний
Feedback/&LightningSpearAdditionalDamageDescription	урон от молнии дополнительно 1D6 один раз за ход
Feedback/&LightningSpearAdditionalDamageTitle	Дополнительный урон копья молний
Feedback/&NotifyEffectResonatingStrikeLine	{0} резонирует {1}!
FightingStyle/&BlindFightingDescription	У вас есть слепое зрение с диапазоном 10 футов
FightingStyle/&BlindFightingTitle	Слепой бой
FightingStyle/&CripplingDescription	Уменьшите скорость вашего противника при атаке в ближнем бою до 10 до конца следующего хода.
FightingStyle/&CripplingTitle	Калечащий
FightingStyle/&PugilistFightingDescription	Пока вы полностью безоружны, ваши удары без оружия наносят дополнительно d8 урона, и вы можете бить левой рукой в ​​качестве бонусного действия.
FightingStyle/&PugilistFightingTitle	кулачный бой
FightingStyle/&TitanFightingDescription	Вы получаете попадание +2 против существ большого или большего размера.
FightingStyle/&TitanFightingTitle	Битва титанов
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Тайны, природа и проницательность
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Предлагаемые навыки
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Религия, природа и понимание
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Предлагаемые навыки
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	История, убеждение и запугивание
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Предлагаемые навыки
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Выберите 2 навыка
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Навыки
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Выберите 3 навыка
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Навыки
FlexibleBackgrounds/&BackgroundToolSelect2Description	Выберите 2 навыка владения инструментом
FlexibleBackgrounds/&BackgroundToolSelect2Title	Инструменты
FlexibleBackgrounds/&BackgroundToolSelectDescription	Выберите навык владения инструментом
FlexibleBackgrounds/&BackgroundToolSelectTitle	Инструмент
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Восприятие и запугивание
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Предлагаемые навыки
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Ловкость рук, скрытность и обман
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Предлагаемые навыки
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Медицина и убеждение
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Предлагаемые навыки
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Легкая атлетика и запугивание
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Предлагаемые навыки
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Скрытность, обман и природа
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Предлагаемые навыки
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Выживание и природа
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Предлагаемые навыки
FlexibleRaces/&PointPoolAbilityScore3Description	Используйте три повышения показателей способностей в любой комбинации по вашему выбору.
FlexibleRaces/&PointPoolAbilityScore3Title	Увеличение показателя способности
FlexibleRaces/&PointPoolAbilityScore4Description	Используйте четыре повышения характеристик в любой комбинации по вашему выбору.
FlexibleRaces/&PointPoolAbilityScore4Title	Увеличение показателя способности
Format/&LevelAndExperienceFormat	Уровень: {0}\nОпыт: {1}\n{2} очков, необходимых для достижения уровня {3}
Format/&LevelAndExperienceMaxedFormat	Уровень: {0}\nОпыт: {1}\nдостигнут максимальный уровень
Item/&ForceArtilleryProjectileDescription	СилаАртиллерияСнаряд
Item/&ForceArtilleryProjectileTitle	СилаАртиллерияСнаряд
Language/&AbyssalDescription	Абиссальный язык был формой изначального языка, который был окутан и искажен злом бездны.
Language/&AbyssalTitle	Глубинный
Language/&GnomishLanguageDescription	Старый соласанский язык, сохраненный гномами, живущими в дремучих лесах Соласты, пережил Катаклизм.
Language/&GnomishLanguageTitle	гномский
MainMenu/&ExportPdfDescription	Понизьте уровень этого героя
MainMenu/&ExportPdfTitle	Уровень вниз
Message/&CharacterExportDuplicateNameErrorDescription	Экспорт отменен:\n\nГерой с таким именем уже есть в пуле.\nПожалуйста, попробуйте другое имя
Message/&CharacterExportEmptyNameErrorDescription	Экспорт отменен:\n\nПожалуйста, попробуйте непустое имя
Message/&CharacterExportModalContentDescription	Введите имя героя для экспорта:
Message/&CharacterExportModalTitleDescription	Экспорт персонажей
Message/&LevelDownConfirmationDescription	Понизить уровень этого героя?
Message/&LevelDownMultiplayerAbortDescription	Невозможно понизить уровень во время многопользовательской игры.
Message/&MessageModWelcomeDescription	Мод Community Expansion содержит множество интересных функций, но по умолчанию ни одна из них не включена. Нажмите <color=yellow>Ctrl-F10</color>, чтобы открыть пользовательский интерфейс Unity Mod Manager [UMM], затем щелкните значок настроек рядом с «Расширение сообщества», чтобы открыть страницы настроек.\n\n Изучите варианты и выберите те, которые вам нравятся. Откроется интерфейс UMM.
Message/&MessageModWelcomeTitle	Мод расширения сообщества
Message/&RespecMultiplayerAbortDescription	Нельзя сбросить во время многопользовательской игры или на карте исследования.
Message/&SpawnCustomEncounterDescription	Создать столкновение с координатами ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	Не может создавать столкновения в многопользовательской игре. Все же...
Message/&SpawnCustomEncounterTitle	Сталкиваться
Message/&TeleportPartyDescription	Телепортировать группу по координатам ({0}, {1})?\nВы можете сломать квесты или карты, если телепортируетесь в неизвестное место.
Message/&TeleportPartyTitle	Телепорт
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierDescription	Оружие использует модификатор Харизмы для бросков атаки и урона и считается магическим до длительного отдыха.
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierTitle	Сила души
Modifier/&AttributeModifierRuinDescription	-3 к классу брони
Modifier/&AttributeModifierRuinTitle	Разрушенный
Modifier/&CripplingAdditionalDamageDescription	Калечащий урон
Modifier/&CripplingAdditionalDamageTitle	Калечащий
Modifier/&DisorientDescription	-1d6 к броскам атаки
Modifier/&DisorientTitle	Дезориентированный
Monster/&DHCustomCouatlDescription	Коатли — доброжелательные змеиные существа с большим интеллектом и проницательностью. Их ярко окрашенные крылья и нежная манера поведения говорят об их небесном происхождении.
Monster/&DHCustomCouatlTitle	Коатль
Monster/&OwlFamiliarDescription	Сова фамильяр
Monster/&OwlFamiliarTitle	Сова
Monster/&PactOfChainCustomImpDescription	Бесов можно найти повсюду на Нижних Планах, они либо выполняют поручения своих адских хозяев, либо шпионят за соперниками, либо вводят в заблуждение и подстерегают смертных. Имп будет с гордостью служить любому злому хозяину, но нельзя полагаться на то, что он будет выполнять задачи с какой-либо скоростью или эффективностью.
Monster/&PactOfChainCustomImpTitle	Бес (Пакт цепи)
