ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken
Feature/&DomainElementalColdDomainlevel1FeaturesDescription	Sie lernen die Level-1-Features dieser Domain kennen
Feature/&DomainElementalColdDomainlevel1FeaturesTitle	Elementare (kalte) Domäne
Feature/&DomainElementalFireDomainlevel1FeaturesDescription	Sie lernen die Level-1-Features dieser Domain kennen
Feature/&DomainElementalFireDomainlevel1FeaturesTitle	Elementare (Feuer) Domäne
Feature/&DomainElementalLightingDomainlevel1FeaturesDescription	Sie lernen die Level-1-Features dieser Domain kennen
Feature/&DomainElementalLightingDomainlevel1FeaturesTitle	Elementare (Beleuchtung) Domäne
Feature/&DomainInsightDomainlevel1FeaturesDescription	Sie lernen die Level-1-Features dieser Domain kennen
Feature/&DomainInsightDomainlevel1FeaturesTitle	Insight-Domäne
Feature/&DomainLawDomainlevel1FeaturesDescription	Sie lernen die Level-1-Features dieser Domain kennen
Feature/&DomainLawDomainlevel1FeaturesTitle	Rechtsgebiet
Feature/&DomainLifeDomainlevel1FeaturesDescription	Sie lernen die Level-1-Features dieser Domain kennen
Feature/&DomainLifeDomainlevel1FeaturesTitle	Lebensbereich
Feature/&DomainMischiefDomainlevel1FeaturesDescription	Sie lernen die Level-1-Features dieser Domain kennen
Feature/&DomainMischiefDomainlevel1FeaturesTitle	Domäne des Unfugs
Feature/&DomainOblivionDomainlevel1FeaturesDescription	Sie lernen die Level-1-Features dieser Domain kennen
Feature/&DomainOblivionDomainlevel1FeaturesTitle	Oblivion-Domäne
Feature/&DomainSunDomainlevel1FeaturesDescription	Sie lernen die Level-1-Features dieser Domain kennen
Feature/&DomainSunDomainlevel1FeaturesTitle	Sun-Domäne
Feature/&DreadfulWordTitle	Schreckliches Wort
Feature/&DruidForestGuardianBarkWardDescription	Du erhältst die Fähigkeit, einen Bark Ward zu beschwören, um dich zu beschützen. Als Bonus-Aktion kannst du eine Verwendung deiner Wilden Form aufwenden, um 4 temporäre Trefferpunkte für jedes Level zu erhalten, das du in dieser Klasse hast. Diese temporären Trefferpunkte halten 10 Minuten lang an oder bis Sie Ihre Wildform erneut verwenden
Feature/&DruidForestGuardianBarkWardTitle	Rinde Ward
Feature/&DruidForestGuardianExtraAttackDescription	Ab der 6. Stufe kannst du zweimal statt einmal angreifen, wenn du in deinem Zug die Angriffsaktion ausführst
Feature/&DruidForestGuardianExtraAttackTitle	Extra-Angriff
Feature/&DruidForestGuardianImprovedBarkWardDescription	Deinem Rindenschutz wachsen jetzt Dornen, die Nahkampfangreifern Schaden zufügen. Gegner, die dich erfolgreich mit einem Nahkampfangriff treffen, erleiden 2W8 Stichschaden
Feature/&DruidForestGuardianImprovedBarkWardTitle	Verbesserter Bark Ward
Feature/&DruidForestGuardianMagicDescription	Ab der 2. Stufe erhältst du, wenn du diesen Kreis wählst, Zugriff auf eine erweiterte Zauberliste, die immer bereit ist:\nStufe 2: Schild, Nebelwolke\nStufe 3: Unschärfe, Flammenklinge\nLevel 5: Schutz vor Energie, Magie bannen\nStufe 7: Flammenschild, Todesschutz\nLevel 9: Monster festhalten, Große Wiederherstellung
Feature/&DruidForestGuardianMagicTitle	Zirkelzauber
Feature/&DruidForestGuardianSuperiorBarkWardDescription	Eure Fähigkeit „Bark Ward“ reflektiert jetzt 3W8 Stichschaden auf Nahkampfangreifer. Zusätzlich gewährt dir Bark Ward jetzt Immunität gegen Gift, solange es aktiv ist
Feature/&DruidForestGuardianSuperiorBarkWardTitle	Superior Bark Ward
Feature/&DruidForestGuardianSylvanDurabilityDescription	Waldwächter erhalten auf natürliche Weise die Widerstandsfähigkeit einer mächtigen Eiche. Auf der 2. Stufe erhöht sich Ihr Trefferpunktmaximum um 2 und erhöht sich um 1, wenn Sie in dieser Klasse eine Stufe erreichen
Feature/&DruidForestGuardianSylvanDurabilityTitle	Sylvanische Haltbarkeit
Feature/&DruidForestGuardianSylvanWarMagicDescription	Du bist daran gewöhnt, druidische Magie in Harmonie mit kriegerischen Fähigkeiten einzusetzen. Auf der 2. Stufe kannst du Zauber wirken, die eine somatische Komponente erfordern, selbst wenn du mit beiden Händen eine Waffe oder einen Schild hältst
Feature/&DruidForestGuardianSylvanWarMagicTitle	Sylvanische Kriegsmagie
Feature/&DualFlurryDescription	Du bist ein Meister im Kampf mit gepaarten Waffen. In jedem Zug, in dem du zweimal mit Nahkampfangriffen triffst, während du eine Waffe in jeder Hand führst, darfst du einen zusätzlichen Nebenhandangriff ausführen
Feature/&DualFlurryTitle	Zweifacher Flurry
Feature/&EldritchBlastGraspingHandBonusCantripDescription	Wenn Sie eine Kreatur mit Ihrer Eldritch-Explosion treffen, können Sie diese Kreatur in einer geraden Linie 3 m näher an sich heranbewegen
Feature/&EldritchBlastGraspingHandBonusCantripTitle	Greifende Explosion
Feature/&EldritchBlastRepellingBlastBonusCantripDescription	Wenn Sie eine Kreatur mit einer unheimlichen Explosion treffen, können Sie die Kreatur in einer geraden Linie bis zu 3 m von sich wegschieben
Feature/&EldritchBlastRepellingBlastBonusCantripTitle	Abstoßende Explosion
Feature/&EldritchMindDescription	Du hast einen Vorteil bei Konstitutionswürfen, die du machst, um deine Konzentration auf einen Zauber aufrechtzuerhalten
Feature/&EldritchMindTitle	Eldritch-Geist
Feature/&EldritchSightTitle	Unheimlicher Anblick
Feature/&EldritchSmiteDescription	Einmal pro Runde, wenn du eine Kreatur mit deiner Paktwaffe triffst, kannst du einen Hexenmeister-Zauberplatz aufwenden, um dem Ziel 1W8 zusätzlichen Machtschaden zuzufügen, plus weitere 1W8 pro Stufe des Zauberplatzes.
Feature/&EldritchSmiteTitle	Eldritch Smite
Feature/&ElementalistSpellsMagicAffinityDescription	Du wählst aus einer erweiterten Liste von Zaubersprüchen, wenn du einen Hexenmeisterzauber lernst. Die folgenden Zauber werden der Hexenmeister-Zauberliste für Sie hinzugefügt:\n Stufe 1: Donnerwelle, Nebelwolke\n Level 2: Flammende Sphäre, Sengender Strahl\n Stufe 3: Feuerball, Blitzschlag\n Stufe 4: Steinhaut, Eissturm\n Stufe 5: Kältekegel, Flammenschlag
Feature/&ElementalistSpellsMagicAffinityTitle	Elementarmagier-Zauber
Feature/&ElementalPactAirPlane	Flugzeug
Feature/&ElementalPactAstralPlane	Astralebene
Feature/&ElementalPactEarthPlane	Erdebene
Feature/&ElementalPactEtherealPlane	Ätherische Ebene
Feature/&ElementalPactFirePlane	Feuerwehrflugzeug
Feature/&ElementalPactIcePlane	Eisflugzeug
Feature/&ElementalPactShadowPlane	Schattenebene
Feature/&ElementalPatronElementalConditionFormatDescription	Füge beim ersten Treffer in jeder Runde zusätzlich {1} Schaden in Höhe deines Fertigkeitsbonus zu
Feature/&ElementalPatronElementalConditionFormatTitle	Channeling {0}
Feature/&ElementalPatronElementalDamageFormatDescription	Wenn du {0} kanalisierst, füge bei einem ersten Treffer in jeder Runde zusätzlichen {1} Schaden in Höhe deines Fertigkeitsbonus zu
Feature/&ElementalPatronElementalDamageFormatTitle	Elementarschaden: {0}
Feature/&ElementalPatronElementalFormEnhancedFormatDescription	Wenn du die {0} kanalisierst, erhältst du Immunität gegen {1} und wendest den Fertigkeitsbonus als Schaden des gleichen Typs an, um jede Runde zuerst zu treffen
Feature/&ElementalPatronElementalFormEnhancedFormatTitle	Channeling {0}
Feature/&ElementalPatronElementalFormFormatDescription	Wenn du die {0} kanalisierst, erhältst du Resistenz gegen {1} Schaden und wendest den Fertigkeitsbonus als Schaden desselben Typs an, um jede Runde zuerst zu treffen.
Feature/&ElementalPatronElementalFormFormatTitle	{0}
Feature/&ElementalPatronFeatureSet_Level01Description	<size=17><color=#add8e6ff>Elementarmagier-Zauber</color></size>\nStufe 1: Nebelwolke, Donnerwelle\nLevel 2: Spike Growth, Sengender Strahl\nLevel 3: Blitz, Feuerball\nStufe 4: Steinhaut, Eissturm\nStufe 5: Kältekegel, Flammenschlag\n\n<size=17><color=#add8e6ff>Elementarformen</color></size>\nDu kannst mehrmals täglich (in Höhe deines Fähigkeitsbonus) zwischen elementaren Formen wechseln, indem du elementare Energie kanalisierst. Du erhältst Resistenz gegen den entsprechenden Schaden und fügst deinen Angriffen einmal pro Runde Schaden derselben Art zu. Die Formulare dauern 1 Minute
Feature/&ElementalPatronFeatureSet_Level01Title	Elementarmagier
Feature/&ElementalPatronFeatureSet_Level06Description	<size=17><color=#add8e6ff>Elementarwissen</color></size>\nDein Wissen über Elementare hat sich so weit verbessert, dass du jetzt einen Vorteil bei Fähigkeitsprüfungen gegenüber Elementaren hast und Elementaren zusätzlichen Schaden in Höhe deines Wissensstands zufügst. Du kannst nicht länger von Elementaren bezaubert oder verängstigt werden
Feature/&ElementalPatronFeatureSet_Level06Title	Elementarmagier
Feature/&ElementalPatronFeatureSet_Level10Description	<size=17><color=#add8e6ff>Verbesserte elementare Formen</color></size>\nIhre Elementarformen gewähren jetzt Schadensimmunität, wenn sie aktiv sind
Feature/&ElementalPatronFeatureSet_Level10Title	Elementarmagier
Feature/&EyesoftheRuneKeeperDescription	Sie können alle Schriften lesen
Feature/&EyesoftheRuneKeeperTitle	Augen des Runenhüters
Feature/&FiendishVigorTitle	Teuflische Kraft
Feature/&FlameArtillery_09ModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde hält.\nFlammenartillerie: Erzeugt einen Feuerkegel, der bei einem fehlgeschlagenen Rettungswurf 3W8 Schaden verursacht.\nSelbstzerstörung: Verursacht 3W8 Machtschaden bei einem fehlgeschlagenen Rettungswurf und zerstört die Einheit
Feature/&FlameArtillery_09ModePowerTitle	Flammenartillerie-Konstrukt beschwören
Feature/&FlameArtillery_15ModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde hält.\nFlammenartillerie: Erzeugt einen Feuerkegel, der bei einem fehlgeschlagenen Rettungswurf 3W8 Schaden verursacht.\nSelbstzerstörung: Verursacht 3W8 Machtschaden bei einem fehlgeschlagenen Rettungswurf und zerstört die Einheit.\n Half Cover Dome: Bietet Verbündeten innerhalb von 10 Fuß halbe Deckung
Feature/&FlameArtillery_15ModePowerTitle	Flammenartillerie-Konstrukt beschwören
Feature/&FlameArtilleryModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde hält.\nFlammenartillerie: Erzeugt einen Feuerkegel, der bei einem gescheiterten Rettungswurf 2W8 Schaden verursacht
Feature/&FlameArtilleryModePowerTitle	Flammenartillerie-Konstrukt beschwören
Feature/&ForceArtillery_09ModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde hält.\nMachtartillerie: Verursacht 3W8 Machtschaden und stößt den Feind 1,50 m weit weg.\nSelbstzerstörung: Verursacht 3W8 Machtschaden bei einem fehlgeschlagenen Rettungswurf und zerstört die Einheit
Feature/&ForceArtillery_09ModePowerTitle	Beschwören Sie Force Artillery Construct
Feature/&ForceArtillery_15ModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde hält.\nMachtartillerie: Verursacht 3W8 Machtschaden und stößt den Feind 1,50 m weit weg.\nSelbstzerstörung: Verursacht 3W8 Machtschaden bei einem fehlgeschlagenen Rettungswurf und zerstört die Einheit.\n Half Cover Dome: Bietet Verbündeten innerhalb von 10 Fuß halbe Deckung
Feature/&ForceArtillery_15ModePowerTitle	Beschwören Sie Force Artillery Construct
Feature/&ForceArtilleryAdditionalDamageTitle	Verbesserter Schaden
Feature/&ForceArtilleryModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde hält.\nMachtartillerie: Verursacht 2W8 Machtschaden und stößt das Ziel 1,50 m weg
Feature/&ForceArtilleryModePowerTitle	Beschwören Sie Force Artillery Construct
Feature/&ForceArtilleryTitle	Artillerie erzwingen
Feature/&GambitResourcePoolAddDescription	Fügt einen zusätzlichen Gambit-Würfel hinzu
Feature/&GambitResourcePoolAddTitle	Zusätzlicher Gambit-Würfel.
Feature/&GambitResourcePoolDescription	Pool von Gambit-Würfeln, die für Gambits ausgegeben werden können. Ab 4 laden sie sich bei kurzer Rast wieder auf
Feature/&GambitResourcePoolTitle	Gambit-Würfelpool.
Feature/&GiftoftheEverLivingOnesDescription	Stellt die maximal mögliche Anzahl an Trefferpunkten durch Heilung wieder her
Feature/&GiftoftheEverLivingOnesTitle	Gabe der Immerlebenden
Feature/&GiftoftheProtectorsDescription	Wenn Sie auf 0 Trefferpunkte reduziert, aber nicht direkt getötet werden, fällt die Kreatur stattdessen magisch auf 1 Trefferpunkt. Sobald diese Magie ausgelöst wird, können Sie nicht davon profitieren, bis Sie eine lange Pause beendet haben
Feature/&GiftoftheProtectorsTitle	Geschenk der Beschützer
Feature/&GnomeCunningFeatureDescription	Du hast einen Vorteil bei allen Intelligenz-, Weisheits- und Charismawürfen gegen Magie
Feature/&GnomeCunningFeatureTitle	Gerissen
Feature/&GnomeNaturalIllusionistDescription	Du kennst den Cantrip der nervigen Biene. Intelligenz ist Ihr Zaubermodifikator dafür
Feature/&GnomeNaturalIllusionistTitle	Natürliche Magie
Feature/&HerbalBrewDescription	Wenn Sie eine lange Pause beendet haben, können Sie Kräutersud herstellen, die jeweils bis zur nächsten langen Pause reichen. Du braust insgesamt Gebräue in Höhe deines Kompetenzbonus. Wählen Sie für jedes Gebräu einen der folgenden Effekte:\n<color=#add8e6ff>Stärkendes Gebräu</color>: Gewährt 1 Stunde lang Widerstand gegen verschiedene Schadensarten.\n<color=#add8e6ff>Quickening Brew</color>: gewährt 2W4 Trefferpunkte.\n<color=#add8e6ff>Vergiftendes Gebräu</color>: wirkt als Gift, das auf eine Waffe aufgetragen werden kann und 1 Minute lang anhält. Wenn der Treffer landet, erleidet das Ziel bei jedem Treffer 1W4 Giftschaden
Feature/&HerbalBrewFeatureSetDescription	Sie werden entweder mit dem Vergifter-Kit oder mit Kräuterkunde-Kits vertraut, wenn Sie es noch nicht haben.\nWenn Sie eine lange Pause beendet haben, können Sie Kräutersud herstellen, die jeweils bis zur nächsten langen Pause reichen. Du braust insgesamt Gebräue in Höhe deines Kompetenzbonus. Wählen Sie für jedes Gebräu einen der folgenden Effekte:\n<color=#add8e6ff>Stärkendes Gebräu</color>: Gewährt 1 Stunde lang Widerstand gegen verschiedene Schadensarten.\n<color=#add8e6ff>Quickening Brew</color>: gewährt 2W4 Trefferpunkte.\n<color=#add8e6ff>Vergiftendes Gebräu</color>: wirkt als Gift, das auf eine Waffe aufgetragen werden kann und 1 Minute lang anhält. Wenn der Treffer landet, erleidet das Ziel bei jedem Treffer 1W4 Giftschaden
Feature/&HerbalBrewFeatureSetTitle	Kräuterbrauen
Feature/&HinderingBlastDescription	Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 3 m reduzieren
Feature/&HinderingBlastMagicAffinityDescription	Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 3 m reduzieren
Feature/&HinderingBlastMagicAffinityTitle	Hinderliche Explosion
Feature/&HinderingBlastTitle	Hinderliche Explosion
Feature/&ImprovedPactWeaponDescription	Du kannst jede Waffe als Zauberfokus für deine Hexenmeisterzauber verwenden. Außerdem erhält die Waffe einen Bonus von +1 auf ihre Angriffs- und Schadenswürfe
Feature/&ImprovedPactWeaponTitle	Verbesserte Paktwaffe
Feature/&ImprovedScoutModePowerDescription	Erhalten Sie verbesserte Scout-Modus-Funktionen. Kann jetzt mit einem einzigen Angriff Vorteile für Verbündete und Nachteile für Feinde schaffen
Feature/&ImprovedScoutModePowerTitle	Verbesserter Scout-Modus
Feature/&ImprovedSentinelModePowerDescription	Erhalte verbesserte Sentinel-Modus-Funktionen über die Gauntlet Grapple-Power
Feature/&ImprovedSentinelModePowerTitle	Verbesserter Sentinel-Modus
Feature/&IndomitableResistanceAddDescription	+1 Unbeugsamer Widerstandseinsatz zwischen Pausen
Feature/&IndomitableResistanceAddTitle	Unbezwingbarer Widerstand (erhöht)
Feature/&IndomitableResistanceTitle	Unbezwingbarer Widerstand
Feature/&InspirePowerDescription	Gib einen Gambit-Würfel aus und inspiriere dich selbst oder deinen Verbündeten, 1W6+2 temporäre TP zu geben
Feature/&InspirePowerTitle	Inspirieren
Feature/&InspiringSurgePowerDescription	Gewähre einem Verbündeten eine zusätzliche Hauptaktion für 1 Runde. Kann nicht mit Action Surge gestapelt werden
Feature/&InspiringSurgePowerTitle	Inspirierende Welle
Feature/&InspiringSurgePowerTitleShort	Inspirierende Welle
Feature/&KnockDownPowerDescription	Gib einen Gambit-Würfel aus und ermächtige deinen Angriff, zusätzlich 1W6+2 Knüppelschaden zu verursachen und sie bis zum Beginn ihres nächsten Zuges niederzuschlagen, wenn ihnen ein Stärkewurf gegen 8 + deine Stärke + Geschicklichkeit misslingt
Feature/&KnockDownPowerTitle	Niederschlagen
Feature/&KSRogueSubclassThugBrutalMethodsDescription	Sie können als Bonusaktion schubsen
Feature/&KSRogueSubclassThugBrutalMethodsTitle	Brutale Methoden
Feature/&KSRogueSubclassThugExploitVulnerabilitiesSneakAttackDescription	Sie können Sneak Attack mit jeder Art von Nahkampfwaffe verwenden, nicht auf Finesse-Waffen beschränkt.\n1W6 zusätzlichen Schaden (+1W6 alle 2 Stufen) für eine Kreatur, die du mit dem Vorteil triffst, einmal pro Runde. Kein Vorteil erforderlich, wenn sich ein aktiver Verbündeter neben dem Ziel befindet
Feature/&KSRogueSubclassThugExploitVulnerabilitiesSneakAttackTitle	Polyvalenter Schleichangriff
Feature/&KSRogueSubclassThugOvercomeCompetitionDescription	Du bist bei deinen Würfen für Athletik (Stärke) im Vorteil
Feature/&KSRogueSubclassThugOvercomeCompetitionTitle	Konkurrenz überwinden
Feature/&KSRogueSubclassThugProficienciesDescription	Geübt im Umgang mit mittleren Rüstungen und Schilden
Feature/&KSRogueSubclassThugProficienciesTitle	Schweres Getriebe
Feature/&MiretheMindTitle	Beschmutze den Geist
Feature/&MoonLitDarknessImmunityDescription	Du bist immun gegen den Dunkelheitszustand
Feature/&MoonLitDarknessImmunityTitle	Mondhelle Dunkelheit
Feature/&MoonLitExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubersprüchen, wenn du einen Hexenmeisterzauber lernst. Die folgenden Zauber werden der Hexenmeister-Zauberliste für Sie hinzugefügt:\n Stufe 1: Feenfeuer, Schlaf\n Level 2: Mondstrahl, Siehe Unsichtbarkeit\n Stufe 3: Tageslicht, hypnotisches Muster\n Level 4: Größere Unsichtbarkeit, Bestie beherrschen\n Level 5: Person beherrschen, Flammenschlag
Feature/&MoonLitExpandedSpelllistAfinityTitle	Mondschein-Zauber
Feature/&MoonLitLightAffinityDescription	Wenn Sie Ihren Zug in natürlicher Dunkelheit beginnen, werden Sie unsichtbar. Das Bewegen, Angreifen oder Verwenden von Kräften oder Zaubern, die nicht Teleportieren oder Selbstverstärkung sind, bricht die Unsichtbarkeit
Feature/&MoonLitLightAffinityStrongDescription	Umbral Cloak funktioniert jetzt bei schwachem Licht und magischer Dunkelheit
Feature/&MoonLitLightAffinityStrongTitle	Verbesserter Umbral-Umhang
Feature/&MoonLitLightAffinityTitle	Umbraler Umhang
Feature/&OneWithShadowsDescription	Wenn Sie Ihren Zug in natürlicher Dunkelheit beginnen, werden Sie unsichtbar. Das Bewegen, Angreifen oder Verwenden von Kräften oder Zaubern, die nicht Teleportieren oder Selbstverstärkung sind, bricht die Unsichtbarkeit
Feature/&OneWithShadowsLightAffinityDescription	Wenn Sie Ihren Zug in natürlicher Dunkelheit beginnen, werden Sie unsichtbar. Das Bewegen, Angreifen oder Verwenden von Kräften oder Zaubern, die nicht Teleportieren oder Selbstverstärkung sind, bricht die Unsichtbarkeit
Feature/&OneWithShadowsLightAffinityStrongDescription	One With Shadows funktioniert jetzt bei schwachem Licht und magischer Dunkelheit
Feature/&OneWithShadowsLightAffinityStrongTitle	Dunklere Schatten
Feature/&OneWithShadowsLightAffinityTitle	Eins mit Schatten
Feature/&OneWithShadowsStrongerDescription	One With Shadows funktioniert jetzt bei schwachem Licht und magischer Dunkelheit
Feature/&OneWithShadowsStrongerTitle	Dunklere Schatten
Feature/&OneWithShadowsTitle	Eins mit Schatten
Feature/&OpportunistDebilitatingStrikeDescription	Dein hinterhältiger Angriff verursacht bei Gegnern einen der folgenden Zustände (Geblendet/Fluch/Bluten/Betäubt), wenn ihnen ein KON-Speicher gegen 8 + deine Geschicklichkeit + deine Fertigkeit misslingt
Feature/&OpportunistDebilitatingStrikeTitle	Lähmender Schlag
Feature/&OpportunistQuickStrikeDescription	Sie haben einen Vorteil, wenn Sie einen Feind angreifen, dessen Initiative geringer ist als Ihre. Darüber hinaus haben Sie auch einen Vorteil, wenn Sie einen Gelegenheitsangriff ausführen
Feature/&OpportunistQuickStrikeTitle	Schneller Schlag
Feature/&OtherworldlyLeapTitle	Jenseitiger Sprung
Feature/&OtherworldlyLeapTitle	Jenseitiger Sprung
Feature/&PowerAttackAttackModifierDescription	Nehmen Sie für den Rest des Zuges eine -{0} Trefferstrafe auf Ihren Angriff, um +{0} Schaden zu verursachen, wenn Sie Ihre Schläge landen. Nur zu verwenden, wenn mit einer einhändigen, nicht leichten Waffe im Nah- oder Fernkampf angegriffen wird
Feature/&PowerAttackAttackModifierTitle	Einhändiger Kraftangriff
Feature/&PowerAttackConditionDescription	Nehmen Sie für den Rest des Zuges eine -{0} Trefferstrafe auf Ihren Angriff, um +{0} Schaden zu verursachen, wenn Sie Ihre Schläge landen. Nur zu verwenden, wenn mit einer einhändigen, nicht leichten Waffe im Nah- oder Fernkampf angegriffen wird
Feature/&PowerAttackConditionTitle	Einhändiger Kraftangriff
Feature/&PowerAttackPowerDescription	Nehmen Sie für den Rest des Zuges eine -{0} Trefferstrafe auf Ihren Angriff, um +{0} Schaden zu verursachen, wenn Sie Ihre Schläge landen. Nur zu verwenden, wenn mit einer einhändigen, nicht leichten Waffe im Nah- oder Fernkampf angegriffen wird
Feature/&PowerAttackPowerTitle	Einhändiger Kraftangriff
Feature/&PowerAttackTwoHandedAttackModifierDescription	Nehmen Sie für den Rest des Zuges eine -{0} Strafe auf Ihren Angriff, um +{1} Schaden zu verursachen, wenn Sie Ihre Schläge landen. Nur zu verwenden, wenn mit zwei Händen angegriffen wird, im Nah- oder Fernkampf
Feature/&PowerAttackTwoHandedAttackModifierTitle	Zweihändiger Kraftangriff
Feature/&PowerAttackTwoHandedConditionDescription	Nehmen Sie für den Rest des Zuges eine -{0} Strafe auf Ihren Angriff, um +{1} Schaden zu verursachen, wenn Sie Ihre Schläge landen. Nur zu verwenden, wenn mit zwei Händen angegriffen wird, im Nah- oder Fernkampf
Feature/&PowerAttackTwoHandedConditionTitle	Zweihändiger Kraftangriff
Feature/&PowerAttackTwoHandedPowerDescription	Nehmen Sie für den Rest des Zuges eine -{0} Strafe auf Ihren Angriff, um +{1} Schaden zu verursachen, wenn Sie Ihre Schläge landen. Nur zu verwenden, wenn mit zwei Händen angegriffen wird, im Nah- oder Fernkampf
Feature/&PowerAttackTwoHandedPowerTitle	Zweihändiger Kraftangriff
Feature/&PowerPaladinAuraOfCourage18Description	Gewährt Verbündeten innerhalb von 30 Fuß einen Rettungswurfbonus
Feature/&PowerPaladinAuraOfCourage18Title	Verbesserte Aura des Mutes
Feature/&PowerPaladinAuraOfProtection18Description	Sie und Ihre Verbündeten innerhalb von 30 Fuß können nicht erschreckt werden
Feature/&PowerPaladinAuraOfProtection18Title	Verbesserte Aura des Schutzes
Feature/&PowerTorchbearerDescription	Versuchen Sie, ein Nahkampfziel in Brand zu setzen!
Feature/&PowerTorchbearerTitle	Fackelträger
Feature/&PrimalChampionDescription	Auf Stufe 20 verkörperst du die Macht der Wildnis. Ihre Stärke- und Konstitutionswerte erhöhen sich um 4
Feature/&PrimalChampionTitle	Erster Champion
Feature/&ProficiencyBolgrifLanguagesDescription	Gewöhnlich, Elbisch und Riese
Feature/&ProficiencyBolgrifLanguagesTitle	Sprache
Feature/&ProficiencyGnomishLanguagesDescription	Gewöhnlich, gnomisch
Feature/&ProficiencyGnomishLanguagesTitle	Sprachen
Feature/&ProficiencyRogueBlindSenseDescription	Wenn du ab der 14. Stufe hören kannst, weißt du, wo sich versteckte oder unsichtbare Kreaturen innerhalb von 10 Fuß von dir befinden
Feature/&ProficiencyRogueBlindSenseTitle	Blindsinn
Feature/&ProficiencyRogueSlipperyMindDescription	Bis zur 15. Stufe haben Sie eine größere mentale Stärke erlangt. Du lernst Weisheitswürfe
Feature/&ProficiencyRogueSlipperyMindTitle	Schlüpfriger Geist
Feature/&ProficiencySoulBladeArmorDescription	Leichte Rüstung, mittlere Rüstung und Schild
Feature/&ProficiencySoulBladeArmorTitle	Seelenklingen-Rüstungsfähigkeiten
Feature/&ProficiencySoulBladeWeaponDescription	Einfache Waffen, Kampfwaffen
Feature/&ProficiencySoulBladeWeaponTitle	Soulblade-Waffenkenntnisse
Feature/&RageDamageBonusAttackModifierDescription	Füge deinen Angriffen +2 Schaden hinzu, während du tobst
Feature/&RageDamageBonusAttackModifierTitle	Wutschaden
Feature/&RageFeatConditionDescription	Während du in Rage bist, erhältst du Folgendes: Vorteil bei Stärkewürfen und Stärkerettungswürfen, einen Bonus auf Schadenswürfe von +2 und Resistenz gegen Knüppel-, Stich- und Hiebschaden
Feature/&RageFeatConditionTitle	Toben
Feature/&RagePowerDescription	Als Bonusaktion gerätst du für eine Minute in Wut und erhältst Folgendes: Vorteil bei Stärkewürfen und Stärkerettungswürfen, einen Bonus auf Schadenswürfe von +2 und Resistenz gegen Knüppel-, Stich- und Hiebschaden
Feature/&RagePowerTitle	Wut
Feature/&RageStrengthSavingThrowAffinityDescription	Du bekommst einen Vorteil durch Stärkewürfe, während du tobst
Feature/&RageStrengthSavingThrowAffinityTitle	Rage-Stärke-Save-Vorteil
Feature/&RallyingCryPowerDescription	Ersetzt Zweiter Wind durch eine Kraft, um 4x Kämpferstufen-Trefferpunkte bei einem oder mehreren Verbündeten innerhalb von 6 Zellen bis zu ihrem Trefferpunkte-Maximum wiederherzustellen
Feature/&RallyingCryPowerTitle	Sammelnder Schrei
Feature/&RallyingCryPowerTitleShort	Sammelnder Schrei
Feature/&RangerArcanistMagicDescription	Ab der 3. Stufe lernt man in dieser Klasse einen zusätzlichen Zauber, wenn man bestimmte Stufen erreicht. Jeder Zauber zählt für dich als Waldläufer-Zauber, aber er zählt nicht gegen die Anzahl der Waldläufer-Zauber, die du kennst. Die Zaubersprüche sind: Level 3: Schild, Level 5: Misty Step, Level 9: Eile, Level 13: Dimensions Door und Level 17: Hold Monster. Darüber hinaus sind Sie geübt im Wirken von Zaubern im Kampf und können Zauber wirken, die eine somatische Komponente erfordern, selbst wenn Sie mit beiden Händen eine Waffe oder einen Schild halten
Feature/&RangerArcanistMagicTitle	Ranger Arcanist Zauberwirken
Feature/&RangerFeralSensesDescription	Sie gewinnen übernatürliche Sinne, die Ihnen helfen, Kreaturen zu bekämpfen, die Sie nicht sehen können. Wenn du eine Kreatur angreifst, die du nicht sehen kannst, hat deine Unfähigkeit, sie zu sehen, keinen Nachteil bei deinen Angriffswürfen gegen sie
Feature/&RangerFeralSensesTitle	Wilde Sinne
Feature/&RangerVanishActionDescription	Ab der 14. Stufe kannst du die Aktion Verstecken als Bonusaktion in deinem Zug nutzen
Feature/&RangerVanishActionTitle	Verschwinden
Feature/&RiftWalkerRestrainedImmunityTitle	Flüchtiger Schritt
