ActionAffinity/&DHFeeblemindSpellDescription	Unfähig zu zaubern
Feature/&PowerTorchbearerDescription	Versuche, ein Nahkampfziel in Brand zu setzen!
Feature/&PowerTorchbearerTitle	Fackelträger
Feature/&PrimalChampionDescription	Auf Stufe 20 verkörperst du die Macht der Wildnis. Deine Werte für Stärke und Konstitution erhöhen sich um 4
Feature/&PrimalChampionTitle	Ursprünglicher Champion
Feature/&ProficiencyBolgrifLanguagesDescription	Gemein, Elbisch und Riese
Feature/&ProficiencyBolgrifLanguagesTitle	Sprache
Feature/&ProficiencyGnomishLanguagesDescription	Gemeine, Gnomisch
Feature/&ProficiencyGnomishLanguagesTitle	Sprachen
Feature/&ProficiencyRogueBlindSenseDescription	Ab Stufe 14 kannst du, wenn du hören kannst, den Aufenthaltsort jeder versteckten oder unsichtbaren Kreatur im Umkreis von 10 Fuß erkennen.
Feature/&ProficiencyRogueBlindSenseTitle	Blindheitssinn
Feature/&ProficiencyRogueSlipperyMindDescription	Mit der 15. Stufe hast du größere mentale Stärke erlangt. Du erhältst die Fähigkeit, Weisheitswürfe zu meistern.
Feature/&ProficiencyRogueSlipperyMindTitle	Schlüpfriger Geist
Feature/&RageDamageBonusAttackModifierDescription	Füge +2 Schaden zu deinen Angriffen hinzu, wenn du wütend bist.
Feature/&RageDamageBonusAttackModifierTitle	Schaden durch Wut
Feature/&RageFeatConditionDescription	Während du in Wut bist, erhältst du folgende Vorteile: Vorteil bei Stärkeproben und Stärkewürfen, einen Bonus von +2 auf Schadenswürfe und Widerstand gegen Hieb-, Stich- und Schnittschaden.
Feature/&RageFeatConditionTitle	Wütende
Feature/&RagePowerDescription	Als Bonusaktion versetzt du dich für eine Minute in einen Wutanfall und erhältst Folgendes: Vorteil bei Stärkeproben und Schutzwürfen auf Stärke, einen Bonus auf Schadenswürfe von +2 und Widerstand gegen Hieb-, Stich- und Schnittschaden.
Feature/&RagePowerTitle	Wut
Feature/&RageStrengthSavingThrowAffinityDescription	In der Wut erhältst du einen Vorteil auf Stärkeproben
Feature/&RageStrengthSavingThrowAffinityTitle	Vorteil bei Stärkewürfen durch Wut
Feature/&RallyingCryPowerDescription	Ersetzt "Zweiter Wind" durch eine Fähigkeit, die einem oder mehreren Verbündeten innerhalb von 6 Feldern 4x Trefferpunkte der Stufe "Kämpfer" bis zu ihrem Trefferpunktmaximum zurückgibt.
Feature/&RallyingCryPowerTitle	Sammelnder Schrei
Feature/&RallyingCryPowerTitleShort	Versammlungsschrei
Feature/&RangerArcanistMagicDescription	Ab der 3. Stufe lernst du einen zusätzlichen Zauber, wenn du bestimmte Stufen in dieser Klasse erreichst. Jeder Zauber zählt für dich als Waldläuferzauber, aber er wird nicht auf die Anzahl der Waldläuferzauber angerechnet, die du kennst. Die Zaubersprüche sind: Stufe 3: Schild, Stufe 5: Nebliger Schritt, Stufe 9: Eile, Stufe 13: Dimensionstor und Stufe 17: Monster festhalten. Außerdem bist du geübt darin, Zauber im Kampf zu wirken, und kannst Zauber, die eine körperliche Komponente erfordern, auch dann wirken, wenn du mit beiden Händen eine Waffe oder einen Schild hältst.
Feature/&RangerArcanistMagicTitle	Waldläufer-Arkanist-Zauberei
Feature/&RangerFeatureSetFoeSlayerDescription	Auf Stufe 20 wirst du zu einem unvergleichlichen Jäger deiner Feinde. Einmal in jeder deiner Runden kannst du deinen Weisheitsmodifikator zum Angriffswurf oder zum Schadenswurf eines Angriffs addieren, den du gegen einen deiner bevorzugten Feinde ausführst.
Feature/&RangerFeatureSetFoeSlayerTitle	Feindentöter
Feature/&RangerFeralSensesDescription	Du erhältst übernatürliche Sinne, die dir helfen, Kreaturen zu bekämpfen, die du nicht sehen kannst. Wenn du eine Kreatur angreifst, die du nicht sehen kannst, hat deine Unfähigkeit, sie zu sehen, keinen Nachteil bei deinen Angriffswürfen gegen sie zur Folge.
Feature/&RangerFeralSensesTitle	Wilde Sinne
Feature/&RangerVanishActionDescription	Ab Stufe 14 kannst du die Aktion Verstecken als Bonusaktion in deinem Zug einsetzen.
Feature/&RangerVanishActionTitle	Verschwinden
Feature/&RepellingBlastMagicAffinityDescription	Wenn du eine Kreatur mit Eldritchblast triffst, kannst du sie bis zu 10 Fuß in einer geraden Linie von dir wegschieben.
Feature/&RepellingBlastMagicAffinityTitle	Abstoßende Explosion
Feature/&RiftWalkerRestrainedImmunityTitle	Flüchtiger Schritt
Feature/&RiftWalkerSpellsMagicAffinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Hexenmeisterzauber erlernst. Die folgenden Zauber werden der Zauberliste des Hexenmeisters für dich hinzugefügt: \n Stufe 1: Sprung, Langläufer \n Stufe 2: Unschärfe, Unbemerktes Gehen \n Stufe 3: Eile, Langsam \n Stufe 4: Bewegungsfreiheit, Größere Unsichtbarkeit \n Stufe 5: Gedankendrehung, Böses und Gutes bannen
Feature/&RiftWalkerSpellsMagicAffinityTitle	Rift Walker-Zauber lernen
Feature/&RoyalEnvoyFeatureDescription	Füge die Hälfte deines Beherrschungsbonus (aufrunden) zu jeder Charisma-Probe hinzu, die du machst und die nicht bereits deinen Beherrschungsbonus nutzt. Außerdem wirst du geübt im Umgang mit Charisma-Schutzwürfen.
Feature/&RoyalEnvoyFeatureTitle	Königlicher Gesandter
Feature/&SavingThrowTinkererProficiencyDescription	Beherrschung von Konstitutions- und Intelligenz-Sicherungswürfen
Feature/&SavingThrowTinkererProficiencyTitle	Beherrschung von Rettungswürfen
Feature/&ScoutModePowerDescription	Du erhältst erhöhte Bewegungsfähigkeit, einen Tarnvorteil und einen Fernkampfangriff, der einmal pro Runde einen zusätzlichen Schadenswürfel verursacht.
Feature/&ScoutModePowerTitle	Späher-Modus
Feature/&SentinelModePowerDescription	Erhält je nach Stufe eine begrenzte Anzahl von TempHP. Verschafft Feinden, die Verbündete angreifen, einen Nachteil.
Feature/&SentinelModePowerTitle	Wächter-Modus
Feature/&ShroudofShadowTitle	Leichentuch des Schattens
Feature/&SignofIllOmenTitle	Zeichen des bösen Omen
Feature/&TempHPShield_09ModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde lang anhält. \nSchützende Kuppel : Gewährt Verbündeten im Umkreis von 10 Fuß vorübergehend 1D8 + 4 HP. \nSelbstzerstörung : Fügt bei einem misslungenen Schutzversuch 3D8 Kraftschaden zu und zerstört die Einheit.
Feature/&TempHPShield_09ModePowerTitle	Schutzkuppel-Konstrukt beschwören
Feature/&TempHPShield_15ModePowerDescription	Ruft ein Konstrukt herbei, das 1 Stunde lang bestehen bleibt. \nSchutzkuppel : Gewährt Verbündeten innerhalb von 10ft 1D8 + 4 temporäre HP. \nSelbstzerstörung : Fügt bei einem misslungenen Schutzversuch 3D8 Kraftschaden zu und zerstört die Einheit. \n Halbschutzkuppel : Bietet Verbündeten im Umkreis von 10 Fuß halbe Deckung.
Feature/&TempHPShield_15ModePowerTitle	Schutzkuppel-Konstrukt beschwören
Feature/&TempHPShieldModePowerDescription	Ruft ein Konstrukt herbei, das 1 Stunde lang hält. \nSchutzkuppel : Gewährt Verbündeten im Umkreis von 10ft 1D8 + 4 temporäre HP.
Feature/&TempHPShieldModePowerTitle	Schutzkuppel-Konstrukt beschwören
Feature/&TempHPShieldTitle	Schützende Kuppel
Feature/&ThiefofFiveFatesTitle	Dieb der fünf Schicksale
Feature/&ThirstingBladeDescription	Du kannst mit deiner Waffe zweimal statt einmal angreifen, wenn du in deinem Zug die Aktion "Angriff" ausführst.
Feature/&ThirstingBladeTitle	Durstige Klinge
Feature/&TinkererArmorProficiencyDescription	Beherrschung von leichten und mittleren Rüstungen sowie Schilden
Feature/&TinkererArmorProficiencyTitle	Tüftler-Rüstungsfertigkeit
Feature/&TinkererSkillGainChoicesPluralDescription	Tinkerer-Fertigkeiten sind Arkana, Geschichte, Untersuchung, Medizin, Natur, Wahrnehmung und Geschicklichkeit
Feature/&TinkererSkillPointsTitle	Tinkerer-Fertigkeiten
Feature/&TinkererToolsExpertiseDescription	Erlangung von Fachkenntnissen in vielen Werkzeugen, einschließlich Diebeswerkzeug, Schriftrollen-Kit, Vergifter-Kit, Kräuterkunde-Kit und Verzauberungswerkzeug
Feature/&TinkererToolsExpertiseTitle	Tinkerer-Werkzeugexpertise
Feature/&TinkererToolsProficiencyDescription	Beherrschung vieler Werkzeuge, darunter Diebeswerkzeug, Schriftrollen, Giftmischerausrüstung, Kräuterkunde und Verzauberungswerkzeuge
Feature/&TinkererToolsProficiencyTitle	Werkzeug-Fähigkeiten
Feature/&TinkererWeaponProficiencyDescription	Beherrschung von einfachen Waffen
Feature/&TinkererWeaponProficiencyTitle	Tüftler-Waffenfertigkeiten
Feature/&ToadKingBasicToxinTitle	Grundlegendes Gift
Feature/&ToadKingExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Hexenmeisterzauber erlernst. Die folgenden Zauber werden der Liste der Hexenmeisterzauber für dich hinzugefügt: \n Stufe 1: Fett, Gift und Krankheit erkennen \n Stufe 2: Säurepfeil, Spinnenklettern \n Stufe 3: Langsam, Stinkende Wolke \n Stufe 4: Schwarze Tentakel, Bewegungsfreiheit \n Stufe 5: Ansteckung, Insektenplage
Feature/&ToadKingExpandedSpelllistAfinityTitle	Krötenkönig-Zauber
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Dein Körper hat sich so verändert, dass er gegen Gifte resistent ist und ein Abwehrgift produziert, wenn er in Nahkampfreichweite angegriffen wird (bis zu PB-mal pro Tag). Wenn der Angreifer einen Con-Save nicht besteht, wird er zu luzinogenem Gift, bis er angegriffen oder anderweitig unterbrochen wird.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Halluzinogenes Toxin
Feature/&ToadKingJumpTitle	Springen
Feature/&ToadKingPoisonConditionAffinityTitle	Immun gegen Giftzustand
Feature/&ToadKingPoisonDamageAffinityTitle	Unempfindlich gegen Giftschaden
Feature/&ToadKingStickyFeetTitle	Gesponnene Füße
Feature/&Trickster'sEscapeTitle	Flucht des Tricksters
Feature/&UrPriestDomainTheftDescription	Du schnappst dir die Geheimnisse, die ein Gott allen seinen frommen Klerikern gewährt. Wähle eine Kleriker-Domäne: Du erhältst die Eigenschaften, die diese Domäne auf Stufe 1 gewährt.
Feature/&UrPriestDomainTheftTitle	Domänendiebstahl
Feature/&UrPriestExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubern, wenn du einen Hexenmeisterzauber erlernst. Klerikerzauber werden der Zauberliste des Hexenmeisters für dich hinzugefügt.
Feature/&UrPriestExpandedSpelllistAfinityTitle	UrPriester-Zauber
Feature/&WallofThornsFeatureSetDescription	Wirke Dornenmauer einmal pro Tag
Feature/&WallofThornsFeatureSetTitle	Waldschranke
Feature/&ZSPowerPaladinCleansingTouchDescription	Entfernt Zaubereffekte durch Berührung eines Verbündeten. Du kannst dies so oft am Tag tun, wie es deinem Charisma-Modifikator entspricht.
Feature/&ZSPowerPaladinCleansingTouchTitle	Reinigende Berührung
Feedback/&AdditionalDamageAgonizing_BlastFormat	Qualvolle Explosion
Feedback/&AdditionalDamageAgonizing_BlastLine	Wenn du einen Zauber mit Kraftschaden (Eldritchblast) wirkst, addiere deinen Charisma-Modifikator zu dem Schaden, den er bei einem Treffer verursacht.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Zusätzlicher Schaden durch Angriffe mit magischer Kraft
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Zusätzlicher Schaden durch Angriffe mit magischer Kraft
Feedback/&AdditionalDamageArcaneFirearmFormat	Sprengungsverstärkung!
Feedback/&AdditionalDamageArcaneFirearmLine	Zusätzlicher Schaden durch Sprengungsverstärkung
Feedback/&AdditionalDamageArcanistMarkFormat	Zeichen des Arkanisten!
Feedback/&AdditionalDamageArcanistMarkLine	Das Mal des Arkanisten detoniert und fügt dem Ziel zusätzlichen Schaden zu!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Beleuchtender Schlag!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Illuminating Strike" fügt dem Ziel zusätzlichen Schaden zu!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Blendende Waffe
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Zusätzlicher Schaden und der Versuch, Blindheit von Blinding Weapon anzuwenden.
Feedback/&AdditionalDamageElementalDamageFormat	Elementarer Schaden
Feedback/&AdditionalDamageElementalDamageLine	Elementare Form gewährt zusätzlichen Schaden
Feedback/&AdditionalDamagePactMarkedFormat	Paktzeichen!
Feedback/&AdditionalDamagePactMarkedLine	Paktzeichen verursacht zusätzlichen Schaden!
Feedback/&AdditionalDamagePactSoulTakerFormat	Seelentöter!
Feedback/&AdditionalDamagePactSoulTakerLine	Seelentöter verursacht zusätzlichen Schaden!
Feedback/&AdditionalDamagePugilistFormat	Faustkämpfer
Feedback/&AdditionalDamagePugilistLine	Zusätzlicher unbewaffneter Schaden von Pugilist
Feedback/&AdditionalDamageSoulEmpoweredFormat	Seelenkräftig!
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered verursacht zusätzlichen Schaden!
Feedback/&AdditionalDamageUpgradedConstructFormat	Aufgewerteter Schaden
Feedback/&AdditionalDamageUpgradedConstructLine	Das aufgewertete Konstrukt verursacht 1D8 mehr Schaden pro Treffer
Feedback/&ExtraDamageDescription	Zusätzlicher Schaden durch Blitzspeer
Feedback/&ExtraDamageTitle	Zusätzlicher Schaden durch Blitzspeer
Feedback/&LightningSpearAdditionalDamageDescription	Blitzschaden 1D6 extra einmal pro Runde
Feedback/&LightningSpearAdditionalDamageTitle	Blitzspeer-Extra-Schaden
FightingStyle/&BlindFightingDescription	Du hast eine Blindheitssicht mit einer Reichweite von 10 Fuß.
FightingStyle/&BlindFightingTitle	Blindes Kämpfen
FightingStyle/&PugilistFightingDescription	Solange du völlig unbewaffnet bist, verursachen deine unbewaffneten Schläge zusätzlich d8 Schaden und du kannst mit deiner Unterhand als Bonusaktion zuschlagen.
FightingStyle/&PugilistFightingTitle	Faustkämpfer
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Wähle 2 Fertigkeitsprofile
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Fertigkeiten
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Wähle 3 Fertigkeitsprofile
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Fertigkeiten
FlexibleBackgrounds/&BackgroundToolSelectDescription	Wähle eine Werkzeugbeherrschung
FlexibleBackgrounds/&BackgroundToolSelectTitle	Werkzeug
FlexibleRaces/&PointPoolAbilityScore3Description	Verwende drei Steigerungen auf Fähigkeitswertungen in einer beliebigen Kombination deiner Wahl.
FlexibleRaces/&PointPoolAbilityScore3Title	Erhöhung der Fähigkeitspunkte
FlexibleRaces/&PointPoolAbilityScore4Description	Verwende vier Verstärkungen auf Fähigkeitswertungen in einer beliebigen Kombination deiner Wahl.
FlexibleRaces/&PointPoolAbilityScore4Title	Erhöhung der Fähigkeitspunkte
Format/&LevelAndExperienceFormat	Stufe: {0}\nErfahrung: {1}\n{2} Punkte erforderlich, um Stufe {3} zu erreichen
Format/&LevelAndExperienceMaxedFormat	Stufe: {0}\nErfahrung: {1}\nMaximal erreichte Stufe.
Item/&ForceArtilleryProjectileDescription	ForceArtilleryProjectile
Item/&ForceArtilleryProjectileTitle	KraftArtillerieGeschoss
Language/&GnomishDescription	Eine alte solastanische Sprache, die von Gnomen bewahrt wird, die in den tiefen Wäldern von Solasta leben, und die den Kataklysmus überlebt hat.
Language/&GnomishTitle	Gnomisch
MainMenu/&ExportPdfDescription	Diesen Helden herabstufen
MainMenu/&ExportPdfTitle	Herabstufen
Message/&CharacterExportDuplicateNameErrorDescription	Export abgebrochen:\n\nEin Held mit diesem Namen existiert bereits im Pool.\nBitte versuche einen anderen Namen.
Message/&CharacterExportEmptyNameErrorDescription	Export abgebrochen:\n\nBitte versuche es mit einem nicht leeren Namen.
Message/&CharacterExportModalContentDescription	Geben Sie den zu exportierenden Heldennamen ein:
Message/&CharacterExportModalTitleDescription	Charakter-Export
Message/&LevelDownConfirmationDescription	Diesen Helden herabstufen?
Message/&MessageModWelcomeDescription	Die Community Expansion Mod ist vollgepackt mit aufregenden Funktionen, aber standardmäßig ist keine davon aktiviert. Drücke <color=yellow>Strg-F10</color>, um die Unity Mod Manager UI [UMM] zu öffnen, und klicke dann auf das Einstellungssymbol neben 'Community Expansion', um die Einstellungsseiten zu öffnen.\n\n Erkunde die Optionen und wähle die, die dir gefallen. Die UMM-Benutzeroberfläche wird nun geöffnet.
Message/&MessageModWelcomeTitle	Gemeinschaftserweiterung Mod
Message/&SpawnCustomEncounterDescription	Begegnung an den Koordinaten ({0}, {1}) spawnen?
Message/&SpawnCustomEncounterTitle	Begegnungen
Message/&TeleportPartyDescription	Gruppe zu den Koordinaten ({0}, {1}) teleportieren?\nSie könnten Quests oder Karten zerstören, wenn Sie an einen unentdeckten Ort teleportieren
Message/&TeleportPartyTitle	Teleportieren
Modifier/&DisorientDescription	-1d6 auf Angriffswürfe
Modifier/&DisorientTitle	Desorientiert
Modifier/&RuinedDescription	-3 auf Rüstungsklasse
Modifier/&RuinedTitle	Ruiniert
Monster/&DH_Custom_AirTitan_Description	Wenn sie beschworen werden, manifestieren sich diese älteren Elementare als Wesen mit apokalyptischen Fähigkeiten, Wesen, deren bloße Existenz Zerstörung verspricht.
Monster/&DH_Custom_AirTitan_Title	<color=#ff0000ff>Primordial Air Titan</color>
Monster/&DH_Custom_AncientBlackDragon_Description	Die bösartigsten und abscheulichsten der farbigen Drachen sammeln die Trümmer und Schätze der gefallenen Völker. Diese Drachen verabscheuen es, wenn die Schwachen gedeihen und erfreuen sich am Zusammenbruch humanoider Königreiche. Sie hausen in fauligen Sümpfen und zerfallenen Ruinen, wo einst Königreiche standen.
Monster/&DH_Custom_AncientBlackDragon_Title	<color=#ff0000ff>Altschwarzer Drache</color>
Monster/&DH_Custom_AncientBlueDragon_Description	Die eitlen und territorialen blauen Drachen schweben durch die Lüfte über den Wüsten, machen Jagd auf Karawanen und plündern Herden und Siedlungen in den grünen Ländern jenseits der Wüste. Diese Drachen sind auch in trockenen Steppen, sengenden Badlands und felsigen Küsten zu finden. Sie bewachen ihr Territorium gegen alle potenziellen Konkurrenten, insbesondere gegen Messingdrachen.
Monster/&DH_Custom_AncientBlueDragon_Title	<color=#ff0000ff>Altblauer Drache</color>
Monster/&DH_Custom_AncientGreenDragon_Description	Grüne Drachen sind die gerissensten und heimtückischsten unter den echten Drachen und nutzen Irreführung und Tricks, um die Oberhand über ihre Feinde zu gewinnen. Sie sind übel gelaunt und durch und durch böse und haben ein besonderes Vergnügen daran, die Gutmütigen zu unterwandern und zu verderben. In den uralten Wäldern, die sie durchstreifen, legen grüne Drachen eine Aggressivität an den Tag, bei der es oft weniger um das Territorium als vielmehr darum geht, mit möglichst wenig Aufwand Macht und Reichtum zu erlangen.
Monster/&DH_Custom_AncientGreenDragon_Title	<color=#ff0000ff>Uralter Grüner Drache</color>
Monster/&DH_Custom_AncientRedDragon_Description	Rote Drachen sind die begehrlichsten unter den echten Drachen und versuchen unermüdlich, ihre Schatzkammern zu vergrößern. Sie sind außergewöhnlich eitel, selbst für Drachen, und ihre Einbildung spiegelt sich in ihrem stolzen Auftreten und ihrer Verachtung für andere Kreaturen wider.
Monster/&DH_Custom_AncientRedDragon_Title	<color=#ff0000ff>Alter Roter Drache</color>
Monster/&DH_Custom_AncientWhiteDragon_Description	Weiße Drachen sind die kleinsten, am wenigsten intelligenten und animalischsten der Farbdrachen. Sie leben in kalten Gegenden und bevorzugen arktische Gebiete oder eisige Berge. Sie sind bösartige, grausame Reptilien, die von Hunger und Gier getrieben werden.
Monster/&DH_Custom_AncientWhiteDragon_Title	<color=#ff0000ff>Alter Weißer Drache</color>
Monster/&DH_Custom_Archmage_Description	Erzmagier sind mächtige (und meist recht alte) Zauberwirker, die sich dem Studium der arkanen Künste widmen. Wohlwollende Magier beraten Könige und Königinnen, während böse Magier als Tyrannen herrschen und das Lichdom anstreben. Diejenigen, die weder gut noch böse sind, ziehen sich in abgelegene Türme zurück, um ihre Magie ungestört auszuüben.
Monster/&DH_Custom_Archmage_Title	<color=#ff0000ff>Archmage</color>
Monster/&DH_Custom_Balor_Description	Als Figuren des uralten und schrecklichen Bösen herrschen Balors als Generäle über dämonische Armeen und sehnen sich danach, die Macht an sich zu reißen und alle Kreaturen zu vernichten, die sich ihnen widersetzen.
Monster/&DH_Custom_Balor_Title	<color=#ff0000ff>Balor</color>
Monster/&DH_Custom_ConstructTitan_Description	Massive Konstrukte, die für den Krieg gebaut und aus schwerem Metall gefertigt wurden. Ein unaufhaltsamer Moloch, der die Befehle seines Schöpfers befolgt und ihn beschützt oder angreift, wie sein Schöpfer es verlangt.
Monster/&DH_Custom_ConstructTitan_Title	<color=#ff0000ff>Mechanisches Konstrukt Titan</color>
Monster/&DH_Custom_Deva_Description	Devas sind Engel, die als göttliche Boten oder Agenten auf der materiellen Ebene agieren,
Monster/&DH_Custom_Deva_Title	<color=#ff0000ff>Deva</color>
Monster/&DH_Custom_Djinni_Description	Die stolzen Dschinns sind Meister der Luft und reiten auf mächtigen Wirbelstürmen, die sie nach Lust und Laune erschaffen und lenken, und die sogar Passagiere befördern können.
Monster/&DH_Custom_Djinni_Title	<color=#ff0000ff>Djinni</color>
Monster/&DH_Custom_EarthTitan_Description	Wenn sie beschworen werden, manifestieren sich diese älteren Elementare als Wesen mit apokalyptischen Fähigkeiten, Wesen, deren bloße Existenz Zerstörung verspricht.
Monster/&DH_Custom_EarthTitan_Title	<color=#ff0000ff>Primordial Earth Titan</color>
Monster/&DH_Custom_Efreeti_Description	Diese gewaltigen Genies der Feuerelementarebene sind Meister der Flamme, immun gegen Feuer und in der Lage, es aus einer Laune heraus zu erschaffen.
Monster/&DH_Custom_Efreeti_Title	<color=#ff0000ff>Efreeti</color>
Monster/&DH_Custom_Erinyes_Description	Die Erinyes sind wilde und disziplinierte Krieger. Sie fegen vom Himmel herab und bringen Kreaturen, die ihren Herren Unrecht getan haben, den schnellen Tod.
Monster/&DH_Custom_Erinyes_Title	<color=#ff0000ff>Erinyes</color>
Monster/&DH_Custom_FireTitan_Description	Wenn sie beschworen werden, manifestieren sich diese älteren Elementare als Wesen mit apokalyptischen Fähigkeiten, Wesen, deren bloße Existenz Zerstörung verspricht.
Monster/&DH_Custom_FireTitan_Title	<color=#ff0000ff>Primordialer Feuer-Titan</color>
Monster/&DH_Custom_GuardianNaga_Description	Die schönen Wächter-Nagas sind weise und gut und schützen heilige Orte und Gegenstände mit magischer Kraft davor, in böse Hände zu fallen. In ihren versteckten Verstecken erforschen sie Zaubersprüche und hecken verworrene Pläne aus, um die bösen Pläne ihrer Feinde zu vereiteln.
Monster/&DH_Custom_GuardianNaga_Title	<color=#ff0000ff>Wächter-Naga</color>
Monster/&DH_Custom_HornedDevil_Description	Die fliegende Infanterie der höllischen Legionen, gehörnte Teufel, die Befehle buchstabengetreu ausführen.
Monster/&DH_Custom_HornedDevil_Title	<color=#ff0000ff>Gehörnter Teufel</color>
Monster/&DH_Custom_IceDevil_Description	Die Eisteufel, die die Macht ihrer Vorgesetzten, der Grubengeister, begehren, arbeiten unaufhörlich an ihrer Beförderung, schlachten die Feinde der Neun Höllen ab und holen sich so viele Seelen wie möglich für ihre erzteuflischen Meister.
Monster/&DH_Custom_IceDevil_Title	<color=#ff0000ff>Eisteufel</color>
Monster/&DH_Custom_Lich_Description	Liches sind die Überreste großer Zauberer, die den Untod als Mittel zu ihrer eigenen Erhaltung nutzen. Sie fördern ihre eigene Macht um jeden Preis und haben kein Interesse an den Angelegenheiten der Lebenden, es sei denn, diese Angelegenheiten kommen ihren eigenen in die Quere. Intrigant und wahnsinnig, hungern sie nach längst vergessenem Wissen und den schrecklichsten Geheimnissen.
Monster/&DH_Custom_Lich_Title	<color=#ff0000ff>Lich</color>
Monster/&DH_Custom_Nalfeshnee_Description	Der Nalfeshnee ist einer der groteskesten Dämonen - eine korpulente Mischung aus Affe und Wildschwein, doppelt so groß wie ein Mensch, mit gefiederten Flügeln, die zu klein für seinen aufgeblähten Körper scheinen. Hinter diesen brutalen Zügen verbirgt sich eine bemerkenswerte Intelligenz und Gerissenheit.
Monster/&DH_Custom_Nalfeshnee_Title	<color=#ff0000ff>Nalfeshnee</color>
Monster/&DH_Custom_PitFiend_Description	Als unbestrittene Herren der meisten anderen Teufel dienen die Grubengeister den Erzherzögen und Erzherzoginnen der Neun Höllen und führen ihre Wünsche aus. Diese mächtigen Teufel sind die Generäle der Neun Höllen und führen ihre höllischen Legionen in die Schlacht.
Monster/&DH_Custom_PitFiend_Title	<color=#ff0000ff>Grubengeister</color>
Monster/&DH_Custom_Planetar_Description	Planetare sind die Waffen der Götter, denen sie dienen, und stellen eine greifbare Darstellung der Macht ihrer Gottheiten dar.
Monster/&DH_Custom_Planetar_Title	<color=#ff0000ff>Planetar</color>
Monster/&DH_Custom_Roc_Description	Roks sind Einzelgänger, die Jahrhunderte lang leben können. Sie verstecken sich in Nestern aus Bäumen, Zelten, zerbrochenen Schiffen und den Überresten von Karawanen, die sie erbeutet haben, und platzieren diese massiven Gebilde in Bergspalten außerhalb der Reichweite kleinerer Kreaturen.
Monster/&DH_Custom_Roc_Title	<color=#ff0000ff>Roc</color>
Monster/&DH_Custom_Solar_Description	Auf dem Schlachtfeld fliegt das Schwert des Solars von selbst ins Gefecht, und ein einziger Pfeil aus dem Bogen eines Solars kann ein Ziel bei Kontakt totschlagen. Die himmlische Macht eines Solars ist so groß, dass selbst Dämonenfürsten vor seinen klangvollen Befehlen zurückschrecken.
Monster/&DH_Custom_Solar_Title	<color=#ff0000ff>Solar</color>
Monster/&DH_Custom_StormGiant_Description	Sturmriesen sind kontemplative Seher, die an Orten leben, die weit von der sterblichen Zivilisation entfernt sind. Die meisten von ihnen haben blasse purpurgraue Haut und Haare und glitzernde smaragdgrüne Augen.
Monster/&DH_Custom_StormGiant_Title	<color=#ff0000ff>Sturmriese</color>
Monster/&DH_Custom_Tarrasque_Description	Die legendäre Tarraske ist möglicherweise das gefürchtetste Monster der materiellen Ebene. Es wird allgemein angenommen, dass es nur eine dieser Kreaturen gibt, obwohl niemand vorhersagen kann, wo und wann sie zuschlagen wird. Die Tarrasque ist ein schuppiger Zweibeiner, der fünfzig Fuß hoch und siebzig Fuß lang ist und Hunderte von Tonnen wiegt.
Monster/&DH_Custom_Tarrasque_Title	<color=#ff0000ff>Tarraske</color>
Monster/&DH_Custom_Vampire_Description	Wenn sie in einer endlosen Nacht erwachen, hungern Vampire nach dem Leben, das sie verloren haben, und stillen diesen Hunger, indem sie das Blut der Lebenden trinken. Vampire verabscheuen das Sonnenlicht, denn dessen Berührung verbrennt sie. Sie werfen weder Schatten noch Spiegelungen, und jeder Vampir, der sich unbemerkt unter den Lebenden bewegen will, hält sich in der Dunkelheit und fern von reflektierenden Oberflächen.
Monster/&DH_Custom_Vampire_Title	<color=#ff0000ff>Vampir</color>
Monster/&DHCustomCouatlDescription	Couatls sind wohlwollende, schlangenartige Wesen von großem Intellekt und Einsicht. Ihre leuchtend farbigen Flügel und ihr sanftes Wesen sprechen für ihre himmlische Herkunft.
Monster/&DHCustomCouatlTitle	Kouatl
Monster/&OwlFamiliarDescription	Eule vertraut
Monster/&OwlFamiliarTitle	Eule
