ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells
Feature/&ElementalPatronElementalFormEnhancedFormatTitle	Channeling {0}
Feature/&ElementalPatronElementalFormFormatDescription	When channeling the {0}, you gain Resistance to {1} damage and apply Proficiency Bonus as damage of the same type to first hit each round. 
Feature/&ElementalPatronElementalFormFormatTitle	{0}
Feature/&ElementalPatronFeatureSet_Level01Description	<size=17><color=#add8e6ff>Elementalist Spells</color></size>\nLevel 1: Fog Cloud, Thunderwave\nLevel 2: Spike Growth, Scorching Ray\nLevel 3: Lightning Bolt, Fireball \nLevel 4: Stoneskin, Icestorm\nLevel 5: Cone of Cold, Flame Strike\n\n<size=17><color=#add8e6ff>Elemental Forms</color></size>\nYou can switch between elemental forms a number of times (equal to your Proficiency Bonus) per day by channeling elemental energy. You gain resistance to the relevant damage and once per turn, apply damage of the same type to your attacks. The forms last for 1 minute
Feature/&ElementalPatronFeatureSet_Level01Title	Elementalist
Feature/&ElementalPatronFeatureSet_Level06Description	<size=17><color=#add8e6ff>Elemental Knowledge</color></size>\nYou knowledge of elementals has increased to the point that you now gain advantage on ability checks towards elementals, and deal additional damage against elementals equal to your knowledge level. You can no longer be charmed or frightened by elementals
Feature/&ElementalPatronFeatureSet_Level06Title	Elementalist
Feature/&ElementalPatronFeatureSet_Level10Description	<size=17><color=#add8e6ff>Enhanced Elemental Forms</color></size>\nYour elemental forms now grant damage immunity when active
Feature/&ElementalPatronFeatureSet_Level10Title	Elementalist
Feature/&EyesoftheRuneKeeperDescription	You can read all writing
Feature/&EyesoftheRuneKeeperTitle	Eyes of the RuneKeeper
Feature/&FiendishVigorTitle	Fiendish Vigor
Feature/&FlameArtillery_09ModePowerDescription	Summons a construct that lasts 1 hour. \nFlame Artillery: Creates a cone of fire that deals 3D8 damage on a failed save. \nSelf-Destruct: deals 3D8 force damage on a failed save and destroys the unit
Feature/&FlameArtillery_09ModePowerTitle	Summon Flame Artillery Construct
Feature/&FlameArtillery_15ModePowerDescription	Summons a construct that lasts 1 hour. \nFlame Artillery: Creates a cone of fire that deals 3D8 damage on a failed save. \nSelf-Destruct: deals 3D8 force damage on a failed save and destroys the unit. \n Half Cover Dome: provides half cover to allies within 10ft
Feature/&FlameArtillery_15ModePowerTitle	Summon Flame Artillery Construct
Feature/&FlameArtilleryModePowerDescription	Summons a construct that lasts 1 hour. \nFlame Artillery: Creates a cone of fire that deals 2D8 damage on a failed save
Feature/&FlameArtilleryModePowerTitle	Summon Flame Artillery Construct
Feature/&ForceArtillery_09ModePowerDescription	Summons a construct that lasts 1 hour. \nForce Artillery: Deals 3D8 force damage and pushs enemy 5ft away. \nSelf-Destruct: deals 3D8 force damage on a failed save and destroys the unit
Feature/&ForceArtillery_09ModePowerTitle	Summon Force Artillery Construct
Feature/&ForceArtillery_15ModePowerDescription	Summons a construct that lasts 1 hour. \nForce Artillery: Deals 3D8 force damage and pushs enemy 5ft away. \nSelf-Destruct: deals 3D8 force damage on a failed save and destroys the unit. \n Half Cover Dome: provides half cover to allies within 10ft
Feature/&ForceArtillery_15ModePowerTitle	Summon Force Artillery Construct
Feature/&ForceArtilleryAdditionalDamageTitle	Upgraded damage
Feature/&ForceArtilleryModePowerDescription	Summons a construct that lasts 1 hour. \nForce Artillery: Deals 2D8 force damage and pushs target 5ft away
Feature/&ForceArtilleryModePowerTitle	Summon Force Artillery Construct
Feature/&ForceArtilleryTitle	Force Artillery
Feature/&GambitResourcePoolAddDescription	Adds an additional gambit die
Feature/&GambitResourcePoolAddTitle	Additional Gambit die.
Feature/&GambitResourcePoolDescription	Pool of gambit dice that can be spent on gambits. Starts with 4 they recharge on short rest
Feature/&GambitResourcePoolTitle	Gambit dice pool.
Feature/&GiftoftheEverLivingOnesDescription	Regains the maximum number of hit points possible from any healing
Feature/&GiftoftheEverLivingOnesTitle	Gift of the Ever-Living Ones
Feature/&GiftoftheProtectorsDescription	Whenyou are reduced to 0 hit points but not killed outright, the creature magically drops to 1 hit point instead. Once this magic is triggered, you cant benefit from it until you finish a long rest
Feature/&GiftoftheProtectorsTitle	Gift of the Protectors
Feature/&GnomeCunningFeatureDescription	You have advantage on all Intelligence, Wisdom, and Charisma saves against magic
Feature/&GnomeCunningFeatureTitle	Cunning
Feature/&GnomeNaturalIllusionistDescription	You know the Annoying Bee cantrip. Intelligence is your spellcasting modifier for it
Feature/&GnomeNaturalIllusionistTitle	Natural Magic
Feature/&HerbalBrewDescription	When you finish a long rest, you can create herbal brews, each of which lasts until the next long rest. You create a total of brews equal to your proficiency bonus. For each brew, choose one of the following effects: \n<color=#add8e6ff>Fortifying Brew</color>: grants resistance to different damage types for 1 hour.\n<color=#add8e6ff>Quickening Brew</color>: provides 2d4 hit points.\n<color=#add8e6ff>Toxifying Brew</color>: acts as poison that can be applied to a weapon that lasts for 1 minute. If the hit lands the target takes 1d4 poison damage on each hit
Feature/&HerbalBrewFeatureSetDescription	You gain proficiency with either the poisoner kit or herbalism kits if you don't already have it. \nWhen you finish a long rest, you can create herbal brews, each of which lasts until the next long rest. You create a total of brews equal to your proficiency bonus. For each brew, choose one of the following effects: \n<color=#add8e6ff>Fortifying Brew</color>: grants resistance to different damage types for 1 hour.\n<color=#add8e6ff>Quickening Brew</color>: provides 2d4 hit points.\n<color=#add8e6ff>Toxifying Brew</color>: acts as poison that can be applied to a weapon that lasts for 1 minute. If the hit lands the target takes 1d4 poison damage on each hit
Feature/&HerbalBrewFeatureSetTitle	Herbal Brewing
Feature/&HinderingBlastDescription	When you hit a creature with your eldritch blast, you can reduce that creature's speed by 10 feet until the end of your next turn
Feature/&HinderingBlastMagicAffinityDescription	when you hit a creature with your eldritch blast, you can reduce that creature's speed by 10 feet until the end of your next turn
Feature/&HinderingBlastMagicAffinityTitle	Hindering Blast
Feature/&HinderingBlastTitle	Hindering Blast
Feature/&ImprovedPactWeaponDescription	You can use any weapon as a spellcasting focus for your warlock spells. In addition, the weapon gains a +1 bonus to its attack and damage rolls
Feature/&ImprovedPactWeaponTitle	Improved Pact Weapon
Feature/&ImprovedScoutModePowerDescription	Gain Improved Scout Mode features. Can now create advantage for allies and disadvantage for enemies with a single attack
Feature/&ImprovedScoutModePowerTitle	Improved Scout Mode
Feature/&ImprovedSentinelModePowerDescription	Gain Improved Sentinel Mode features via the Gauntlet Grapple power
Feature/&ImprovedSentinelModePowerTitle	Improved Sentinel Mode
Feature/&IndomitableResistanceAddDescription	+1 Indomitable Resistance use between rests
Feature/&IndomitableResistanceAddTitle	Indomitable Resistance (increased)
Feature/&IndomitableResistanceTitle	Indomitable Resistance
Feature/&InspirePowerDescription	Spend a gambit die and inspire yourself or your ally to give 1d6+2 temp hp
Feature/&InspirePowerTitle	Inspire
Feature/&InspiringSurgePowerDescription	Grant an ally an additional main action for 1 round. Does not stack with Action Surge
Feature/&InspiringSurgePowerTitle	Inspiring Surge
Feature/&InspiringSurgePowerTitleShort	Inspiring Surge
Feature/&KnockDownPowerDescription	Spend a gambit die and empower your attack to do an additional 1d6+2 bludgeoning damage and knock them down until the start of their next turn if they fail a Strength save vs. 8 + your Strength + proficiency
Feature/&KnockDownPowerTitle	Knock down
Feature/&KSRogueSubclassThugBrutalMethodsDescription	You can shove as a bonus action
Feature/&KSRogueSubclassThugBrutalMethodsTitle	Brutal Methods
Feature/&KSRogueSubclassThugExploitVulnerabilitiesSneakAttackDescription	You are able to use Sneak Attack with any kind of melee weapon, not restricted to finesse weapons.\n1d6 extra damage (+1d6 every 2 levels) to one creature you hit with the advantage, once per turn. No need for advantage if an active ally is next to the target
Feature/&KSRogueSubclassThugExploitVulnerabilitiesSneakAttackTitle	Polyvalent Sneak Attack
Feature/&KSRogueSubclassThugOvercomeCompetitionDescription	You have advantage on your Athletics (Strength) checks
Feature/&KSRogueSubclassThugOvercomeCompetitionTitle	Overcome Competition
Feature/&KSRogueSubclassThugProficienciesDescription	Proficient with medium armors and shields
Feature/&KSRogueSubclassThugProficienciesTitle	Heavy Gear
Feature/&MiretheMindTitle	Mire the Mind
Feature/&MoonLitDarknessImmunityDescription	You are Immune to the Darkness condition
Feature/&MoonLitDarknessImmunityTitle	MoonLit Darkness
Feature/&MoonLitExpandedSpelllistAfinityDescription	You choose from an expanded list of spells when you learn a warlock spell. The following spells are added to the warlock spell list for you: \n Level 1: Faerie Fire, Sleep \n Level 2: Moon Beam, See Invisibility \n Level 3: Daylight, Hypnotic Pattern \n Level 4: Greater Invisibility, Dominate Beast \n Level 5: Dominate Person, Flame Strike
Feature/&MoonLitExpandedSpelllistAfinityTitle	MoonLit Spells
Feature/&MoonLitLightAffinityDescription	If you start your turn in natural darkness you gain invisibility. Moving, attacking or using any power or spell that isn't teleport or self-buff breaks invisibility
Feature/&MoonLitLightAffinityStrongDescription	Umbral Cloak now works in dim light and magical darkness
Feature/&MoonLitLightAffinityStrongTitle	Improved Umbral Cloak
Feature/&MoonLitLightAffinityTitle	Umbral Cloak
Feature/&OneWithShadowsDescription	If you start your turn in natural darkness you gain invisibility. Moving, attacking or using any power or spell that isn't teleport or self-buff breaks invisibility
Feature/&OneWithShadowsLightAffinityDescription	If you start your turn in natural darkness you gain invisibility. Moving, atacking or using any power or spell that isn't teleport or self-buff breaks invisibility
Feature/&OneWithShadowsLightAffinityStrongDescription	One With Shadows now works in dim light and magical darkness
Feature/&OneWithShadowsLightAffinityStrongTitle	Darker Shadows
Feature/&OneWithShadowsLightAffinityTitle	One With Shadows
Feature/&OneWithShadowsStrongerDescription	One With Shadows now works in dim light and magical darkness
Feature/&OneWithShadowsStrongerTitle	Darker Shadows
Feature/&OneWithShadowsTitle	One With Shadows
Feature/&OpportunistDebilitatingStrikeDescription	Your sneak attack cause one of following conditions (Blinded/Bane/Bleeding/Stuned) to enemies if they fail a CON save vs 8 + your Dexerity + your proficiency
Feature/&OpportunistDebilitatingStrikeTitle	Debilitating Strike
Feature/&OpportunistQuickStrikeDescription	You have advatange when attack an enemies whose initiative is lower than yours. In addition you also have advatange when perform an attack of opportunity
Feature/&OpportunistQuickStrikeTitle	Quick Strike
Feature/&OtherworldlyLeapTitle	Otherworldly Leap
Feature/&OtherworldlyLeapTitle	Otherworldly Leap
Feature/&PowerAttackAttackModifierDescription	Take a -{0} to hit penalty to your attack for the rest of the turn to do +{0} damage when you land your strikes. Only to be used when attacking with a one handed non-light weapon, melee or ranged
Feature/&PowerAttackAttackModifierTitle	One handed power attack
Feature/&PowerAttackConditionDescription	Take a -{0} to hit penalty to your attack for the rest of the turn to do +{0} damage when you land your strikes. Only to be used when attacking with a one handed non-light weapon, melee or ranged
Feature/&PowerAttackConditionTitle	One handed power attack
Feature/&PowerAttackPowerDescription	Take a -{0} to hit penalty to your attack for the rest of the turn to do +{0} damage when you land your strikes. Only to be used when attacking with a one handed non-light weapon, melee or ranged
Feature/&PowerAttackPowerTitle	One handed power attack
Feature/&PowerAttackTwoHandedAttackModifierDescription	Take a -{0} to hit penalty to your attack for the rest of the turn to do +{1} damage when you land your strikes. Only to be used when attacking with two hands, melee or ranged
Feature/&PowerAttackTwoHandedAttackModifierTitle	Two Handed power attack
Feature/&PowerAttackTwoHandedConditionDescription	Take a -{0} to hit penalty to your attack for the rest of the turn to do +{1} damage when you land your strikes. Only to be used when attacking with two hands, melee or ranged
Feature/&PowerAttackTwoHandedConditionTitle	Two Handed power attack
Feature/&PowerAttackTwoHandedPowerDescription	Take a -{0} to hit penalty to your attack for the rest of the turn to do +{1} damage when you land your strikes. Only to be used when attacking with two hands, melee or ranged
Feature/&PowerAttackTwoHandedPowerTitle	Two Handed power attack
Feature/&PowerPaladinAuraOfCourage18Description	Grant a saving throw bonus to allies withing 30ft
Feature/&PowerPaladinAuraOfCourage18Title	Improved Aura of Courage
Feature/&PowerPaladinAuraOfProtection18Description	You and your allies within 30ft cannot be frightened
Feature/&PowerPaladinAuraOfProtection18Title	Improved Aura of Protection
Feature/&PowerTorchbearerDescription	Attempt to set a melee target on fire!
Feature/&PowerTorchbearerTitle	Torchbearer
Feature/&PrimalChampionDescription	At 20th level, you embody the power of the wilds. Your Strength and Constitution scores increase by 4
Feature/&PrimalChampionTitle	Primal Champion
Feature/&ProficiencyBolgrifLanguagesDescription	Common, Elvish and Giant
Feature/&ProficiencyBolgrifLanguagesTitle	Language
Feature/&ProficiencyGnomishLanguagesDescription	Common, Gnomish
Feature/&ProficiencyGnomishLanguagesTitle	Languages
Feature/&ProficiencyRogueBlindSenseDescription	Starting at 14th level, if you are able to hear, you are aware of the location of any hidden or invisible creature within 10 feet of you
Feature/&ProficiencyRogueBlindSenseTitle	Blindsense
Feature/&ProficiencyRogueSlipperyMindDescription	By 15th level, you have acquired greater mental strength. You gain proficiency in Wisdom saving throws
Feature/&ProficiencyRogueSlipperyMindTitle	Slippery Mind
Feature/&ProficiencySoulBladeArmorDescription	Light Armor, Medium Armor and Shield
Feature/&ProficiencySoulBladeArmorTitle	Soulblade Armor Proficiencies
Feature/&ProficiencySoulBladeWeaponDescription	Simple Weapons, Martial Weapons
Feature/&ProficiencySoulBladeWeaponTitle	Soulblade Weapon Proficiencies
Feature/&RageDamageBonusAttackModifierDescription	Add +2 damage to your attacks while raging
Feature/&RageDamageBonusAttackModifierTitle	Rage damage
Feature/&RageFeatConditionDescription	While in a rage you gain the following: Advantage on Strength checks and Strength saving throws, a bonus to damage rolls of +2, and resistance to bludgeoning, piercing, and slashing damage
Feature/&RageFeatConditionTitle	Raging
Feature/&RagePowerDescription	As a bonus action you enter a rage for one minute and gain the following: Advantage on Strength checks and Strength saving throws, a bonus to damage rolls of +2, and resistance to bludgeoning, piercing, and slashing damage
Feature/&RagePowerTitle	Rage
Feature/&RageStrengthSavingThrowAffinityDescription	You get advantage on strength saves while raging
Feature/&RageStrengthSavingThrowAffinityTitle	Rage strength save advantage
Feature/&RallyingCryPowerDescription	Replaces Second Wind with a power to restore 4x Fighter Levels hit points to one or more allies within 6 cells, up to their hit point maximum
Feature/&RallyingCryPowerTitle	Rallying Cry
Feature/&RallyingCryPowerTitleShort	Rallying Cry
Feature/&RangerArcanistMagicDescription	Starting at 3rd level, you learn an additional spell when you reach certain levels in this class. Each spell counts as a ranger spell for you, but it doesn't count against the number of ranger spells you know. The spells are: Level 3: Shield, Level 5: Misty Step, Level 9: Haste, Level 13: Dimension Door, and Level 17: Hold Monster. Additionally, you are proficient at casting spells in battle, and may cast spells that require a somatic component even if both of your hands are holding a weapon or shield
Feature/&RangerArcanistMagicTitle	Ranger Arcanist Spellcasting
Feature/&RangerFeralSensesDescription	You gain preternatural senses that help you fight creatures you can’t see. When you attack a creature you can’t see, your inability to see it doesn’t impose disadvantage on your attack rolls against it
Feature/&RangerFeralSensesTitle	Feral Senses
Feature/&RangerVanishActionDescription	Starting at 14th level, you can use the Hide action as a bonus action on your turn
Feature/&RangerVanishActionTitle	Vanish
Feature/&RiftWalkerRestrainedImmunityTitle	Fleeting Step
Feature/&RiftWalkerSpellsMagicAffinityDescription	You choose from an expanded list of spells when you learn a warlock spell. The following spells are added to the warlock spell list for you: \n Level 1: Jump, Longstrider \n Level 2: Blur, Pass Without Trace \n Level 3: Haste, Slow \n Level 4: Freedom Of Movement, Greater Invisibility \n Level 5: Mind Twist, Dispel Evil And Good
Feature/&RiftWalkerSpellsMagicAffinityTitle	Rift Walker Spells
Feature/&RoyalEnvoyFeatureDescription	Add half of your proficiency bonus (round up) to any Charisma check you make that doesn't already use your proficiency bonus. In addition, you become proficient with Charisma saving throws
Feature/&RoyalEnvoyFeatureTitle	Royal Envoy
Feature/&SavingThrowTinkererProficiencyDescription	Proficiency in Constitution and Intelligence saving throws
Feature/&SavingThrowTinkererProficiencyTitle	Saving Throw Proficiency
Feature/&ScoutModePowerDescription	Gain increased movement, stealth advantage and a ranged attack which deals an extra die of damage once a turn
Feature/&ScoutModePowerTitle	Scout Mode
Feature/&SentinelModePowerDescription	Gain a limited number of TempHP based on level. Impose Disadvantage on enemies attacking allies
Feature/&SentinelModePowerTitle	Sentinel Mode
Feature/&ShroudofShadowTitle	Shroud of Shadow
Feature/&SignofIllOmenTitle	Sign of Ill Omen
Feature/&SpellAsInvocationAtWillDescription	Cast {0} at will
Feature/&SpellAsInvocationOncePerDayDescription	Cast {0} once until long rest
Feature/&TempHPShield_09ModePowerDescription	Summons a construct that lasts 1 hour. \nProtecting Dome: Grants 1D8 + 4 temporary HP to allies within 10ft. \nSelf-Destruct: deals 3D8 force damage on a failed save and destroys the unit
Feature/&TempHPShield_09ModePowerTitle	Summon Protecting Dome Construct
Feature/&TempHPShield_15ModePowerDescription	Summons a construct that lasts 1 hour. \nProtecting Dome: Grants 1D8 + 4 temporary HP to allies within 10ft. \nSelf-Destruct: deals 3D8 force damage on a failed save and destroys the unit. \n Half Cover Dome: Provides half cover to allies within 10ft
Feature/&TempHPShield_15ModePowerTitle	Summon Protecting Dome Construct
Feature/&TempHPShieldModePowerDescription	Summons a construct that lasts 1 hour. \nProtecting Dome: Grants 1D8 + 4 temporary HP to allies within 10ft
Feature/&TempHPShieldModePowerTitle	Summon Protecting Dome Construct
Feature/&TempHPShieldTitle	Protecting Dome
Feature/&ThiefofFiveFates	Cast {0} once per day
Feature/&ThiefofFiveFatesTitle	Thief of Five Fates
Feature/&ThirstingBladeDescription	You can attack with your weapon twice, instead of once, whenever you take the Attack action on your turn
Feature/&ThirstingBladeTitle	Thirsting Blade
Feature/&TinkererArmorProficiencyDescription	Proficiency with Light and Medium armors as well as shields
Feature/&TinkererArmorProficiencyTitle	Tinkerer Armor Proficiency
Feature/&TinkererSkillGainChoicesPluralDescription	Tinkerer skills are Arcana, History, Investigation, Medecine, Nature, Perception and Sleight of Hand
Feature/&TinkererSkillPointsTitle	Tinkerer Skills
Feature/&TinkererToolsExpertiseDescription	Gain expertise with many tools including Thieve's Tools, Scroll Kits, Poisoner's Kit, Herbalism Kit, and Enchanting Tools
Feature/&TinkererToolsExpertiseTitle	Tinkerer Tool Expertise
Feature/&TinkererToolsProficiencyDescription	Gain proficiency with many tools including Thieve's Tools, Scroll Kits, Poisoner's Kit, Herbalism Kit, and Enchanting Tools
Feature/&TinkererToolsProficiencyTitle	Tool Proficiencies
Feature/&TinkererWeaponProficiencyDescription	Proficiency with simple weapons
Feature/&TinkererWeaponProficiencyTitle	Tinkerer Weapon Proficiencies
Feature/&ToadKingBasicToxinTitle	Basic Toxin
Feature/&ToadKingExpandedSpelllistAfinityDescription	You choose from an expanded list of spells when you learn a warlock spell. The following spells are added to the warlock spell list for you: \n Level 1: Grease, Detect Poison And Disease \n Level 2: AcidArrow, Spider Climb \n Level 3: Slow, Stinking Cloud \n Level 4: Black Tentacles,Freedom Of Movement \n Level 5: Contagion,Insect Plague
Feature/&ToadKingExpandedSpelllistAfinityTitle	Toad King Spells
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Your body has changed to become resistent to toxins and to produce a defensive toxin when attacked in melee range (up to PB times per day). if the attacker fails a Con save, they become lucinogenic toxin until they are attacked or otherwise interrupted
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Hallucinogenic Toxin
Feature/&ToadKingJumpTitle	Jump
Feature/&ToadKingPoisonConditionAffinityTitle	Immune to Poison Condition
Feature/&ToadKingPoisonDamageAffinityTitle	Immune to Poison Damage
Feature/&ToadKingStickyFeetTitle	Webbed Feet
Feature/&Trickster'sEscapeTitle	Trickster's Escape
Feature/&UrPriestDomainTheftDescription	You snatch the secrets that a god grants all of it's devout clerics. Choose a cleric domain: you gain the features that domain grants at 1st level
Feature/&UrPriestDomainTheftTitle	Domain Theft
Feature/&UrPriestExpandedSpelllistAfinityDescription	You choose from an expanded list of spells when you learn a warlock spell. Cleric spells are added to the warlock spell list for you
Feature/&UrPriestExpandedSpelllistAfinityTitle	UrPriest Spells
Feature/&WallofThornsFeatureSetDescription	Cast Wall of Thorns once a day
Feature/&WallofThornsFeatureSetTitle	Forest Barrier
Feature/&WitchSightDescription	You can sense or see invisibility up to 60 ft
Feature/&WitchSightTitle	Witch Sight
Feature/&ZSPowerPaladinCleansingTouchDescription	Remove spell effects by touching an ally. You can do this a number of times per day equal to your Charisma modifier
Feature/&ZSPowerPaladinCleansingTouchTitle	Cleansing Touch
Feedback/&AdditionalDamageAgonizing_BlastFormat	Agonizing Blast
Feedback/&AdditionalDamageAgonizing_BlastLine	When you cast a spell using force damage (eldritch blast), add your Charisma modifier to the damage it deals on a hit.
Feedback/&AdditionalDamageAncientForestLifeSapFormat	Life Sap!
Feedback/&AdditionalDamageAncientForestLifeSapLine	Life Sap deals extra damage and heals! 
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Additional Damage from Magically Powered Attacks
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Additional Damage from Magically Powered Attacks
Feedback/&AdditionalDamageArcaneFirearmFormat	Blasting Enhancement!
Feedback/&AdditionalDamageArcaneFirearmLine	Dealing additional damage from Blasting Enhancement
Feedback/&AdditionalDamageArcanistMarkFormat	Arcanist's Mark!
Feedback/&AdditionalDamageArcanistMarkLine	Arcanist's Mark detonates and deals extra damage to the target!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Illuminating Strike!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Illuminating Strike deals extra damage to the target!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Blinding Weapon
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Additional damage and trying to apply Blindness from Blinding Weapon.
Feedback/&AdditionalDamageElementalDamageFormat	Elemental Damage
Feedback/&AdditionalDamageElementalDamageLine	Elemental form grants additional damage
Feedback/&AdditionalDamagePactMarkedFormat	Pact mark!
Feedback/&AdditionalDamagePactMarkedLine	Pact mark does additional damage!
Feedback/&AdditionalDamagePactSoulTakerFormat	Soul taker!
Feedback/&AdditionalDamagePactSoulTakerLine	Soul taker does additional damage!
Feedback/&AdditionalDamagePugilistFormat	Pugilist
Feedback/&AdditionalDamagePugilistLine	Additional Unarmed Damage from Pugilist
Feedback/&AdditionalDamageSoulEmpoweredFormat	Soul Empowered!
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered does additional damage!
Feedback/&AdditionalDamageUpgradedConstructFormat	Upgraded Damage
Feedback/&AdditionalDamageUpgradedConstructLine	The upgraded construct deals 1D8 more damage per hit
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&ExtraDamageDescription	Extra damage from Lighting Spear
Feedback/&ExtraDamageTitle	Lightning Spear extra damage
Feedback/&LightningSpearAdditionalDamageDescription	lightning damage 1D6 extra once per turn
Feedback/&LightningSpearAdditionalDamageTitle	Lightning Spear extra damage
FightingStyle/&BlindFightingDescription	You have blindsight with a range of 10 feet
FightingStyle/&BlindFightingTitle	Blind Fighting
FightingStyle/&PugilistFightingDescription	While you are completely unarmed, your unarmed strikes deal an additional d8 of damage and you can punch with your offhand as a bonus action
FightingStyle/&PugilistFightingTitle	Pugilist
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcana, Nature, and Insight
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religion, Nature, and Insight
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	History, Persuasion, and Intimidation
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Select 2 skill proficiencies
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Skills
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Select 3 skill proficiencies
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Skills
FlexibleBackgrounds/&BackgroundToolSelect2Description	Select 2 tool proficiencies
FlexibleBackgrounds/&BackgroundToolSelect2Title	Tools
FlexibleBackgrounds/&BackgroundToolSelectDescription	Select a tool proficiency
FlexibleBackgrounds/&BackgroundToolSelectTitle	Tool
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Perception and Intimidation
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Sleight of Hand, Stealth, and Deception
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Medicine and Persuasion
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Athletics and Intimidation
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Stealth, Deception, and Nature
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Survival and Nature
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleRaces/&PointPoolAbilityScore3Description	Use three boosts on ability scores in any combination of your choosing
FlexibleRaces/&PointPoolAbilityScore3Title	Ability Score Increase
FlexibleRaces/&PointPoolAbilityScore4Description	Use four boosts on ability scores in any combination of your choosing
FlexibleRaces/&PointPoolAbilityScore4Title	Ability Score Increase
Format/&LevelAndExperienceFormat	Level: {0}\nExperience: {1}\n{2} points required to reach level {3}
Format/&LevelAndExperienceMaxedFormat	Level: {0}\nExperience: {1}\nmax level reached.
Item/&ForceArtilleryProjectileDescription	ForceArtilleryProjectile
Item/&ForceArtilleryProjectileTitle	ForceArtilleryProjectile
Language/&GnomishLanguageDescription	An old Solastan language, preserved by gnomes living in deep forests of Solasta, it has survived the Cataclysm
Language/&GnomishLanguageTitle	Gnomish
MainMenu/&ExportPdfDescription	Level down this Hero
MainMenu/&ExportPdfTitle	Level Down
Message/&CharacterExportDuplicateNameErrorDescription	Export Cancelled:\n\nA hero with this name already exists in the pool.\nPlease try a different name
Message/&CharacterExportEmptyNameErrorDescription	Export Cancelled:\n\nPlease try a non empty name
Message/&CharacterExportModalContentDescription	Enter the hero name to export:
Message/&CharacterExportModalTitleDescription	Character Export
Message/&LevelDownConfirmationDescription	Level down this Hero?
Message/&LevelDownMultiplayerAbortDescription	Cannot Level Down during a multiplayer session. Aborted
Message/&RespecMultiplayerAbortDescription	Cannot Respec during a multiplayer session. Aborted
Message/&MessageModWelcomeDescription	The Community Expansion Mod is packed full of exciting features, but by default none are enabled. Press <color=yellow>Ctrl-F10</color> to open the Unity Mod Manager UI [UMM], then click on the settings icon next to 'Community Expansion' to open the settings pages.\n\n Explore the options and select the ones you like. The UMM UI will now open
Message/&MessageModWelcomeTitle	Community Expansion Mod
Message/&SpawnCustomEncounterDescription	Spawn encounter at coordinates ({0}, {1})?
