ActionAffinity/&DHFeeblemindSpellDescription	Incapable de lancer des sorts
Feature/&ElementalPatronFeatureSet_Level01Title	Élémentaliste
Feature/&ElementalPatronFeatureSet_Level06Description	<size=17><color=#add8e6ff>Connaissance élémentaire</color></size>\nVotre connaissance des élémentaires s'est accrue au point que vous bénéficiez désormais d'un avantage sur les tests de capacité envers les élémentaires, et infligez des dégâts supplémentaires contre les élémentaires égaux à votre niveau de connaissance. Vous ne pouvez plus être charmé ou effrayé par les élémentaires.
Feature/&ElementalPatronFeatureSet_Level06Title	Élémentaliste
Feature/&ElementalPatronFeatureSet_Level10Description	<size=17><color=#add8e6ff>Formes élémentaires améliorées</color></size>\nVos formes élémentaires confèrent désormais une immunité aux dégâts lorsqu'elles sont actives.
Feature/&ElementalPatronFeatureSet_Level10Title	Élémentaliste
Feature/&EyesoftheRuneKeeperDescription	Vous pouvez lire toutes les écritures.
Feature/&EyesoftheRuneKeeperTitle	Yeux du Gardien des Runes
Feature/&FiendishVigorTitle	Vigueur diabolique
Feature/&FlameArtillery_09ModePowerDescription	Invoque une construction qui dure 1 heure. \Artillerie de flammes : crée un cône de feu qui inflige 3D8 points de dégâts en cas de sauvegarde ratée. \Autodestruction : inflige 3D8 points de dégâts de force en cas d'échec de la sauvegarde et détruit l'unité.
Feature/&FlameArtillery_09ModePowerTitle	Invoque une construction d'artillerie de flammes
Feature/&FlameArtillery_15ModePowerDescription	Invoque une construction qui dure 1 heure. \Artillerie de flammes : crée un cône de feu qui inflige 3D8 points de dégâts en cas d'échec. \Autodestruction : inflige 3D8 points de dégâts de force en cas de sauvegarde ratée et détruit l'unité. \Dôme de demi-couverture : offre une demi-couverture aux alliés se trouvant dans un rayon de 3 mètres.
Feature/&FlameArtillery_15ModePowerTitle	Invoquer une construction d'artillerie de feu
Feature/&FlameArtilleryModePowerDescription	Invoque une construction qui dure 1 heure. \NArtillerie de feu : crée un cône de feu qui inflige 2D8 points de dégâts en cas d'échec de la sauvegarde.
Feature/&FlameArtilleryModePowerTitle	Invoque une construction d'artillerie de flammes
Feature/&ForceArtillery_09ModePowerDescription	Invoque une construction qui dure 1 heure. \NArtillerie de Force : inflige 3D8 points de dégâts de force et repousse l'ennemi à 1,5 m. \Autodestruction : inflige 3D8 points de dégâts de force en cas de sauvegarde ratée et détruit l'unité.
Feature/&ForceArtillery_09ModePowerTitle	Invoque une construction d'artillerie de force
Feature/&ForceArtillery_15ModePowerDescription	Invoque une construction qui dure 1 heure. \Artillerie de force : inflige 3D8 points de dégâts de force et repousse l'ennemi à 5 pieds. \Autodestruction : inflige 3D8 points de dégâts de force en cas de sauvegarde ratée et détruit l'unité. \NDôme de demi-couverture : offre une demi-couverture aux alliés se trouvant dans un rayon de 3 mètres.
Feature/&ForceArtillery_15ModePowerTitle	Invoquer une construction d'artillerie de force
Feature/&ForceArtilleryAdditionalDamageTitle	Dégâts améliorés
Feature/&ForceArtilleryModePowerDescription	Invoque une construction qui dure 1 heure. \NArtillerie de force : inflige 2D8 points de dégâts de force et repousse la cible à 1,5 m.
Feature/&ForceArtilleryModePowerTitle	Invoque une construction d'artillerie de force
Feature/&ForceArtilleryTitle	Artillerie de force
Feature/&GambitResourcePoolAddDescription	Ajoute un dé de gambit supplémentaire.
Feature/&GambitResourcePoolAddTitle	Dé de gambit supplémentaire.
Feature/&GambitResourcePoolDescription	Pool de dés de gambit qui peuvent être dépensés pour des gambits. Commence avec 4, ils se rechargent sur un court repos.
Feature/&GambitResourcePoolTitle	Pool de dés de gambit.
Feature/&GiftoftheEver-LivingOnesDescription	Regagne le nombre maximum de points de vie possible à partir de n'importe quel soin.
Feature/&GiftoftheEver-LivingOnesTitle	Don des éternels vivants
Feature/&GiftoftheProtectorsDescription	Lorsque vous êtes réduit à 0 point de vie mais pas tué, la créature tombe magiquement à 1 point de vie. Une fois que cette magie est déclenchée, vous ne pouvez pas en bénéficier avant d'avoir terminé un long repos.
Feature/&GiftoftheProtectorsTitle	Don des protecteurs
Feature/&GnomeCunningFeatureDescription	Vous avez l'avantage sur toutes les sauvegardes d'Intelligence, de Sagesse et de Charisme contre la magie.
Feature/&GnomeCunningFeatureTitle	Ruse
Feature/&GnomeNaturalIllusionistDescription	Vous connaissez le cantrip de l'abeille agaçante. L'Intelligence est votre modificateur de sort pour ce dernier.
Feature/&GnomeNaturalIllusionistTitle	Magie naturelle
Feature/&GraspingHandMagicAffinityDescription	Lorsque vous touchez une créature avec votre souffle eldritch, vous pouvez déplacer cette créature en ligne droite à 3 mètres plus près de vous.
Feature/&GraspingHandMagicAffinityTitle	Souffle agrippant
Feature/&HerbalBrewFeatureSetDescription	Vous gagnez la compétence avec le kit de l'empoisonneur ou le kit de l'herboriste si vous ne l'avez pas déjà. \Lorsque vous terminez un long repos, vous pouvez créer des infusions, chacune d'entre elles durant jusqu'au prochain long repos. Vous pouvez créer un nombre total d'infusions égal à votre bonus de compétence. Pour chaque infusion, choisissez l'un des effets suivants : \n<color=#add8e6ff>Brassade fortifiante</color> : accorde une résistance à différents types de dégâts pendant 1 heure.\n<color=#add8e6ff>Brassade accélérante</color> : procure 2d6 points de vie.\n<color=#add8e6ff>Brassade toxique</color> : agit comme un poison qui peut être appliqué à une arme pendant 1 minute. Si le coup tombe, la cible subit 1d4 points de dégâts de poison à chaque coup.
Feature/&HerbalBrewFeatureSetTitle	Infusion d'herbes
Feature/&HinderingBlastFeatureSetDescription	Lorsque vous touchez une créature avec votre souffle eldritch, vous pouvez réduire la vitesse de cette créature de 3 mètres jusqu'à la fin de votre prochain tour.
Feature/&HinderingBlastFeatureSetTitle	Souffle gênant
Feature/&HinderingBlastMagicAffinityDescription	Lorsque vous touchez une créature avec votre souffle eldritch, vous pouvez réduire la vitesse de cette créature de 10 pieds jusqu'à la fin de votre prochain tour.
Feature/&HinderingBlastMagicAffinityTitle	Souffle gênant
Feature/&ImprovedPactWeaponDescription	Vous pouvez utiliser n'importe quelle arme comme cible de vos sorts de sorcier. De plus, l'arme bénéficie d'un bonus de +1 à ses jets d'attaque et de dégâts.
Feature/&ImprovedPactWeaponTitle	Arme de pacte améliorée
Feature/&ImprovedScoutModePowerDescription	Obtenez les caractéristiques du mode Éclaireur amélioré. Peut maintenant créer un avantage pour les alliés et un désavantage pour les ennemis avec une seule attaque.
Feature/&ImprovedScoutModePowerTitle	Mode Éclaireur amélioré
Feature/&ImprovedSentinelModePowerDescription	Gagnez les caractéristiques du mode Sentinelle amélioré via le pouvoir Grappin de gantelet.
Feature/&ImprovedSentinelModePowerTitle	Mode sentinelle amélioré
Feature/&IndomitableResistanceAddDescription	+1 utilisation de la Résistance indomptable entre les repos.
Feature/&IndomitableResistanceAddTitle	Résistance indomptable (augmentée)
Feature/&IndomitableResistanceTitle	Résistance indomptable
Feature/&InspirePowerDescription	Dépensez un dé de gambit et inspirez-vous ou inspirez votre allié pour lui donner 1d6+2 pv temp.
Feature/&InspirePowerTitle	Inspirer
Feature/&InspiringSurgePowerDescription	Accorde à un allié une action principale supplémentaire pendant 1 round. Ne s'empile pas avec Action Surge.
Feature/&InspiringSurgePowerTitle	Surge d'inspiration
Feature/&InspiringSurgePowerTitleShort	Surge d'inspiration
Feature/&KnockDownPowerDescription	Dépensez un dé de gambit et donnez à votre attaque le pouvoir d'infliger 1d6+2 points de dégâts supplémentaires et d'assommer la personne jusqu'au début de son prochain tour si elle échoue à une sauvegarde de Force contre 8 + votre Force + compétence.
Feature/&KnockDownPowerTitle	Assommer
Feature/&KSRogueSubclassThugBrutalMethodsDescription	Vous pouvez bousculer en tant qu'action bonus.
Feature/&KSRogueSubclassThugBrutalMethodsTitle	Méthodes brutales
Feature/&KSRogueSubclassThugExploitVulnerabilitiesSneakAttackDescription	Vous pouvez utiliser l'attaque sournoise avec n'importe quel type d'arme de mêlée, sans vous limiter aux armes fines.\N1d6 points de dégâts supplémentaires (+1d6 tous les 2 niveaux) à une créature que vous touchez avec l'avantage, une fois par tour. L'avantage n'est pas nécessaire si un allié actif se trouve à côté de la cible.
Feature/&KSRogueSubclassThugExploitVulnerabilitiesSneakAttackTitle	Attaque sournoise polyvalente
Feature/&KSRogueSubclassThugOvercomeCompetitionDescription	Vous avez l'avantage sur vos tests d'Athlétisme (Force).
Feature/&KSRogueSubclassThugOvercomeCompetitionTitle	Surmonter la compétition
Feature/&KSRogueSubclassThugProficienciesDescription	Compétent avec les armures et boucliers moyens.
Feature/&KSRogueSubclassThugProficienciesTitle	Équipement lourd
Feature/&MiretheMindTitle	Embrouiller l'esprit
Feature/&MoonLitDarknessImmunityDescription	Vous êtes immunisé contre la condition de ténèbres
Feature/&MoonLitDarknessImmunityTitle	Ténèbres du clair de lune
Feature/&MoonLitExpandedSpelllistAfinityDescription	Vous choisissez parmi une liste élargie de sorts lorsque vous apprenez un sort de sorcier. Les sorts suivants sont ajoutés à la liste des sorts de sorcier : \n Niveau 1 : Feu de fée, Sommeil \n Niveau 2 : Rayon de lune, Voir l'invisibilité \n Niveau 3 : Lumière du jour, Motif hypnotique \n Niveau 4 : Invisibilité accrue, Dominer la bête \n Niveau 5 : Dominer la personne, Frappe de flamme
Feature/&MoonLitExpandedSpelllistAfinityTitle	Liste de sorts de MoonLit
Feature/&MoonLitLightAffinityDescription	Tu peux devenir invisible dans une faible lumière ou dans l'obscurité naturelle.
Feature/&MoonLitLightAffinityTitle	Cape ombrale
Feature/&OneWithShadowsDescription	Lorsque tu te trouves dans une zone de faible lumière ou d'obscurité, tu deviens invisible jusqu'à ce que tu bouges ou que tu fasses une action ou une réaction.
Feature/&OneWithShadowsTitle	Un avec les ombres
Feature/&OtherworldlyLeapTitle	Saut dans l'autre monde
Feature/&PowerAttackAttackModifierDescription	Prenez une pénalité de -{0} pour toucher à votre attaque pour le reste du tour pour faire +{0} dégâts lorsque vous atterrissez vos coups. A utiliser uniquement lorsque vous attaquez avec une arme légère à une main, en mêlée ou à distance.
Feature/&PowerAttackAttackModifierTitle	Attaque puissante à une main
Feature/&PowerAttackConditionDescription	Prenez une pénalité de -{0} pour toucher à votre attaque pour le reste du tour pour faire +{0} dégâts lorsque vous recevez vos coups. A utiliser uniquement lorsque vous attaquez avec une arme légère à une main, en mêlée ou à distance.
Feature/&PowerAttackConditionTitle	Attaque puissante à une main
Feature/&PowerAttackPowerDescription	Prenez une pénalité de -{0} pour toucher à votre attaque pour le reste du tour pour faire +{0} dégâts lorsque vous recevez vos coups. A utiliser uniquement lorsque vous attaquez avec une arme légère à une main, en mêlée ou à distance.
Feature/&PowerAttackPowerTitle	Attaque puissante à une main
Feature/&PowerAttackTwoHandedAttackModifierDescription	Prenez une pénalité de -{0} pour toucher à votre attaque pour le reste du tour pour faire +{1} dégâts lorsque vous recevez vos coups. A utiliser uniquement lorsque vous attaquez à deux mains, en mêlée ou à distance.
Feature/&PowerAttackTwoHandedAttackModifierTitle	Attaque puissante à deux mains
Feature/&PowerAttackTwoHandedConditionDescription	Prenez une pénalité de -{0} à votre attaque pour le reste du tour pour faire +{1} dégâts lorsque vous recevez vos coups. A utiliser uniquement lorsque vous attaquez à deux mains, en mêlée ou à distance.
Feature/&PowerAttackTwoHandedConditionTitle	Attaque puissante à deux mains
Feature/&PowerAttackTwoHandedPowerDescription	Prenez une pénalité de -{0} à votre attaque pour le reste du tour pour faire +{1} dégâts lorsque vous recevez vos coups. A utiliser uniquement lorsque vous attaquez à deux mains, en mêlée ou à distance.
Feature/&PowerAttackTwoHandedPowerTitle	Attaque puissante à deux mains
Feature/&PowerPaladinAuraOfCourage18Description	Accorde un bonus aux jets de sauvegarde aux alliés situés dans un rayon de 30 pieds.
Feature/&PowerPaladinAuraOfCourage18Title	Aura de courage améliorée
Feature/&PowerPaladinAuraOfProtection18Description	Vous et vos alliés dans un rayon de 30ft ne pouvez pas être effrayés.
Feature/&PowerPaladinAuraOfProtection18Title	Aura de protection améliorée
Feature/&PowerTorchbearerDescription	Tente de mettre le feu à une cible de mêlée !
Feature/&PowerTorchbearerTitle	Porteur de flambeau
Feature/&PrimalChampionDescription	Au 20e niveau, vous incarnez la puissance de la nature sauvage. Vos scores de Force et de Constitution augmentent de 4
Feature/&PrimalChampionTitle	Champion Primal
Feature/&ProficiencyBolgrifLanguagesDescription	Commun, elfique et géant
Feature/&ProficiencyBolgrifLanguagesTitle	Langue
Feature/&ProficiencyGnomishLanguagesDescription	Commun, Gnomish
Feature/&ProficiencyGnomishLanguagesTitle	Langues
Feature/&ProficiencyRogueBlindSenseDescription	À partir du 14e niveau, si vous êtes capable d'entendre, vous savez où se trouve toute créature cachée ou invisible dans un rayon de 3 mètres autour de vous.
Feature/&ProficiencyRogueBlindSenseTitle	Blindsense
Feature/&ProficiencyRogueSlipperyMindDescription	Au 15ème niveau, vous avez acquis une plus grande force mentale. Vous gagnez en compétence aux jets de sauvegarde de Sagesse.
Feature/&ProficiencyRogueSlipperyMindTitle	Esprit glissant
Feature/&RageDamageBonusAttackModifierDescription	Ajoutez +2 aux dégâts de vos attaques lorsque vous êtes en colère.
Feature/&RageDamageBonusAttackModifierTitle	Dégâts de la rage
Feature/&RageFeatConditionDescription	Lorsque vous êtes en rage, vous bénéficiez des avantages suivants : Avantage aux tests de Force et aux jets de sauvegarde de Force, un bonus de +2 aux jets de dégâts, et une résistance aux dégâts de matraquage, de perforation et de coupure.
Feature/&RageFeatConditionTitle	Rage
Feature/&RagePowerDescription	Comme action bonus, vous entrez en rage pendant une minute et gagnez ce qui suit : Avantage sur les tests de Force et les jets de sauvegarde de Force, un bonus aux jets de dégâts de +2, et une résistance aux dégâts de matraquage, de perforation et de coupure.
Feature/&RagePowerTitle	Rage
Feature/&RageStrengthSavingThrowAffinityDescription	Vous bénéficiez d'un avantage sur les sauvegardes de force lorsque vous êtes en rage.
Feature/&RageStrengthSavingThrowAffinityTitle	Avantage aux sauvegardes de force en cas de rage
Feature/&RallyingCryPowerDescription	Remplace Second souffle par un pouvoir permettant de restaurer 4x le niveau du combattant à un ou plusieurs alliés dans un rayon de 6 cellules, jusqu'à leur maximum de points de vie.
Feature/&RallyingCryPowerTitle	Cri de ralliement
Feature/&RallyingCryPowerTitleShort	Cri de ralliement
Feature/&RangerArcanistMagicDescription	À partir du 3e niveau, vous apprenez un sort supplémentaire lorsque vous atteignez certains niveaux dans cette classe. Chaque sort compte comme un sort de ranger pour vous, mais il ne compte pas dans le nombre de sorts de ranger que vous connaissez. Les sorts sont : Niveau 3 : Bouclier, Niveau 5 : Pas brumeux, Niveau 9 : Hâte, Niveau 13 : Porte dimensionnelle, et Niveau 17 : Retenir un monstre. De plus, vous êtes compétent pour lancer des sorts en combat, et pouvez lancer des sorts qui nécessitent une composante somatique même si vos deux mains tiennent une arme ou un bouclier.
Feature/&RangerArcanistMagicTitle	Lancer de sorts du ranger arcaniste
Feature/&RangerFeralSensesDescription	Vous gagnez des sens préternaturels qui vous aident à combattre les créatures que vous ne pouvez pas voir. Lorsque vous attaquez une créature que vous ne pouvez pas voir, votre incapacité à la voir n'impose pas de désavantage sur vos jets d'attaque contre elle.
Feature/&RangerFeralSensesTitle	Sens farouches
Feature/&RangerVanishActionDescription	À partir du 14e niveau, vous pouvez utiliser l'action Se cacher comme action bonus à votre tour.
Feature/&RangerVanishActionTitle	Disparition
Feature/&RepellingBlastMagicAffinityDescription	Lorsque vous touchez une créature avec un souffle eldritch, vous pouvez la repousser jusqu'à 3 mètres de vous en ligne droite.
Feature/&RepellingBlastMagicAffinityTitle	Souffle repoussant
Feature/&RiftWalkerRestrainedImmunityTitle	Pas fugace
Feature/&RiftWalkerSpellsMagicAffinityDescription	Vous choisissez parmi une liste élargie de sorts lorsque vous apprenez un sort de sorcier. Les sorts suivants sont ajoutés à la liste des sorts de sorcier pour vous : \n Niveau 1 : Saut, Longstrider \n Niveau 2 : Flou, Passage sans trace \n Niveau 3 : Hâte, Lenteur \n Niveau 4 : Liberté de mouvement, Grande Invisibilité \n Niveau 5 : Torsion de l'esprit, Dissipation du mal et du bien
Feature/&RiftWalkerSpellsMagicAffinityTitle	Apprendre les sorts de marcheur de faille
Feature/&RoyalEnvoyFeatureDescription	Ajoutez la moitié de votre bonus de compétence (arrondi à l'entier supérieur) à tout test de Charisme que vous effectuez et qui n'utilise pas déjà votre bonus de compétence. De plus, vous devenez compétent aux jets de sauvegarde de Charisme.
Feature/&RoyalEnvoyFeatureTitle	Envoyé royal
Feature/&SavingThrowTinkererProficiencyDescription	Compétence aux jets de sauvegarde de Constitution et d'Intelligence.
Feature/&SavingThrowTinkererProficiencyTitle	Compétence en jets de sauvegarde
Feature/&ScoutModePowerDescription	Gagnez un mouvement accru, l'avantage de la furtivité et une attaque à distance qui inflige un dé supplémentaire de dégâts une fois par tour.
Feature/&ScoutModePowerTitle	Mode Scout
Feature/&SentinelModePowerDescription	Gagne un nombre limité de TempHP en fonction du niveau. Impose un désavantage aux ennemis qui attaquent leurs alliés.
Feature/&SentinelModePowerTitle	Mode Sentinelle
Feature/&ShroudofShadowTitle	Linceul d'ombre
Feature/&SignofIllOmenTitle	Signe de mauvais présage
Feature/&TempHPShield_09ModePowerDescription	Invoque une construction qui dure 1 heure. \nDôme protecteur : octroie 1D8 + 4 PV temporaires aux alliés se trouvant dans un rayon de 3 mètres. \Autodestruction : inflige 3D8 points de dégâts de force en cas d'échec de la sauvegarde et détruit l'unité.
Feature/&TempHPShield_09ModePowerTitle	Invoquer une construction de type Dôme protecteur
Feature/&TempHPShield_15ModePowerDescription	Invoque une construction qui dure 1 heure. \NDôme protecteur : octroie 1D8 + 4 PV temporaires aux alliés situés à 3 mètres. \NSelf-Destruct : inflige 3D8 points de dégâts de force en cas d'échec de la sauvegarde et détruit l'unité. \NDôme de demi-couverture : Fournit une demi-couverture aux alliés situés dans un rayon de 3 mètres.
Feature/&TempHPShield_15ModePowerTitle	Invoquer une construction de type Dôme protecteur
Feature/&TempHPShieldModePowerDescription	Invoque une construction qui dure 1 heure. \NDôme protecteur : confère 1D8 + 4 PV temporaires aux alliés situés dans un rayon de 3 mètres.
Feature/&TempHPShieldModePowerTitle	Invoque une construction de type Dôme protecteur
Feature/&TempHPShieldTitle	Dôme protecteur
Feature/&ThiefofFiveFatesTitle	Voleur des cinq destins
Feature/&ThirstingBladeDescription	Vous pouvez attaquer avec votre arme deux fois, au lieu d'une, lorsque vous effectuez l'action Attaque à votre tour.
Feature/&ThirstingBladeTitle	Lame assoiffée
Feature/&TinkererArmorProficiencyDescription	Compétence avec les armures légères et moyennes ainsi que les boucliers.
Feature/&TinkererArmorProficiencyTitle	Compétence en armure du bricoleur
Feature/&TinkererSkillGainChoicesPluralDescription	Les compétences du bricoleur sont les suivantes : Arcane, Histoire, Investigation, Médecine, Nature, Perception et Tour de main.
Feature/&TinkererSkillPointsTitle	Compétences du bricoleur
Feature/&TinkererToolsExpertiseDescription	Gagnez de l'expertise avec de nombreux outils, y compris les outils du voleur, les kits de parchemins, le kit de l'empoisonneur, le kit d'herboristerie et les outils d'enchantement.
Feature/&TinkererToolsExpertiseTitle	Expertise en outils du bricoleur
Feature/&TinkererToolsProficiencyDescription	Gagnez de la compétence avec de nombreux outils, y compris les outils du voleur, les kits de parchemin, le kit de l'empoisonneur, le kit d'herboristerie et les outils d'enchantement.
Feature/&TinkererToolsProficiencyTitle	Compétences en matière d'outils
Feature/&TinkererWeaponProficiencyDescription	Maîtrise des armes simples
Feature/&TinkererWeaponProficiencyTitle	Compétences en armes du bricoleur
Feature/&ToadKingBasicToxinTitle	Toxine de base
Feature/&ToadKingExpandedSpelllistAfinityDescription	Vous choisissez parmi une liste élargie de sorts lorsque vous apprenez un sort de sorcier. Les sorts suivants sont ajoutés à la liste des sorts de sorcier pour vous : \n Niveau 1 : Graisse, Détection de poison et de maladie \n Niveau 2 : Flèche acide, Grimpe araignée \n Niveau 3 : Lenteur, Nuage puant \n Niveau 4 : Tentacules noirs, Liberté de mouvement \n Niveau 5 : Contagion, Peste d'insecte
Feature/&ToadKingExpandedSpelllistAfinityTitle	Sorts du Roi Crapaud
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Votre corps a été modifié pour devenir résistant aux toxines et pour produire une toxine défensive lorsque vous êtes attaqué en mêlée (jusqu'à PB fois par jour). Si l'attaquant échoue à une sauvegarde de Con, il devient une toxine lucinogène jusqu'à ce qu'il soit attaqué ou autrement interrompu.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Toxine hallucinogène
Feature/&ToadKingJumpTitle	Sauter
Feature/&ToadKingPoisonConditionAffinityTitle	Immunisé contre les conditions empoisonnées
Feature/&ToadKingPoisonDamageAffinityTitle	Immunisé contre les dommages causés par le poison
Feature/&ToadKingStickyFeetTitle	Pieds palmés
Feature/&Trickster'sEscapeTitle	Évasion du Trickster
Feature/&UrPriestDomainTheftDescription	Vous vous emparez des secrets qu'un dieu accorde à tous ses clercs dévoués. Choisissez un domaine clérical : vous gagnez les caractéristiques que ce domaine accorde au 1er niveau.
Feature/&UrPriestDomainTheftTitle	Vol de domaine
Feature/&UrPriestExpandedSpelllistAfinityDescription	Vous choisissez parmi une liste élargie de sorts lorsque vous apprenez un sort de sorcier. Les sorts de clercs sont ajoutés à la liste de sorts de sorcier pour vous.
Feature/&UrPriestExpandedSpelllistAfinityTitle	Sorts d'UrPriest
Feature/&WallofThornsFeatureSetDescription	Lancez Mur d'épines une fois par jour
Feature/&WallofThornsFeatureSetTitle	Barrière forestière
Feature/&ZSPowerPaladinCleansingTouchDescription	Supprimez les effets des sorts en touchant un allié. Vous pouvez faire cela un nombre de fois par jour égal à votre modificateur de Charisme.
Feature/&ZSPowerPaladinCleansingTouchTitle	Cleansing Touch
Feedback/&AdditionalDamageAgonizing_BlastFormat	Souffle agonisant
Feedback/&AdditionalDamageAgonizing_BlastLine	Lorsque vous lancez un sort utilisant des dégâts de force (souffle eldritch), ajoutez votre modificateur de Charisme aux dégâts qu'il inflige en cas de succès.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Dégâts supplémentaires infligés par les attaques magiques
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Dégâts supplémentaires infligés par les attaques magiques
Feedback/&AdditionalDamageArcaneFirearmFormat	Amélioration des explosions !
Feedback/&AdditionalDamageArcaneFirearmLine	Inflige des dégâts supplémentaires grâce à l'amélioration de l'effet de souffle.
Feedback/&AdditionalDamageArcanistMarkFormat	Marque de l'arcaniste !
Feedback/&AdditionalDamageArcanistMarkLine	La marque de l'arcaniste explose et inflige des dégâts supplémentaires à la cible !
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Illuminating Strike !
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Frappe lumineuse inflige des dégâts supplémentaires à la cible !
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arme aveuglante
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Dégâts supplémentaires et tentative d'appliquer l'aveuglement de l'arme aveuglante.
Feedback/&AdditionalDamageElementalDamageFormat	Dégâts élémentaires
Feedback/&AdditionalDamageElementalDamageLine	La forme élémentaire inflige des dégâts supplémentaires.
Feedback/&AdditionalDamagePactMarkedFormat	Marque de pacte !
Feedback/&AdditionalDamagePactMarkedLine	La marque de pacte inflige des dégâts supplémentaires !
Feedback/&AdditionalDamagePactSoulTakerFormat	Preneur d'âme !
Feedback/&AdditionalDamagePactSoulTakerLine	Le preneur d'âmes inflige des dégâts supplémentaires !
Feedback/&AdditionalDamagePugilistFormat	Pugiliste
Feedback/&AdditionalDamagePugilistLine	Dégâts supplémentaires infligés par les armes non armées de Pugiliste
Feedback/&AdditionalDamageSoulEmpoweredFormat	Ame surpuissante !
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered inflige des dégâts supplémentaires !
Feedback/&AdditionalDamageUpgradedConstructFormat	Dégâts améliorés
Feedback/&AdditionalDamageUpgradedConstructLine	La construction améliorée inflige 1D8 points de dégâts supplémentaires par coup.
Feedback/&ExtraDamageDescription	Dégâts supplémentaires de Lance éclair
Feedback/&ExtraDamageTitle	Dégâts supplémentaires de la lance de foudre
Feedback/&LightningSpearAdditionalDamageDescription	Dégâts supplémentaires de la lance de foudre 1D6 par tour
Feedback/&LightningSpearAdditionalDamageTitle	Dégâts supplémentaires du lanceur d'éclairs
FightingStyle/&BlindFightingDescription	Vous avez une vision aveugle avec une portée de 10 pieds.
FightingStyle/&BlindFightingTitle	Combat aveugle
FightingStyle/&PugilistFightingDescription	Lorsque vous êtes complètement désarmé, vos frappes à mains nues infligent d8 points de dégâts supplémentaires et vous pouvez frapper avec votre main extérieure comme action bonus.
FightingStyle/&PugilistFightingTitle	Pugiliste
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Sélectionnez 2 compétences
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Compétences
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Sélectionnez 3 compétences
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Compétences
FlexibleBackgrounds/&BackgroundToolSelectDescription	Sélectionnez une compétence d'outil
FlexibleBackgrounds/&BackgroundToolSelectTitle	Outil
FlexibleRaces/&PointPoolAbilityScore3Description	Utilisez trois augmentations des scores de capacité dans la combinaison de votre choix.
FlexibleRaces/&PointPoolAbilityScore3Title	Augmentation du score de capacité
FlexibleRaces/&PointPoolAbilityScore4Description	Utilisez quatre augmentations des scores de capacité dans n'importe quelle combinaison de votre choix.
FlexibleRaces/&PointPoolAbilityScore4Title	Augmentation du score de capacité
Format/&LevelAndExperienceFormat	Niveau : {0}\NExpérience : {1}\n{2} points nécessaires pour atteindre le niveau {3}.
Format/&LevelAndExperienceMaxedFormat	Niveau : {0} Expérience : {1} {niveau maximum atteint.
Item/&ForceArtilleryProjectileDescription	ForceArtilleryProjectile
Item/&ForceArtilleryProjectileTitle	ForceArtilleryProjectile
Language/&GnomishLanguageDescription	Une ancienne langue solastane, préservée par les gnomes vivant dans les forêts profondes de Solasta, elle a survécu au Cataclysme.
Language/&GnomishLanguageTitle	Gnomes
MainMenu/&ExportPdfDescription	Abaisser le niveau de ce héros
MainMenu/&ExportPdfTitle	Niveau bas
Message/&CharacterExportDuplicateNameErrorDescription	Exportation annulée : Un héros portant ce nom existe déjà dans le pool. Veuillez essayer un autre nom.
Message/&CharacterExportEmptyNameErrorDescription	Exportation annulée:\n\NVeuillez essayer un nom non vide.
Message/&CharacterExportModalContentDescription	Saisissez le nom du héros à exporter :
Message/&CharacterExportModalTitleDescription	Exportation de personnage
Message/&LevelDownConfirmationDescription	Faire monter en niveau ce héros ?
Message/&MessageModWelcomeDescription	Le mod d'extension communautaire est rempli de fonctionnalités passionnantes, mais par défaut, aucune n'est activée. Appuyez sur <color=yellow>Ctrl-F10</color> pour ouvrir l'interface utilisateur du gestionnaire de mods Unity [UMM], puis cliquez sur l'icône des paramètres à côté de "Community Expansion" pour ouvrir les pages de paramètres.\n\NExplorez les options et sélectionnez celles qui vous conviennent. L'interface UMM s'ouvre alors.
Message/&MessageModWelcomeTitle	Mod d'expansion de la communauté
Message/&SpawnCustomEncounterDescription	Créer une rencontre aux coordonnées ({0}, {1}) ?
Message/&SpawnCustomEncounterTitle	Rencontre
Message/&TeleportPartyDescription	Téléporter le groupe aux coordonnées ({0}, {1}) ?\nVous risquez d'interrompre des quêtes ou des cartes si vous vous téléportez dans un endroit non découvert.
Message/&TeleportPartyTitle	Téléportation
Modifier/&DisorientDescription	-1d6 aux jets d'attaque
Modifier/&DisorientTitle	Désorienté
Modifier/&RuinedDescription	-3 à la classe d'armure
Modifier/&RuinedTitle	Ruiné
