ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
Feature/&GambitResourcePoolTitle	Piscina de dados de Gambit.
Feature/&GiftoftheEver-LivingOnesDescription	Recupera o número máximo de pontos de golpe possível a partir de qualquer cura.
Feature/&GiftoftheEver-LivingOnesTitle	Presente dos Sempre Vivos
Feature/&GiftoftheProtectorsDescription	Quando você é reduzido a 0 pontos de golpe, mas não é morto, a criatura cai magicamente para 1 ponto de golpe em vez disso. Uma vez que esta magia é acionada, você não pode se beneficiar dela até terminar um longo descanso.
Feature/&GiftoftheProtectorsTitle	Presente dos Protetores
Feature/&GnomeCunningFeatureDescription	Você tem vantagem em toda Inteligência, Sabedoria e Carisma salva contra a magia.
Feature/&GnomeCunningFeatureTitle	Astúcia
Feature/&GnomeNaturalIllusionistDescription	Você sabe que a Abelha irritante não consegue. A inteligência é seu modificador ortográfico para isso.
Feature/&GnomeNaturalIllusionistTitle	Magia Natural
Feature/&GraspingHandMagicAffinityDescription	quando você atinge uma criatura com sua explosão de eldritch, você pode mover essa criatura em uma linha reta 3 metros para mais perto de você.
Feature/&GraspingHandMagicAffinityTitle	Agarrando o jato
Feature/&HerbalBrewFeatureSetDescription	Você ganha proficiência com o kit envenenador ou com os kits de herbalismo se ainda não o tiver. \Quando você termina um longo descanso, você pode criar pães de ervas, cada um dos quais dura até o próximo descanso longo. Você cria um total de cervejas igual ao seu bônus de proficiência. Para cada cerveja, escolha um dos seguintes efeitos: \n<color=#add8e6ff>Fortifying Brew</color> : concede resistência a diferentes tipos de danos durante 1 hora.\n<color=#add8e6ff>Quickening Brew</color> : fornece 2d6 pontos de golpe.\n<color=#add8e6ff>Toxifying Brew</color> : atua como veneno que pode ser aplicado a uma arma que dura 1 minuto. Se o acerto cair, o alvo leva 1d4 de dano por veneno em cada acerto.
Feature/&HerbalBrewFeatureSetTitle	Cerveja Herbal
Feature/&HinderingBlastFeatureSetDescription	Quando você atinge uma criatura com sua explosão de eldritch, você pode reduzir a velocidade dessa criatura em 3 metros até o final de sua próxima curva
Feature/&HinderingBlastFeatureSetTitle	Dificultando a explosão
Feature/&HinderingBlastMagicAffinityDescription	quando você atinge uma criatura com sua explosão de eldritch, você pode reduzir a velocidade dessa criatura em 3 metros até o final de sua próxima curva
Feature/&HinderingBlastMagicAffinityTitle	Dificultando a explosão
Feature/&ImprovedPactWeaponDescription	Além disso, a arma ganha um bônus de +1 para seus feitiços de ataque e rolos de dano.
Feature/&ImprovedPactWeaponTitle	Arma de Pacto Melhorada
Feature/&ImprovedScoutModePowerDescription	Ganho de recursos aprimorados do Modo Escoteiro. Pode agora criar vantagem para aliados e desvantagem para inimigos com um único ataque
Feature/&ImprovedScoutModePowerTitle	Modo Escoteiro Melhorado
Feature/&ImprovedSentinelModePowerDescription	Ganho de características melhoradas do modo Sentinela através do poder Gauntlet Grapple.
Feature/&ImprovedSentinelModePowerTitle	Modo Sentinela Melhorado
Feature/&IndomitableResistanceAddDescription	+1 Uso de resistência indomável entre os descansos.
Feature/&IndomitableResistanceAddTitle	Resistência indomável (aumentada)
Feature/&IndomitableResistanceTitle	Resistência indomável
Feature/&InspirePowerDescription	Gaste um gambit die e inspire-se ou seu aliado a dar 1d6+2 temp hp
Feature/&InspirePowerTitle	Inspire
Feature/&InspiringSurgePowerDescription	Conceder a um aliado uma ação principal adicional por 1 rodada. Não se empilha com Action Surge.
Feature/&InspiringSurgePowerTitle	Surpresa inspiradora
Feature/&InspiringSurgePowerTitleShort	Surto inspirador
Feature/&KnockDownPowerDescription	Gaste uma morte de gambit e dê poder a seu ataque para fazer um dano adicional de 1d6+2 e derrube-os até o início de sua próxima curva se falharem uma economia de Força vs. 8 + sua Força + proficiência
Feature/&KnockDownPowerTitle	Derrubar
Feature/&KSRogueSubclassThugBrutalMethodsDescription	Você pode empurrar como uma ação bônus.
Feature/&KSRogueSubclassThugBrutalMethodsTitle	Métodos brutais
Feature/&KSRogueSubclassThugExploitVulnerabilitiesSneakAttackDescription	Você é capaz de usar o Sneak Attack com qualquer tipo de arma de combate corpo a corpo, não restrito a armas finas.\n1d6 danos extras (+1d6 a cada 2 níveis) a uma criatura que você atinge com a vantagem, uma vez por vez. Não há necessidade de vantagem se um aliado ativo estiver ao lado do alvo.
Feature/&KSRogueSubclassThugExploitVulnerabilitiesSneakAttackTitle	Ataque Polivalente à Espionagem
Feature/&KSRogueSubclassThugOvercomeCompetitionDescription	Você tem vantagem em suas verificações de Atletismo (Força).
Feature/&KSRogueSubclassThugOvercomeCompetitionTitle	Superar a competição
Feature/&KSRogueSubclassThugProficienciesDescription	Proficiente com armaduras e escudos médios.
Feature/&KSRogueSubclassThugProficienciesTitle	Equipamento pesado
Feature/&MiretheMindTitle	Mire the Mind
Feature/&MoonLitDarknessImmunityDescription	Você está imune à condição de escuridão
Feature/&MoonLitDarknessImmunityTitle	Escuridão Lunar
Feature/&MoonLitExpandedSpelllistAfinityDescription	Você escolhe de uma lista expandida de feitiços quando aprende um feitiço de mago. Os seguintes feitiços são adicionados à lista de feitiços de mago para você: \Nível 1: Fogo Faerie, Sono Nível 2: Viga Lunar, Ver Invisibilidade Nível 3: Luz do Dia, Padrão Hipnótico Nível 4: Maior Invisibilidade, Dominar Besta Nível 5: Pessoa Dominada, Golpe de Chama
Feature/&MoonLitExpandedSpelllistAfinityTitle	Lista de Spelllist MoonLit
Feature/&MoonLitLightAffinityDescription	Você pode se tornar invisível em pouca luz ou na escuridão natural
Feature/&MoonLitLightAffinityTitle	Manto Umbral
Feature/&OneWithShadowsDescription	Quando você está em uma área de pouca luz ou escuridão, você se torna invisível até que se mova ou tome uma ação ou uma reação.
Feature/&OneWithShadowsTitle	Um Com Sombras
Feature/&OtherworldlyLeapTitle	Outro salto mundial
Feature/&PowerAttackAttackModifierOneHandedDescription	Tome um -{0} para acertar a penalidade de seu ataque durante o resto da vez para fazer +{0} danos quando você aterrissa seus ataques. Somente para ser usado quando atacar com uma arma de mão única sem luz, corpo a corpo ou à queima-roupa.
Feature/&PowerAttackAttackModifierOneHandedTitle	Ataque de força com uma só mão
Feature/&PowerAttackConditionDescription	Tome um -{0} para acertar a penalidade de seu ataque durante o resto da vez para fazer +{0} danos quando você aterrissa seus ataques. Somente para ser usado quando atacar com uma arma de mão única sem luz, corpo a corpo ou à queima-roupa.
Feature/&PowerAttackConditionTitle	Ataque de força com uma só mão
Feature/&PowerAttackPowerDescription	Tome um -{0} para acertar a penalidade de seu ataque durante o resto da vez para fazer +{0} danos quando você aterrissa seus ataques. Somente para ser usado quando atacar com uma arma de mão única sem luz, corpo a corpo ou à queima-roupa.
Feature/&PowerAttackPowerTitle	Ataque de força com uma só mão
Feature/&PowerAttackTwoHandedAttackModifierDescription	Tome um -{0} para acertar a penalidade de seu ataque durante o resto da vez para fazer +{1} danos quando você aterrissa seus ataques. Somente para ser usado quando atacar com duas mãos, corpo a corpo ou à queima-roupa.
Feature/&PowerAttackTwoHandedAttackModifierTitle	Ataque com duas mãos
Feature/&PowerAttackTwoHandedConditionDescription	Tome um -{0} para acertar a penalidade de seu ataque durante o resto da vez para fazer +{1} danos quando você aterrissa seus ataques. Somente para ser usado quando atacar com duas mãos, corpo a corpo ou à queima-roupa.
Feature/&PowerAttackTwoHandedConditionTitle	Ataque com duas mãos
Feature/&PowerAttackTwoHandedPowerDescription	Tome um -{0} para acertar a penalidade de seu ataque durante o resto da vez para fazer +{1} danos quando você aterrissa seus ataques. Somente para ser usado quando atacar com duas mãos, corpo a corpo ou à queima-roupa.
Feature/&PowerAttackTwoHandedPowerTitle	Ataque com duas mãos
Feature/&PowerPaladinAuraOfCourage18Description	Conceder um bônus de economia de lançamento aos aliados com 30 pés.
Feature/&PowerPaladinAuraOfCourage18Title	Melhoria da Aura de Coragem
Feature/&PowerPaladinAuraOfProtection18Description	Você e seus aliados a menos de 30 pés não podem se assustar.
Feature/&PowerPaladinAuraOfProtection18Title	Melhoria da Aura de Proteção
Feature/&PowerTorchbearerDescription	Tentativa de incendiar um alvo comum!
Feature/&PowerTorchbearerTitle	Tentador de tochas
Feature/&PrimalChampionDescription	No 20º nível, você encarna o poder dos selvagens. Sua força e sua pontuação na Constituição aumentam em 4
Feature/&PrimalChampionTitle	Campeão Primal
Feature/&ProficiencyBolgrifLanguagesDescription	Comum, Elfico e Gigante
Feature/&ProficiencyBolgrifLanguagesTitle	Idioma
Feature/&ProficiencyGnomishLanguagesDescription	Comum, gnomish
Feature/&ProficiencyGnomishLanguagesTitle	Idiomas
Feature/&ProficiencyRogueBlindSenseDescription	A partir do 14º nível, se você for capaz de ouvir, você está ciente da localização de qualquer criatura escondida ou invisível a menos de 3 metros de você.
Feature/&ProficiencyRogueBlindSenseTitle	Blindsense
Feature/&ProficiencyRogueSlipperyMindDescription	No 15º nível, você adquiriu maior força mental. Você ganha proficiência em lançamentos salvadores de Sabedoria.
Feature/&ProficiencyRogueSlipperyMindTitle	Mente escorregadia
Feature/&RageDamageBonusAttackModifierDescription	Acrescente +2 danos a seus ataques enquanto está em fúria.
Feature/&RageDamageBonusAttackModifierTitle	Danos de raiva
Feature/&RageFeatConditionDescription	Enquanto estiver enfurecido, você ganha o seguinte: Vantagem nas verificações de força e nos lançamentos de economia de força, um bônus para rolos de dano de +2, e resistência a pancadas, piercing e corte de danos.
Feature/&RageFeatConditionTitle	Enraivecido
Feature/&RagePowerDescription	Como ação bônus, você entra em fúria por um minuto e ganha o seguinte: Vantagem em verificações de força e lançamentos de economia de força, um bônus para rolos de dano de +2, e resistência a golpes, piercing e corte de danos.
Feature/&RagePowerTitle	Fúria
Feature/&RageStrengthSavingThrowAffinityDescription	Você obtém vantagem na economia de força enquanto se enfurece
Feature/&RageStrengthSavingThrowAffinityTitle	A força da raiva economiza vantagem
Feature/&RallyingCryPowerDescription	Substitui o Segundo Vento por um poder para restaurar 4x os níveis de combate a um ou mais aliados dentro de 6 células, até o seu ponto máximo de golpe.
Feature/&RallyingCryPowerTitle	Choro de Rally
Feature/&RallyingCryPowerTitleShort	Choro de rali
Feature/&RangerArcanistMagicDescription	A partir do 3º nível, você aprende um feitiço adicional quando alcança certos níveis nesta classe. Cada feitiço conta como um feitiço de ranger para você, mas não conta contra o número de feitiços de ranger que você conhece. Os feitiços são: Nível 3: Escudo, Nível 5: Passo enevoado, Nível 9: Pressa, Nível 13: Porta de Dimensão, e Nível 17: Segurar Monstro. Além disso, você é proficiente em lançar feitiços em batalha, e pode lançar feitiços que requerem um componente somático mesmo que ambas as mãos estejam segurando uma arma ou escudo.
Feature/&RangerArcanistMagicTitle	Fundição de Feitiços de Arcanistas Rangers
Feature/&RangerFeatureSetFoeSlayerDescription	No 20º nível, você se torna um caçador inigualável de seus inimigos. Uma vez em cada um de seus turnos, você pode adicionar seu modificador de Sabedoria ao rolo de Ataque ou ao rolo de dano de um Ataque que você faz contra um de seus inimigos preferidos.
Feature/&RangerFeatureSetFoeSlayerTitle	Caçador de inimigos
Feature/&RangerFeralSensesDescription	Você ganha sentidos preternaturais que o ajudam a combater criaturas que você não pode ver. Quando você ataca uma criatura que não consegue ver, sua incapacidade de vê-la não impõe desvantagens em seu ataque rola contra ela.
Feature/&RangerFeralSensesTitle	Sentidos ferozes
Feature/&RangerVanishActionDescription	A partir do 14º nível, você pode usar a ação Esconder como uma ação bônus na sua vez.
Feature/&RangerVanishActionTitle	Desapareça
Feature/&RepellingBlastMagicAffinityDescription	Quando você atinge uma criatura com eldritch blast, você pode empurrar a criatura até 3 metros de distância de você em linha reta.
Feature/&RepellingBlastMagicAffinityTitle	Explosão repelente
Feature/&RiftWalkerRestrainedImmunityTitle	Etapa da Frota
Feature/&RiftWalkerSpellsMagicAffinityDescription	Você escolhe de uma lista expandida de feitiços quando aprende um feitiço de mago. Os seguintes feitiços são adicionados à lista de feitiços de mago para você: \Nível 1: Saltar, Longstrider Nível 2: Borrar, Passar Sem Rastro Nível 3: Pressa, Lento Nível 4: Liberdade de Movimento, Maior Invisibilidade Nível 5: Torcer a Mente, Dispersar o Mal e o Bem
Feature/&RiftWalkerSpellsMagicAffinityTitle	Aprenda os feitiços do Rift Walker
Feature/&RoyalEnvoyFeatureDescription	Adicione metade de seu bônus de proficiência (arredonde para cima) a qualquer verificação de Carisma que você faça e que ainda não use seu bônus de proficiência. Além disso, você se torna proficiente com lançamentos de economia de Carisma.
Feature/&RoyalEnvoyFeatureTitle	Enviado Real
Feature/&SavingThrowTinkererProficiencyDescription	Proficiência na Constituição e na inteligência
Feature/&SavingThrowTinkererProficiencyTitle	Salvando a Proficiência de Arremesso
Feature/&ScoutModePowerDescription	Ganhe maior movimento, vantagem de furtividade e um ataque à distância que lida com um dado extra de dano uma vez por vez.
Feature/&ScoutModePowerTitle	Modo Escoteiro
Feature/&SentinelModePowerDescription	Ganhe um número limitado de TempHP com base no nível. Impor Desvantagem aos inimigos que atacam aliados.
Feature/&SentinelModePowerTitle	Modo Sentinela
Feature/&ShroudofShadowTitle	Sudário de Sombra
Feature/&SignofIllOmenTitle	Sinal de mau agouro
Feature/&TempHPShield_09ModePowerDescription	Convoca uma construção que dura 1 hora. \cúpula de proteção: Subsídios 1D8 + 4 HP temporários para aliados a 10 pés. \Autodestruição: trata de danos por força 3D8 em uma unidade que falhou, salvando e destruindo a unidade.
Feature/&TempHPShield_09ModePowerTitle	Invocação de Construção de Cúpula Protetora
Feature/&TempHPShield_15ModePowerDescription	Convoca uma construção que dura 1 hora. \cúpula de proteção: Subsídios 1D8 + 4 HP temporários para aliados a 10 pés. \Autodestruição: trata de danos por força 3D8 em uma unidade que falhou, salvando e destruindo a unidade. \Cúpula de Meia Cobertura : Fornece metade da cobertura aos aliados num raio de 10 pés.
Feature/&TempHPShield_15ModePowerTitle	Invocar a Proteção da Cúpula Construir
Feature/&TempHPShieldModePowerDescription	Convoca uma construção que dura 1 hora. \cúpula de proteção: Subsídios 1D8 + 4 HP temporários para aliados a 10 pés.
Feature/&TempHPShieldModePowerTitle	Invocação de Construção de Cúpula Protetora
Feature/&TempHPShieldTitle	Protegendo a cúpula
Feature/&ThiefofFiveFatesTitle	Ladrão de Cinco Destinos
Feature/&ThirstingBladeDescription	Você pode atacar com sua arma duas vezes, ao invés de uma vez, sempre que você tomar a ação de Ataque na sua vez.
Feature/&ThirstingBladeTitle	Lâmina sedenta
Feature/&TinkererArmorProficiencyDescription	Proficiência com armaduras leves e médias, assim como com escudos
Feature/&TinkererArmorProficiencyTitle	Tinkerer Armor Proficiency
Feature/&TinkererSkillGainChoicesPluralDescription	As habilidades dos funileiros são Arcana, História, Investigação, Medecine, Natureza, Percepção e Visão de Mão
Feature/&TinkererSkillPointsTitle	Habilidades de Tinkerer
Feature/&TinkererToolsExpertiseDescription	Ganhe experiência com muitas ferramentas, incluindo as ferramentas Thieve's Tools, Scroll Kits, Kit Poisoner's Kit, Herbalism Kit, e Enchanting Tools
Feature/&TinkererToolsExpertiseTitle	Especialização em ferramentas Tinkerer
Feature/&TinkererToolsProficiencyDescription	Ganhe proficiência com muitas ferramentas, incluindo Ferramentas de Roubo, Kits de Pergaminho, Kit de Veneno, Kit de Herbalismo e Ferramentas de Encantamento
Feature/&TinkererToolsProficiencyTitle	Proficiências de ferramentas
Feature/&TinkererWeaponProficiencyDescription	Proficiência com armas simples
Feature/&TinkererWeaponProficiencyTitle	Proficiências das armas Tinkerer
Feature/&ToadKingBasicToxinTitle	Toxina básica
Feature/&ToadKingExpandedSpelllistAfinityDescription	Você escolhe de uma lista expandida de feitiços quando aprende um feitiço de mago. Os seguintes feitiços são adicionados à lista de feitiços de mago para você: \Nível 1: Graxa, Detectar Veneno e Doença Nível 2: Flecha Ácida, Escalada de Aranha Nível 3: Lento, Nuvem Fedorenta Nível 4: Tentáculos Negros, Liberdade de Movimento Nível 5: Contato, Peste de Insetos
Feature/&ToadKingExpandedSpelllistAfinityTitle	Feitiços do Rei Sapo
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Seu corpo mudou para se tornar resistente a toxinas e para produzir uma toxina defensiva quando atacado na faixa de melee (até PB vezes por dia). se o atacante falhar uma economia de Con, eles se tornam toxina lucinogênica até que sejam atacados ou interrompidos de outra forma.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Toxina alucinógena
Feature/&ToadKingJumpTitle	Pular
Feature/&ToadKingPoisonConditionAffinityTitle	Imune à condição de intoxicação
Feature/&ToadKingPoisonDamageAffinityTitle	Imune a danos por veneno
Feature/&ToadKingStickyFeetTitle	Pés da cama da web
Feature/&Trickster'sEscapeTitle	Fuga do Trickster
Feature/&UrPriestDomainTheftDescription	Você arrebata os segredos que um deus concede a todos os seus clérigos devotos. Escolha um domínio clérigo: você ganha as características que o domínio concede ao 1º nível.
Feature/&UrPriestDomainTheftTitle	Roubo de domínio
Feature/&UrPriestExpandedSpelllistAfinityDescription	Você escolhe de uma lista expandida de feitiços quando aprende um feitiço de mago. Os feitiços clérigos são adicionados à lista de feitiços de mago para você
Feature/&UrPriestExpandedSpelllistAfinityTitle	Feitiços UrPriest
Feature/&WallofThornsFeatureSetDescription	Muro de Espinhos fundido uma vez por dia
Feature/&WallofThornsFeatureSetTitle	Barreira florestal
Feature/&ZSPowerPaladinCleansingTouchDescription	Remover os efeitos de feitiços tocando um aliado. Você pode fazer isso um número de vezes por dia igual ao seu modificador de Carisma.
Feature/&ZSPowerPaladinCleansingTouchTitle	Toque de Limpeza
Feedback/&AdditionalDamageAgonizing_BlastFormat	Explosão agonizante
Feedback/&AdditionalDamageAgonizing_BlastLine	Quando você lança um feitiço usando dano por força (explosão de eldritch), acrescente seu modificador de Carisma ao dano que ele trata em um golpe.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Danos adicionais de Ataques com Poder Magnético
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Danos adicionais causados por ataques com energia mágica
Feedback/&AdditionalDamageArcaneFirearmFormat	Melhoria de jateamento!
Feedback/&AdditionalDamageArcaneFirearmLine	Lidando com os danos adicionais causados pelo aumento do jateamento
Feedback/&AdditionalDamageArcanistMarkFormat	Marca do Arcanista!
Feedback/&AdditionalDamageArcanistMarkLine	O Arcanist's Mark detona e causa danos extras ao alvo!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Ataque Iluminador!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Iluminando o Strike causa danos extras ao alvo!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arma Cegante
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Danos adicionais e tentativa de aplicar a cegueira da Arma Cega.
Feedback/&AdditionalDamageElementalDamageFormat	Danos Elementares
Feedback/&AdditionalDamageElementalDamageLine	A forma elementar garante danos adicionais
Feedback/&AdditionalDamagePactMarkedFormat	Marca do pacto!
Feedback/&AdditionalDamagePactMarkedLine	A marca Pact faz danos adicionais!
Feedback/&AdditionalDamagePactSoulTakerFormat	Tirador de alma!
Feedback/&AdditionalDamagePactSoulTakerLine	O "Soul taker" faz danos adicionais!
Feedback/&AdditionalDamagePugilistFormat	Pugilista
Feedback/&AdditionalDamagePugilistLine	Danos adicionais desarmados do Pugilista
Feedback/&AdditionalDamageSoulEmpoweredFormat	Alma capacitada!
Feedback/&AdditionalDamageSoulEmpoweredLine	A Soul Empowered faz danos adicionais!
Feedback/&AdditionalDamageUpgradedConstructFormat	Danos atualizados
Feedback/&AdditionalDamageUpgradedConstructLine	A construção melhorada oferece mais danos 1D8 por golpe
Feedback/&ExtraDamageDescription	Danos extras da Lança de Iluminação
Feedback/&ExtraDamageTitle	Danos extras da Lança de Raios
Feedback/&LightningSpearAdditionalDamageDescription	danos causados por raios 1D6 extra uma vez por volta
Feedback/&LightningSpearAdditionalDamageTitle	Danos extras da Lança de Raios
FightingStyle/&BlindFightingDescription	Você tem uma persiana com alcance de 3 metros.
FightingStyle/&BlindFightingTitle	Combate às persianas
FightingStyle/&PugilistFightingDescription	Enquanto você está completamente desarmado, suas greves desarmadas provocam um d8 adicional de dano e você pode dar um soco com sua mão, como uma ação bônus.
FightingStyle/&PugilistFightingTitle	Pugilista
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Selecione 2 proficiências de habilidade
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Habilidades
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Selecione 3 proficiências de habilidade
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Habilidades
FlexibleBackgrounds/&BackgroundToolSelectDescription	Selecione uma proficiência em ferramentas
FlexibleBackgrounds/&BackgroundToolSelectTitle	Ferramenta
FlexibleRaces/&PointPoolAbilityScore3Description	Use três aumentos nas pontuações de habilidade em qualquer combinação de sua escolha.
FlexibleRaces/&PointPoolAbilityScore3Title	Aumento das pontuações de habilidade
FlexibleRaces/&PointPoolAbilityScore4Description	Use quatro aumentos nas pontuações de habilidade em qualquer combinação de sua escolha.
FlexibleRaces/&PointPoolAbilityScore4Title	Aumento das pontuações de habilidade
Format/&LevelAndExperienceFormat	Nível: {0}nExperiência: {Pontos necessários para atingir o nível 3.
Format/&LevelAndExperienceMaxedFormat	Nível: {0}nExperiência: {Nível máximo alcançado.
Item/&ForceArtilleryProjectileDescription	ForceArtilleryProjectile
Item/&ForceArtilleryProjectileTitle	ForceArtilleryProjectile
Language/&GnomishDescription	Uma antiga língua solastana, preservada por gnomos que vivem em florestas profundas de Solasta, sobreviveu ao Cataclismo.
Language/&GnomishTitle	Gnomish
MainMenu/&ExportPdfDescription	Nivele abaixo este Herói
MainMenu/&ExportPdfTitle	Nível Abaixo
Message/&CharacterExportDuplicateNameErrorDescription	Exportação Cancelada: um herói com este nome já existe na piscina. Por favor, tente um nome diferente.
Message/&CharacterExportEmptyNameErrorDescription	Exportação Cancelada:\nPor favor, tente um nome não vazio.
Message/&CharacterExportModalContentDescription	Digite o nome do herói a ser exportado:
Message/&CharacterExportModalTitleDescription	Exportação de caracteres
Message/&LevelDownConfirmationDescription	Nivele abaixo este Herói?
Message/&MessageModWelcomeDescription	O Community Expansion Mod está repleto de recursos interessantes, mas por padrão nenhum está habilitado. Pressione <color=amarelo>Ctrl-F10</cor> para abrir a UI Unity Mod Manager [UMM], depois clique no ícone de configurações ao lado de 'Community Expansion' para abrir as páginas de configurações.\n\n Explore as opções e selecione as que você gosta. A interface de usuário UMM será aberta agora.
Message/&MessageModWelcomeTitle	Modalidade de Expansão da Comunidade
Message/&SpawnCustomEncounterDescription	Desovar o encontro nas coordenadas ({0}, {1})?
Message/&SpawnCustomEncounterTitle	Encontro
Message/&TeleportPartyDescription	Teleporte para coordenadas ({0}, {1})?{1}pode quebrar missões ou mapas se você se teletransportar para um lugar não descoberto
Message/&TeleportPartyTitle	Teleporto
Modifier/&DisorientDescription	-1d6 para atacar rolos
Modifier/&DisorientTitle	Desorientado
Modifier/&RuinedDescription	-3 para a classe Armor
Modifier/&RuinedTitle	Arruinado
Monster/&DH_Custom_AirTitan_Description	Quando convocados, estes elementais mais velhos manifestam-se como seres de capacidade apocalíptica, entidades cuja mera existência promete destruição.
Monster/&DH_Custom_AirTitan_Title	<color=#ff0000ff>Primordial Air Titan</cor>
Monster/&DH_Custom_AncientBlackDragon_Description	Os mais mal-humorados e vis dos dragões cromáticos, os dragões negros recolhem os destroços e os tesouros dos povos caídos. Estes dragões detestam ver os fracos prosperar e se divertir no colapso dos reinos humanóides. Eles fazem suas casas em pântanos fétidos e ruínas desmoronadas onde os reinos outrora estavam.
Monster/&DH_Custom_AncientBlackDragon_Title	<color=#ff0000ff>Ancient Black Dragon</cor>
Monster/&DH_Custom_AncientBlueDragon_Description	Vaidosos e territoriais, os dragões azuis voam pelos céus sobre os desertos, pregando em caravanas e saqueando rebanhos e assentamentos nas terras verdejantes além do alcance do deserto. Estes dragões também podem ser encontrados em estepes secas, em terras ruins e em costas rochosas. Eles guardam seus territórios contra todos os concorrentes potenciais, especialmente os dragões de latão.
Monster/&DH_Custom_AncientBlueDragon_Title	<color=#ff0000ff>Ancient Blue Dragon</cor>
Monster/&DH_Custom_AncientGreenDragon_Description	Os mais astutos e traiçoeiros dos verdadeiros dragões, os dragões verdes usam a má direção e a trapaça para se imporem contra seus inimigos. Maldosos temperados e completamente maus, eles têm um prazer especial em subverter e corromper os de bom coração. Nas florestas antigas eles vagueiam, os dragões verdes demonstram uma agressão que muitas vezes se trata menos de território do que de ganhar poder e riqueza com o menor esforço possível.
Monster/&DH_Custom_AncientGreenDragon_Title	<color=#ff0000ff>Ancient Green Dragon</cor>
Monster/&DH_Custom_AncientRedDragon_Description	Os mais cobiçosos dos verdadeiros dragões, os dragões vermelhos procuram incansavelmente aumentar seus acervos de tesouros. Eles são excepcionalmente vaidosos, mesmo para os dragões, e sua presunção se reflete em seu orgulho e seu desprezo por outras criaturas.
Monster/&DH_Custom_AncientRedDragon_Title	<color=#ff0000ff>Ancient Red Dragon</cor>
Monster/&DH_Custom_AncientWhiteDragon_Description	Os menores, menos inteligentes e mais animalescos dos dragões cromáticos, dragões brancos habitam em climas frígidos, favorecendo áreas árticas ou montanhas geladas. Eles são répteis cruéis e cruéis, movidos pela fome e pela ganância.
Monster/&DH_Custom_AncientWhiteDragon_Title	<color=#ff0000ff>Dragão Branco Antigo</cor>
Monster/&DH_Custom_Archmage_Description	As imagens das arcadas são poderosos (e geralmente bastante antigos) castres ortográficos dedicados ao estudo das artes arcanas. Os benevolentes aconselham reis e rainhas, enquanto os malvados governam como tiranos e perseguem o lichdom. Aqueles que não são bons nem maus se sequestram em torres remotas para praticar sua magia sem interrupção.
Monster/&DH_Custom_Archmage_Title	<color=#ff0000ff>Arqumage</cor>
Monster/&DH_Custom_Balor_Description	Figuras do mal antigo e terrível, os balors governam como generais sobre exércitos demoníacos, ansiando por tomar o poder enquanto destroem quaisquer criaturas que se oponham a eles
Monster/&DH_Custom_Balor_Title	<color=#ff0000ff>Balor</cor>
Monster/&DH_Custom_ConstructTitan_Description	Construções maciças construídas para a guerra e forjadas de metal pesado. Um imparável malabarismo, existe para seguir as ordens de seu criador, e protege ou ataca como esse criador exige.
Monster/&DH_Custom_ConstructTitan_Title	<color=#ff0000ff>Mechanical Construct Titan</color>
Monster/&DH_Custom_Deva_Description	Os Devas são anjos que atuam como mensageiros ou agentes divinos para o Plano Material,
Monster/&DH_Custom_Deva_Title	<color=#ff0000ff>Deva</cor>
Monster/&DH_Custom_Djinni_Description	Orgulhosos gênios do Plano Elemental do Ar, Mestres do Ar, os djinn cavalgam poderosos redemoinhos que eles criam e dirigem por capricho, e que podem até mesmo transportar passageiros.
Monster/&DH_Custom_Djinni_Title	<color=#ff0000ff>Djinni</cor>
Monster/&DH_Custom_EarthTitan_Description	Quando convocados, estes elementais mais velhos manifestam-se como seres de capacidade apocalíptica, entidades cuja mera existência promete destruição.
Monster/&DH_Custom_EarthTitan_Title	<color=#ff0000ff>Primordial Earth Titan</cor>
Monster/&DH_Custom_Efreeti_Description	Gênios de tosco do Plano Elemental do Fogo, os efreet são mestres da chama, imunes ao fogo e capazes de criá-lo por um capricho.
Monster/&DH_Custom_Efreeti_Title	<color=#ff0000ff>Efreeti</cor>
Monster/&DH_Custom_Erinyes_Description	os erinyes são guerreiros ferozes e disciplinados. Varrendo dos céus, eles trazem morte rápida para as criaturas que enganaram seus senhores.
Monster/&DH_Custom_Erinyes_Title	<color=#ff0000ff>Erinyes</cor>
Monster/&DH_Custom_FireTitan_Description	Quando convocados, estes elementais mais velhos manifestam-se como seres de capacidade apocalíptica, entidades cuja mera existência promete destruição.
Monster/&DH_Custom_FireTitan_Title	<color=#ff0000ff>Primordial Fire Titan</cor>
