ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
Feature/&HerbalBrewFeatureSetDescription	Acquisisci competenza con il kit avvelenatore o con i kit di erboristeria se non lo hai già.\nQuando finisci un riposo lungo, puoi creare infusi alle erbe, ognuno dei quali dura fino al successivo riposo lungo. Crei un totale di birre pari al tuo bonus di competenza. Per ogni infuso, scegli uno dei seguenti effetti:\n<color=#add8e6ff>Birra fortificante</color>: conferisce resistenza a diversi tipi di danno per 1 ora.\n<color=#add8e6ff>Birra veloce</color>: fornisce 2d4 punti ferita.\n<color=#add8e6ff>Birra Tossinante</color>: agisce come veleno che può essere applicato a un'arma che dura 1 minuto. Se il colpo va a segno, il bersaglio subisce 1d4 danni da veleno per ogni colpo.
Feature/&HerbalBrewFeatureSetTitle	Birra alle erbe
Feature/&HinderingBlastDescription	Quando colpisci una creatura con la tua ondata mistica, puoi ridurre la velocità di quella creatura di 3 metri fino alla fine del tuo prossimo turno.
Feature/&HinderingBlastMagicAffinityDescription	quando colpisci una creatura con la tua ondata mistica, puoi ridurre la velocità di quella creatura di 3 metri fino alla fine del tuo prossimo turno.
Feature/&HinderingBlastMagicAffinityTitle	Esplosione Ostacolante
Feature/&HinderingBlastTitle	Esplosione Ostacolante
Feature/&ImprovedPactWeaponDescription	Puoi usare qualsiasi arma come focus di incantamento per i tuoi incantesimi da Stregone. Inoltre, l'arma ottiene un bonus di +1 ai suoi tiri per colpire e per i danni.
Feature/&ImprovedPactWeaponTitle	Arma del patto migliorata
Feature/&ImprovedScoutModePowerDescription	Ottieni funzionalità della modalità Scout migliorate. Ora può creare vantaggio per gli alleati e svantaggio per i nemici con un singolo attacco.
Feature/&ImprovedScoutModePowerTitle	Modalità Scout migliorata
Feature/&ImprovedSentinelModePowerDescription	Ottieni funzionalità della modalità Sentinella migliorate tramite il potere Gauntlet Grapple.
Feature/&ImprovedSentinelModePowerTitle	Modalità Sentinella migliorata
Feature/&IndomitableResistanceAddDescription	+1 Indomabile Resistenza all'uso tra le pause.
Feature/&IndomitableResistanceAddTitle	Resistenza indomabile (aumentata)
Feature/&IndomitableResistanceTitle	Resistenza indomita
Feature/&InspirePowerDescription	Spendi un dado mossa e ispira te stesso o il tuo alleato a dare 1d6 + 2 pf temporanei.
Feature/&InspirePowerTitle	Ispirare
Feature/&InspiringSurgePowerDescription	Concedi a un alleato un'azione principale aggiuntiva per 1 round. Non si accumula con Action Surge.
Feature/&InspiringSurgePowerTitle	Spinta ispiratrice
Feature/&InspiringSurgePowerTitleShort	Spinta ispiratrice
Feature/&KnockDownPowerDescription	Spendi un dado mossa e potenzia il tuo attacco per infliggere 1d6 + 2 danni contundenti aggiuntivi. Il bersaglio effettua un Tiro Salvezza (CD 8 + il tuo bonus di competenza + il tuo modificatore di Forza) o viene atterrato fino all'inizio del suo prossimo turno.
Feature/&KnockDownPowerTitle	Stendere
Feature/&MagicAffinityRangerArcanistDescription	Sei abile nel lanciare incantesimi in battaglia e puoi lanciare incantesimi che richiedono una componente somatica anche se entrambe le tue mani impugnano un'arma o uno scudo.
Feature/&MagicAffinityRangerArcanistTitle	Addestramento al combattimento arcano
Feature/&MiretheMindTitle	Infanga la mente
Feature/&MoonLitDarknessImmunityDescription	Sei immune alla condizione di oscurità.
Feature/&MoonLitDarknessImmunityTitle	Oscurità al chiaro di luna
Feature/&MoonLitExpandedSpelllistAfinityDescription	Scegli da un elenco esteso di incantesimi quando impari un incantesimo da Stregone. I seguenti incantesimi vengono aggiunti all'elenco degli incantesimi da Stregone per te: {0}
Feature/&MoonLitExpandedSpelllistAfinityTitle	Incantesimi al chiaro di luna
Feature/&MoonLitLightAffinityDescription	Se inizi il tuo turno nell'oscurità naturale, diventi invisibile. Muoversi, attaccare o usare qualsiasi potere o incantesimo che non prende di mira solo te stesso rompe l'invisibilità.
Feature/&MoonLitLightAffinityStrongDescription	Il Mantello Ombrale ora funziona in condizioni di luce fioca e oscurità magica.
Feature/&MoonLitLightAffinityStrongTitle	Mantello ombroso migliorato
Feature/&MoonLitLightAffinityTitle	Mantello Ombroso
Feature/&OneWithShadowsDescription	Se inizi il tuo turno nell'oscurità naturale, diventi invisibile. Muoversi, attaccare o usare qualsiasi potere o incantesimo che non prende di mira solo te stesso rompe l'invisibilità.
Feature/&OneWithShadowsLightAffinityDescription	Se inizi il tuo turno nell'oscurità naturale, diventi invisibile. Muoversi, attaccare o usare qualsiasi potere o incantesimo che non prende di mira solo te stesso rompe l'invisibilità.
Feature/&OneWithShadowsLightAffinityStrongDescription	One With Shadows ora funziona in condizioni di luce fioca e oscurità magica.
Feature/&OneWithShadowsLightAffinityStrongTitle	Ombre più scure
Feature/&OneWithShadowsLightAffinityTitle	Uno con le ombre
Feature/&OneWithShadowsStrongerDescription	One With Shadows ora funziona in condizioni di scarsa illuminazione e oscurità magica.
Feature/&OneWithShadowsStrongerTitle	Ombre più scure
Feature/&OneWithShadowsTitle	Uno con le ombre
Feature/&OpportunistDebilitatingStrikeDescription	Il tuo attacco furtivo fa sì che il bersaglio effettui un tiro salvezza di Costituzione (CD 8 + il tuo bonus di competenza + il tuo modificatore di Destrezza) o subisca una delle seguenti condizioni: accecato, flagrante, sanguinante o stordito.
Feature/&OpportunistDebilitatingStrikeTitle	Colpo Debilitante
Feature/&OpportunistQuickStrikeDescription	Hai vantaggio quando attacchi un nemico la cui iniziativa è inferiore alla tua. Inoltre, hai anche vantaggio quando esegui un attacco di opportunità.
Feature/&OpportunistQuickStrikeTitle	Attacco rapido
Feature/&OtherworldlyLeapTitle	Salto ultraterreno
Feature/&PowerAttackDescription	Prendi una penalità di -3 per colpire al tuo attacco per infliggere 3 + bonus di competenza danni extra quando sferri i tuoi colpi con armi da mischia.
Feature/&PowerAttackTitle	Attacco di POTENZA
Feature/&PowerPaladinAuraOfCourage18Description	Concede un bonus al tiro salvezza agli alleati entro 9 metri.
Feature/&PowerPaladinAuraOfCourage18Title	Aura di coraggio migliorata
Feature/&PowerPaladinAuraOfProtection18Description	Tu e i tuoi alleati entro 9 metri non potete spaventarvi.
Feature/&PowerPaladinAuraOfProtection18Title	Aura di protezione migliorata
Feature/&PowerTorchbearerDescription	Tenta di dare fuoco a un bersaglio in mischia!
Feature/&PowerTorchbearerTitle	tedoforo
Feature/&PrimalChampionDescription	Al 20° livello, incarni il potere delle terre selvagge. I tuoi punteggi di Forza e Costituzione aumentano di 4.
Feature/&PrimalChampionTitle	Campione Primordiale
Feature/&ProficiencyBolgrifLanguagesDescription	Comune, Elfico e Gigante.
Feature/&ProficiencyBolgrifLanguagesTitle	Lingua
Feature/&ProficiencyGnomishLanguagesDescription	Comune, Gnomico.
Feature/&ProficiencyGnomishLanguagesTitle	Le lingue
Feature/&ProficiencyRogueBlindSenseDescription	A partire dal 14° livello, se sei in grado di sentire, sei consapevole della posizione di qualsiasi creatura nascosta o invisibile entro 3 metri da te.
Feature/&ProficiencyRogueBlindSenseTitle	Senso cieco
Feature/&ProficiencyRogueSlipperyMindDescription	Al 15° livello, hai acquisito maggiore forza mentale. Acquisisci competenza nei tiri salvezza di Saggezza.
Feature/&ProficiencyRogueSlipperyMindTitle	Mente scivolosa
Feature/&ProficiencySoulBladeArmorDescription	Armatura leggera, Armatura media e Scudo.
Feature/&ProficiencySoulBladeArmorTitle	Competenze nelle armature di Soulblade
Feature/&ProficiencySoulBladeWeaponDescription	Armi semplici, armi da guerra.
Feature/&ProficiencySoulBladeWeaponTitle	Competenze nelle armi di Soulblade
Feature/&RageDamageBonusAttackModifierDescription	Aggiungi +2 danni ai tuoi attacchi mentre sei in preda all'ira.
Feature/&RageDamageBonusAttackModifierTitle	Danno da rabbia
Feature/&RageFeatConditionDescription	Mentre sei arrabbiato ottieni quanto segue: vantaggio alle prove di Forza e ai tiri salvezza di Forza, un bonus ai tiri per i danni di +2 e resistenza ai danni contundenti, perforanti e taglienti.
Feature/&RageFeatConditionTitle	Infuriare
Feature/&RagePowerDescription	Come azione bonus, si entra in rabbia per un minuto e si ottengono i seguenti vantaggi: vantaggio alle prove di Forza e ai tiri salvezza di Forza, bonus ai tiri per i danni di +2 e resistenza ai danni contundenti, perforanti e taglienti.
Feature/&RagePowerTitle	Rabbia
Feature/&RageStrengthSavingThrowAffinityDescription	Ottieni vantaggio sui tiri salvezza sulla Forza mentre sei in preda all'ira.
Feature/&RageStrengthSavingThrowAffinityTitle	Vantaggio del salvataggio di Forza di rabbia
Feature/&RallyingCryPowerDescription	Sostituisce Secondo Vento con un potere per ripristinare 4 punti ferita del livello combattente a uno o più alleati entro 6 caselle, fino al massimo dei loro punti ferita.
Feature/&RallyingCryPowerTitle	Grido di battaglia
Feature/&RallyingCryPowerTitleShort	Grido di battaglia
Feature/&RangerFeralSensesDescription	Acquisisci sensi soprannaturali che ti aiutano a combattere le creature che non puoi vedere. Quando attacchi una creatura che non puoi vedere, la tua incapacità di vederla non impone svantaggio ai tuoi tiri per colpire contro di essa.
Feature/&RangerFeralSensesTitle	Sensi selvaggi
Feature/&RangerVanishActionDescription	A partire dal 14° livello, puoi usare l'azione Nascondersi come azione bonus nel tuo turno.
Feature/&RangerVanishActionTitle	Svanire
Feature/&RiftWalkerRestrainedImmunityTitle	Passo fugace
Feature/&RiftWalkerSpellsMagicAffinityDescription	Scegli da un elenco esteso di incantesimi quando impari un incantesimo da Stregone. I seguenti incantesimi vengono aggiunti all'elenco degli incantesimi da Stregone per te: {0}
Feature/&RiftWalkerSpellsMagicAffinityTitle	Incantesimi di Rift Walker
Feature/&RoyalEnvoyFeatureDescription	Aggiungi metà del tuo bonus di competenza (arrotondato per eccesso) a qualsiasi prova di Carisma effettuata che non utilizzi già il tuo bonus di competenza. Inoltre, diventi esperto nei tiri salvezza di Carisma.
Feature/&RoyalEnvoyFeatureTitle	Inviato reale
Feature/&SavingThrowTinkererProficiencyDescription	Competenza nei tiri salvezza su Costituzione e Intelligence.
Feature/&SavingThrowTinkererProficiencyTitle	Competenza nei tiri salvezza
Feature/&ScoutModePowerDescription	Ottieni maggiore movimento, vantaggio alle prove di Furtività e una volta per turno, i tuoi attacchi con armi a distanza infliggono un dado di danno extra.
Feature/&ScoutModePowerTitle	Modalità scout
Feature/&SentinelModePowerDescription	Guadagna HP Temp pari al livello. Imponi Svantaggio ai nemici che attaccano gli alleati.
Feature/&SentinelModePowerTitle	Modalità Sentinella
Feature/&ShroudofShadowTitle	Manto d'Ombra
Feature/&SignofIllOmenTitle	Segno di cattivo presagio
Feature/&SpellAsInvocationAtWillDescription	Lancia {0} a piacimento.
Feature/&SpellAsInvocationOncePerDayDescription	Lancia {0} una volta fino al riposo lungo.
Feature/&TempHPShield_09ModePowerDescription	Evoca un costrutto che dura 1 ora.\nCupola protettiva: fornisce 1d8 + 4 HP temporanei agli alleati entro 3 metri.\nAutodistruzione: infligge 3d8 danni da forza se fallisce il tiro salvezza e distrugge l'unità.
Feature/&TempHPShield_09ModePowerTitle	Evoca il costrutto della cupola protettiva
Feature/&TempHPShield_15ModePowerDescription	Evoca un costrutto che dura 1 ora.\nCupola protettiva: fornisce 1d8 + 4 HP temporanei agli alleati entro 3 metri.\nAutodistruzione: infligge 3d8 danni da forza se fallisce il tiro salvezza e distrugge l'unità.\n Cupola a mezza copertura: fornisce mezza copertura agli alleati entro 10 piedi.
Feature/&TempHPShield_15ModePowerTitle	Evoca il costrutto della cupola protettiva
Feature/&TempHPShieldModePowerDescription	Evoca un costrutto che dura 1 ora.\nCupola protettiva: fornisce 1d8 + 4 HP temporanei agli alleati entro 3 metri.
Feature/&TempHPShieldModePowerTitle	Evoca il costrutto della cupola protettiva
Feature/&TempHPShieldTitle	Cupola di protezione
Feature/&ThiefofFiveFates	Trasmetti {0} una volta al giorno
Feature/&ThiefofFiveFatesTitle	Ladro di cinque destini
Feature/&ThirstingBladeDescription	Puoi attaccare con la tua arma due volte, invece di una volta, ogni volta che esegui l'azione Attacco nel tuo turno.
Feature/&ThirstingBladeTitle	Lama assetata
Feature/&TinkererArmorProficiencyDescription	Competenza nelle armature leggere e medie e negli scudi.
Feature/&TinkererArmorProficiencyTitle	Competenza nell'Armatura da Riparatore
Feature/&TinkererInfusionChoiceDescription	Seleziona le infusioni che avrai a disposizione per l'uso. Nota che ogni infusione può essere attiva solo una volta. Attivandolo una seconda volta si annullerà la prima.
Feature/&TinkererInfusionChoiceTitle	Scelta dell'infusione
Feature/&TinkererInfusionReplaceDescription	Seleziona le infusioni da sostituire.
Feature/&TinkererInfusionReplaceTitle	Sostituisci infusione
Feature/&TinkererSkillGainChoicesPluralDescription	Le abilità di Tinkerer sono Arcana, Storia, Indagine, Medicina, Natura, Percezione e Gioco di prestigio.
Feature/&TinkererSkillPointsTitle	Abilità di arnese
Feature/&TinkererToolsExpertiseDescription	Acquisisci esperienza con molti strumenti tra cui Strumenti dei ladri, Kit pergamene, Kit dell'avvelenatore, Kit dell'erboristeria e Strumenti incantatori.
Feature/&TinkererToolsExpertiseTitle	Competenza sugli strumenti per armeggiare
Feature/&TinkererToolsProficiencyDescription	Acquisisci competenza con molti strumenti tra cui Strumenti dei ladri, Kit pergamene, Kit dell'avvelenatore, Kit dell'erboristeria e Strumenti incantatori.
Feature/&TinkererToolsProficiencyTitle	Competenze degli strumenti
Feature/&TinkererWeaponProficiencyDescription	Competenza con le armi semplici.
Feature/&TinkererWeaponProficiencyTitle	Competenze nelle armi da riparatore
Feature/&ToadKingBasicToxinTitle	Tossina di base
Feature/&ToadKingExpandedSpelllistAfinityDescription	Scegli da un elenco esteso di incantesimi quando impari un incantesimo da Stregone. I seguenti incantesimi vengono aggiunti all'elenco degli incantesimi da Stregone per te: {0}
Feature/&ToadKingExpandedSpelllistAfinityTitle	Incantesimi del Re Rospo
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Il tuo corpo è cambiato per diventare resistente alle tossine e per produrre una tossina difensiva quando colpito da attacchi in mischia, fino a un numero di volte per riposo lungo pari al tuo bonus di competenza. Se l'attaccante fallisce un tiro salvezza di Costituzione, soffre di una tossina allucinogena finché non viene attaccato o interrotto in altro modo.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Tossina allucinogena
Feature/&ToadKingJumpTitle	Salto
Feature/&ToadKingPoisonConditionAffinityTitle	Immune alle condizioni di veleno
Feature/&ToadKingPoisonDamageAffinityTitle	Immune ai danni da veleno
Feature/&ToadKingStickyFeetTitle	Piedi palmati
Feature/&TrickstersEscapeTitle	La fuga dell'imbroglione
Feature/&UrPriestDomainTheftDescription	Prendi i segreti che un dio concede a tutti i suoi devoti chierici. Scegli un dominio Chierico: ottieni le caratteristiche che il dominio concede al 1° livello.
Feature/&UrPriestDomainTheftTitle	Furto di dominio
Feature/&UrPriestExpandedSpelllistAfinityDescription	Scegli da un elenco esteso di incantesimi quando impari un incantesimo da Stregone. Gli incantesimi da chierico vengono aggiunti per te alla lista degli incantesimi da stregone.
Feature/&UrPriestExpandedSpelllistAfinityTitle	Incantesimi UrPriest
Feature/&WallofThornsFeatureSetDescription	Cast Wall of Thorns una volta al giorno.
Feature/&WallofThornsFeatureSetTitle	Barriera forestale
Feature/&WitchCurseChoiceDescription	Sei devastato da una terribile maledizione che infetta il tuo corpo e la tua anima.
Feature/&WitchCurseChoiceTitle	Maledizione della strega
Feature/&WitchMaledictionChoiceDescription	Puoi imparare una serie di potenti incantesimi, noti come Maledictions, derivati ​​dalla stessa magia insidiosa che ti ha maledetto.
Feature/&WitchMaledictionChoiceTitle	Maledizioni
Feature/&WitchSightDescription	Puoi percepire o vedere creature invisibili entro 18 metri da te.
Feature/&WitchSightTitle	Vista da strega
Feature/&ZSPowerPaladinCleansingTouchDescription	Rimuovi gli effetti degli incantesimi toccando un alleato. Puoi farlo un numero di volte al giorno pari al tuo modificatore di Carisma.
Feature/&ZSPowerPaladinCleansingTouchTitle	Tocco detergente
Feedback/&AdditionalDamageAgonizing_BlastFormat	Esplosione agonizzante
Feedback/&AdditionalDamageAgonizing_BlastLine	Quando lanci ondata mistica, aggiungi il tuo modificatore di Carisma al danno che infligge su un colpo.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Danni aggiuntivi da attacchi a poteri magici
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Danni aggiuntivi da attacchi a poteri magici
Feedback/&AdditionalDamageArcaneFirearmFormat	Potenziamento esplosivo!
Feedback/&AdditionalDamageArcaneFirearmLine	Infligge danni aggiuntivi dal potenziamento esplosivo
Feedback/&AdditionalDamageArcanistMarkFormat	Marchio dell'arcanista!
Feedback/&AdditionalDamageArcanistMarkLine	Il Marchio dell'Arcanista esplode e infligge danni extra al bersaglio!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Colpo Illuminante!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Colpo Illuminante infligge danni extra al bersaglio!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arma accecante
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Danno aggiuntivo e tentativo di applicare Cecità da Arma accecante
Feedback/&AdditionalDamageEldritchSmiteFormat	Punizione Diabolica!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} punisce {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Danno Elementale
Feedback/&AdditionalDamageElementalDamageLine	La forma elementale garantisce danni aggiuntivi
Feedback/&AdditionalDamageLightningSpearFormat	Lancia fulminea!
Feedback/&AdditionalDamageLightningSpearLine	{0} colpisce {1} con Lightning Spear! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	Marchio del patto!
Feedback/&AdditionalDamagePactMarkedLine	Il segno del patto fa danni aggiuntivi!
Feedback/&AdditionalDamagePactSoulTakerFormat	Prendi l'anima!
Feedback/&AdditionalDamagePactSoulTakerLine	Soul Taker infligge danni aggiuntivi!
Feedback/&AdditionalDamageResonatingStrikeFormat	Colpo risonante!
Feedback/&AdditionalDamageResonatingStrikeLine	{0} risuona {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Anima potenziata!
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered infligge danni aggiuntivi!
Feedback/&AdditionalDamageSunlightBladeFormat	Lama illuminata dal sole!
Feedback/&AdditionalDamageSunlightBladeLine	{0} brucia {1} con Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Danno potenziato
Feedback/&AdditionalDamageUpgradedConstructLine	Il costrutto potenziato infligge 1d8 danni in più per colpo.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&ExtraDamageDescription	Danni extra da Lancia di illuminazione.
Feedback/&ExtraDamageTitle	Danno extra di Lightning Spear
Feedback/&LightningSpearAdditionalDamageDescription	Infligge 1d6 danni da fulmine aggiuntivi una volta per turno.
Feedback/&LightningSpearAdditionalDamageTitle	Danno extra di Lightning Spear
Feedback/&NotifyEffectResonatingStrikeLine	{0} risuona {1}!
FightingStyle/&BlindFightingDescription	Hai la vista cieca con un raggio di 10 piedi.
FightingStyle/&BlindFightingTitle	Combattimento alla cieca
FightingStyle/&CripplingDescription	Dopo aver colpito con un attacco in mischia, puoi ridurre la velocità del tuo avversario di 3 metri fino all'inizio del tuo prossimo turno.
FightingStyle/&CripplingTitle	Paralizzante
FightingStyle/&PugilistFightingDescription	I tuoi colpi senz'armi infliggono 1d4 danni contundenti aggiuntivi e puoi dare un pugno con la mano secondaria come azione bonus.\nSe hai la mano libera, puoi spingere come azione bonus.
FightingStyle/&PugilistFightingTitle	Pugile
FightingStyle/&TitanFightingDescription	Ottieni un colpo +2 contro creature di taglia Grande o superiore.
FightingStyle/&TitanFightingTitle	Combattimento di Titani
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcana, natura e intuizione.
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Abilità consigliate
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religione, natura e intuizione.
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Abilità consigliate
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	Storia, persuasione e intimidazione.
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Abilità consigliate
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Seleziona 2 competenze di abilità.
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Abilità
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Seleziona 3 competenze di abilità.
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Abilità
FlexibleBackgrounds/&BackgroundToolSelect2Description	Seleziona 2 competenze negli strumenti.
FlexibleBackgrounds/&BackgroundToolSelect2Title	Strumenti
FlexibleBackgrounds/&BackgroundToolSelectDescription	Seleziona una competenza sugli strumenti.
FlexibleBackgrounds/&BackgroundToolSelectTitle	Attrezzo
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Percezione e intimidazione.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Abilità consigliate
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Gioco di prestigio, furtività e inganno.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Abilità consigliate
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Medicina e persuasione.
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Abilità consigliate
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Atletica e intimidazione.
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Abilità consigliate
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Furtività, inganno e natura.
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Abilità consigliate
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Sopravvivenza e natura.
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Abilità consigliate
FlexibleRaces/&PointPoolAbilityScore3Description	Usa tre potenziamenti sui punteggi di abilità in qualsiasi combinazione a tua scelta.
FlexibleRaces/&PointPoolAbilityScore3Title	Aumento del punteggio di abilità
FlexibleRaces/&PointPoolAbilityScore4Description	Usa quattro potenziamenti sui punteggi delle abilità in qualsiasi combinazione a tua scelta.
FlexibleRaces/&PointPoolAbilityScore4Title	Aumento del punteggio di abilità
Format/&LevelAndExperienceFormat	Livello: {0}\nEsperienza: {1}\n{2} punti richiesti per raggiungere il livello {3}
Format/&LevelAndExperienceMaxedFormat	Livello: {0}\nEsperienza: {1}\nlivello massimo raggiunto
Item/&CEHalberd+1Title	Alabarda +1
Item/&CEHalberd+1UnidentifiedTitle	Alabarda di qualità
Item/&CEHalberd+2Title	Alabarda +2
Item/&CEHalberd+2UnidentifiedTitle	Magnifica alabarda
Item/&CEHalberdLightningTitle	Alabarda Fulmine
Item/&CEHalberdLightningUnidentifiedTitle	Magnifica alabarda
Item/&CEHalberdPrimedTitle	Alabarda innescata
Item/&CEHalberdTitle	Alabarda
Item/&CEHandXbow+1Title	Balestra a mano +1
Item/&CEHandXbow+1UnidentifiedTitle	Balestra a mano di qualità
Item/&CEHandXbow+2Title	Balestra a mano +2
Item/&CEHandXbow+2UnidentifiedTitle	Magnifica balestra a mano
Item/&CEHandXbowAcidTitle	Balestra a mano acida
Item/&CEHandXbowAcidUnidentifiedTitle	Magnifica balestra a mano
Item/&CEHandXbowPrimedTitle	Balestra a mano innescata
Item/&CEHandXbowTitle	Balestra a mano
Item/&CELongMace+1Title	Mazza lunga +1
Item/&CELongMace+1UnidentifiedTitle	Mazza lunga di qualità
Item/&CELongMace+2Title	Mazza lunga +2
Item/&CELongMace+2UnidentifiedTitle	Magnifica mazza lunga
Item/&CELongMacePrimedTitle	Mazza lunga innescata
Item/&CELongMaceThunderTitle	Mazza Lunga Tonante
Item/&CELongMaceThunderUnidentifiedTitle	Magnifica mazza lunga
Item/&CELongMaceTitle	Mazza lunga
Item/&CEPike+1Title	Luccio +1
Item/&CEPike+1UnidentifiedTitle	Luccio di qualità
Item/&CEPike+2Title	Luccio +2
Item/&CEPike+2UnidentifiedTitle	Magnifico luccio
Item/&CEPikePrimedTitle	Luccio innescato
Item/&CEPikePsychicTitle	Luccio psichico
Item/&CEPikePsychicUnidentifiedTitle	Magnifico luccio
Item/&CEPikeTitle	Luccio
Item/&CraftingManualRecipeEnchantCEHalberd+1Description	Incanta Alabarda +1.
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Incanta Alabarda +1
Item/&CraftingManualRecipeEnchantCEHalberd+2Description	Incanta Alabarda +2.
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Incanta Alabarda +2
Item/&CraftingManualRecipeEnchantCEHalberdLightningDescription	Incanta l'alabarda del fulmine.
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Incanta l'alabarda del fulmine
Item/&CraftingManualRecipeEnchantCEHandXbow+1Description	Incanta balestra a mano +1.
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Incanta balestra a mano +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Description	Incanta balestra a mano +2.
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Incanta balestra a mano +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidDescription	Incanta la balestra a mano acida.
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Incanta la balestra a mano acida
Item/&CraftingManualRecipeEnchantCELongMace+1Description	Incanta Mazza Lunga +1.
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Incanta Mazza Lunga +1
Item/&CraftingManualRecipeEnchantCELongMace+2Description	Incanta Mazza Lunga +2.
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Incanta Mazza Lunga +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderDescription	Incanta la Mazza Lunga Tonante.
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Incanta la Mazza Lunga Tonante
Item/&CraftingManualRecipeEnchantCEPike+1Description	Incanta Picca +1.
Item/&CraftingManualRecipeEnchantCEPike+1Title	Incanta Picca +1
Item/&CraftingManualRecipeEnchantCEPike+2Description	Incanta Picca +2.
Item/&CraftingManualRecipeEnchantCEPike+2Title	Incanta Picca +2
Item/&CraftingManualRecipeEnchantCEPikePsychicDescription	Incanta luccio psichico.
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Incanta luccio psichico
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Incanta Fasce +1.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Incanta Fasce +1
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Incanta Fasce +2.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Incanta Fasce +2
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Incanta manopole potenti.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Incanta manopole potenti
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Incanta le mani di tirare.
