ActionAffinity/&DHFeeblemindSpellDescription	Impossible de lancer des sorts.
Feature/&ProficiencyRogueBlindSenseTitle	Sens aveugle
Feature/&ProficiencyRogueSlipperyMindDescription	Au niveau 15, vous avez acquis une plus grande force mentale. Vous maîtrisez les jets de sauvegarde de Sagesse.
Feature/&ProficiencyRogueSlipperyMindTitle	Esprit glissant
Feature/&ProficiencySoulBladeArmorDescription	Armure légère, armure moyenne et bouclier.
Feature/&ProficiencySoulBladeArmorTitle	Compétences d'armure Soulblade
Feature/&ProficiencySoulBladeWeaponDescription	Armes simples, armes martiales.
Feature/&ProficiencySoulBladeWeaponTitle	Maîtrise des armes Soulblade
Feature/&RageDamageBonusAttackModifierDescription	Ajoute +2 dégâts à vos attaques pendant que vous êtes en rage.
Feature/&RageDamageBonusAttackModifierTitle	Dégâts de rage
Feature/&RageFeatConditionDescription	Lorsque vous êtes en rage, vous gagnez les avantages suivants : un avantage aux tests de Force et aux jets de sauvegarde de Force, un bonus de +2 aux jets de dégâts et une résistance aux dégâts contondants, perforants et tranchants.
Feature/&RageFeatConditionTitle	Rage
Feature/&RagePowerDescription	En tant qu'action bonus, vous entrez en rage pendant une minute et gagnez : un avantage aux tests de Force et aux jets de sauvegarde de Force, un bonus aux jets de dégâts de +2 et une résistance aux dégâts contondants, perforants et tranchants.
Feature/&RagePowerTitle	Rage
Feature/&RageStrengthSavingThrowAffinityDescription	Vous bénéficiez d'un avantage sur les sauvegardes de Force lorsque vous êtes en rage.
Feature/&RageStrengthSavingThrowAffinityTitle	Avantage de sauvegarde de Force de rage
Feature/&RallyingCryPowerDescription	Remplace Second Wind par un pouvoir permettant de restaurer 4 fois les points de vie des niveaux de combattant à un ou plusieurs alliés dans un rayon de 6 cellules, jusqu'à leur maximum de points de vie.
Feature/&RallyingCryPowerTitle	Cri de ralliement
Feature/&RallyingCryPowerTitleShort	Cri de ralliement
Feature/&RangerFeralSensesDescription	Vous gagnez des sens surnaturels qui vous aident à combattre des créatures que vous ne pouvez pas voir. Lorsque vous attaquez une créature que vous ne pouvez pas voir, votre incapacité à la voir n'impose pas de désavantage à vos jets d'attaque contre elle.
Feature/&RangerFeralSensesTitle	Sens sauvages
Feature/&RangerVanishActionDescription	À partir du niveau 14, vous pouvez utiliser l'action Cacher comme une action bonus à votre tour.
Feature/&RangerVanishActionTitle	Disparaître
Feature/&RiftWalkerRestrainedImmunityTitle	Pas fugace
Feature/&RiftWalkerSpellsMagicAffinityDescription	Vous choisissez parmi une liste étendue de sorts lorsque vous apprenez un sort de démoniste. Les sorts suivants sont ajoutés à la liste des sorts de Warlock pour vous : {0}
Feature/&RiftWalkerSpellsMagicAffinityTitle	Sorts de marcheur de faille
Feature/&RoyalEnvoyFeatureDescription	Ajoutez la moitié de votre bonus de maîtrise (arrondi au supérieur) à tout test de Charisme que vous effectuez et qui n'utilise pas déjà votre bonus de maîtrise. De plus, vous maîtrisez les jets de sauvegarde de Charisme.
Feature/&RoyalEnvoyFeatureTitle	Envoyé royal
Feature/&SavingThrowTinkererProficiencyDescription	Maîtrise des jets de sauvegarde de Constitution et d'Intelligence.
Feature/&SavingThrowTinkererProficiencyTitle	Maîtrise du jet de sauvegarde
Feature/&ScoutModePowerDescription	Bénéficiez d'un mouvement accru, d'un avantage sur les tests de furtivité et une fois par tour, vos attaques à distance avec une arme infligent un dé de dégâts supplémentaire.
Feature/&ScoutModePowerTitle	Mode éclaireur
Feature/&SentinelModePowerDescription	Gain Temp HP égal au niveau. Imposer un désavantage aux ennemis attaquant des alliés.
Feature/&SentinelModePowerTitle	Mode Sentinelle
Feature/&ShroudofShadowTitle	Voile d'ombre
Feature/&SignofIllOmenTitle	Signe de mauvais augure
Feature/&SpellAsInvocationAtWillDescription	Lancez {0} à volonté.
Feature/&SpellAsInvocationOncePerDayDescription	Lancez {0} une fois jusqu'au repos long.
Feature/&TempHPShield_09ModePowerDescription	Invoque une construction qui dure 1 heure.\nDôme protecteur : accorde 1d8 + 4 PV temporaires aux alliés à moins de 3 mètres.\nAutodestruction : inflige 3d8 dégâts de force en cas d'échec de sauvegarde et détruit l'unité.
Feature/&TempHPShield_09ModePowerTitle	Invocation d'un dôme protecteur
Feature/&TempHPShield_15ModePowerDescription	Invoque une construction qui dure 1 heure.\nDôme protecteur : accorde 1d8 + 4 PV temporaires aux alliés à moins de 3 mètres.\nAutodestruction : inflige 3d8 dégâts de force en cas d'échec de sauvegarde et détruit l'unité.\n Half Cover Dome : Fournit une demi-couverture aux alliés à moins de 10 pieds.
Feature/&TempHPShield_15ModePowerTitle	Invocation d'un dôme protecteur
Feature/&TempHPShieldModePowerDescription	Invoque une construction qui dure 1 heure.\nDôme protecteur : accorde 1d8 + 4 PV temporaires aux alliés à moins de 3 mètres.
Feature/&TempHPShieldModePowerTitle	Invocation d'un dôme protecteur
Feature/&TempHPShieldTitle	Dôme de protection
Feature/&ThiefofFiveFates	Diffusez {0} une fois par jour
Feature/&ThiefofFiveFatesTitle	Voleur des cinq destins
Feature/&ThirstingBladeDescription	Vous pouvez attaquer avec votre arme deux fois, au lieu d'une, chaque fois que vous effectuez l'action Attaquer à votre tour.
Feature/&ThirstingBladeTitle	Lame assoiffée
Feature/&TinkererArmorProficiencyDescription	Maîtrise des armures légères et moyennes ainsi que des boucliers.
Feature/&TinkererArmorProficiencyTitle	Compétence d'armure de bricoleur
Feature/&TinkererInfusionChoiceDescription	Sélectionnez les infusions dont vous disposerez. Notez que chaque perfusion ne peut être active qu'une seule fois. L'activer une seconde fois annulera la première.
Feature/&TinkererInfusionChoiceTitle	Choix d'infusion
Feature/&TinkererInfusionReplaceDescription	Sélectionnez les infusions à remplacer.
Feature/&TinkererInfusionReplaceTitle	Remplacer la perfusion
Feature/&TinkererSkillGainChoicesPluralDescription	Les compétences du bricoleur sont les arcanes, l'histoire, l'investigation, la médecine, la nature, la perception et le tour de passe-passe.
Feature/&TinkererSkillPointsTitle	Compétences de bricoleur
Feature/&TinkererToolsExpertiseDescription	Gagnez en expertise avec de nombreux outils, notamment des outils de voleur, des kits de parchemin, un kit d'empoisonnement, un kit d'herboristerie et des outils d'enchantement.
Feature/&TinkererToolsExpertiseTitle	Expertise en outils de bricolage
Feature/&TinkererToolsProficiencyDescription	Maîtrisez de nombreux outils, notamment les outils de voleur, les kits de parchemins, le kit d'empoisonneur, le kit d'herboristerie et les outils d'enchantement.
Feature/&TinkererToolsProficiencyTitle	Maîtrise des outils
Feature/&TinkererWeaponProficiencyDescription	Maîtrise des armes simples.
Feature/&TinkererWeaponProficiencyTitle	Maîtrise des armes du bricoleur
Feature/&ToadKingBasicToxinTitle	Toxine de base
Feature/&ToadKingExpandedSpelllistAfinityDescription	Vous choisissez parmi une liste étendue de sorts lorsque vous apprenez un sort de démoniste. Les sorts suivants sont ajoutés à la liste des sorts de Warlock pour vous : {0}
Feature/&ToadKingExpandedSpelllistAfinityTitle	Sorts du roi crapaud
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Votre corps a changé pour devenir résistant aux toxines et pour produire une toxine défensive lorsqu'il est touché par des attaques de mêlée, jusqu'à un nombre de fois par repos long égal à votre bonus de compétence. Si l'attaquant échoue à un jet de sauvegarde de Constitution, il souffre d'une toxine hallucinogène jusqu'à ce qu'il soit attaqué ou autrement interrompu.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Toxine hallucinogène
Feature/&ToadKingJumpTitle	Saut
Feature/&ToadKingPoisonConditionAffinityTitle	Immunité aux poisons
Feature/&ToadKingPoisonDamageAffinityTitle	Immunisé contre les dégâts de poison
Feature/&ToadKingStickyFeetTitle	Pieds palmés
Feature/&TrickstersEscapeTitle	L'évasion d'un escroc
Feature/&UrPriestDomainTheftDescription	Vous arrachez les secrets qu'un dieu accorde à tous ses prêtres dévots. Choisissez un domaine Clerc : vous gagnez les fonctionnalités que le domaine accorde au 1er niveau.
Feature/&UrPriestDomainTheftTitle	Vol de domaine
Feature/&UrPriestExpandedSpelllistAfinityDescription	Vous choisissez parmi une liste étendue de sorts lorsque vous apprenez un sort de démoniste. Les sorts de clerc sont ajoutés à la liste des sorts de démoniste pour vous.
Feature/&UrPriestExpandedSpelllistAfinityTitle	Sorts d'UrPrêtre
Feature/&WallofThornsFeatureSetDescription	Lancez Mur d'épines une fois par jour.
Feature/&WallofThornsFeatureSetTitle	Barrière forestière
Feature/&WitchCurseChoiceDescription	Vous êtes ravagé par une terrible malédiction qui infecte votre corps et votre âme.
Feature/&WitchCurseChoiceTitle	Malédiction de sorcière
Feature/&WitchMaledictionChoiceDescription	Vous pouvez apprendre un certain nombre d'incantations puissantes, connues sous le nom de Malédictions, dérivées de la même magie insidieuse qui vous a maudit.
Feature/&WitchMaledictionChoiceTitle	Malédictions
Feature/&WitchSightDescription	Vous pouvez sentir ou voir des créatures invisibles à moins de 18 mètres de vous.
Feature/&WitchSightTitle	Vue de sorcière
Feature/&ZSPowerPaladinCleansingTouchDescription	Supprimez les effets des sorts en touchant un allié. Vous pouvez le faire un nombre de fois par jour égal à votre modificateur de Charisme.
Feature/&ZSPowerPaladinCleansingTouchTitle	Toucher nettoyant
Feedback/&AdditionalDamageAgonizing_BlastFormat	Explosion agonisante
Feedback/&AdditionalDamageAgonizing_BlastLine	Lorsque vous lancez Explosion occulte, vous ajoutez votre modificateur de Charisme aux dégâts qu'il inflige en cas de coup.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Dégâts supplémentaires des attaques magiques
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Dégâts supplémentaires des attaques magiques
Feedback/&AdditionalDamageArcaneFirearmFormat	Amélioration du dynamitage !
Feedback/&AdditionalDamageArcaneFirearmLine	Inflige des dégâts supplémentaires grâce à l'amélioration de l'explosion
Feedback/&AdditionalDamageArcanistMarkFormat	Marque de l'arcaniste !
Feedback/&AdditionalDamageArcanistMarkLine	La marque de l'arcaniste explose et inflige des dégâts supplémentaires à la cible !
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Frappe éclairante !
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Illuminating Strike inflige des dégâts supplémentaires à la cible !
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arme aveuglante
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Dégâts supplémentaires et tentative d'application de la cécité de l'arme aveuglante
Feedback/&AdditionalDamageEldritchSmiteFormat	Châtiment Eldritch !
Feedback/&AdditionalDamageEldritchSmiteLine	{0} châtie {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Dégâts élémentaires
Feedback/&AdditionalDamageElementalDamageLine	La forme élémentaire inflige des dégâts supplémentaires
Feedback/&AdditionalDamageLightningSpearFormat	Lance éclair !
Feedback/&AdditionalDamageLightningSpearLine	{0} frappe {1} avec Lightning Spear ! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	Marque de pacte !
Feedback/&AdditionalDamagePactMarkedLine	La marque du pacte inflige des dégâts supplémentaires !
Feedback/&AdditionalDamagePactSoulTakerFormat	Preneur d'âme !
Feedback/&AdditionalDamagePactSoulTakerLine	Soul taker inflige des dégâts supplémentaires !
Feedback/&AdditionalDamageResonatingStrikeFormat	Frappe retentissante !
Feedback/&AdditionalDamageResonatingStrikeLine	{0} résonne {1} ! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Soul Empowered!
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered inflige des dégâts supplémentaires !
Feedback/&AdditionalDamageSunlightBladeFormat	Lame ensoleillée !
Feedback/&AdditionalDamageSunlightBladeLine	{0} brûle {1} avec Sunlit Blade ! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Dégâts améliorés
Feedback/&AdditionalDamageUpgradedConstructLine	La construction améliorée inflige 1d8 dégâts supplémentaires par coup.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} crée {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} crée {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} crée {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} crée {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} crée {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} crée {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} crée {1}
Feedback/&ExtraDamageDescription	Dégâts supplémentaires de Lightning Spear.
Feedback/&ExtraDamageTitle	Dégâts supplémentaires de Lightning Spear
Feedback/&LightningSpearAdditionalDamageDescription	Inflige 1d6 dégâts de foudre supplémentaires une fois par tour.
Feedback/&LightningSpearAdditionalDamageTitle	Dégâts supplémentaires de Lightning Spear
Feedback/&NotifyEffectResonatingStrikeLine	{0} résonne {1} !
FightingStyle/&BlindFightingDescription	Vous avez la vision aveugle avec une portée de 10 pieds.
FightingStyle/&BlindFightingTitle	Combat à l'aveugle
FightingStyle/&CripplingDescription	En frappant avec une attaque de mêlée, vous pouvez réduire la vitesse de votre adversaire de 3 mètres jusqu'au début de votre prochain tour.
FightingStyle/&CripplingTitle	Paralysant
FightingStyle/&PugilistFightingDescription	Vos frappes à mains nues infligent 1d4 dégâts contondants supplémentaires et vous pouvez frapper avec votre main secondaire en tant qu'action bonus.\nSi vous avez la main libre, vous pouvez pousser en tant qu'action bonus.
FightingStyle/&PugilistFightingTitle	Pugiliste
FightingStyle/&TitanFightingDescription	Vous gagnez +2 en touche contre les créatures de taille G ou plus.
FightingStyle/&TitanFightingTitle	Combat de Titans
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcanes, nature et perspicacité.
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religion, nature et perspicacité.
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	Histoire, persuasion et intimidation.
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Sélectionnez 2 compétences.
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Compétences
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Sélectionnez 3 compétences.
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Compétences
FlexibleBackgrounds/&BackgroundToolSelect2Description	Sélectionnez 2 compétences en outils.
FlexibleBackgrounds/&BackgroundToolSelect2Title	Outils
FlexibleBackgrounds/&BackgroundToolSelectDescription	Sélectionnez une maîtrise de l'outil.
FlexibleBackgrounds/&BackgroundToolSelectTitle	Outil
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Perception et intimidation.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Tour de passe-passe, furtivité et tromperie.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Médecine et persuasion.
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Athlétisme et intimidation.
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Furtivité, tromperie et nature.
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Survie et Nature.
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Compétences suggérées
FlexibleRaces/&PointPoolAbilityScore3Description	Utilisez trois boosts sur les scores de capacité dans n'importe quelle combinaison de votre choix.
FlexibleRaces/&PointPoolAbilityScore3Title	Augmentation du score de capacité
FlexibleRaces/&PointPoolAbilityScore4Description	Utilisez quatre boosts sur les scores de capacité dans n'importe quelle combinaison de votre choix.
FlexibleRaces/&PointPoolAbilityScore4Title	Augmentation du score de capacité
Format/&LevelAndExperienceFormat	Niveau : {0}\nExpérience : {1}\n{2} points requis pour atteindre le niveau {3}
Format/&LevelAndExperienceMaxedFormat	Niveau : {0}\nExpérience : {1}\nniveau maximum atteint
Item/&CEHalberd+1Title	Hallebarde +1
Item/&CEHalberd+1UnidentifiedTitle	Hallebarde de qualité
Item/&CEHalberd+2Title	Hallebarde +2
Item/&CEHalberd+2UnidentifiedTitle	Hallebarde magnifique
Item/&CEHalberdLightningTitle	Hallebarde de foudre
Item/&CEHalberdLightningUnidentifiedTitle	Hallebarde magnifique
Item/&CEHalberdPrimedTitle	Hallebarde apprêtée
Item/&CEHalberdTitle	Hallebarde
Item/&CEHandXbow+1Title	Arbalète de poing +1
Item/&CEHandXbow+1UnidentifiedTitle	Arbalète à main de qualité
Item/&CEHandXbow+2Title	Arbalète de poing +2
Item/&CEHandXbow+2UnidentifiedTitle	Magnifique arbalète à main
Item/&CEHandXbowAcidTitle	Arbalète à main acide
Item/&CEHandXbowAcidUnidentifiedTitle	Magnifique arbalète à main
Item/&CEHandXbowPrimedTitle	Arbalète à main apprêtée
Item/&CEHandXbowTitle	Arbalète à main
Item/&CELongMace+1Title	Masse longue +1
Item/&CELongMace+1UnidentifiedTitle	Masse longue de qualité
Item/&CELongMace+2Title	Masse longue +2
Item/&CELongMace+2UnidentifiedTitle	Masse longue magnifique
Item/&CELongMacePrimedTitle	Masse longue apprêtée
Item/&CELongMaceThunderTitle	Masse longue fulgurante
Item/&CELongMaceThunderUnidentifiedTitle	Masse longue magnifique
Item/&CELongMaceTitle	Masse longue
Item/&CEPike+1Title	Brochet +1
Item/&CEPike+1UnidentifiedTitle	Brochet de qualité
Item/&CEPike+2Title	Brochet +2
Item/&CEPike+2UnidentifiedTitle	Magnifique brochet
Item/&CEPikePrimedTitle	Brochet apprêté
Item/&CEPikePsychicTitle	Pique psychique
Item/&CEPikePsychicUnidentifiedTitle	Magnifique brochet
Item/&CEPikeTitle	Brochet
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Enchantement hallebarde +1
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Enchantement hallebarde +2
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Enchantement de hallebarde de foudre
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Enchantement d'arbalète de poing +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Enchantement d'arbalète de poing +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Enchantement d'arbalète à main acide
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Enchantement longue masse +1
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Enchantement longue masse +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Enchantement de longue masse fulminante
Item/&CraftingManualRecipeEnchantCEPike+1Title	Enchantement de brochet +1
Item/&CraftingManualRecipeEnchantCEPike+2Title	Enchantement de brochet +2
Item/&CraftingManualRecipeEnchantCEHalberd+1Description	Enchantement Hallebarde +1.
Item/&CraftingManualRecipeEnchantCEHalberd+2Description	Enchantement Hallebarde +2.
Item/&CraftingManualRecipeEnchantCEHalberdLightningDescription	Enchante Hallebarde de foudre.
Item/&CraftingManualRecipeEnchantCEHandXbow+1Description	Enchantement d'arbalète de poing +1.
Item/&CraftingManualRecipeEnchantCEHandXbow+2Description	Enchantement d'arbalète de poing +2.
Item/&CraftingManualRecipeEnchantCEHandXbowAcidDescription	Enchantement d'arbalète à main acide.
Item/&CraftingManualRecipeEnchantCELongMace+1Description	Enchantement longue masse +1.
Item/&CraftingManualRecipeEnchantCELongMace+2Description	Enchantement longue masse +2.
Item/&CraftingManualRecipeEnchantCELongMaceThunderDescription	Enchantez la longue masse fulminante.
Item/&CraftingManualRecipeEnchantCEPike+1Description	Enchantement de brochet +1.
Item/&CraftingManualRecipeEnchantCEPike+2Description	Enchantement de brochet +2.
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Enchantement de pique psychique
Item/&CraftingManualRecipeEnchantCEPikePsychicDescription	Enchantez Pychic Pike.
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Enchantement de bandages +1.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Enchantement de bandages +1
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Enchantement de bandages +2.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Enchantement de bandages +2
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Enchantez des Protège-mains puissants.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Enchantement de bandages puissants
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Enchantez des bandes de tirage.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Enchantement de bandages de traction
Item/&CraftingManualRecipePrimingCEHalberdTitle	Première hallebarde
Item/&CraftingManualRecipePrimingCEHandXbowTitle	Arbalète de premier ordre
Item/&CraftingManualRecipePrimingCELongMaceTitle	Première longue masse
Item/&CraftingManualRecipePrimingCEPikeTitle	Premier brochet
Item/&CraftingManualRecipePrimingCEHalberdDescription	Première Hallebarde.
Item/&CraftingManualRecipePrimingCEHandXbowDescription	Arbalète de première main.
Item/&CraftingManualRecipePrimingCELongMaceDescription	Prime Long Mace.
Item/&CraftingManualRecipePrimingCEPikeDescription	Premier brochet.
Item/&ForceArtilleryProjectileDescription	ForceArtilleryProjectile.
Item/&ForceArtilleryProjectileTitle	ForceArtillerieProjectile
Item/&Handwraps+1Title	Protège-mains +1
Item/&Handwraps+1UnidentifiedTitle	Bandages de bonne qualité
Item/&Handwraps+2Title	Protège-mains +2
Item/&Handwraps+2UnidentifiedTitle	Protège-mains magnifiques
Item/&HandwrapsOfForceTitle	Protège-mains puissants
Item/&HandwrapsOfForceUnidentifiedTitle	Protège-mains magnifiques
Item/&HandwrapsOfPullingTitle	Protège-mains de tirage
Item/&HandwrapsOfPullingUnidentifiedTitle	Protège-mains magnifiques
Language/&AbyssalDescription	Le langage abyssal était la forme du langage primordial qui a été enveloppé et tordu par le mal de l'abîme.
Language/&AbyssalTitle	Abyssal
Language/&GnomishLanguageDescription	Ancienne langue solastane, préservée par les gnomes vivant dans les forêts profondes de Solasta, elle a survécu au cataclysme.
Language/&GnomishLanguageTitle	gnome
MainMenu/&ExportPdfDescription	Nivelez ce héros.
MainMenu/&ExportPdfTitle	Descendre d'un niveau
Message/&CharacterExportDuplicateNameErrorDescription	Exportation annulée :\n\nUn héros portant ce nom existe déjà dans le pool.\nVeuillez essayer un autre nom.
Message/&CharacterExportEmptyNameErrorDescription	Exportation annulée :\n\nVeuillez essayer un nom non vide.
Message/&CharacterExportModalContentDescription	Saisissez le nom du héros à exporter :
Message/&CharacterExportModalTitleDescription	Exportation de personnage.
Message/&LevelDownConfirmationDescription	Nivelez ce héros ?
Message/&LevelDownMultiplayerAbortDescription	Impossible de descendre de niveau pendant une session multijoueur.
Message/&MessageModWelcomeDescription	Le Community Expansion Mod regorge de fonctionnalités intéressantes, mais par défaut, aucune n'est activée. Appuyez sur <color=yellow>Ctrl-F10</color> pour ouvrir l'interface utilisateur de Unity Mod Manager [UMM], puis cliquez sur l'icône des paramètres à côté de "Community Expansion" pour ouvrir les pages de paramètres.\n\n Explorez les options et sélectionnez celles que vous aimez. L'interface utilisateur UMM va maintenant s'ouvrir.
Message/&MessageModWelcomeTitle	Mod d'expansion de la communauté
Message/&RespecMultiplayerAbortDescription	Respécialisation impossible pendant une session multijoueur ou sur une carte d'exploration.
Message/&SpawnCustomEncounterDescription	Générer une rencontre aux coordonnées ({0}, {1}) ?
Message/&SpawnCustomEncounterErrorDescription	Impossible de générer des rencontres sur une partie multijoueur. Encore...
Message/&SpawnCustomEncounterTitle	Rencontre
Message/&TeleportPartyDescription	Téléporter le groupe aux coordonnées ({0}, {1}) ?\nVous pourriez casser des quêtes ou des cartes si vous vous téléportez dans un endroit inconnu.
Message/&TeleportPartyTitle	Téléportation
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierDescription	L'arme utilise le modificateur de Charisme pour les jets d'attaque et de dégâts et compte comme magique jusqu'au repos long.
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierTitle	Âme habilitée
Modifier/&AttributeModifierRuinDescription	-3 à la classe d'armure.
Modifier/&AttributeModifierRuinTitle	Ruiné
Modifier/&CripplingAdditionalDamageDescription	Dégâts paralysants.
Modifier/&CripplingAdditionalDamageTitle	Paralysant
Modifier/&DisorientDescription	-1d6 aux jets d'attaque.
Modifier/&DisorientTitle	Désorienté
Monster/&DHCustomCouatlDescription	Les Couatls sont des êtres serpentins bienveillants d'une grande intelligence et perspicacité. Leurs ailes brillamment colorées et leurs manières douces témoignent de leurs origines célestes.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Chouette Familier.
Monster/&OwlFamiliarTitle	Chouette
Monster/&PactOfChainCustomImpDescription	Les Diablotins se trouvent partout dans les Plans Inférieurs, faisant des courses pour leurs maîtres infernaux, espionnant leurs rivaux ou trompant et traquant les mortels. Un diablotin servira fièrement un maître maléfique de toute sorte, mais on ne peut pas compter sur lui pour effectuer des tâches avec une quelconque rapidité ou efficacité.
Monster/&PactOfChainCustomImpTitle	Diablotin (Pacte de chaîne)
Monster/&PactOfChainCustomPseudodragonDescription	Le pseudodragon insaisissable habite dans les endroits calmes du monde, faisant sa maison dans les creux des arbres et des petites grottes. Avec ses écailles vertes, ses cornes et sa gueule remplie de dents acérées, un pseudo-dragon ressemble à un petit dragon vert mais sa disposition est ludique.
Monster/&PactOfChainCustomPseudodragonTitle	Pseudo-dragon
Monster/&PactOfChainCustomQuasitDescription	Les quasis infestent les plans inférieurs. Physiquement faibles, ils restent dans l'ombre pour comploter la malice et la méchanceté. Des démons plus puissants utilisent les quasits comme espions et messagers lorsqu'ils ne les dévorent pas ou ne les séparent pas pour passer le temps.
Monster/&PactOfChainCustomQuasitTitle	Quasit (Pacte de Chaîne)
Monster/&PactOfChainCustomSpriteDescription	Contrairement aux lutins, les sprites se livrent rarement à la gaieté et au plaisir frivoles. Ce sont des guerriers, des protecteurs et des juges fermes, et leur penchant sévère amène les autres fées à les considérer comme trop austères et sérieux. Cependant, les fées qui respectent le territoire des sprites trouvent en eux des alliés fidèles en cas de problème.
Monster/&PactOfChainCustomSpriteTitle	Sprite (Pacte de chaîne)
Monster/&WitchOwlFamiliarDescription	Chouette Familier.
Monster/&WitchOwlFamiliarTitle	Chouette
MonsterAttack/&AttackWarlockDragonStingDescription	1d4 dégâts perforants et la cible doit réussir un jet de sauvegarde de Constitution DD 11 ou être empoisonnée.
MonsterAttack/&AttackWarlockDragonStingTitle	Piqûre venimeuse
MonsterAttack/&AttackWarlockImpStingDescription	Piqûre venimeuse d'un diablotin.
MonsterAttack/&AttackWarlockImpStingTitle	Piqûre venimeuse
MonsterAttack/&AttackWarlockQuasitStingTitle	Piqûre venimeuse
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Dégâts perforants et la cible doit réussir un jet de sauvegarde de Constitution DD 13 ou être empoisonnée pendant 24 heures. Jusqu'à la fin de ce poison, la cible est inconsciente.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Morsure
